collected_frames,state/lin_vel_mean,state/lin_vel_max,state/ang_vel_mean,state/ang_vel_max,state/roll_deg_mean,state/roll_deg_max,state/pitch_deg_mean,state/pitch_deg_max,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/pct_healthy
65536,0.4110418031923473,1.1006396962329745,0.38426689855987206,2.059062114683911,2.118172646034509,19.889437544392422,2.7214706348604523,17.563983996631578,4.895543068647385,0.08332272281404585,0.02377530885860324,1.0
131072,0.35739353811368346,1.8008009484037757,0.42334699677303433,3.611391813494265,5.0702467150986195,53.08774973452091,5.275074742734432,43.25191952288151,4.9404325149953365,0.10641604650299996,-0.3679349413141608,1.0
196608,0.32200695225037634,1.4147039372473955,0.41208092123270035,3.4808260835707188,6.193400781601667,69.52611088752747,7.006993222981691,56.53417852520943,4.842765688896179,0.11845363024622202,-0.46943056560121477,1.0
262144,0.3097741680685431,1.4205823498778045,0.4006090392358601,3.150211466476321,6.597029145807028,69.86542057991028,8.223668791353703,62.284646421670914,4.675806913524866,0.12388572958298028,-0.4818166836630553,1.0
327680,0.29108942369930446,1.3967137350700796,0.4029606890399009,3.4585642497986555,6.2750734351575375,76.15220093727112,9.356638349592686,69.33079427480698,4.496807359158993,0.11999679106520489,-0.40024565695784986,1.0
393216,0.28178174630738795,1.2889398992992938,0.3891260160598904,2.871257269755006,5.927233263850212,67.10477218031883,10.112436898052692,71.10740992426872,4.314863752573729,0.12033286917721853,-0.35621003806591034,1.0
458752,0.12146685480319681,0.7404294623712818,0.13488299738761622,1.3850240685741406,5.543910576248716,54.61706132634195,29.761073713489605,65.25232819734838,3.6293387906738075,0.17241764947188548,-0.07103282947048366,1.0
524288,0.3154645182657987,1.3801493584178388,0.3956976162735373,2.6402056654915214,2.557021740823984,53.479487195611,10.594083443284035,68.75242054462433,4.052843429148197,0.11132430681027472,-0.42333695921115577,1.0
589824,0.2919416115619242,1.2613514834083617,0.3865458401851356,2.404531148262322,2.9893098156899214,56.86681750416756,11.676710240542889,69.17902311682701,3.8314597196877003,0.12132623896468431,-0.19386381609365344,1.0
655360,0.27542266668751836,1.1519361743703485,0.38442141585983336,2.51175566483289,3.701592003926635,60.60945427417755,12.302270747721195,66.65066441893578,3.6801789682358503,0.12551000528037548,-0.20513622532598674,1.0
