collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std
65536,-0.019897084683179855,0.630639374256134,0.01312757097184658,0.6238874793052673,8.222786709666252e-05,0.6231643557548523,0.030491456389427185,0.6294682621955872,0.014092775993049145,0.6337630748748779,-0.015536952763795853,0.6228220462799072
131072,0.02253013476729393,0.6323701739311218,0.002370616188272834,0.6194964051246643,0.001909986836835742,0.6234332323074341,0.027461282908916473,0.6292340159416199,0.012028371915221214,0.6294463276863098,0.004260392859578133,0.6226678490638733
196608,0.07063502073287964,0.6241602301597595,0.005223388783633709,0.6168953776359558,-0.005119663663208485,0.6233563423156738,0.025031868368387222,0.6306480169296265,0.008724439889192581,0.6312311291694641,0.013643434271216393,0.6218740940093994
262144,0.11266672611236572,0.618095338344574,0.0052808672189712524,0.6181161403656006,0.0006915410049259663,0.6181448101997375,0.023977233096957207,0.6283529996871948,0.014796556904911995,0.6280486583709717,0.03515058755874634,0.6220524907112122
327680,0.14912870526313782,0.6110064387321472,0.004966435022652149,0.6158440113067627,0.0007953368476592004,0.6162996888160706,0.02549588307738304,0.6296533942222595,0.02597295306622982,0.6230208277702332,0.04195617884397507,0.6199760437011719
393216,0.16460081934928894,0.6060869693756104,-0.0014018539804965258,0.6149604916572571,0.021576398983597755,0.6094640493392944,0.0221355352550745,0.6267577409744263,0.028057370334863663,0.6282500624656677,0.048153020441532135,0.6156998872756958
458752,0.18303720653057098,0.5998585224151611,-0.002494997810572386,0.6135891079902649,0.03112260065972805,0.6145994067192078,0.04668634757399559,0.6257749199867249,0.021389247849583626,0.6272746324539185,0.043926797807216644,0.611509382724762
524288,0.18213050067424774,0.6055198311805725,-0.0012434558011591434,0.6184737682342529,0.045007456094026566,0.6108675003051758,0.026816101744771004,0.6265135407447815,0.021555490791797638,0.6305135488510132,0.029029810801148415,0.6178164482116699
589824,0.15707829594612122,0.6143608689308167,0.016482841223478317,0.6204704642295837,0.0394587442278862,0.6173571348190308,0.017530690878629684,0.6270769238471985,0.011810911819338799,0.6327821016311646,0.03776135295629501,0.6183894276618958
655360,0.17020490765571594,0.6145756244659424,0.017747461795806885,0.6187190413475037,0.02481219172477722,0.6155552864074707,0.011031454429030418,0.6256706118583679,0.006265428848564625,0.6282004714012146,0.02986805886030197,0.6170520782470703
720896,0.181195929646492,0.6141051650047302,0.01993723213672638,0.621604859828949,0.0215512253344059,0.6164517998695374,0.007854791358113289,0.6249418258666992,-0.0030150837264955044,0.6260576844215393,0.03949015215039253,0.6184066534042358
786432,0.21812674403190613,0.5866997241973877,0.012556535191833973,0.5996299982070923,0.07906895875930786,0.6052711606025696,0.006749240681529045,0.6129727363586426,0.02534455806016922,0.6131730675697327,0.03995175659656525,0.6038329005241394
851968,0.16430534422397614,0.6097344756126404,0.0022366223856806755,0.6117680072784424,0.038801565766334534,0.6105284690856934,0.008614049293100834,0.6207733750343323,0.009042197838425636,0.6216763854026794,0.029732082039117813,0.6157246828079224
917504,0.14192867279052734,0.6104662418365479,0.003687117248773575,0.6135962009429932,0.02204156666994095,0.6117775440216064,-0.0035228030756115913,0.6231095790863037,0.003964436240494251,0.6201534867286682,0.03209239989519119,0.6145108938217163
983040,0.13906309008598328,0.6067853569984436,-0.0026540756225585938,0.6098118424415588,0.03597022965550423,0.6080096364021301,0.005517254583537579,0.6201425194740295,0.016687333583831787,0.6156394481658936,0.029303133487701416,0.6134238839149475
1048576,0.15874654054641724,0.5980584621429443,-0.0072399890050292015,0.6023298501968384,0.03434348851442337,0.6025715470314026,0.0018684883834794164,0.6148114800453186,0.010737130418419838,0.6092201471328735,0.016496332362294197,0.6040377616882324
1114112,0.20348630845546722,0.5745047330856323,0.016225501894950867,0.5821571946144104,0.06602707505226135,0.5912863612174988,0.06652281433343887,0.5967686772346497,0.022867314517498016,0.590874433517456,0.03645635396242142,0.587100088596344
1179648,0.15323297679424286,0.6032354831695557,-0.024332866072654724,0.6039273738861084,0.023294607177376747,0.6069895625114441,0.004880966152995825,0.6167019009590149,0.020986003801226616,0.6101386547088623,0.018600638955831528,0.6036158800125122
