collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr
65536,-0.06279941648244858,-0.737749457359314,-0.6749500408768654,-3.1776647567749023,-4.012894630432129,9.150497436523438,-0.021363580599427223,-0.08036275953054428,4.0181379318237305,0.005699587985873222,0.11572265625,-3.1776647567749023,13.502761840820312,0.6814626455307007,0.0004820946961740482,0.0023049503938882797
131072,0.004666415974497795,-2.8378419876098633,-2.842508403584361,0.20863619446754456,-4.013548374176025,10.341121673583984,-0.01891745626926422,-0.07990135252475739,3.995067596435547,0.010002649389207363,0.086669921875,0.20863619446754456,20.493234634399414,3.010150671005249,0.00048175967553737404,0.002303348621550623
196608,0.0360187366604805,-2.1303279399871826,-2.166346676647663,1.3012540340423584,-4.007566928863525,6.654012203216553,-0.013515654951334,-0.08029094338417053,4.014546871185303,0.006504126824438572,0.076416015625,1.3012540340423584,15.320263862609863,5.5939040184021,0.0004814246549006999,0.002301746849212966
262144,0.02036697044968605,-0.41913267970085144,-0.4394996501505375,-0.011892050504684448,-3.996074676513672,6.065526485443115,-0.014394906349480152,-0.0797538012266159,3.987689971923828,0.005778410006314516,0.064697265625,-0.011892050504684448,16.764949798583984,12.27181625366211,0.0004810896342640258,0.002300145076875309
327680,-0.0013005654327571392,-0.999984085559845,-0.9986835201270878,-0.8343526721000671,-3.984236240386963,5.829168319702148,-0.014841761440038681,-0.07948630303144455,3.9743151664733887,0.0071624224074184895,0.0654296875,-0.8343526721000671,18.006929397583008,9.345033645629883,0.00048075461362735174,0.002298543304537652
393216,-0.015079792588949203,-1.9420652389526367,-1.9269854463636875,-0.8262657523155212,-3.973724365234375,5.289233207702637,-0.013567546382546425,-0.07925612479448318,3.962806463241577,0.004207463003695011,0.059814453125,-0.8262657523155212,16.884756088256836,13.850059509277344,0.0004804195929906776,0.0022969415321999953
458752,0.1638922542333603,5.898649215698242,5.734756961464882,4.205629825592041,-3.9592041969299316,6.682937145233154,-0.013992657884955406,-0.07890734076499939,3.9453673362731934,0.008775489404797554,0.091064453125,4.205629825592041,20.216291427612305,8.170496940612793,0.00048008457235400347,0.0022953397598623384
524288,0.012176340445876122,-3.4008731842041016,-3.4130495246499777,-3.372708797454834,-3.944178819656372,5.2468366622924805,-0.021588200703263283,-0.07883040606975555,3.9415202140808105,0.0076810624450445175,0.107421875,-3.372708797454834,15.158863067626953,9.574380874633789,0.0004797495517173294,0.0022937379875246815
589824,-0.048217467963695526,-11.346161842346191,-11.297944374382496,-2.5478620529174805,-3.944436550140381,5.636402130126953,-0.017786193639039993,-0.07876348495483398,3.938174247741699,0.008102837949991226,0.09912109375,-2.5478620529174805,17.278661727905273,12.635699272155762,0.00047941453108065526,0.0022921362151870246
655360,-0.05969405919313431,-13.550117492675781,-13.490423433482647,-1.0596152544021606,-3.9387121200561523,5.374521732330322,-0.018230775371193886,-0.07830903679132462,3.915451765060425,0.008966265246272087,0.0869140625,-1.0596152544021606,18.332048416137695,11.42136287689209,0.0004790795104439811,0.0022905344428493677
720896,-0.031270649284124374,-10.90239143371582,-10.871120784431696,-0.19843389093875885,-3.922100067138672,5.860857963562012,-0.020958514884114265,-0.07849381864070892,3.9246907234191895,0.007379710674285889,0.100341796875,-0.19843389093875885,17.862550735473633,21.099477767944336,0.00047874448980730704,0.002288932670511711
786432,0.41078513860702515,23.924903869628906,23.51411873102188,-2.6207756996154785,-3.9308865070343018,11.05046272277832,-0.01741579920053482,-0.07838065922260284,3.9190330505371094,0.009575534611940384,0.090087890625,-2.6207756996154785,25.469038009643555,26.437448501586914,0.0004784094691706329,0.002287330898174054
851968,-0.059717122465372086,-6.403694152832031,-6.343977030366659,-7.74185848236084,-3.933964490890503,6.759402275085449,-0.02732994221150875,-0.07856445014476776,3.92822265625,0.006890503223985434,0.12109375,-7.74185848236084,18.209152221679688,8.703790664672852,0.00047807444853395877,0.002285729125836397
917504,-0.08412434905767441,-16.49612808227539,-16.412003733217716,-1.9785999059677124,-3.9364638328552246,5.50495719909668,-0.025265024974942207,-0.07861168682575226,3.93058443069458,0.008629360236227512,0.127685546875,-1.9785999059677124,17.299888610839844,25.076265335083008,0.00047773942789728464,0.00228412735349874
