collected_frames,rew/shaping,rew/step_penalty,rew/terminal_bonus,rew/total_reward,rew/action_bonus,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty
65536,0.15442980418447405,-0.19999999999999954,0.0,-0.04949019480136485,0.06916991801699623,-0.0023535250731185897,-0.035592091546277516,-0.003023856159529714,-0.032120440431754105
131072,0.16778128466103226,-0.19999999999999954,-0.001068115234375,-0.052776400014408864,0.06932948512258008,-0.005630513369396795,-0.04097533578169532,-0.005856902454979718,-0.0363612215151079
196608,0.19152839039452374,-0.19999999999999954,-0.00341796875,-0.03345527678538929,0.06878906238125637,-0.006874289152619895,-0.03842179448110983,-0.007782386630424298,-0.037280708929756656
262144,0.19474785029888153,-0.19999999999999954,-0.00128173828125,-0.02761035346884455,0.06864547048462555,-0.007325994494749466,-0.03535299195209518,-0.009134593252383638,-0.037910484708845615
327680,0.19287707889452577,-0.19999999999999954,-0.001922607421875,-0.031406412468641065,0.06889894203050062,-0.006964790285564959,-0.03416637162445113,-0.010390945426479448,-0.03973977026180364
393216,0.18524040200281888,-0.19999999999999954,-0.00384521484375,-0.03860261722729774,0.0688962135463953,-0.006581821358849993,-0.030292023802758195,-0.011227199756831396,-0.04079870958230458
458752,0.2202217768644914,-0.19999999999999954,-0.0025634765625,0.007601329871249618,0.06890637148171663,-0.0019026126301469048,-0.026468209485756233,-0.010160442128835712,-0.0404285030963365
524288,0.19909791194368154,-0.19999999999999954,-0.001068115234375,-0.01972945829766104,0.06910387385869399,-0.0028377284561429406,-0.027045290102250874,-0.011766408802941442,-0.04521671906695701
589824,0.17150541953742504,-0.19999999999999954,-0.000213623046875,-0.04651239518716466,0.06922840798506513,-0.0033215457515325397,-0.02546688936126884,-0.012973154814972077,-0.045271286100614816
655360,0.15207157656550407,-0.19999999999999954,-0.001068115234375,-0.06701947300462052,0.06974895630264655,-0.0041125608440779615,-0.024841465507051907,-0.013665974744071718,-0.045157268847106025
720896,0.14343981322599575,-0.19999999999999954,-0.001708984375,-0.07393821596633643,0.0701760480296798,-0.004355736047727987,-0.02447068069886882,-0.013083406178338919,-0.04394848505035043
786432,0.26429607276804745,-0.19999999999999954,0.0,0.06645343927448266,0.0687801664462313,-0.0016266805496343295,-0.026637672581273364,-0.005097134830066352,-0.033261310469242744
851968,0.19796316395513713,-0.19999999999999954,0.0,-0.01117574534873711,0.06905156740685925,-0.002929883099568542,-0.028811582844355144,-0.00781789950633538,-0.03863110838574357
917504,0.16573708271607757,-0.19999999999999954,-0.000213623046875,-0.03977790383214597,0.06855548254679888,-0.0033464074604125926,-0.026082286683958955,-0.007114708496374078,-0.03731529720243998
983040,0.15214458422269672,-0.19999999999999954,-0.00042724609375,-0.05328556484892033,0.06812741799512878,-0.003976385880378075,-0.02477530250325799,-0.006730055636580801,-0.03764928743476048
1048576,0.14844682079274207,-0.19999999999999954,-0.00042724609375,-0.05598121396906208,0.0677203125669621,-0.0038347608842741465,-0.023895062739029527,-0.006537329860293539,-0.037454881792655215
1114112,0.27641720219980925,-0.19999999999999954,0.0,0.08605970445205458,0.06701153540052474,-0.0007528800877025787,-0.021894618541409727,-0.0026948194349643018,-0.03202671591134276
1179648,0.20482459536287934,-0.19999999999999954,0.0,-0.0003930107623091317,0.06822349736467004,-0.0019124530226690695,-0.025471155284321867,-0.005981055022857618,-0.04007643667864613
1245184,0.16830532276071608,-0.19999999999999954,-0.000213623046875,-0.034866363064793404,0.06793849758105353,-0.002727409149883897,-0.024412858867435716,-0.005671356437233044,-0.03808523828047328
1310720,0.15504848852287978,-0.19999999999999954,0.0,-0.0483523873554077,0.0678656148375012,-0.0031563884476781823,-0.024031312103033997,-0.006138313878182089,-0.03794060117797926
1376256,0.1463350326521322,-0.19999999999999954,-0.000640869140625,-0.05785615057538962,0.06743432048824616,-0.002989920427353354,-0.023173891633632593,-0.007856639462261228,-0.03696693840902299
1441792,0.2663271534256637,-0.19999999999999954,0.000213623046875,0.07313157882890664,0.06660636022570543,-0.0009228822075328935,-0.023239236419613007,-0.004098559798876522,-0.03175487912085373
1507328,0.198253259412013,-0.19999999999999954,-0.000213623046875,-0.007915646546280186,0.06760028170538135,-0.0016288819433611934,-0.02703293808735907,-0.007736501858744305,-0.037158247374463826
1572864,0.1702548653120175,-0.19999999999999954,-0.000213623046875,-0.03321281286844169,0.06737891002558172,-0.0018883890379584045,-0.02471313116257079,-0.00763007052228204,-0.0364016912644729
1638400,0.15355307364370674,-0.19999999999999954,-0.00042724609375,-0.05105866554367822,0.0670436976943165,-0.0026404445452499203,-0.024318782889167778,-0.008292170037748292,-0.035978697444079444
1703936,0.1490440892521292,-0.19999999999999954,-0.00042724609375,-0.05369259427243378,0.06715298310155049,-0.0026571974831313128,-0.024490977579262108,-0.007820856582839042,-0.034496528445743024
1769472,0.25940000324044377,-0.19999999999999954,0.000213623046875,0.05834783896625595,0.06680812948616222,-0.002187076537666144,-0.029934051832242403,-0.004611716387444176,-0.031341070964117534
1835008,0.19230550830252469,-0.19999999999999954,0.00042724609375,-0.02054941871210758,0.06758283427916467,-0.00389503342921671,-0.035402426117798313,-0.007001610501902178,-0.034565935042337514
1900544,0.17075437842868268,-0.19999999999999954,0.0,-0.0382707901953836,0.06815088528674096,-0.004324432666180655,-0.03358303969434928,-0.006071869996958412,-0.033197557684616186
1966080,0.16289184265770018,-0.19999999999999954,0.000213623046875,-0.044171133878990076,0.06762304794392549,-0.004619902665581321,-0.032440909068100154,-0.0054559240852540825,-0.032383044657763094
2031616,0.149486442678608,-0.19999999999999954,0.001068115234375,-0.05897675819869619,0.06733157954295166,-0.004879914391494822,-0.033168444788316265,-0.005667118814017158,-0.03314741511712782
2097152,0.2705971639370546,-0.19999999999999954,0.0,0.06366542782416218,0.06684539557318203,-0.0027948607812504633,-0.032559524923271965,-0.006226131987205008,-0.03219661481853109
