attempt,collected_frames,env/success_rate,env/failure_rate
0,131072,0.9875,0.0125
0,262144,0.9507389162561576,0.04926108374384237
0,393216,0.12749003984063745,0.014608233731739707
0,524288,0.5363247863247863,0.01282051282051282
0,655360,0.26176470588235295,0.010294117647058823
0,786432,0.43243243243243246,0.014414414414414415
0,917504,0.5384615384615384,0.01240694789081886
0,1048576,0.2774566473988439,0.004335260115606936
0,1179648,0.43023255813953487,0.025193798449612403
0,1310720,0.33114035087719296,0.13596491228070176
0,1441792,0.455531453362256,0.052060737527114966
0,1572864,0.3038194444444444,0.005208333333333333
0,1703936,0.4014466546112116,0.0054249547920434
0,1835008,0.3754325259515571,0.0034602076124567475
0,1966080,0.3958333333333333,0.001736111111111111
0,2097152,0.45472061657032753,0.0038535645472061657
0,2228224,0.3990066225165563,0.008278145695364239
0,2359296,0.3076923076923077,0.0521978021978022
0,2490368,0.5793103448275863,0.0034482758620689655
0,2621440,0.20211161387631976,0.0030165912518853697
0,2752512,0.5051975051975052,0.004158004158004158
0,2883584,0.2857142857142857,0.003105590062111801
0,3014656,0.40641711229946526,0.0053475935828877
0,3145728,0.4923747276688453,0.006535947712418301
0,3276800,0.3094512195121951,0.0
0,3407872,0.47045454545454546,0.0
0,3538944,0.47785547785547783,0.0
0,3670016,0.28835489833641403,0.0036968576709796672
0,3801088,0.3800383877159309,0.007677543186180422
0,3932160,0.3674496644295302,0.0050335570469798654
0,4063232,0.3760539629005059,0.0016863406408094434
0,4194304,0.422680412371134,0.006185567010309278
0,4325376,0.32730263157894735,0.004934210526315789
0,4456448,0.43424317617866004,0.004962779156327543
0,4587520,0.45118733509234826,0.023746701846965697
0,4718592,0.2509090909090909,0.0036363636363636364
0,4849664,0.37406015037593987,0.0037593984962406013
0,4980736,0.3211920529801324,0.0033112582781456954
0,5111808,0.3754325259515571,0.00865051903114187
0,5242880,0.43775933609958506,0.002074688796680498
0,5373952,0.3008130081300813,0.0032520325203252032
0,5505024,0.40358744394618834,0.013452914798206279
0,5636096,0.48169014084507045,0.005633802816901409
0,5767168,0.23583180987202926,0.003656307129798903
0,5898240,0.37258687258687256,0.005791505791505791
0,6029312,0.3112244897959184,0.006802721088435374
0,6160384,0.3431542461005199,0.0017331022530329288
0,6291456,0.386411889596603,0.008492569002123142
0,6422528,0.3111111111111111,0.006349206349206349
0,6553600,0.5059665871121718,0.0
0,6684672,0.48434237995824636,0.0041753653444676405
0,6815744,0.29006085192697767,0.002028397565922921
0,6946816,0.31273408239700373,0.011235955056179775
0,7077888,0.3143350604490501,0.0034542314335060447
0,7208960,0.3285968028419183,0.0017761989342806395
0,7340032,0.381139489194499,0.003929273084479371
0,7471104,0.3127208480565371,0.00530035335689046
0,7602176,0.43661971830985913,0.011737089201877934
0,7733248,0.43902439024390244,0.024390243902439025
0,7864320,0.22485207100591717,0.0039447731755424065
0,7995392,0.31007751937984496,0.001937984496124031
0,8126464,0.27526132404181186,0.008710801393728223
0,8257536,0.3321917808219178,0.0017123287671232876
0,8388608,0.42738589211618255,0.004149377593360996
0,8519680,0.2706270627062706,0.009900990099009901
0,8650752,0.4201312910284464,0.019693654266958426
0,8781824,0.44938271604938274,0.009876543209876543
0,8912896,0.23412698412698413,0.003968253968253968
0,9043968,0.32129277566539927,0.0038022813688212928
0,9175040,0.3046471600688468,0.0017211703958691911
0,9306112,0.315884476534296,0.0036101083032490976
0,9437184,0.3744493392070485,0.0022026431718061676
1,131072,0.9875,0.0125
1,262144,0.9558823529411765,0.04411764705882353
1,393216,0.11305518169582772,0.014804845222072678
1,524288,0.5371900826446281,0.014462809917355372
1,655360,0.27165932452276065,0.011747430249632892
1,786432,0.43202979515828677,0.00931098696461825
1,917504,0.4884910485933504,0.015345268542199489
1,1048576,0.2671428571428571,0.01
1,1179648,0.4127310061601643,0.012320328542094456
1,1310720,0.4312796208530806,0.0
1,1441792,0.46236559139784944,0.008064516129032258
1,1572864,0.24584103512014788,0.0036968576709796672
1,1703936,0.35700934579439253,0.013084112149532711
1,1835008,0.3448275862068966,0.003284072249589491
1,1966080,0.3773913043478261,0.006956521739130435
1,2097152,0.42016806722689076,0.01050420168067227
1,2228224,0.3266871165644172,0.003067484662576687
1,2359296,0.4557823129251701,0.0
1,2490368,0.4797843665768194,0.0026954177897574125
1,2621440,0.22820037105751392,0.0055658627087198514
1,2752512,0.37093690248565964,0.0076481835564053535
1,2883584,0.31270903010033446,0.0016722408026755853
1,3014656,0.33807829181494664,0.0035587188612099642
1,3145728,0.4127310061601643,0.006160164271047228
1,3276800,0.3130841121495327,0.009345794392523364
1,3407872,0.5702127659574469,0.0
1,3538944,0.4947589098532495,0.0020964360587002098
1,3670016,0.32950191570881227,0.0019157088122605363
1,3801088,0.30297723292469353,0.008756567425569177
1,3932160,0.37282229965156793,0.010452961672473868
1,4063232,0.387037037037037,0.007407407407407408
1,4194304,0.37250996015936255,0.00796812749003984
1,4325376,0.3129139072847682,0.006622516556291391
1,4456448,0.411214953271028,0.0
1,4587520,0.49333333333333335,0.005333333333333333
1,4718592,0.21200750469043153,0.005628517823639775
1,4849664,0.341796875,0.01171875
1,4980736,0.29549248747913187,0.01001669449081803
1,5111808,0.32167832167832167,0.01048951048951049
1,5242880,0.4230769230769231,0.002136752136752137
1,5373952,0.2686804451510334,0.006359300476947536
1,5505024,0.4570815450643777,0.0
1,5636096,0.45799457994579945,0.005420054200542005
1,5767168,0.2137546468401487,0.007434944237918215
1,5898240,0.34291581108829566,0.012320328542094456
1,6029312,0.2765598650927487,0.003372681281618887
1,6160384,0.35628227194492257,0.0068846815834767644
1,6291456,0.4315352697095436,0.006224066390041493
1,6422528,0.3037974683544304,0.0015822784810126582
1,6553600,0.4047058823529412,0.0
1,6684672,0.46875,0.0026041666666666665
1,6815744,0.2054794520547945,0.0
1,6946816,0.34782608695652173,0.003780718336483932
1,7077888,0.27902946273830154,0.0034662045060658577
1,7208960,0.3212520593080725,0.009884678747940691
1,7340032,0.4641255605381166,0.013452914798206279
2,131072,0.9875,0.0125
2,262144,0.9420289855072463,0.057971014492753624
2,393216,0.11978465679676985,0.009421265141318977
2,524288,0.5387840670859538,0.012578616352201259
2,655360,0.2745961820851689,0.0014684287812041115
2,786432,0.42700729927007297,0.014598540145985401
2,917504,0.5123152709359606,0.014778325123152709
2,1048576,0.2875722543352601,0.004335260115606936
2,1179648,0.406570841889117,0.018480492813141684
2,1310720,0.4728132387706856,0.0
2,1441792,0.4648910411622276,0.002421307506053269
2,1572864,0.24593128390596744,0.009041591320072333
2,1703936,0.3983903420523139,0.002012072434607646
2,1835008,0.33278955954323003,0.004893964110929853
2,1966080,0.36741767764298094,0.008665511265164644
2,2097152,0.4318181818181818,0.008264462809917356
2,2228224,0.32401315789473684,0.003289473684210526
2,2359296,0.41299303944315546,0.0
2,2490368,0.480225988700565,0.0
2,2621440,0.2216117216117216,0.005494505494505495
2,2752512,0.384765625,0.00390625
2,2883584,0.3042071197411003,0.009708737864077669
2,3014656,0.40235690235690236,0.003367003367003367
2,3145728,0.46808510638297873,0.00851063829787234
3,131072,0.9875,0.0125
3,262144,0.9554455445544554,0.04455445544554455
3,393216,0.13049267643142476,0.014647137150466045
3,524288,0.5334773218142549,0.01079913606911447
3,655360,0.25834542815674894,0.010159651669085631
3,786432,0.4251824817518248,0.010948905109489052
3,917504,0.5404761904761904,0.004761904761904762
3,1048576,0.28111273792093705,0.0029282576866764276
3,1179648,0.42505133470225875,0.014373716632443531
3,1310720,0.42892156862745096,0.0
3,1441792,0.4650537634408602,0.0
3,1572864,0.24014336917562723,0.007168458781362007
3,1703936,0.37786259541984735,0.01717557251908397
3,1835008,0.3415841584158416,0.0033003300330033004
3,1966080,0.3799654576856649,0.017271157167530225
3,2097152,0.44646464646464645,0.006060606060606061
3,2228224,0.32148626817447495,0.0016155088852988692
3,2359296,0.39903846153846156,0.0
3,2490368,0.4740932642487047,0.0
3,2621440,0.21946564885496184,0.003816793893129771
3,2752512,0.35852713178294576,0.001937984496124031
3,2883584,0.30392156862745096,0.008169934640522876
3,3014656,0.3644067796610169,0.006779661016949152
3,3145728,0.47186147186147187,0.004329004329004329
3,3276800,0.31329113924050633,0.0
3,3407872,0.3957345971563981,0.0
3,3538944,0.5,0.005154639175257732
3,3670016,0.24952380952380954,0.0
3,3801088,0.34980988593155893,0.0038022813688212928
3,3932160,0.3049403747870528,0.0068143100511073255
3,4063232,0.34098360655737703,0.006557377049180328
3,4194304,0.4344978165938865,0.002183406113537118
3,4325376,0.31528662420382164,0.004777070063694267
3,4456448,0.42475728155339804,0.0
3,4587520,0.4722222222222222,0.0
3,4718592,0.20810313075506445,0.0
3,4849664,0.3485148514851485,0.0039603960396039604
3,4980736,0.3116883116883117,0.003246753246753247
3,5111808,0.36964285714285716,0.0017857142857142857
3,5242880,0.39832285115303984,0.006289308176100629
3,5373952,0.30647709320695105,0.0
3,5505024,0.5056433408577878,0.0
3,5636096,0.4855769230769231,0.0
3,5767168,0.24427480916030533,0.003816793893129771
3,5898240,0.3420074349442379,0.0
3,6029312,0.29401408450704225,0.0017605633802816902
3,6160384,0.33511586452762926,0.0
3,6291456,0.39622641509433965,0.0
3,6422528,0.30128205128205127,0.0016025641025641025
3,6553600,0.46952595936794583,0.0
3,6684672,0.4668304668304668,0.0
3,6815744,0.2553606237816764,0.0
3,6946816,0.32625482625482627,0.0019305019305019305
3,7077888,0.2921739130434783,0.0017391304347826088
3,7208960,0.3184931506849315,0.0017123287671232876
3,7340032,0.45472837022132795,0.004024144869215292
3,7471104,0.3251231527093596,0.003284072249589491
3,7602176,0.4317073170731707,0.0
3,7733248,0.47058823529411764,0.00267379679144385
3,7864320,0.24007220216606498,0.0036101083032490976
3,7995392,0.35040983606557374,0.00819672131147541
3,8126464,0.26359143327841844,0.0016474464579901153
3,8257536,0.3507853403141361,0.005235602094240838
3,8388608,0.4134199134199134,0.004329004329004329
3,8519680,0.2953125,0.0
3,8650752,0.4618937644341801,0.0
3,8781824,0.5031982942430704,0.0
3,8912896,0.3533980582524272,0.0
3,9043968,0.3371868978805395,0.0
3,9175040,0.3006872852233677,0.0
3,9306112,0.32562277580071175,0.0017793594306049821
3,9437184,0.3828125,0.0
3,9568256,0.3134851138353765,0.0
3,9699328,0.4391891891891892,0.0
3,9830400,0.4599483204134367,0.0
3,9961472,0.20594059405940593,0.0019801980198019802
3,10092544,0.328125,0.001953125
3,10223616,0.34602649006622516,0.0
3,10354688,0.3877917414721723,0.0
3,10485760,0.36610878661087864,0.0020920502092050207
3,10616832,0.32585949177877427,0.0029895366218236174
3,10747904,0.42482100238663484,0.0
3,10878976,0.4833759590792839,0.0
3,11010048,0.2084942084942085,0.0
3,11141120,0.37476099426386233,0.0019120458891013384
3,11272192,0.324459234608985,0.0
3,11403264,0.3986820428336079,0.0
3,11534336,0.4426605504587156,0.0022935779816513763
3,11665408,0.2866043613707165,0.0
3,11796480,0.4135514018691589,0.0
3,11927552,0.5169491525423728,0.0
3,12058624,0.2820976491862568,0.0
3,12189696,0.3937007874015748,0.001968503937007874
3,12320768,0.33072100313479624,0.001567398119122257
3,12451840,0.39783001808318263,0.0018083182640144665
3,12582912,0.3927038626609442,0.0
3,12713984,0.27993779160186627,0.006220839813374806
3,12845056,0.4489795918367347,0.0
3,12976128,0.4801980198019802,0.0
3,13107200,0.266260162601626,0.0
3,13238272,0.36767317939609234,0.0
3,13369344,0.3584558823529412,0.0
3,13500416,0.30344827586206896,0.0
3,13631488,0.35714285714285715,0.004201680672268907
3,13762560,0.2800658978583196,0.0
3,13893632,0.4050925925925926,0.0
3,14024704,0.5203252032520326,0.0027100271002710027
3,14155776,0.2176360225140713,0.001876172607879925
3,14286848,0.3521400778210117,0.0019455252918287938
3,14417920,0.29900332225913623,0.0049833887043189366
3,14548992,0.32105263157894737,0.0
3,14680064,0.39514348785871967,0.0
