attempt,collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean,train/extrinsic_reward_mean,train/icm_loss_forward,train/icm_loss_inverse,train/icm_intrinsic_reward_mean
0,131072,,,,,0.03865794837474823,0.1384148746728897,-0.12580962479114532,-0.02850285731256008,-0.07947182655334473,0.0013542097294703126,2.1994504928588867,0.0013296282850205898
0,262144,-0.017407888546586037,0.9920833333333333,262144,0.0004991666666666666,,,,,,,,
0,262144,,,,,0.09142525494098663,0.03281320258975029,-0.06808898597955704,-0.0026039481163024902,0.002822376787662506,0.0004882616922259331,2.194758892059326,0.00048065398004837334
0,393216,-0.0264594666659832,0.988125,393216,0.00049875,,,,,,,,
0,393216,,,,,0.05973080173134804,0.03829680755734444,-0.0720030888915062,-0.1317642778158188,-0.08703160285949707,0.00020994299848098308,2.199202537536621,0.00020734916324727237
0,524288,0.016934916377067566,0.9841666666666666,524288,0.0004983333333333333,,,,,,,,
0,524288,,,,,0.016888514161109924,0.02496921643614769,-0.12237170338630676,-0.11870065331459045,-0.013074520044028759,9.081104508368298e-05,2.197035551071167,8.904439164325595e-05
0,655360,-0.01459328643977642,0.9802083333333333,655360,0.0004979166666666666,,,,,,,,
0,655360,,,,,0.23866257071495056,0.02833927795290947,-0.16909633576869965,-0.10070160031318665,0.06686533242464066,4.927307236357592e-05,2.198232412338257,4.954918404109776e-05
0,786432,0.013766730204224586,0.97625,786432,0.0004974999999999999,,,,,,,,
0,786432,,,,,0.060883745551109314,0.022094521671533585,-0.17870643734931946,-0.2113075852394104,-0.06078585237264633,3.1557170586893335e-05,2.19580078125,3.1705727451480925e-05
0,917504,0.012031907215714455,0.9722916666666667,917504,0.0004970833333333332,,,,,,,,
0,917504,,,,,0.059068650007247925,0.041400156915187836,-0.1919432282447815,-0.26038193702697754,-0.05376330763101578,2.072212919301819e-05,2.2001845836639404,2.2031832486391068e-05
0,1048576,-0.010593628510832787,0.9683333333333334,1048576,0.0004966666666666665,,,,,,,,
0,1048576,,,,,0.07294512540102005,0.026586418971419334,-0.2122296392917633,-0.14773248136043549,0.044074758887290955,2.006273098231759e-05,2.197852611541748,1.9861789041897282e-05
0,1179648,0.007876405492424965,0.964375,1179648,0.0004962499999999998,,,,,,,,
0,1179648,,,,,0.12375298887491226,0.01934031769633293,-0.25828373432159424,-0.36317285895347595,-0.11780057847499847,1.9534147213562392e-05,2.1983206272125244,1.8353568520979024e-05
0,1310720,0.019050681963562965,0.9604166666666667,1310720,0.0004958333333333332,,,,,,,,
0,1310720,,,,,0.17933601140975952,0.040743984282016754,-0.1937991827726364,-0.25146132707595825,-0.033924393355846405,0.0006594115984626114,2.179694890975952,0.0006860953872092068
0,1441792,0.019808493554592133,0.9564583333333333,1441792,0.0004954166666666665,,,,,,,,
0,1441792,,,,,0.07130180299282074,0.07638739794492722,-0.17166413366794586,-0.1669653356075287,0.05074276030063629,0.001136281411163509,2.155743360519409,0.0011033571790903807
0,1572864,-0.0030828220769762993,0.9525,1572864,0.0004949999999999998,,,,,,,,
0,1572864,,,,,0.07168884575366974,0.022927725687623024,-0.21653078496456146,-0.1571989208459854,0.05720032751560211,0.00022935334709472954,2.157653331756592,0.00022457925661001354
0,1703936,0.006121591664850712,0.9485416666666666,1703936,0.0004945833333333331,,,,,,,,
0,1703936,,,,,0.05907256528735161,0.01940670982003212,-0.1871900111436844,-0.2315271645784378,-0.039089638739824295,0.000453955348348245,2.15787410736084,0.0004583696136251092
0,1835008,-0.0028564399108290672,0.9445833333333333,1835008,0.0004941666666666664,,,,,,,,
