collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
18481152,0.0,0.0,0.0
18612224,0.0,0.0,0.0
18743296,0.0,0.0,0.0
18874368,7.62939453125e-06,0.0,0.0
19005440,6.103515625e-05,0.0,0.0
19136512,0.0,0.0,0.0
19267584,0.0,0.0,0.0
19398656,0.0,0.0,0.0
19529728,0.0,0.0,0.0
19660800,7.62939453125e-06,0.0,0.0
19791872,0.0,0.0,0.0
19922944,4.672547846889952e-06,0.0,0.0
20054016,3.0517578125e-05,0.0,0.0
20185088,0.0,0.0,0.0
20316160,0.0,0.0,0.0
20447232,0.0,0.0,0.0
20578304,7.62939453125e-06,0.0,0.0
20709376,0.0,0.0,0.0
20840448,0.0,0.0,0.0
20971520,0.0,0.0,0.0
21102592,1.52587890625e-05,0.0,0.0
21233664,4.574063231850117e-06,0.0,0.0
21364736,1.52587890625e-05,0.0,0.0
21495808,0.0,0.0,0.0
21626880,7.62939453125e-06,0.0,0.0
21757952,7.62939453125e-06,0.0,0.0
21889024,0.0,0.0,0.0
22020096,7.62939453125e-06,0.0,0.0
22151168,0.0,0.0,0.0
22282240,0.0,0.0,0.0
22413312,7.62939453125e-06,0.0,0.0
22544384,7.163050122249389e-06,4.775366748166259e-06,0.0
22675456,1.52587890625e-05,0.0,0.0
22806528,0.0,2.288818359375e-05,0.0
22937600,1.52587890625e-05,7.62939453125e-06,0.0
23068672,0.0,7.62939453125e-06,0.0
23199744,7.62939453125e-06,7.62939453125e-06,0.0
23330816,0.0,0.0,0.0
23461888,0.0,1.52587890625e-05,0.0
23592960,0.0,0.0,0.0
23724032,0.0,0.0,0.0
23855104,0.0,0.0,0.0
23986176,0.0,0.0,0.0
24117248,7.62939453125e-06,0.0,0.0
24248320,7.62939453125e-06,0.0,0.0
24379392,7.62939453125e-06,0.0,0.0
24510464,7.62939453125e-06,0.0,0.0
24641536,1.52587890625e-05,0.0,0.0
24772608,7.62939453125e-06,7.62939453125e-06,0.0
24903680,2.288818359375e-05,4.57763671875e-05,0.0
25034752,7.62939453125e-06,2.288818359375e-05,0.0
