collected_frames,env/success_rate,env/failure_rate,env/explosion_rate
262144,0.0,0.0,0.0
393216,0.0,0.0,0.0
655360,0.0,0.0,0.0
786432,0.0,0.0,0.0
917504,0.0,0.0,0.0
1048576,0.3333333333333333,0.0,0.0
1179648,0.5714285714285714,0.0,0.0
1310720,0.0,0.0,0.0
1572864,0.9873417721518988,0.0,0.0
1835008,0.004214963119072708,0.0,0.0
2359296,0.0,0.0,0.0
2490368,0.0,0.0,0.0
2621440,0.0,0.0,0.0
2752512,0.6666666666666666,0.0,0.0
2883584,0.15384615384615385,0.0,0.0
3014656,0.375,0.0,0.0
3145728,0.0,0.0,0.0
3276800,0.0,0.0,0.0
3801088,0.0,0.0,0.0
3932160,0.3333333333333333,0.0,0.0
4063232,0.8780487804878049,0.0,0.0
4194304,0.828125,0.0,0.0
4325376,0.45454545454545453,0.0,0.0
4456448,0.5,0.0,0.0
4587520,0.8,0.0,0.0
4718592,0.002290950744558992,0.0,0.0
4849664,1.0,0.0,0.0
4980736,0.3333333333333333,0.0,0.0
5111808,0.08,0.0,0.0
5242880,0.02040816326530612,0.0,0.0
5373952,0.11320754716981132,0.0,0.0
5505024,0.44565217391304346,0.0,0.0
5636096,1.0,0.0,0.0
5898240,0.0,0.0,0.0
6029312,0.0,0.0,0.0
6160384,1.0,0.0,0.0
6291456,0.3333333333333333,0.0,0.0
6422528,0.0,0.0,0.0
6553600,0.045454545454545456,0.0,0.0
6684672,0.265625,0.0,0.0
6815744,0.75,0.0,0.0
7077888,1.0,0.0,0.0
7208960,1.0,0.0,0.0
7340032,0.0010559662090813093,0.0,0.0
7471104,0.0,0.0,0.0
7733248,0.0,0.0,0.0
7864320,0.0,0.0,0.0
7995392,0.15384615384615385,0.0,0.0
8126464,0.875,0.0,0.0
8257536,0.5,0.0,0.0
8519680,1.0,0.0,0.0
8650752,0.0010695187165775401,0.0,0.0
8781824,0.0,0.0,0.0
9043968,0.0,0.0,0.0
9175040,0.0,0.0,0.0
9306112,0.15555555555555556,0.0,0.0
9437184,0.8285714285714286,0.0,0.0
9568256,0.14285714285714285,0.0,0.0
9699328,0.07692307692307693,0.0,0.0
9830400,0.6666666666666666,0.0,0.0
9961472,0.0021321961620469083,0.0,0.0
10092544,1.0,0.0,0.0
10223616,0.5,0.0,0.0
10354688,0.08333333333333333,0.0,0.0
10485760,0.0,0.0,0.0
10616832,0.40540540540540543,0.0,0.0
10747904,0.9493670886075949,0.0,0.0
10878976,0.75,0.0,0.0
11141120,1.0,0.0,0.0
11272192,0.6666666666666666,0.0,0.0
11403264,0.0,0.0,0.0
11534336,0.0,0.0,0.0
11665408,0.0,0.0,0.0
11796480,0.0,0.0,0.0
11927552,0.3780487804878049,0.0,0.0
12058624,0.9156626506024096,0.0,0.0
12320768,1.0,0.0,0.0
12451840,0.5,0.0,0.0
12582912,0.0010615711252653928,0.0,0.0
12713984,0.0,0.0,0.0
12845056,0.0,0.0,0.0
12976128,0.03225806451612903,0.0,0.0
13107200,0.2653061224489796,0.0,0.0
13238272,0.7678571428571429,0.0,0.0
13369344,0.9069767441860465,0.0,0.0
13500416,0.125,0.0,0.0
13631488,0.2,0.0,0.0
13762560,0.6,0.0,0.0
13893632,0.001081081081081081,0.0,0.0
14286848,0.025,0.0,0.0
14417920,0.16666666666666666,0.0,0.0
14548992,0.71875,0.0,0.0
14680064,0.9848484848484849,0.0,0.0
14811136,0.0,0.0,0.0
14942208,0.2,0.0,0.0
15073280,0.001049317943336831,0.0,0.0
