attempt,collected_frames,grad_contrib/shaping,grad_contrib/joint_ang_from_flat_penalty,grad_contrib/joint_angle_var_penalty,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/clearance,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
0,524288,0.3399686601005521,0.04945409333442519,0.03692065201224039,-0.0050536904084481525,-0.004196634495665977,0.007863129621923821,0.054715889241497936,-0.008477223451873968,-0.0009537229443813387,0.45328655868075635,-0.018307184959156973,0.02080256074907782
0,1048576,0.6789853164221081,0.008773225014365673,0.002189859121881938,-0.0007756766602840401,-0.027404415366419466,0.025551341544108368,-0.002142928430276054,-0.001846016371623855,7.198287744870104e-05,0.25032647144146336,-0.0017731222932792232,-0.0001596444567412105
0,1572864,0.6172615601389141,0.017970241437439735,0.015785072905217187,0.0011421391603433082,0.022447414496544877,0.023760366884162276,0.026935213856435318,-0.0017816165285023864,0.00048779660987932866,0.2683036768868703,0.002029775161271831,0.0020951259344193667
0,2097152,-0.6464956842788779,0.012582380498187816,0.008899248538270657,-0.0032127944550619097,-0.04941385464135289,-0.05677997447505796,0.003407504490536814,-0.0024113245117271744,-0.0029375751328823687,-0.21310825620491072,-0.0007514027731337295,
0,2621440,-0.5461457782437946,0.00151047981823574,0.0018962215274461384,-0.0040228597049157,-0.01223618269133632,-0.02265504114722148,-0.0029733348143650674,5.936144648432202e-05,-0.0015682615847361012,-0.3991050843321084,0.0035325824959509568,0.004294812193405115
0,3145728,-0.46812086714312456,0.029581114963987607,0.023931627114418833,-0.05703985264609792,0.02385962337528847,-0.039113477962798425,0.05025389609187787,-0.002108847545063034,-0.0029068557454906357,0.07890944328059689,-0.014753672683086857,0.2094207214481689
0,3670016,-0.5125460852438458,0.0021253713920845853,0.00041161353125698395,-0.029309786971093228,-0.009252197903372715,-0.02425755783978965,0.002403957101330966,-0.0008196697989377332,-0.0023642058393814353,-0.23620007445586694,-0.010837131316580328,0.1694723486064596
0,4194304,-0.48043021685488096,0.0003393923803517066,0.0007181844505456828,-0.01542202788469651,-0.00643816832570273,-0.022041441544043965,0.0036759530860489475,0.00011660573354449998,-0.00198746479511992,-0.2901246636222799,-0.0037682947077685206,0.17493758661501665
0,4718592,0.385493626923113,0.0016897330504683926,-0.00031336360229515504,0.001997866979873429,0.019678099678416203,0.0013892267824849478,0.008375894874959716,-0.0006733415244695975,0.0003928177997367535,0.3996790082490566,-0.007069317118401106,0.1732477034167251
0,5242880,-0.14058264734158182,0.024649324219996625,0.031906712024938534,0.016126539808652005,0.09871155791016567,-0.202235176615884,0.04169086551254208,0.0006304351459113409,-0.0151093588781282,-0.18493503365410136,0.003662319499920778,-0.23976002938817761
0,5767168,-0.40625167599936923,-0.0026793499089556453,-0.0028713609811901325,-0.00812126497948753,-0.007496610928909837,-0.01088951224889347,-0.004686026183349,-0.001165602802814628,-0.00048075946329587094,-0.4313969081775904,0.027279525481268305,0.09668140284487596
0,6291456,0.23757735057138343,-0.0045220033204705174,0.004463367696721416,-0.050345089530921795,0.0004979616812894614,-0.023610922568674104,-0.01034194673412017,0.0006847484861476264,0.00035190427852752624,0.48045431499052116,-0.03392973392913396,-0.15322065621208883
0,6815744,0.20451189308311837,0.006577810224508919,0.007728349163312592,0.01845177513234167,0.022914381233232677,-0.02156828570732753,0.006302717742020717,0.0010669479392609214,-0.0004133299656154228,0.4658103882916521,0.006762843198614731,-0.23789127831899434
2,4718592,0.4720976104506897,0.001655576130737001,0.0008617477628712789,0.00811853137104479,0.015137010789960926,0.010349610747198873,0.004466235922765094,-0.00031485812029307867,0.0003529074577026062,0.4452283056732398,0.001058819314589313,0.040358786258907514
2,5242880,-0.4550860034547595,-0.005292802232340229,-0.005306207763339212,-0.0063669007944793425,-0.0163392565867935,-0.008394402682181556,-0.004451748219848559,8.07848207485387e-05,-0.0006711225846868484,-0.3740663682632665,0.005771053018318336,0.11817334957923781
2,5767168,-0.35470354733138715,0.005396342697598112,0.006686397417511888,0.008483186628214854,0.05073846198796479,0.018375964146486564,0.026351328972722743,0.0005795610587451789,0.005286851290825385,-0.4193751993613857,0.017824936747880413,-0.08619822235927725
2,6291456,0.3757531425337716,0.00297896935866312,-0.0024611515016161652,0.006957572175349046,0.015644929568769977,0.03447155908130719,0.0038827790801586447,-0.0012635990867603056,0.008347290121247141,0.5005784476327971,-0.003336089893069714,-0.044324469966489914
2,6815744,-0.14118786365635935,-0.0012196009040367278,-0.005429140725245734,-0.007817230886086391,-0.028571609758392836,0.0569641614387848,0.01917195079165473,0.006545045610913843,-0.0002986190203021716,-0.1993324080296533,0.030765762800581176,-0.502696606377989
2,7340032,-0.36463540264362876,-0.001368569017839815,0.000603426031802541,-0.01800424836979814,0.004439706328075355,-0.02066486171554594,0.0027383825815819928,0.001274109029687384,0.0008434256875613053,-0.5323947969817049,-0.007884243611065971,-0.04514882800170786
2,7864320,-0.0660939815964605,-0.014800476981789447,-0.014404138427097663,-0.04241734960704159,-0.029654516196784584,-0.023695884889417956,-0.019972529710046087,0.00044843564385537354,-0.0037948657826512534,-0.35211737407917454,0.035929615086186376,-0.3966708319994946
2,8388608,0.16146585644968553,0.0001037009999333743,0.000331309908319795,-0.009683921662351689,0.011321465742052828,0.029878739117799015,0.011974635255042207,-0.002055382463183302,-0.005666747685172213,0.436518952474587,0.010751248128676245,-0.32024804011319685
2,8912896,0.32163924289156104,-0.0026133079989621795,0.0019659417492803514,0.009691144726572416,0.0009119299379780045,-0.013527257198861668,-0.009272920010431791,0.0019915780963197646,-0.0017127006108873786,0.2840381295168995,0.016926905210289556,-0.33570894205195634
2,9437184,-0.36646247339000276,-0.006265959424035312,-0.007513867925769766,-0.02130177043144448,-0.0413878177981124,0.0038090841761302422,-0.013962348619376792,4.099533037650571e-05,0.0019551159882947532,-0.4624724168460705,-0.0005154752881469929,-0.07431267478223949
2,9961472,0.16332057489148458,0.006045978253627689,0.005992643135261196,0.0358162654145726,0.00730528662577553,0.08891100659171375,0.02182712233024675,0.0026590939104612055,0.005225135253310422,0.009152566326411073,-0.025928190471572864,0.6278161367955624
2,10485760,-0.03147112156444231,-0.008605918972517149,-0.002230362953654748,-0.13429274530045038,0.025599020525487345,0.03324446071372335,-0.03692517239411909,-0.004176014251439888,-0.007142252293198543,-0.06649913834119044,-0.021034283206782276,-0.6287795094829944
2,11010048,-0.3025302746392294,0.0009846243838082063,-0.0013724838357166652,0.03593563148648169,0.0219350566140102,-0.0014219610517264636,0.0032516293647171486,-0.00022721971756510013,0.004014147119664075,-0.3962181236875083,-0.018438399739777317,-0.21367044835979546
2,11534336,-0.13903566012467283,0.002519565260512596,0.003415858632041091,0.032389820795947016,-0.011213566072989813,0.002800868223984101,0.009682375544257993,0.0010140035472666407,0.002371027584093677,-0.5114465370709618,0.00415815851779612,-0.27995255862547636
2,12058624,-0.25966214435578056,0.002626916834897147,0.003607842918926251,-0.027386188432554612,0.00019066934479974648,-0.0018082778315982942,0.018423546321506116,-0.00026831616611995183,0.002486430350175407,-0.3459358554201351,0.007745387454638019,-0.3298584245688688
2,12582912,-0.1833606212277443,-0.0046881819006394255,-0.004197521396240814,-0.06255880363817648,0.007408103114560673,0.02057046987773713,0.003523809912746274,-0.0011340217856046517,0.0008288444821454048,-0.3187687189665088,0.00959714001935524,-0.38336376367854075
2,13107200,-0.4382216327070063,-0.006066771696597809,-0.0015942204615541323,0.023616788951040465,0.003696863307679911,0.0352033753990453,0.0029211840857644184,0.0032343950735925974,0.004724237847330153,-0.28412191502399314,0.03911542889492861,-0.15748318655146715
