attempt,collected_frames,var_decomp/shaping,var_decomp/joint_ang_from_flat_penalty,var_decomp/joint_angle_var_penalty,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/clearance,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
0,524288,1.691328525543213,-0.002674049697816372,-0.005351726897060871,-0.0045122127048671246,-0.05814667418599129,-0.019719967618584633,-0.013370907865464687,-0.004568155389279127,0.0006593301659449935,2.961374521255493,-0.0019151427550241351,0.0264594629406929
0,1048576,1.8683370351791382,0.007295604329556227,-0.00331492954865098,-0.0011430695885792375,-0.05075940862298012,0.0545978918671608,-0.012132784351706505,-0.0026754688005894423,0.0011880495585501194,1.266701102256775,0.013523845933377743,-0.0005397794884629548
0,1572864,2.328505754470825,0.013217134401202202,0.0041407933458685875,0.0018825094448402524,0.045753948390483856,0.09770432114601135,0.03320866450667381,-0.0032524114940315485,0.003686941461637616,1.4200328588485718,-0.001035714172758162,-0.0007915220339782536
0,2097152,2.3656246662139893,0.006578595843166113,0.00022505040396936238,0.005088167730718851,0.06796092540025711,0.09957285970449448,0.02486346662044525,-0.0016589383594691753,0.003697501728311181,1.480047583580017,0.0019687097519636154,
0,2621440,2.3195106983184814,0.006598862819373608,0.00045884339488111436,0.011346420273184776,0.05629170313477516,0.08928704261779785,0.027963826432824135,-0.0014923630515113473,0.004222519230097532,1.6012725830078125,0.0001969889272004366,-0.006083396263420582
0,3145728,2.2651686668395996,0.006831667385995388,0.0027281383518129587,0.011349494569003582,0.0671023353934288,0.09013006836175919,0.02337907813489437,-0.0010210878681391478,0.004240762908011675,1.6530859470367432,0.0007764064357616007,-0.017957838252186775
0,3670016,2.218461751937866,0.005176304839551449,0.00024715720792301,0.025532111525535583,0.05885070934891701,0.09498735517263412,0.015436075627803802,-0.00043152656871825457,0.005477567203342915,1.6487977504730225,0.007721042726188898,-0.047654058784246445
0,4194304,2.1416759490966797,0.004404036793857813,-3.220130383851938e-05,0.01889200694859028,0.056377965956926346,0.09485843032598495,0.017195336520671844,-0.0017602859297767282,0.004796306136995554,1.6621791124343872,0.007245223503559828,-0.07079681754112244
0,4718592,2.301997661590576,0.0033674139995127916,-0.0023512481711804867,0.028517356142401695,0.051342736929655075,0.10304685682058334,0.010979467071592808,-0.0010929375421255827,0.005708680488169193,1.8166790008544922,0.003294209484010935,-0.13281673192977905
0,5242880,2.010103225708008,0.007235085591673851,0.00544060580432415,0.023509228602051735,0.062277790158987045,0.05856461077928543,0.01149203535169363,-0.0015868861228227615,0.003874115878716111,1.8417270183563232,-0.0019989185966551304,-0.037130407989025116
0,5767168,1.985385775566101,0.0018284134566783905,-0.003246616804972291,0.03353361785411835,0.03482765331864357,0.08423999696969986,0.007756749168038368,-0.0007656700327061117,0.005296709015965462,1.8062248229980469,0.01933170109987259,-0.060708481818437576
0,6291456,1.749513030052185,0.0009166822419501841,0.00011264235217822716,-0.009510091505944729,-0.0004854579165112227,0.0702502429485321,-0.007149467710405588,0.0012757634976878762,0.002820555819198489,1.9795591831207275,-0.0025633974000811577,0.30498751997947693
0,6815744,1.1499922275543213,-0.003547948319464922,-0.0015932475216686726,0.0005555450916290283,-0.0007333139656111598,0.054006773978471756,-0.014293027110397816,0.0008356686448678374,0.004499068018049002,2.0020864009857178,0.03169704228639603,0.7593801617622375
2,4718592,2.282275915145874,0.004327044356614351,-0.0003173553559463471,0.03133929520845413,0.04645152762532234,0.10205882042646408,0.007368046324700117,-0.0013820708263665438,0.006027450785040855,1.8899359703063965,0.0023174267262220383,-0.12947151064872742
2,5242880,2.3207058906555176,0.0055673569440841675,-0.0003144665388390422,0.0307504553347826,0.027476392686367035,0.09561830013990402,-0.0025883230846375227,-0.0008693038253113627,0.008270006626844406,2.3360142707824707,0.0017456341302022338,0.0728958323597908
2,5767168,1.7248790264129639,0.0014968751929700375,-0.002476960653439164,0.02910606376826763,0.02094423957169056,0.07323399931192398,0.0007664022268727422,-0.0018179381731897593,0.005092911422252655,1.9393069744110107,-0.009224100038409233,0.3331102430820465
2,6291456,1.080845832824707,0.0013005508808419108,-0.0043657151982188225,0.02038964442908764,0.01832599937915802,0.03884062543511391,-0.013628308661282063,0.0008493253844790161,0.009971258230507374,1.6742557287216187,0.0025082402862608433,0.6139309406280518
2,6815744,0.9670465588569641,0.0037427200004458427,0.0004454916052054614,-0.007288382854312658,-0.002812419319525361,0.060540199279785156,-0.006750382017344236,-0.0021701441146433353,-0.00545928068459034,1.4845664501190186,0.0036131932865828276,1.071592092514038
2,7340032,1.1752568483352661,-0.005666695069521666,-0.004725811071693897,-0.017815828323364258,-0.018249696120619774,0.030766498297452927,0.0036407492589205503,-0.0005372808082029223,0.004570505116134882,2.1295268535614014,0.03489993140101433,1.0082991123199463
2,7864320,1.121179223060608,0.005012919660657644,0.0025876909494400024,0.010629924014210701,0.0018879445269703865,0.047926511615514755,-0.026190539821982384,0.001448130584321916,-0.0014176786644384265,1.9428128004074097,0.0261512640863657,1.329552173614502
2,8388608,0.7844669222831726,0.0020529073663055897,0.0024825790897011757,0.02066982351243496,0.06490661203861237,0.04421449452638626,0.009543920867145061,1.3413136002782267e-05,0.006408819928765297,1.9358998537063599,-0.030616896227002144,1.2163128852844238
2,8912896,0.8764127492904663,-0.002860595239326358,-0.0010954254539683461,0.000428626750363037,0.013517023995518684,0.008209751918911934,-0.00799808744341135,0.004751932807266712,5.893735578865744e-05,2.0748255252838135,0.005184746813029051,1.6285966634750366
2,9437184,2.0526740550994873,0.004387660883367062,-0.004912377335131168,-0.015231957659125328,-0.026882926002144814,0.11813167482614517,-0.027184786275029182,-0.0013540656073018909,0.007531065959483385,2.295436382293701,-0.0044795977883040905,0.6332843899726868
2,9961472,1.1025699377059937,0.006951967719942331,0.0024127706419676542,0.03549116104841232,0.014324926771223545,0.08042622357606888,-0.00587943522259593,-0.0034798618871718645,0.0035839234478771687,1.857134461402893,0.004344547633081675,2.6375205516815186
2,10485760,1.0646930932998657,-0.0039020993281155825,-0.008502272889018059,0.02597322314977646,0.004951847717165947,0.005636417772620916,-0.013090596534311771,0.0007251983624882996,-0.0008724182262085378,2.2314889430999756,-0.005246866028755903,1.9924674034118652
2,11010048,1.3741455078125,-0.0003757356898859143,-0.0039574094116687775,0.010061643086373806,0.020145008340477943,-0.0009231381118297577,-0.02301519550383091,0.0009017543052323163,-0.0005027410807088017,2.68259859085083,-0.0014869837323203683,1.5588151216506958
2,11534336,1.0972577333450317,0.0021671252325177193,0.0030074340756982565,0.02264551632106304,-0.004687754902988672,0.02562907338142395,-0.03326038271188736,0.0025649541057646275,0.006331327836960554,2.3325533866882324,0.022164102643728256,2.315281391143799
2,12058624,1.3540071249008179,0.0025861100293695927,-0.00015031143266241997,-0.008932753466069698,-0.02945679798722267,0.059502921998500824,-0.03286297991871834,0.002696534153074026,0.003175535472109914,2.1293654441833496,-0.023287631571292877,2.034503221511841
2,12582912,1.603314757347107,0.0007497126935049891,-0.00537486094981432,-0.025006061419844627,-0.02478167787194252,0.042377665638923645,-0.0407039076089859,0.004459058400243521,-0.0015105229103937745,2.318295478820801,0.0035305891651660204,1.7118223905563354
