attempt,collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/final_clip_fraction,train/final_kl_approx,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/step_penalty,train/action_bonus_coef,train/epochs_run,train/stopped_on_kl
0,524288,-0.00376852392219007,-0.1430811882019043,-0.13931266427971423,-0.09138503670692444,-16.072418212890625,2.293249901384115,-0.027752215464715846,-0.048392944037914276,16.060949236154556,0.014521119854180142,0.23825454711914062,0.2607421875,0.013082247227430344,-0.09138503670692444,3.6294682025909424,0.43513453006744385,0.0005022247110936408,0.0016967519827573916,-0.05991381120045124,16.29043388277351,,
0,1048576,0.06594344228506088,-0.23792627453804016,-0.30386971682310104,0.7795078158378601,-16.067262649536133,1.9332180507481098,-0.02755155429986189,-0.048283133655786514,16.016978099942207,0.015325886808568612,0.23867034912109375,0.24609375,0.015280310995876789,0.7795078158378601,3.1584131717681885,0.4660019874572754,0.0005015062208059533,0.0016943245836404282,-0.060338731847262954,16.29043388277351,,
0,1572864,0.062026068568229675,0.36423569917678833,0.30220963060855865,0.4546506404876709,-16.008445739746094,1.79121832549572,-0.022720983819453977,-0.0481315478682518,15.945400670170784,0.012771109668392455,0.2086334228515625,0.21142578125,0.011686324141919613,0.4546506404876709,2.995657205581665,0.5203298330307007,0.0005007877305182656,0.0016918971845234648,-0.06076365249407466,16.29043388277351,,
0,2097152,0.04767981544137001,0.8969910144805908,0.8493111990392208,-0.4683007597923279,-15.94994068145752,1.9022651221603155,-0.016686241815477842,-0.047926194965839386,15.864862337708473,0.010815111469128169,0.16904067993164062,0.185546875,0.011373219080269337,-0.4683007597923279,3.169076681137085,1.1158467531204224,0.000500069240230578,0.0016894697854065014,-0.06118857314088637,16.29043388277351,,
0,2621440,0.06376733630895615,0.6674144268035889,0.6036470904946327,0.13963112235069275,-15.872770309448242,2.300948567688465,-0.013395978527114494,-0.04764808714389801,15.773561879992485,0.009916790288116317,0.1505126953125,0.14453125,0.005709238350391388,0.13963112235069275,3.5961713790893555,1.2522679567337036,0.0004993507499428904,0.001687042386289538,-0.06161349378769809,16.29043388277351,,
0,3145728,0.04443412274122238,0.9624717235565186,0.9180376008152962,-0.13928669691085815,-15.775318145751953,2.3696006275713444,-0.014010673337907065,-0.04710947722196579,15.654152110219002,0.010348870036978042,0.15335845947265625,0.181396484375,0.006927070207893848,-0.13928669691085815,3.7909319400787354,1.370721697807312,0.0004986322596552028,0.0016846149871725747,-0.0620384144345098,16.29043388277351,,
0,3670016,0.008841045200824738,0.5246846675872803,0.5158436223864555,-0.6709151268005371,-15.631986618041992,2.7312095873057842,-0.011601678765146062,-0.04665306210517883,15.499797284603119,0.00898405650514178,0.13399505615234375,0.149658203125,0.008903858251869678,-0.6709151268005371,4.459943771362305,1.9615380764007568,0.0004979137693675151,0.0016821875880556113,-0.062463335081321514,16.29043388277351,,
0,4194304,0.07064718753099442,0.4451514482498169,0.3745042607188225,-0.35189127922058105,-15.50106430053711,3.0273754000663757,-0.010386769483375247,-0.046287648379802704,15.36226549744606,0.00931134158236091,0.1297760009765625,0.14599609375,0.011114884167909622,-0.35189127922058105,4.806015491485596,1.5819731950759888,0.0004971952790798275,0.001679760188938648,-0.06288825572813322,16.29043388277351,,
0,4718592,0.07492999732494354,-0.0302153080701828,-0.10514530539512634,0.18228939175605774,-15.356263160705566,3.219137791544199,-0.010455027639181935,-0.04588820040225983,15.204885825514793,0.009857672132056905,0.13561630249023438,0.136962890625,0.01098326314240694,0.18228939175605774,5.015394687652588,1.1007333993911743,0.0004964767887921399,0.0016773327898216845,-0.06331317637494493,16.29043388277351,,
0,5242880,0.09101827442646027,-0.5992743968963623,-0.6902926713228226,0.44809797406196594,-15.195987701416016,3.4759625047445297,-0.008463744743494317,-0.04509340971708298,15.051873072981834,0.008993241466669133,0.12678146362304688,0.15673828125,0.009023820981383324,0.44809797406196594,5.663013935089111,2.7023212909698486,0.0004957582985044523,0.0016749053907047212,-0.06373809702175665,16.29043388277351,,
