attempt,collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
0,524288,0.000179290771484375,5.340576171875e-05,0.0
0,1048576,4.9591064453125e-05,9.5367431640625e-06,0.0
0,1572864,9.5367431640625e-06,0.0,0.0
0,2097152,0.0,0.0,0.0
0,2621440,1.9073486328125e-06,0.0,0.0
0,3145728,0.0,0.0,0.0
0,3670016,3.814697265625e-06,0.0,0.0
0,4194304,3.814697265625e-06,3.814697265625e-06,0.0
0,4718592,0.0,5.7220458984375e-06,0.0
0,5242880,6.274642231308411e-06,8.670414719626168e-05,0.0
0,5767168,9.5367431640625e-06,3.4332275390625e-05,0.0
0,6291456,2.09808349609375e-05,6.4849853515625e-05,0.0
0,6815744,1.9073486328125e-05,8.96453857421875e-05,0.0
2,4718592,1.71661376953125e-05,4.76837158203125e-05,0.0
2,5242880,1.4260550525700934e-05,0.0001756899824766355,0.0
2,5767168,1.52587890625e-05,8.392333984375e-05,0.0
2,6291456,2.86102294921875e-05,8.392333984375e-05,0.0
2,6815744,4.38690185546875e-05,0.0001220703125,0.0
2,7340032,2.86102294921875e-05,0.00012969970703125,0.0
2,7864320,3.0517578125e-05,0.000171661376953125,0.0
2,8388608,2.09808349609375e-05,0.0001735687255859375,0.0
2,8912896,3.62396240234375e-05,0.0001926422119140625,0.0
2,9437184,1.5401394567757008e-05,0.0002532673773364486,0.0
2,9961472,2.09808349609375e-05,0.0002040863037109375,0.0
2,10485760,3.24249267578125e-05,0.0002651214599609375,0.0
2,11010048,2.288818359375e-05,0.0002384185791015625,0.0
2,11534336,2.6702880859375e-05,0.0002689361572265625,0.0
2,12058624,3.24249267578125e-05,0.000263214111328125,0.0
2,12582912,3.4332275390625e-05,0.0002956390380859375,0.0
2,13107200,4.38690185546875e-05,0.0002880096435546875,0.0
2,13631488,2.2246458820093457e-05,0.0002675279278621495,0.0
2,14155776,4.57763671875e-05,0.000278472900390625,0.0
2,14680064,3.4332275390625e-05,0.000301361083984375,0.0
3,13107200,2.09808349609375e-05,0.000270843505859375,0.0
3,13631488,1.311970648364486e-05,0.0002874926985981308,0.0
3,14155776,2.288818359375e-05,0.000339508056640625,0.0
3,14680064,2.47955322265625e-05,0.000335693359375,0.0
3,15204352,3.4332275390625e-05,0.0003528594970703125,0.0
3,15728640,3.814697265625e-05,0.00032806396484375,0.0
3,16252928,3.4332275390625e-05,0.0003662109375,0.0
3,16777216,4.00543212890625e-05,0.000370025634765625,0.0
3,17301504,2.6702880859375e-05,0.00032806396484375,0.0
3,17825792,1.4830972546728972e-05,0.0003297039281542056,0.0
3,18350080,3.24249267578125e-05,0.0003681182861328125,0.0
3,18874368,3.62396240234375e-05,0.000396728515625,0.0
3,19398656,2.47955322265625e-05,0.0003681182861328125,0.0
3,19922944,3.24249267578125e-05,0.0004138946533203125,0.0
3,20447232,4.1961669921875e-05,0.00038909912109375,0.0
3,20971520,3.814697265625e-05,0.0004520416259765625,0.0
3,21495808,4.1961669921875e-05,0.000392913818359375,0.0
3,22020096,2.5668990946261682e-05,0.0003616475613317757,0.0
3,22544384,3.24249267578125e-05,0.000431060791015625,0.0
3,23068672,4.1961669921875e-05,0.000446319580078125,0.0
3,23592960,4.57763671875e-05,0.0004253387451171875,0.0
3,24117248,3.4332275390625e-05,0.000476837158203125,0.0
3,24641536,4.38690185546875e-05,0.0004425048828125,0.0
3,25165824,4.57763671875e-05,0.0004119873046875,0.0
3,25690112,4.57763671875e-05,0.0004291534423828125,0.0
3,26214400,4.6774605724299064e-05,0.0003679222035630841,0.0
