attempt,collected_frames,rew/shaping,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/step_penalty,rew/terminal_bonus,rew/total_reward
0,524288,2.139532032655552,-0.05545197488117992,-0.05312695616521523,-0.0016142199231836685,-0.1812420345740975,-0.019307846436959153,-0.190692894764652,-0.0009528003687933051,-0.0006668693844158469,-0.005824088924441639,0.7065900452435017,-0.05948888882994652,-0.006969079819100443,2.2702595551963896
0,1048576,2.269577476195991,-0.05579931736974686,-0.05347081057698233,-0.0017276851880438926,-0.18233593802142423,-0.02236690894392268,-0.1906113640870899,-0.0005191689730708049,-0.0006025092590959957,0.4811087174966815,0.7059146323008463,-0.05991381034255028,-0.0017708317573124077,2.8873151494190097
0,1572864,2.2755655623041093,-0.05645438672763703,-0.0531208264947054,-0.0017996739521790595,-0.1853304588876199,-0.03124010223291407,-0.19131122453109128,-0.0004863392546212708,-0.0009883617536559086,0.8781642781104892,0.7103992657503113,-0.06033873185515404,-0.000285618025372969,3.282740654889494
0,2097152,2.273319597588852,-0.05691772806676454,-0.05341728844541649,-0.0026559320364398786,-0.189839515282074,-0.039403048425810994,-0.19296861436305335,-0.0004304835088078107,-0.001260621162998632,1.1760543421842158,0.706926693324931,-0.0607636533677578,0.0,3.5586437615565956
0,2621440,2.3124969203490764,-0.056677464992390014,-0.05320697178831324,-0.0046037684612088015,-0.19735721262986772,-0.04568818220013782,-0.19537241432408337,-0.0004967347554156731,-0.00178334388328949,1.4577636637259275,0.7053589352872223,-0.06118857488036156,0.0011782482870330568,3.8604141282849014
0,3145728,2.265745966695249,-0.056581729695608374,-0.053049599100631895,-0.007179502874350874,-0.20620809344109148,-0.0549708488269971,-0.19772083540738095,-0.0005441739494926878,-0.002572549589785922,1.6491228637751192,0.7058406880823895,-0.06161349266767502,0.0066710082173813134,3.9869397873990238
0,3670016,2.1982700873631984,-0.057446226968750125,-0.053460045919564436,-0.012229386409217113,-0.2127787948702462,-0.06680513907485874,-0.1990635481342906,-0.0003941331860914943,-0.0031859353531444867,1.8476793162990361,0.7070018533850089,-0.06203841418027878,0.02459319043555297,4.1101290145888925
0,4194304,2.378099934896454,-0.05698205961743952,-0.05307309498311952,-0.011966845159122386,-0.207759652796085,-0.06918893158399442,-0.19784774833533447,-0.0004174757423243136,-0.003173721383291195,2.176221485249698,0.7080240939976647,-0.06246333569288254,0.04202122418064391,4.64146374585107
0,4718592,2.4087308109737933,-0.05727853263670113,-0.053291725416784175,-0.014422229774027073,-0.2114906551723834,-0.07561629194606212,-0.1989894904108951,-0.00038895609986866475,-0.0035950009389580373,2.4071742373052984,0.7089446127647534,-0.0628882572054863,0.07889242940655095,4.925753452349454
0,5242880,2.402361944783479,-0.05701872530335095,-0.05277996778750094,-0.02002625952991366,-0.2080243035161402,-0.09828059991559712,-0.19794865662697703,-0.0003346871028497844,-0.005152855017058755,2.5962836733087897,0.7092978487489745,-0.06331317871809006,0.08537072004037327,5.090167647227645
0,5767168,2.4642260326072574,-0.05797470109973801,-0.05306398398533929,-0.020678916484030196,-0.20947260348475538,-0.09377839988155756,-0.19800479759578593,-0.0004334638744012409,-0.00457128820107755,2.843468082603067,0.7127475484739989,-0.06373809991055168,0.1269177583999408,5.445416280068457
0,6291456,2.5044815656729043,-0.05745939814369194,-0.05263887556066038,-0.023311490935157053,-0.20793925411999226,-0.10218164163234178,-0.19680495056672953,-0.0003943030327775432,-0.005172924189537298,3.048308813944459,0.7152955044293776,-0.06416301429271698,0.14172087369661313,5.699269523844123
0,6815744,2.52536608139053,-0.057561271445592865,-0.05307016844744794,-0.024502747703081695,-0.20710606544162147,-0.10769956416334026,-0.19554685609182343,-0.0003260986232334062,-0.005406710396073322,3.2069591525942087,0.7156128792557865,-0.06458793571800925,0.15437740708875936,5.8858817191794515
2,4718592,2.5337453563697636,-0.05732692434594355,-0.053404033205879387,-0.019296178393062746,-0.21286745482939295,-0.08677952397688671,-0.19932804147538263,-0.0003745374772847754,-0.0045216465768227465,2.897744892165065,0.7125225379131734,-0.06373809985234402,0.09812291993148392,5.54418483003974
2,5242880,2.4628725722432137,-0.056753314020170365,-0.05299833191202197,-0.021453763934914605,-0.20771949223126285,-0.1143373151862761,-0.19620644746464677,-0.0003234374241465332,-0.006019116047809803,3.0079000336118042,0.71613301592879,-0.06416301429271698,0.1233602825050184,5.589717151597142
2,5767168,2.5447151460684836,-0.05696213927149074,-0.05308767909446033,-0.0261177506945387,-0.21027208358282223,-0.11100260447710752,-0.19673854365828447,-0.0002510373346922279,-0.0055338879224109405,3.2720384770072997,0.716878282953985,-0.06458793574711308,0.15960451204227866,5.968107390217483
2,6291456,2.5965360486879945,-0.05723795346420957,-0.053150439911405556,-0.026031491783214733,-0.21140279868268408,-0.1170228826085804,-0.19580187773681246,-0.0003554433985826222,-0.006287754038112325,3.4934631339274347,0.7172817421378568,-0.06501285663398448,0.1807001174420293,6.25499049667269
2,6815744,2.6393861402757466,-0.0572316295147175,-0.05345741482597077,-0.02897049064267776,-0.20822402587509714,-0.12659717572387308,-0.1945037473051343,-0.0003665994311177201,-0.0061659675566261285,3.7460884670726955,0.716897259815596,-0.06543777883052826,0.1973841605540656,6.557745402678847
2,7340032,2.6794017208740115,-0.057176998096110765,-0.05327359883085592,-0.029724924359470606,-0.20842328303842805,-0.12952787170070224,-0.19336516413022764,-0.0003300017340279737,-0.006705348935611255,3.9385767285712063,0.718733521993272,-0.06586270025582053,0.21169589408964384,6.80297380220145
2,7864320,2.708567712455988,-0.05733896853053011,-0.05295421953633195,-0.030990087489044527,-0.20231489048455842,-0.13496222854882944,-0.1908402643748559,-0.0003525523421501475,-0.006363754707308544,4.092847160995007,0.7139770674984902,-0.06628762054606341,0.2187825804685417,6.990410454571247
2,8388608,2.7441570349037647,-0.057313288598379586,-0.05294267451245105,-0.032372749057685724,-0.20151625893777236,-0.14022662563365884,-0.1905244704685174,-0.00029539096351527405,-0.006483244081209705,4.257315058261156,0.7124862486962229,-0.06671254336833954,0.23260016619315138,7.196819665841758
2,8912896,2.7953885928727686,-0.057133556401822716,-0.052875207642500754,-0.03337240800829022,-0.20208037190604955,-0.14286220644135028,-0.1892428420833312,-0.0003191807813962555,-0.006883101385938062,4.4674824783578515,0.7096783625893295,-0.0671374648809433,0.2501025190867949,7.469097816385329
2,9437184,2.7920507546514273,-0.05695612621639157,-0.051966305920359446,-0.02753203816973837,-0.19242892658803612,-0.14975066797342151,-0.18579110885912087,-0.00035599686361820204,-0.0068449066138782655,4.584419718012214,0.7120920740999281,-0.06756238639354706,0.24917272894163034,7.5970628671348095
2,9961472,2.845730058848858,-0.05753579462179914,-0.052628074190579355,-0.03277611751036602,-0.19716368973604403,-0.15059559940709732,-0.18771813454804942,-0.00023821004640467436,-0.0069693169698439306,4.7769194124266505,0.7091411378933117,-0.06798730045557022,0.26682787350728177,7.843310766853392
