attempt,collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std,action/chunk_step_delta,action/chunk_step_delta_flipper,action/chunk_step_delta_max,action/loc_step_delta,action/loc_step_delta_flipper,action/loc_abs_mean,action/scale_mean,action/sat_frac_099,action/sat_frac_09,action/abs_mean
0,524288,0.0006797002861276269,0.628123939037323,-5.606167542282492e-05,0.6283926367759705,-0.0010867788223549724,0.6278435587882996,-0.0006569242104887962,0.6277154088020325,0.0006157542229630053,0.6279615163803101,-0.0003030813531950116,0.6280338764190674,0.723813533782959,0.7237118482589722,1.9958794116973877,0.0,0.0,0.0,1.0,0.008149465546011925,0.14116477966308594,0.5560310482978821
0,1048576,0.050591159611940384,0.62466961145401,-0.0017194426618516445,0.628115713596344,-0.0015663475496694446,0.6273018717765808,0.004342983476817608,0.6270647644996643,0.0014875289052724838,0.6279014945030212,-0.0031582494266331196,0.6281691193580627,0.7233456969261169,0.723845362663269,1.9957314729690552,0.006816171109676361,0.005250829271972179,0.018522042781114578,0.9984887838363647,0.008032798767089844,0.14066314697265625,0.555611789226532
0,1572864,0.10185210406780243,0.6187632083892822,-0.0005500004626810551,0.6284675002098083,0.0032247579656541348,0.6277194023132324,0.011662278324365616,0.6289508938789368,0.004128708969801664,0.6292763352394104,0.0004230268532410264,0.6289318203926086,0.7222493290901184,0.724743127822876,1.9947948455810547,0.00856867153197527,0.0057754237204790115,0.034458935260772705,0.9983376264572144,0.008254687301814556,0.14155706763267517,0.556638240814209
0,2097152,0.14654767513275146,0.6124330759048462,0.0009153431747108698,0.627882719039917,0.0025205600541085005,0.6271162629127502,0.014965963549911976,0.6271058320999146,0.013666946440935135,0.6301300525665283,0.007424174342304468,0.6265161037445068,0.7199790477752686,0.7238161563873291,1.9968690872192383,0.010854399763047695,0.00802607461810112,0.05230614170432091,0.995999813079834,0.008182844147086143,0.14109739661216736,0.5562150478363037
0,2621440,0.18965651094913483,0.6026517152786255,0.0019651497714221478,0.6254316568374634,0.0022772166412323713,0.6254421472549438,0.01573554426431656,0.6250966191291809,0.013190975412726402,0.6308825612068176,0.009363877587020397,0.6284368634223938,0.7164388298988342,0.7228566408157349,1.9959995746612549,0.01109326258301735,0.008332625031471252,0.06562566012144089,0.9917948246002197,0.0081151332706213,0.14113490283489227,0.5559738874435425
0,3145728,0.22596491873264313,0.5949780941009521,0.005786965601146221,0.6246635317802429,0.0036752743180841208,0.6262692213058472,0.012663464993238449,0.6246892809867859,0.015292131341993809,0.6299402713775635,0.010334327816963196,0.6291424632072449,0.7144720554351807,0.7231740951538086,1.9954222440719604,0.013615737669169903,0.009699646383523941,0.07714559137821198,0.9914035797119141,0.008297920227050781,0.1417287290096283,0.5567049980163574
0,3670016,0.2682947814464569,0.5834744572639465,0.0048959520645439625,0.6261618137359619,0.00716620497405529,0.6263047456741333,0.00845583900809288,0.6244473457336426,0.016855016350746155,0.6312548518180847,0.0166030153632164,0.6298208236694336,0.7120482325553894,0.7230279445648193,1.995628833770752,0.013339638710021973,0.0094292052090168,0.08928927779197693,0.9911894202232361,0.008564631454646587,0.14354483783245087,0.5584263205528259
0,4194304,0.30242598056793213,0.5730689764022827,0.010257992893457413,0.6247897744178772,0.009479079395532608,0.6272886991500854,0.011486463248729706,0.6244487166404724,0.017983948811888695,0.6301982402801514,0.021265268325805664,0.6306631565093994,0.7096975445747375,0.7241464853286743,1.995223045349121,0.015352672897279263,0.011194221675395966,0.10182925313711166,0.9890780448913574,0.008628210052847862,0.14507326483726501,0.5592963695526123
0,4718592,0.33601731061935425,0.5601430535316467,0.009211684577167034,0.6252171397209167,0.007529950700700283,0.6268688440322876,0.010825011879205704,0.6250275373458862,0.01791224628686905,0.6303235292434692,0.01458142139017582,0.6324090957641602,0.70634925365448,0.7239671945571899,1.9963715076446533,0.018266214057803154,0.01166369765996933,0.10942676663398743,0.988419771194458,0.008796056732535362,0.14652030169963837,0.5607123374938965
0,5242880,0.3673996329307556,0.5496931672096252,0.00671064667403698,0.6255202889442444,0.006102975457906723,0.6259298324584961,0.016306072473526,0.6256068348884583,0.01984095200896263,0.6304489374160767,0.016908729448914528,0.6333302855491638,0.7041767835617065,0.7242180705070496,1.9970877170562744,0.020582130178809166,0.014046121388673782,0.11962231248617172,0.9882793426513672,0.009083430282771587,0.14852175116539001,0.5623315572738647
