collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/contact_penalty,rew/terminal_bonus,rew/total_reward
19136512,-0.0007146665038817446,-1.3199093288562835e-05,-0.0035963820810138714,-0.0013275146484375,-0.005651762320667331
19267584,-0.0007042465781523788,-2.647971054869913e-05,-0.0037184814773354447,0.0002593994140625,-0.0041897737851286365
19398656,-0.00074830647190538,-3.806198231615099e-05,-0.003766841851756908,-0.0050506591796875,-0.009603800285731268
19529728,-0.0007745141315353976,-3.3359350005923716e-05,-0.0038956450152909383,-0.0016632080078125,-0.0063667265021649655
19660800,-0.000728649543816573,-2.781739998880539e-05,-0.003953162067773519,-0.002655029296875,-0.007364622924797004
19791872,-0.0007839356367185246,-2.5473462677894076e-05,-0.003981018026024685,-0.002288818359375,-0.007079245364820963
19922944,-0.000771318557781342,-4.0689674747795834e-05,-0.004054085980897071,-0.0006561279296875,-0.005522110301171779
20054016,-0.0007525959854319808,-4.466584114481975e-05,-0.003984588945968426,-0.00433349609375,-0.009115273199313378
20185088,-0.0007855820263102942,-1.2531734270737616e-05,-0.0037196730845607817,-0.001922607421875,-0.00644039425333176
20316160,-0.0007431809185618476,-3.155209009975124e-05,-0.0038898085858818376,0.0010223388671875,-0.0036422027128537593
20447232,-0.0008172999923772295,-3.179836345168496e-05,-0.003767767353565432,-0.003692626953125,-0.008309457314226165
20578304,-0.0008520597107235517,-2.0286718978468343e-05,-0.004093742320037563,-0.0005035400390625,-0.005469628734772414
20709376,-0.0007869784803915536,-2.1507239289064728e-05,-0.004214658058117493,-0.0023345947265625,-0.007357703824709461
20840448,-0.0007991810384737619,-2.229157859545694e-05,-0.0040404817191301845,-0.0023040771484375,-0.00716599451016009
20971520,-0.0007296083454093605,-2.3245565337504104e-05,-0.0039883728059066925,-0.0009307861328125,-0.005671976583926153
21102592,-0.0007685992645747319,-3.107347019692952e-05,-0.003852580060993205,-0.003875732421875,-0.00852784326116307
21233664,-0.0007567587945231935,-1.8513637797923366e-05,-0.0034216307540191337,-0.000701904296875,-0.004898807520930859
21364736,-0.0007475604429600935,-2.85142159199836e-05,-0.0035886382283933926,0.0003509521484375,-0.004013760716588877
21495808,-0.0007235687985485129,-4.182513362138707e-05,-0.0037305949535948457,-0.0032501220703125,-0.007746005783246801
21626880,-0.0006971261796024919,-3.333035179764465e-05,-0.00378356926557899,-0.0004425048828125,-0.004956530700837902
21757952,-0.0007054456668811326,-2.1129323961588398e-05,-0.0037649424084520433,-6.103515625e-05,-0.004552519693334034
21889024,-0.000694883929554635,-2.3968799425233556e-05,-0.003806028567851172,-0.001953125,-0.00647797198189437
22020096,-0.0007779008833495027,-2.0070715535780437e-05,-0.0039337072521448135,-0.0006256103515625,-0.005357253416150343
22151168,-0.0007971129125508014,-2.223606689000235e-05,-0.004011452143458882,-0.0023040771484375,-0.007134841221613897
22282240,-0.0006253330661820655,-8.947025616379278e-06,-0.0033061599315260537,-0.0018768310546875,-0.005817271040541527
22413312,-0.0006893308918733965,-2.3279880689841548e-05,-0.003503227117107599,0.0005645751953125,-0.00365126275937655
22544384,-0.0006924318022356601,-1.991671347667534e-05,-0.0035641860176838236,-0.005157470703125,-0.009434005072762375
22675456,-0.0007056607114463986,-1.9684485124571438e-05,-0.0037916564197075786,-0.0001373291015625,-0.004654330650282645
22806528,-0.0006521525624521018,-1.6425975267964077e-05,-0.0037402245943667367,-0.00201416015625,-0.006422929825930623
22937600,-0.0006275694750002003,-1.6974450637974314e-05,-0.003796920718741603,-0.002685546875,-0.007127011556349316
23068672,-0.0006272813229770691,-2.170333571172023e-05,-0.003751525789994048,0.0004119873046875,-0.003988523202679062
23199744,-0.0006504095058517123,-2.1060227560099065e-05,-0.003729581349034561,-0.0029754638671875,-0.0073764817434494034
23330816,-0.0006302136625890853,-1.329647804126921e-05,-0.0033995818193943705,-0.0013885498046875,-0.005431641848190338
23461888,-0.0007269996845025162,-2.624396527295403e-05,-0.0035246932184236357,0.001922607421875,-0.002355296009227459
23592960,-0.0007780433197694947,-2.7232642963781473e-05,-0.0035953403275925666,-0.0037384033203125,-0.008138986803260195
