collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
49807360,0.0,0.0,0.0
49938432,0.0,0.0,0.0
50069504,0.0,0.0,0.0
50200576,7.62939453125e-06,0.0,0.0
50331648,0.0,0.0,0.0
50462720,0.0,0.0,0.0
50593792,0.0,0.0,0.0
50724864,7.62939453125e-06,0.0,0.0
50855936,0.0,0.0,0.0
50987008,0.0,0.0,0.0
51118080,0.0,0.0,0.0
51249152,7.62939453125e-06,0.0,0.0
51380224,0.0,0.0,0.0
51511296,0.0,0.0,0.0
51642368,0.0,0.0,0.0
51773440,0.0,0.0,0.0
51904512,0.0,0.0,0.0
52035584,7.62939453125e-06,0.0,0.0
52166656,0.0,0.0,0.0
52297728,0.0,0.0,0.0
52428800,0.0,0.0,0.0
52559872,0.0,0.0,0.0
52690944,0.0,0.0,0.0
52822016,0.0,0.0,0.0
52953088,0.0,0.0,0.0
53084160,0.0,0.0,0.0
53215232,0.0,0.0,0.0
53346304,0.0,0.0,0.0
53477376,0.0,0.0,0.0
53608448,0.0,0.0,0.0
53739520,0.0,0.0,0.0
53870592,0.0,0.0,0.0
54001664,0.0,0.0,0.0
54132736,0.0,0.0,0.0
54263808,0.0,0.0,0.0
54394880,0.0,0.0,0.0
54525952,0.0,0.0,0.0
54657024,0.0,0.0,0.0
54788096,0.0,0.0,0.0
54919168,0.0,0.0,0.0
55050240,0.0,0.0,0.0
55181312,0.0,0.0,0.0
55312384,0.0,0.0,0.0
55443456,0.0,7.62939453125e-06,0.0
55574528,0.0,0.0,0.0
55705600,0.0,0.0,0.0
55836672,0.0,0.0,0.0
55967744,0.0,0.0,0.0
56098816,0.0,0.0,0.0
56229888,0.0,0.0,0.0
56360960,0.0,0.0,0.0
56492032,0.0,0.0,0.0
56623104,0.0,0.0,0.0
56754176,0.0,0.0,0.0
56885248,0.0,0.0,0.0
57016320,0.0,0.0,0.0
57147392,0.0,0.0,0.0
57278464,0.0,0.0,0.0
57409536,0.0,0.0,0.0
57540608,0.0,0.0,0.0
57671680,0.0,0.0,0.0
57802752,0.0,0.0,0.0
57933824,0.0,7.35363328313253e-07,0.0
58064896,0.0,0.0,0.0
58195968,0.0,0.0,0.0
58327040,0.0,0.0,0.0
58458112,0.0,0.0,0.0
58589184,0.0,0.0,0.0
58720256,0.0,0.0,0.0
58851328,0.0,0.0,0.0
58982400,0.0,0.0,0.0
59113472,0.0,0.0,0.0
59244544,0.0,0.0,0.0
59375616,0.0,0.0,0.0
59506688,0.0,0.0,0.0
59637760,0.0,0.0,0.0
59768832,0.0,0.0,0.0
59899904,0.0,0.0,0.0
60030976,0.0,0.0,0.0
60162048,0.0,0.0,0.0
60293120,0.0,0.0,0.0
60424192,0.0,7.62939453125e-06,0.0
60555264,0.0,0.0,0.0
60686336,7.62939453125e-06,0.0,0.0
60817408,0.0,0.0,0.0
60948480,7.62939453125e-06,0.0,0.0
