collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean,train/extrinsic_reward_mean,train/icm_loss_forward,train/icm_loss_inverse,train/icm_intrinsic_reward_mean
131072,,,,,0.0012938344152644277,0.03151309862732887,0.6854255199432373,0.6800466179847717,-0.002327702008187771,0.004142404533922672,1.8989481925964355,0.004105825908482075
262144,-0.004234286956489086,0.9966071428571428,262144,0.0004996428571428571,,,,,,,,
262144,,,,,0.14286068081855774,0.031065450981259346,0.5979380011558533,0.7417976260185242,0.12441868335008621,0.012167981825768948,1.883068323135376,0.01213078387081623
393216,-0.027190204709768295,0.9949107142857143,393216,0.0004994642857142857,,,,,,,,
393216,,,,,0.07373104989528656,0.020117558538913727,0.5849402546882629,0.5160412788391113,-0.09612540900707245,0.014403830282390118,2.026909112930298,0.014394178986549377
524288,0.019915692508220673,0.9932142857142857,524288,0.0004992857142857143,,,,,,,,
524288,,,,,0.043022047728300095,0.02944280207157135,0.5999472141265869,0.639634370803833,0.04262981936335564,0.004074304364621639,1.8657587766647339,0.0040660640224814415
655360,-0.017065823078155518,0.9915178571428571,655360,0.0004991071428571428,,,,,,,,
655360,,,,,0.20925840735435486,0.0367729589343071,0.609246551990509,0.8204209208488464,0.21223986148834229,0.013402151875197887,1.983987808227539,0.013375911861658096
786432,0.01328059658408165,0.9898214285714285,786432,0.0004989285714285714,,,,,,,,
786432,,,,,0.03881203010678291,0.014403009787201881,0.5943926572799683,0.5571795701980591,-0.04082184284925461,0.007324339356273413,1.9260811805725098,0.007274458184838295
917504,0.010198231786489487,0.988125,917504,0.00049875,,,,,,,,
917504,,,,,0.1891862452030182,0.038034699857234955,0.5876880288124084,0.5239865779876709,-0.08175098150968552,0.023254847154021263,2.027907371520996,0.02313065715134144
1048576,-0.00985722802579403,0.9864285714285714,1048576,0.0004985714285714285,,,,,,,,
1048576,,,,,0.14179113507270813,0.0727454200387001,0.5754214525222778,0.6124943494796753,0.025714218616485596,0.010028812102973461,1.865286111831665,0.00997923780232668
1179648,0.007244013715535402,0.9847321428571428,1179648,0.0004983928571428571,,,,,,,,
1179648,,,,,0.03724052757024765,0.023002127185463905,0.5829054713249207,0.5445667505264282,-0.0386919341981411,0.009399248287081718,1.8925023078918457,0.009314852766692638
1310720,0.022593267261981964,0.9830357142857142,1310720,0.0004982142857142856,,,,,,,,
1310720,,,,,0.0012354496866464615,0.03677672520279884,0.6267809271812439,0.6354014277458191,0.007301339879631996,0.003104625968262553,1.8895561695098877,0.003083964344114065
1441792,0.013719036243855953,0.9813392857142857,1441792,0.0004980357142857142,,,,,,,,
1441792,,,,,0.001347793615423143,0.02254600264132023,0.627031683921814,0.6242033839225769,0.008470715954899788,0.00322989490814507,1.8750410079956055,0.003181961365044117
1572864,-0.01633067987859249,0.9796428571428571,1572864,0.0004978571428571428,,,,,,,,
1572864,,,,,0.0022734515368938446,0.027073685079813004,0.6199089884757996,0.6173950433731079,0.010668782517313957,0.0031759552657604218,1.8280448913574219,0.0032225220929831266
1703936,0.006680076941847801,0.9779464285714285,1703936,0.0004976785714285713,,,,,,,,
1703936,,,,,0.09597313404083252,0.024166658520698547,0.6121577620506287,0.6280867457389832,0.01557932049036026,0.011123490519821644,1.8337634801864624,0.011035135015845299
1835008,-0.0021223246585577726,0.97625,1835008,0.0004974999999999999,,,,,,,,
1835008,,,,,0.04898512363433838,0.02410902827978134,0.6359493732452393,0.5899172425270081,-0.041046470403671265,0.006412077229470015,1.9324902296066284,0.006309447810053825
1966080,0.001816905802115798,0.9745535714285715,1966080,0.0004973214285714285,,,,,,,,
1966080,,,,,0.0007398976013064384,0.018971683457493782,0.6099857091903687,0.6067698001861572,0.012217792682349682,0.0033069010823965073,1.8726462125778198,0.003267188323661685
2097152,0.007487137336283922,0.9728571428571429,2097152,0.000497142857142857,,,,,,,,
2097152,,,,,0.0020623672753572464,0.02344602718949318,0.6350920796394348,0.6380773782730103,0.007585496641695499,0.003082185285165906,1.80437171459198,0.0030804257839918137
2228224,-0.00798678770661354,0.9711607142857143,2228224,0.0004969642857142856,,,,,,,,
2228224,,,,,0.08850780129432678,0.021862560883164406,0.648789644241333,0.5607448816299438,-0.09805488586425781,0.018823770806193352,1.9748079776763916,0.018798744305968285
2359296,0.027500851079821587,0.9694642857142857,2359296,0.0004967857142857141,,,,,,,,
2359296,,,,,0.06058478355407715,0.023943614214658737,0.6857262849807739,0.741005003452301,0.06967999786138535,0.009313569404184818,1.730202317237854,0.009371016174554825
2490368,0.015022034756839275,0.9677678571428572,2490368,0.0004966071428571427,,,,,,,,
