collected_frames,action/v_mean,action/w_mean,action/front_mean,action/rear_mean
131072,0.5,0.0,-0.00244140625,0.00017547607421875
262144,0.5,0.0,0.00174713134765625,0.00090789794921875
393216,0.5,0.0,-0.00322723388671875,0.0039520263671875
524288,0.5,0.0,0.00514984130859375,0.00379180908203125
655360,0.5,0.0,0.00334930419921875,0.00328826904296875
786432,0.5,0.0,0.00261688232421875,0.00693511962890625
917504,0.5,0.0,0.00807952880859375,0.0014190673828125
1048576,0.5,0.0,-0.00640869140625,0.0039215087890625
1179648,0.5,0.0,0.00092315673828125,0.00315093994140625
1310720,0.5,0.0,0.10578155517578125,0.1230316162109375
1441792,0.5,0.0,0.0065155029296875,0.00768280029296875
1572864,0.5,0.0,0.0095367431640625,0.0033111572265625
1703936,0.5,0.0,0.00605010986328125,0.0049285888671875
1835008,0.5,0.0,0.006317138671875,0.0032958984375
1966080,0.5,0.0,-0.008636474609375,0.0072021484375
2097152,0.5,0.0,0.0103607177734375,0.00817108154296875
2228224,0.5,0.0,0.01328277587890625,0.01192474365234375
2359296,0.5,0.0,0.5933456420898438,0.8163070678710938
2490368,0.5,0.0,-0.01892852783203125,0.00519561767578125
2621440,0.5,0.0,0.00890350341796875,0.0058441162109375
2752512,0.5,0.0,0.0085906982421875,0.00732421875
2883584,0.5,0.0,-0.0028533935546875,0.003509521484375
3014656,0.5,0.0,0.02069091796875,0.00954437255859375
3145728,0.5,0.0,-0.00041961669921875,0.017669677734375
3276800,0.5,0.0,0.0049591064453125,0.01709747314453125
3407872,0.5,0.0,0.5591888427734375,0.6346588134765625
3538944,0.5,0.0,0.02536773681640625,0.0143890380859375
3670016,0.5,0.0,0.014556884765625,0.02843475341796875
3801088,0.5,0.0,0.01285552978515625,0.009063720703125
3932160,0.5,0.0,-0.0023193359375,0.0185546875
4063232,0.5,0.0,-0.00528717041015625,0.02342987060546875
4194304,0.5,0.0,0.01424407958984375,0.00366973876953125
4325376,0.5,0.0,0.0038604736328125,0.03575897216796875
4456448,0.5,0.0,0.60711669921875,0.8942184448242188
4587520,0.5,0.0,0.0010223388671875,0.034881591796875
4718592,0.5,0.0,-0.02042388916015625,0.04123687744140625
4849664,0.5,0.0,0.0261688232421875,0.02317047119140625
