collected_frames,env/success_rate,env/failure_rate
131072,0.993127147766323,0.006872852233676976
262144,0.9851485148514851,0.01485148514851485
393216,0.2064864864864865,0.002162162162162162
524288,0.5823095823095823,0.012285012285012284
655360,0.24401913875598086,0.007974481658692184
786432,0.43154246100519933,0.008665511265164644
917504,0.5188916876574308,0.010075566750629723
1048576,0.276566757493188,0.004087193460490463
1179648,0.43520309477756286,0.0038684719535783366
1310720,0.43204868154158216,0.0
1441792,0.5298165137614679,0.0
1572864,0.27827380952380953,0.004464285714285714
1703936,0.4036697247706422,0.003669724770642202
1835008,0.3618181818181818,0.007272727272727273
1966080,0.3826955074875208,0.009983361064891847
2097152,0.468503937007874,0.00984251968503937
2228224,0.3252818035426731,0.00322061191626409
2359296,0.37791932059447986,0.0
2490368,0.4659090909090909,0.017045454545454544
2621440,0.2272108843537415,0.00816326530612245
2752512,0.45454545454545453,0.00927643784786642
2883584,0.3701550387596899,0.001937984496124031
3014656,0.39308176100628933,0.0031446540880503146
3145728,0.4543524416135881,0.012738853503184714
3276800,0.33384615384615385,0.006153846153846154
3407872,0.4438095238095238,0.0
3538944,0.49271844660194175,0.0
3670016,0.2986425339366516,0.004524886877828055
3801088,0.400352733686067,0.003527336860670194
3932160,0.3761638733705773,0.0074487895716946
4063232,0.3695652173913043,0.010033444816053512
4194304,0.4397590361445783,0.01606425702811245
4325376,0.3285939968404423,0.00315955766192733
4456448,0.3620689655172414,0.0
4587520,0.5264797507788161,0.009345794392523364
4718592,0.19787516600265603,0.006640106241699867
4849664,0.46946564885496184,0.0057251908396946565
4980736,0.37477148080438755,0.014625228519195612
5111808,0.36187399030694667,0.004846526655896607
5242880,0.460352422907489,0.013215859030837005
5373952,0.3112781954887218,0.004511278195488722
5505024,0.3995584988962472,0.0
5636096,0.5070028011204482,0.0028011204481792717
5767168,0.2358490566037736,0.004043126684636119
5898240,0.4576923076923077,0.0057692307692307696
6029312,0.3206831119544592,0.015180265654648957
6160384,0.34683954619124796,0.006482982171799027
6291456,0.4698275862068966,0.0
6422528,0.2936630602782071,0.0
6553600,0.3682008368200837,0.0020920502092050207
6684672,0.4749262536873156,0.05309734513274336
6815744,0.2226775956284153,0.004098360655737705
6946816,0.43148148148148147,0.001851851851851852
7077888,0.36311787072243346,0.011406844106463879
7208960,0.34076433121019106,0.006369426751592357
7340032,0.4814004376367615,0.002188183807439825
7471104,0.31155015197568386,0.007598784194528876
7602176,0.410752688172043,0.0
7733248,0.4925373134328358,0.0024875621890547263
7864320,0.2321167883211679,0.00583941605839416
7995392,0.39814814814814814,0.005555555555555556
8126464,0.36396396396396397,0.010810810810810811
8257536,0.389351081530782,0.0
8388608,0.430062630480167,0.0041753653444676405
8519680,0.30551181102362207,0.004724409448818898
8650752,0.36616702355460384,0.0
8781824,0.5263157894736842,0.0
8912896,0.23097112860892388,0.006561679790026247
9043968,0.46745562130177515,0.0019723865877712033
9175040,0.33646616541353386,0.005639097744360902
9306112,0.36477987421383645,0.0047169811320754715
9437184,0.5078299776286354,0.0044742729306487695
9568256,0.34626436781609193,0.004310344827586207
9699328,0.4156378600823045,0.0
9830400,0.5152941176470588,0.0
9961472,0.27259036144578314,0.004518072289156626
10092544,0.4379310344827586,0.0
10223616,0.41509433962264153,0.0037735849056603774
10354688,0.3902053712480253,0.004739336492890996
10485760,0.43610547667342797,0.004056795131845842
10616832,0.33175355450236965,0.004739336492890996
10747904,0.43380855397148677,0.0
10878976,0.5296703296703297,0.002197802197802198
11010048,0.29765395894428154,0.004398826979472141
