collected_frames,rew/shaping,rew/step_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
2359296,1.1509703062474728,-0.06159578876074771,-0.07125638681463897,-0.2142078875331208,-0.179352025850676,-0.18814055423717946,-0.06344909788458608,4.0520761124789715,0.7145521421916783,0.016332999104633927,5.154834292829037
2490368,1.1461664363741875,-0.061719723949400965,-0.07177808438427746,-0.2070270765107125,-0.17399640195071697,-0.18292608472984284,-0.05276832923118491,4.108097160235047,0.706515911500901,0.02310244203545153,5.232876408845186
2621440,1.1348999589681625,-0.06184365913805423,-0.0840568701387383,-0.20886941638309509,-0.18402016151230782,-0.1804006495513022,-0.047669092688011006,4.327983058989048,0.7134362393990159,0.02218846438336186,5.430655397474766
2752512,1.4333193451166153,-0.06196759432670794,-0.05777005304116756,-0.19564782781526446,-0.15411051944829524,-0.18504320783540606,-0.07564834707591217,5.431245043873787,0.6939746933057904,0.01702401725924574,6.8448147512972355
2883584,1.5779776982963085,-0.06209152951536118,-0.06974617106607184,-0.2165240541798994,-0.15370292495936155,-0.19067808595718816,-0.09492364952166099,5.584190903231502,0.6974232131615281,0.01740668623824604,7.089006943628192
3014656,1.267822302877903,-0.06221546470401478,-0.09467174048768356,-0.22967407293617725,-0.19116263755131513,-0.1807128683431074,-0.05212268483592197,4.874244350939989,0.7192037226632237,0.004627603499102406,6.054277278482914
3145728,1.1958850054070354,-0.062339399892668027,-0.10670290928101167,-0.21993713558185846,-0.20273730624467134,-0.17672170721925795,-0.046153151473845355,4.827429819852114,0.7116297073662281,0.02036604392924346,5.939863484352827
3276800,1.2674864241853356,-0.062463335081321736,-0.10126461612526327,-0.22468542715068907,-0.198085633572191,-0.1895857637282461,-0.051920304336817935,5.267959397286177,0.6984831751324236,0.04780434501299169,6.452115036547184
3407872,1.218348546884954,-0.062587270269975,-0.09789986565010622,-0.2295098741305992,-0.22006542677991092,-0.19069587136618793,-0.04777871356054675,5.18662516400218,0.7006758516654372,0.04278853765572421,6.298515111207962
3538944,1.1935959598049521,-0.06271120545862824,-0.10029834660235792,-0.22424692299682647,-0.22718009923119098,-0.18343109090346843,-0.04688428874942474,5.169678900390863,0.7042237157002091,0.041800240098382346,6.263170246034861
3670016,1.1831218097358942,-0.06283514064728185,-0.09416889963904396,-0.22805992956273258,-0.23217161861248314,-0.18791841983329505,-0.04547893343260512,5.254830248653889,0.7051188070327044,0.036704577956697904,6.327518735080957
