collected_frames,shock/accel_magnitude,shock/accel_magnitude_max,shock/accel_magnitude_min,shock/shock_normalised,shock/shock_normalised_max,shock/shock_normalised_min,shock/accel_p90,shock/shock_p90_normalised,shock/accel_p95,shock/shock_p95_normalised,shock/accel_p99,shock/shock_p99_normalised
131072,,,,,,,9.389940452575683,0.43779282893510474,9.441788911819458,0.43988600115020127,9.723098735809327,0.45115933020078414
262144,8.320044115185738,35.63959529995918,0.2094496910867747,0.0955745835090056,1.0,0.0,,,,,,
262144,,,,,,,8.658924961090088,0.40778058738186895,8.743322706222534,0.41129270619506375,8.868273334503174,0.4164700238266077
393216,7.632243163883686,34.572325959801674,0.24132361392548773,0.07416925238794647,1.0,0.0,,,,,,
393216,,,,,,,7.893009185791016,0.37536240907772833,7.926577377319336,0.3768034266725464,8.045593690872193,0.38189785733233705
524288,6.995497353374958,33.719919100403786,0.22809041454456747,0.05610746730235405,1.0,0.0,,,,,,
524288,,,,,,,7.2809406280517575,0.3487737770372277,7.338240933418274,0.35128776387028826,7.542786960601807,0.36022058000055734
655360,6.36210722848773,32.592663034796715,0.19414224193315022,0.04141663531481754,1.0,0.0,,,,,,
655360,,,,,,,6.536671304702759,0.3156727313638896,6.582733964920044,0.31774484867557384,6.717984595298767,0.3238114946722592
786432,5.909227449446917,33.174546644091606,0.1645967966178432,0.0327408145822119,1.0,0.0,,,,,,
786432,,,,,,,6.102693843841553,0.2960044997025182,6.165788245201111,0.298880112593815,6.243798818588257,0.30242805553193475
917504,5.522736467421055,31.96776708960533,0.1304399828222813,0.026665517303626984,1.0,0.0,,,,,,
917504,,,,,,,5.656128644943237,0.2755005030212381,5.737832546234131,0.2792713646457019,5.83381411075592,0.28369019454794087
1048576,5.2211720161139965,31.07856336236,0.09916033624176634,0.022817071549070533,0.9999849214218557,0.0,,,,,,
1048576,,,,,,,5.3631672859191895,0.2619103594241492,5.3996823787689205,0.2636100580516543,5.441327981948852,0.2655465742434442
1179648,4.862179644405842,30.349019661545753,0.07748449315113248,0.017829953918408137,0.9992013517767191,0.0,,,,,,
1179648,,,,,,,5.066256666183472,0.24803023886848807,5.1024106502532955,0.24972596807464864,5.141900296211243,0.25157640080111365
1310720,5.22240786254406,32.57594247162342,0.12994772294769064,0.032273722521495074,0.9973566671833396,0.0,,,,,,
1310720,,,,,,,5.694693946838379,0.2772814634575971,5.774851703643799,0.28097707802900995,8.424806394577033,0.39797481997798667
1441792,5.25777093693614,34.99456389248371,0.13751895750465337,0.03060416621156037,1.0,0.0,,,,,,
1441792,,,,,,,5.6404218673706055,0.2747746148726584,5.686678552627563,0.27691146583369863,5.782744121551514,0.2813405040319008
1572864,5.3453636802732944,37.603983238339424,0.093115984564065,0.03440662275897921,0.9995311214588583,0.0,,,,,,
1572864,,,,,,,5.542272710800171,0.27023158590043295,5.648444485664367,0.2751454190763172,7.023255205154423,0.3374063363749229
1703936,5.059122309088707,31.72609405219555,0.09419336778228171,0.02425134631630499,1.0,0.0,,,,,,
1703936,,,,,,,5.202815008163452,0.25442717652530344,5.263178300857544,0.25724779121742425,5.330414776802063,0.26038441709179283
1835008,4.987574573606253,32.14568145573139,0.07557863769034157,0.022379405672836583,0.9997059940360487,0.0,,,,,,
1835008,,,,,,,5.103488636016846,0.24977650535804719,5.139393043518067,0.2514589687505411,5.212046031951904,0.25485879931812083
1966080,4.895685076713562,32.385420724749565,0.055014236095303204,0.02073004104749998,0.9997354210354388,0.0,,,,,,
1966080,,,,,,,5.033362245559692,0.24648607089306496,5.0859612941741945,0.24895463362731673,5.129010124206543,0.2509725857710927
2097152,4.793216481804848,31.818007588386536,0.05940137208381202,0.01993197001866065,0.9995860164053738,0.0,,,,,,
2097152,,,,,,,4.938045358657837,0.2420045466667824,4.972571754455567,0.2436290821577889,5.048504881858825,0.2471970700502515
2228224,4.67690896242857,32.23269708454609,0.04214018710445089,0.0177292628941359,0.9990284638479352,0.0,,,,,,
2228224,,,,,,,4.804347705841065,0.2357010685089096,4.82708215713501,0.23677435243496836,4.937590417861939,0.2419831317168002
2359296,4.495142508298159,33.448465660214424,0.026587007398120477,0.015483844959817361,0.9980774642899632,0.0,,,,,,
2359296,,,,,,,4.649366044998169,0.22836924113843216,4.672575330734253,0.22946889238258494,4.717802066802979,0.23161004159149612
2490368,4.311618342995644,30.32861939072609,0.0323627327234135,0.012877355977252591,0.9928890219889581,0.0,,,,,,
2490368,,,,,,,4.425048828125,0.21771146411092612,4.442626523971557,0.218548530891725,4.525726203918457,0.2225014462214736
2621440,4.1716887429356575,31.872308805584908,0.018857850696804235,0.01163296032245853,0.9932895693928003,0.0,,,,,,
2621440,,,,,,,4.28785138130188,0.21116706670568686,4.316799545288085,0.21254950925678995,4.391933631896973,0.2161336171322925
2752512,4.311493504792452,34.77006886899471,0.015670725467316515,0.01846089716491406,0.9991497667506337,0.0,,,,,,
2752512,,,,,,,4.562707948684692,0.22425826609352817,4.673968195915222,0.2295348674536435,6.152636775970463,0.2982811620947876
2883584,4.7141158021986485,35.969182178378105,0.07290547576849349,0.023164758720668033,0.9935159147717059,0.0,,,,,,
2883584,,,,,,,4.93000283241272,0.24162593454003978,5.02636137008667,0.2461572658068254,6.649447603225713,0.3207405679166564
3014656,4.126896871253848,31.977086141705513,0.04912195208362391,0.012719795759039698,0.9952300256118178,0.0,,,,,,
3014656,,,,,,,4.253764915466308,0.20953815713479473,4.330751848220825,0.2132155091779142,4.394599580764771,0.21626068409194943
3145728,4.033023728057742,31.724529296159744,0.0491636225633556,0.011263016480370425,0.9946559476666152,0.0,,,,,,
3145728,,,,,,,4.154764795303345,0.20480061211547884,4.193746542930603,0.20666720090022372,4.263674902915954,0.21001185177265946
3276800,4.04968242906034,33.89223116636276,0.04750692498055287,0.01267040762832039,1.0,0.0,,,,,,
3276800,,,,,,,4.159757518768311,0.20503976549429992,4.185531663894653,0.206273967011239,4.250046424865722,0.20936038892817588
3407872,3.9839675072580576,32.42847387492657,0.02187642654848787,0.011659711599349976,0.9976384625770152,0.0,,,,,,
3407872,,,,,,,4.143081569671631,0.20424088558025066,4.170778036117554,0.20556756582949687,4.233676385879517,0.20857762940971392
3538944,3.9335974976420403,33.63052971661091,0.013958821676169464,0.011441440066846553,0.9957550270482898,0.0,,,,,,
3538944,,,,,,,4.044093608856201,0.19949318787370363,4.065445923805236,0.20051809647272223,4.122687282562256,0.2032635047176694
3670016,3.932654233649373,32.037487640976906,0.020547711250401335,0.011098483126261272,0.9979632361792028,0.0,,,,,,
3670016,,,,,,,4.043018960952759,0.19944159334224354,4.057475018501282,0.2001355451675313,4.110121841430664,0.20266111353329563
3801088,3.9292369298636913,31.704809248447418,0.030983160691903322,0.010409783702925779,0.9931235378608108,0.0,,,,,,
3801088,,,,,,,4.03561315536499,0.19908600583612923,4.073222351074219,0.20089125518608109,4.130431442260742,0.2036346855647857
3932160,3.8738161344081163,31.360884338617325,0.020441358070456772,0.009480615219217725,0.9871384724974632,0.0,,,,,,
3932160,,,,,,,3.9724404335021974,0.1960506643850628,4.010324215888977,0.19787137040138036,4.065026979446412,0.20049799140574898
4063232,3.9774108473211527,33.11511301994324,0.03355551010099589,0.012972041840839665,0.9956988682970405,0.0,,,,,,
4063232,,,,,,,4.134831762313842,0.20384556869354453,4.276317381858825,0.21061601562174492,5.190119843482973,0.2538334124024666
4194304,4.396523358300328,33.90278023481369,0.059263986855512485,0.019085031024587806,0.9989063246175647,0.0,,,,,,
4194304,,,,,,,4.567179107666016,0.22447057027031092,4.696615362167358,0.2306072868499951,6.31306385993958,0.30557124442079253
4325376,4.0619497168809175,30.995495319366455,0.06223058744944865,0.010791774730023462,0.993032923899591,0.0,,,,,,
4325376,,,,,,,4.190057277679443,0.2064906095792005,4.242862010002137,0.20901688764808535,4.278231539726257,0.21070747615462038
4456448,3.992594549432397,30.35629616677761,0.04685348877683282,0.009357403556350619,0.9874115330167115,0.0,,,,,,
4456448,,,,,,,4.109651899337768,0.20263858138332425,4.123998069763184,0.20332633541297973,4.168290700912475,0.20544845151816227
4587520,4.034406939521432,33.46787986159325,0.0627223353676527,0.010978702044667443,0.9993650317192078,0.0,,,,,,
4587520,,,,,,,4.147115850448609,0.20443417728533064,4.175566959381103,0.20579688217905945,4.246379947662354,0.2091850937517341
4718592,3.9903057739138603,32.639199152588844,0.059636990452418104,0.010957266149489442,0.9990308242850006,0.0,,,,,,
4718592,,,,,,,4.110238790512085,0.20266672081685422,4.152780985832214,0.2047055800865969,4.21946168422699,0.20789771391357537
4849664,3.8332454655319452,34.61570692062378,0.04932428997926763,0.009785248152184067,0.9949031504802406,0.0,,,,,,
4849664,,,,,,,3.9632254600524903,0.19560758499338848,3.984602916240692,0.1966353449664402,4.042492895126343,0.1994163361831116
4980736,3.8475115951150656,33.71921952068806,0.02521803742456541,0.010096186084410874,0.9973129769787192,0.0,,,,,,
4980736,,,,,,,3.973997712135315,0.19612553440624558,3.999795866012573,0.19736551112833345,4.037573709487915,0.19918014635329673
5111808,3.8469405584037304,35.54165077209473,0.018351193948547007,0.010473445610841736,0.9931358667090535,0.0,,,,,,
5111808,,,,,,,3.966371011734009,0.1957588401165007,3.9956496119499207,0.19716626575743823,4.072217173576355,0.20084302413657174
5242880,3.8193357717245817,40.143066972494125,0.015118406623514602,0.010878443936235271,1.0,0.0,,,,,,
5242880,,,,,,,3.931990694999695,0.1941051447251918,3.9646000146865843,0.1956736821534355,4.027917494773865,0.19871644548151868
5373952,3.857915550470352,37.55913074314594,0.024449733346045832,0.012909147731988924,0.9990509003400803,0.0,,,,,,
5373952,,,,,,,4.065272283554077,0.20050976352773842,4.189954710006713,0.2064856998562934,4.862751445770266,0.23845711973533246
5505024,4.2875521797686815,38.090893998742104,0.053545376078545814,0.01692801181161485,0.9963505347259343,0.0,,,,,,
5505024,,,,,,,4.563255405426025,0.22428426214258557,4.661018872261048,0.22892142275756955,6.306205472946172,0.30526031217964467
5636096,4.103935323655605,31.49673068523407,0.04736599003808806,0.01069216275573126,0.9954987335950136,0.0,,,,,,
5636096,,,,,,,4.213438034057617,0.20760953091677448,4.280681371688843,0.21082452639317095,4.33967842578888,0.21364150699658224
5767168,4.073310952633619,36.01326443254948,0.04750277206676401,0.011481283199827885,0.9992867978289723,0.0,,,,,,
5767168,,,,,,,4.200358247756958,0.20698364477423925,4.217919254302979,0.20782392453804843,4.29896502494812,0.21169790782478382
5898240,4.088648969307542,38.10450778901577,0.054890379349672,0.012358584837784292,0.9959334093146026,0.0,,,,,,
5898240,,,,,,,4.239977741241455,0.2088789704589995,4.263148188591003,0.20998667745336608,4.318811964988709,0.2126455824029745
6029312,4.016042230650783,36.00774626433849,0.04614292742917314,0.011641806187981274,0.9991909773088992,0.0,,,,,,
6029312,,,,,,,4.1315923690795895,0.2036903242354391,4.161535477638244,0.20512492449973174,4.204990377426148,0.20720531808894305
6160384,3.905085826292634,35.56866563856602,0.031430318234924925,0.010413151554530486,1.0,0.0,,,,,,
6160384,,,,,,,4.042767143249511,0.19942950325372077,4.075523638725281,0.20100167332839125,4.163373856544495,0.2052129741815194
6291456,3.978660963475704,36.29649929702282,0.03541828092056676,0.011332690464769257,0.9998825490474701,0.0,,,,,,
6291456,,,,,,,4.099325466156006,0.2021434093637695,4.11974196434021,0.20312231902745803,4.149324526786804,0.20453999331559292
6422528,3.8829616494476795,34.863769471645355,0.012524315149676113,0.01005975968655548,0.9965746882371604,0.0,,,,,,
6422528,,,,,,,4.011394786834717,0.1979228025964077,4.030883693695069,0.19885889473169938,4.112333970069885,0.20276717481234452
6553600,3.8291655629873276,34.12665210664272,0.009622387446142966,0.009703445804916555,1.0,0.0,,,,,,
6553600,,,,,,,3.9256170749664308,0.19379845164526688,3.949314367771149,0.1949385529998613,4.002987868785858,0.19751888950700258
6684672,3.905302282422781,37.130740374326706,0.013282610449095955,0.012535707166534849,0.996559367980808,0.0,,,,,,
6684672,,,,,,,4.145240545272827,0.20434432906718958,4.234756994247436,0.2086293086724329,4.995842418670657,0.2447232430478128
6815744,4.085206093266606,36.30635219812393,0.0785514242015779,0.016241458124568453,0.9981338488869369,0.0,,,,,,
6815744,,,,,,,4.36783013343811,0.21498444165840813,4.482681345939636,0.220454777239802,6.008949522972112,0.29172206101353715
6946816,3.8066839296370745,33.11077272891998,0.06513541166350478,0.009818707096201251,0.9908571592532098,0.0,,,,,,
6946816,,,,,,,3.9517727375030516,0.19505679762227857,3.9853169560432433,0.19666966628177662,4.05709753036499,0.20011742669223054
