collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr
16384,-0.5664162635803223,0.08888930082321167,0.6553055644035339,-9.003898620605469,-2.6750786304473877,7.1422014236450195,-0.0026417234912514687,-0.0933818370103836,2.665120840072632,-0.0006297915824688971,0.0,-9.003898620605469,12.646937370300293,16.587533950805664,0.0001074525801454792,0.0005780261315226248
32768,-0.4876614809036255,-5.568881034851074,-5.081219553947449,-5.690702438354492,-2.6715950965881348,6.880695343017578,-0.0017265044152736664,-0.0939294770359993,2.680750608444214,0.00016264175064861774,0.0,-5.690702438354492,11.92829704284668,8.702923774719238,0.00010719786010968772,0.0005766559007034997
49152,-0.21117189526557922,-8.610102653503418,-8.398930758237839,-1.9095839262008667,-2.6689319610595703,6.941205978393555,-0.001463304623030126,-0.09371157735586166,2.6745314598083496,0.0007410521502606571,0.0,-1.9095839262008667,11.567639350891113,13.433952331542969,0.00010694314007389626,0.0005752856698843746
65536,-0.07988519966602325,-10.695028305053711,-10.615143105387688,0.1434272676706314,-2.6682333946228027,5.820346832275391,-0.001293668057769537,-0.09336664527654648,2.664687156677246,0.0004515770124271512,0.000244140625,0.1434272676706314,9.663718223571777,9.80234432220459,0.00010668842003810478,0.0005739154390652495
81920,-0.0763782188296318,-10.402994155883789,-10.326615937054157,-0.014403276145458221,-2.675569534301758,6.245229244232178,-0.0011136364191770554,-0.0934152901172638,2.6660754680633545,4.192942287772894e-05,0.0,-0.014403276145458221,9.485194206237793,15.771127700805664,0.0001064337000023133,0.0005725452082461243
98304,-0.04131854325532913,-9.640748977661133,-9.599430434405804,0.5437343716621399,-2.669672966003418,6.715542793273926,-0.000708065927028656,-0.09321631491184235,2.6603965759277344,-1.8416962120682e-05,0.0,0.5437343716621399,10.514935493469238,19.44071388244629,0.00010617897996652183,0.0005711749774269992
114688,-0.205186665058136,-8.654976844787598,-8.449790179729462,-1.4775604009628296,-2.6720333099365234,7.286111831665039,-0.00034870393574237823,-0.09410437196493149,2.685741901397705,7.229618495330215e-05,0.0,-1.4775604009628296,11.939621925354004,24.273910522460938,0.00010592425993073035,0.0005698047466078741
131072,0.3398498594760895,-7.198298931121826,-7.538148790597916,3.3557534217834473,-2.670036554336548,7.39526891708374,-0.0005063884891569614,-0.09377169609069824,2.6762475967407227,-0.00011218991130590439,0.0,3.3557534217834473,11.976120948791504,10.519693374633789,0.00010566953989493888,0.000568434515788749
147456,-0.06093310937285423,-7.634052753448486,-7.573119644075632,-0.5291323661804199,-2.669086456298828,5.2753987312316895,-0.0010436316952109337,-0.09370400011539459,2.6743154525756836,0.00010476604802533984,0.0,-0.5291323661804199,8.634519577026367,5.905129432678223,0.0001054148198591474,0.0005670642849696238
163840,-0.2884135842323303,-5.9909515380859375,-5.702537953853607,-3.250622510910034,-2.6714041233062744,6.437594413757324,-0.0009197094477713108,-0.09390904754400253,2.6801674365997314,0.00010777852730825543,0.0,-3.250622510910034,10.968995094299316,8.962127685546875,0.00010516009982335594,0.0005656940541504987
180224,-0.19142122566699982,-8.76534652709961,-8.57392530143261,-1.615584135055542,-2.6713449954986572,7.335605621337891,-0.0008857632055878639,-0.09363897144794464,2.672459125518799,0.00012876774417236447,0.0,-1.615584135055542,12.316069602966309,21.144851684570312,0.00010490537978756446,0.0005643238233313735
196608,-0.2130395770072937,-9.78285026550293,-9.569810688495636,-1.8120698928833008,-2.6731271743774414,7.250166893005371,-0.0011349432170391083,-0.0935986116528511,2.6713075637817383,0.00019595841877162457,0.0,-1.8120698928833008,11.664044380187988,9.613266944885254,0.00010465065975177298,0.0005629535925122483
212992,0.245084747672081,-9.604516983032227,-9.849601730704308,1.8809027671813965,-2.672630548477173,7.62910270690918,-0.001225077547132969,-0.09343509376049042,2.6666407585144043,-0.00012175098527222872,0.0,1.8809027671813965,12.514505386352539,14.64725112915039,0.00010439593971598151,0.0005615833616931232
229376,-0.05831952765583992,-11.18143081665039,-11.12311128899455,0.11308038234710693,-2.675992727279663,6.132691383361816,-0.0010512436274439096,-0.09369876980781555,2.674166202545166,9.51245310716331e-05,0.0,0.11308038234710693,9.462830543518066,8.127951622009277,0.00010414121968019003,0.0005602131308739981
245760,-0.19743305444717407,-9.422155380249023,-9.22472232580185,-1.5109705924987793,-2.6701548099517822,7.009225845336914,-0.0007968184072524309,-0.09322530031204224,2.6606533527374268,0.00016204715939238667,0.0,-1.5109705924987793,10.98648452758789,14.624460220336914,0.00010388649964439856,0.000558842900054873
262144,-0.06463181227445602,-8.629252433776855,-8.5646206215024,-0.036545656621456146,-2.675255298614502,6.164373874664307,-0.001255027949810028,-0.09366359561681747,2.6731622219085693,-1.1921045370399952e-05,0.0,-0.036545656621456146,9.951035499572754,9.234692573547363,0.00010363177960860708,0.0005574726692357479
278528,-0.29346799850463867,-11.870889663696289,-11.57742166519165,-2.4592444896698,-2.660531520843506,7.950888156890869,-0.0005519958212971687,-0.09320244193077087,2.660000801086426,-0.0003093479317612946,0.0,-2.4592444896698,12.809059143066406,12.530585289001465,0.0001033770595728156,0.0005561024384166228
