collected_frames,rew/shaping,rew/step_penalty,rew/joint_vel_variance,rew/joint_angle_variance,rew/roll,rew/roll_rate,rew/pitch,rew/pitch_rate,rew/terminal_bonus,rew/total_reward
16384,1.303199895657599,-0.1569045766880514,-0.16673118656035513,-0.021435715822160972,-0.009153672834116833,-0.005891954622711637,-0.09571116389963663,-0.02348093592627265,0.0,0.8238906813785434
32768,1.0129282427951694,-0.1569045766880514,-0.1662923216354102,-0.05364772424218245,-0.022532064729603007,-0.005541074744542129,-0.1717587773455307,-0.02197759662522003,-0.003046890255063772,0.41122721624560654
49152,0.9307873719371855,-0.1569045766880514,-0.16690248262602836,-0.057653142081107944,-0.027718200464732945,-0.005351848732971121,-0.16556952765677124,-0.019994331712950952,0.0020357288885861635,0.3327289861626923
65536,0.88355280039832,-0.1569045766880514,-0.16590843815356493,-0.058103287796257064,-0.03315860430302564,-0.005292918271152303,-0.168269093031995,-0.01974907198746223,0.010425848886370659,0.2865926537197083
81920,0.8644456970505416,-0.1569045766880514,-0.16724986128974706,-0.05829295719740912,-0.036908252484863624,-0.005221213683398673,-0.18273522099480033,-0.019006248272489756,0.0002561418805271387,0.23838350316509604
98304,0.8458269098773599,-0.1569045766880514,-0.16665473254397511,-0.06272568789427169,-0.038363936328096315,-0.004620649173375568,-0.18293403554707766,-0.017240041168406606,0.003051358973607421,0.21943461243063211
114688,0.8447049967944622,-0.1569045766880514,-0.16495521471370012,-0.06186964033986442,-0.02882148309436161,-0.004440483378857607,-0.16774281673133373,-0.01659742580523016,0.0038153158966451883,0.2471886748680845
131072,1.0836610062979162,-0.1569045766880514,-0.1671001681825146,-0.0406598701083567,-0.01988476390761207,-0.004497735155382543,-0.10709557740483433,-0.018119641703378875,0.004323130939155817,0.573721798020415
147456,1.1194971343502402,-0.1569045766880514,-0.1643038522452116,-0.04028463979193475,-0.02089107067149598,-0.006388386143953539,-0.1379464121419005,-0.02301318979880307,-0.0005078150425106287,0.5692571934778243
163840,0.9610846135765314,-0.1569045766880514,-0.16655628534499556,-0.06033504437073134,-0.026115244982065633,-0.0048064616403280525,-0.15744681481737643,-0.01905839832033962,-0.0005078150425106287,0.36935396934859455
180224,0.8888465878553689,-0.1569045766880514,-0.16500775830354542,-0.06328216081601568,-0.029158043194911443,-0.00499665156530682,-0.16945379262324423,-0.01880533905205084,0.003051358973607421,0.2842896213987842
196608,0.866689708083868,-0.1569045766880514,-0.16532012808602303,-0.06474740477278829,-0.027149768502567895,-0.004162908871876425,-0.14979658275842667,-0.017282003071159124,0.004830945981666446,0.28615728148724884
212992,1.0673765614628792,-0.1569045766880514,-0.16580080974381417,-0.046531862681149505,-0.022681344249576796,-0.004499920269154245,-0.11263863838394172,-0.01765122051438084,0.007882304955273867,0.548550492268987
229376,1.0782106290571392,-0.1569045766880514,-0.16486875363625586,-0.04455093477736227,-0.025179887285048608,-0.005855709725437919,-0.11434764618752524,-0.021261854548356496,-0.0005078150425106287,0.5447334474883974
245760,0.959296824876219,-0.1569045766880514,-0.16617864381987602,-0.05866204126505181,-0.03126164845889434,-0.00565403949804022,-0.12765035004122183,-0.019761649833526462,0.0025435439310967922,0.39576741703785956
262144,0.9069805792532861,-0.1569045766880514,-0.16468336258549243,-0.058002761768875644,-0.03220477334980387,-0.005542337912629591,-0.11157810816075653,-0.01940136618213728,0.01016970700584352,0.3688330017030239
278528,0.8335647955536842,-0.1569045766880514,-0.1648240090580657,-0.06462974267196842,-0.02105740606202744,-0.0036981941557314713,-0.16182803246192634,-0.016536032046133187,0.0012717719655483961,0.24535857292357832
294912,1.0158073278144002,-0.1569045766880514,-0.1656763928476721,-0.043131257029017434,-0.01628779106613365,-0.00412191699797404,-0.11681179772131145,-0.01687730904450291,0.0022918707691133022,0.4982881605392322
311296,1.054522527847439,-0.1569045766880514,-0.16565115610137582,-0.04829369799699634,-0.016791990063211415,-0.005014951007979107,-0.12280500598717481,-0.019803210685495287,0.0007639569230377674,0.5200219014659524
327680,0.9491543732583523,-0.1569045766880514,-0.16586406412534416,-0.05861418150016107,-0.022147901807329617,-0.004376760403829394,-0.13384670834057033,-0.01849912738543935,0.0012717719655483961,0.3901728237979114
344064,0.9459904795512557,-0.1569045766880514,-0.16645391762722284,-0.06105107764597051,-0.019944931147620082,-0.004272179823601618,-0.13407069578533992,-0.0175007209109026,0.0020357288885861635,0.3878281086217612
