attempt,collected_frames,rew/shaping,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/step_penalty,rew/terminal_bonus,rew/total_reward
0,131072,3.237938892096281,-0.06314918699717964,-0.06892373902519466,-0.024787730110006123,-0.1370972049771808,-0.08808472103966736,-0.11484621968702413,-6.240506991161965e-05,-0.005477235493316357,2.4015052495524287,0.7032227041199803,-0.05948888882994652,0.0029648925410583615,5.783714342862368
0,262144,2.068803671747446,-0.08720138383796439,-0.09377332392614335,-0.07696373236831278,-0.12620562338270247,-0.17427745333407074,-0.09593744989251718,0.0,-0.013842509222740773,0.9457726250402629,0.7085851053707302,-0.05959511891705915,0.24934825384116266,3.244381934404373
0,393216,2.7964947102591395,-0.07592888825456612,-0.08085800214030314,-0.05105516978801461,-0.1276953059132211,-0.12035371983074583,-0.10262052633333951,0.0,-0.007761157786262629,1.811609704978764,0.7047008108347654,-0.059701349411625415,0.0648449671571143,4.751561138778925
0,524288,2.3740446381270885,-0.0835571673233062,-0.0877748946659267,-0.04410926206037402,-0.12713030562736094,-0.13519556284882128,-0.10038356040604413,0.0,-0.0070433595501526725,1.3991203177720308,0.705780787859112,-0.05980757996439934,0.2107303299708292,4.044356992468238
0,655360,2.5547220651060343,-0.0824845221650321,-0.08571431244490668,-0.036202265437168535,-0.12291630753315985,-0.12285872671054676,-0.09763815952464938,0.0,-0.006648907148701255,1.613629441242665,0.7045408841222525,-0.05991381034255028,0.11402581211586948,4.372048093006015
0,786432,2.414079947397113,-0.08061800507130101,-0.08300408715149388,-0.023133325805247296,-0.12410127784823999,-0.13873427972430363,-0.099554568878375,0.0,-0.005173981691768859,1.4129801355302334,0.701166934799403,-0.06002004072070122,0.17013581164064817,4.083786517381668
0,917504,2.28529722802341,-0.08196444693021476,-0.08296504308236763,-0.027543803968001157,-0.12311694805976003,-0.13969651842489839,-0.0960368107771501,0.0,-0.005048099679697771,1.2414443581365049,0.7020755861885846,-0.060126271535409614,0.13196934235747904,3.743896199390292
0,1048576,2.664642320945859,-0.07439095858717337,-0.07633294921834022,-0.02004073912394233,-0.12633851415012032,-0.10233265714487061,-0.10342077608220279,-7.348407962126657e-05,-0.00396958915189316,1.7486037332564592,0.6890357807278633,-0.0602325014770031,0.12566242352477275,4.660553751513362
0,1179648,2.5271534509956837,-0.07774460437940434,-0.08191442769020796,-0.02402047886425862,-0.13098150660516694,-0.1088556238100864,-0.1027935883612372,0.0,-0.0043672998381225625,1.5885673081502318,0.6902498914860189,-0.06033873185515404,0.1793333031819202,4.393957732245326
0,1310720,2.7192252427339554,-0.11066769965691492,-0.14060651609906927,-0.17809718544594944,-0.17549715557834134,-0.09170717126107775,-0.11392065178370103,-2.522701834095642e-06,-0.01706082072632853,1.6968610142357647,0.6984541052952409,-0.060444962029578164,0.0656047693482833,4.291980195790529
0,1441792,2.443969374522567,-0.1119576413766481,-0.13474861619761214,-0.17362582054920495,-0.16442385071422905,-0.11636517028091475,-0.10557846759911627,-9.713130566524342e-06,-0.018875641137128696,1.3857954605482519,0.7114324425347149,-0.06055119261145592,0.18434911069925874,3.8390020448714495
