collected_frames,shock/accel_magnitude,shock/accel_magnitude_max,shock/accel_magnitude_min,shock/shock_normalised,shock/shock_normalised_max,shock/shock_normalised_min,shock/accel_p90,shock/shock_p90_normalised,shock/accel_p95,shock/shock_p95_normalised,shock/accel_p99,shock/shock_p99_normalised
131072,,,,,,,7.385990858078003,0.6282980160670906,7.448312425613403,0.6320552160812638,7.506878418922424,0.635559129834685
262144,5.807301875203848,22.00483575463295,0.1348074618363171,0.04015662701567635,1.0,0.0,,,,,,
262144,,,,,,,6.022674512863159,0.538661069768088,6.168030691146851,0.5488982190202469,6.219547348022461,0.5524875617100133
393216,5.36661396920681,23.05789989233017,0.057407277843594784,0.029697517602471635,1.0,0.0,,,,,,
393216,,,,,,,5.546951055526733,0.5040308209256559,5.613444519042969,0.5089742795928169,5.676933374404907,0.5136632407449699
524288,4.997644107788801,21.10038371384144,0.057071414332313,0.02294932097720448,1.0,0.0,,,,,,
524288,,,,,,,5.1519202709198,0.4739806919453482,5.17856125831604,0.476043670530943,5.223011307716369,0.4794740778339812
655360,4.980472255498171,20.460595086216927,0.07707863883115351,0.026861939164518844,0.999923825263977,0.0,,,,,,
655360,,,,,,,5.800972032546997,0.5227360754485244,5.868558788299561,0.5276305558733001,5.982071123123169,0.5357725597655665
786432,5.106346171349287,21.854061156511307,0.11210767888405826,0.03395411555538885,1.0,0.0,,,,,,
786432,,,,,,,5.343908882141113,0.48873034873059895,5.414589166641235,0.4940915179244758,5.527431740760804,0.5025733398506225
917504,4.54703089594841,20.95905038714409,0.07423625003866618,0.02346099927672185,1.0,0.0,,,,,,
917504,,,,,,,4.730658960342407,0.44067317037096587,4.779568576812744,0.4446058347791244,4.85922703742981,0.4509743475907917
1048576,4.069816725328565,20.095979265868664,0.051063477410934865,0.015626596006768523,0.9973522471264005,0.0,,,,,,
1048576,,,,,,,4.28697361946106,0.4042321005298466,4.336142492294312,0.40833735823041817,4.432767105102539,0.4163568158382922
1179648,3.684478932991624,19.4439525231719,0.029467006352206226,0.010959714316413738,0.9967426019720733,0.0,,,,,,
1179648,,,,,,,3.8459062576293945,0.36668751078630835,3.875308072566986,0.36922960823739137,3.9413603806495665,0.3749203829148169
1310720,4.037655796855688,20.495535381138325,0.04842796667071525,0.01844082180832629,0.9924981463700533,0.0,,,,,,
1310720,,,,,,,4.4878918647766115,0.42090320683806826,4.580384111404419,0.42848411453141066,5.171705713272098,0.4755133017218922
1441792,3.7349818497896194,21.129015676677227,0.056766982983390335,0.014082127410802059,0.9980173278599977,0.0,,,,,,
1441792,,,,,,,3.981299543380737,0.37834774282017425,4.026367425918579,0.3822027983073457,4.11327579498291,0.38959933162580107
1572864,3.4361825734376907,19.28060019016266,0.03557795874075964,0.009523191107291495,0.9983124556019902,0.0,,,,,,
1572864,,,,,,,3.5268043518066405,0.3387505452119517,3.560890996456146,0.34176456691960255,3.629401319026947,0.34780114918345517
1703936,3.455254191532731,19.74930576235056,0.028036190105922287,0.00982281570759369,0.9903213675133884,0.0,,,,,,
1703936,,,,,,,3.5632997035980223,0.3419772856917842,3.5838234424591064,0.3437883639287258,3.6306223106384277,0.34790847398329516
1835008,3.559019450098276,19.231460884213448,0.018445606601744657,0.009571260092343437,0.9892844632267952,0.0,,,,,,
1835008,,,,,,,3.6766135692596436,0.351944433948304,3.7025832414627073,0.3542176453249528,3.80677321434021,0.3632955382736198
1966080,4.003193896263838,20.968435987830162,0.06971271369002352,0.016471767085022293,0.9994373475201428,0.0,,,,,,
1966080,,,,,,,4.1968494892120365,0.3966649852245818,4.267924547195435,0.4026372358287613,4.732702164649965,0.44083779841121484
2097152,3.7521053552627563,18.72878034412861,0.02886875595777383,0.010041803623607848,0.9847780303098261,0.0,,,,,,
