collected_frames,var_decomp/shaping,var_decomp/joint_ang_from_flat_penalty,var_decomp/joint_angle_var_penalty,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/clearance,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
131072,0.8854882121086121,-0.08770058304071426,-0.11146356165409088,-0.154457226395607,-0.02488449402153492,-0.20320743322372437,-0.03374957665801048,0.9133732318878174,-0.029990654438734055,4.922565460205078,0.1329822540283203,-0.03964350372552872
262144,0.8769033551216125,0.2076532244682312,0.23712760210037231,0.5670343041419983,-0.045062895864248276,0.278692364692688,0.016932860016822815,-0.3223969042301178,0.05624563246965408,1.8844335079193115,0.025876183062791824,-0.022778037935495377
393216,1.269055962562561,0.09267617017030716,0.08523306995630264,0.17656099796295166,-0.0663164034485817,0.04355238750576973,0.031009290367364883,-0.09857388585805893,0.010556370951235294,2.296609878540039,0.06347200274467468,0.02404916100203991
524288,1.268041729927063,0.05301929637789726,0.04679457098245621,0.0974983498454094,-0.061012573540210724,-0.03341875225305557,0.014024917967617512,-0.09015961736440659,0.015687724575400352,3.1250064373016357,0.046159904450178146,0.07163964956998825
655360,1.7112336158752441,0.31250113248825073,0.35074982047080994,0.5770856738090515,0.16547554731369019,0.3957705795764923,0.16339658200740814,-0.22971726953983307,0.08119546622037888,2.1379177570343018,-0.07397598773241043,0.014225753024220467
786432,1.3465924263000488,0.1629665046930313,0.1263110488653183,0.15369141101837158,0.040103793144226074,0.27790164947509766,0.00883358996361494,-0.15167871117591858,0.044881194829940796,2.1208276748657227,-0.057631853967905045,0.009939325042068958
917504,1.2272136211395264,0.11877554655075073,0.02058137021958828,0.08446577191352844,-0.02101709693670273,0.4524311423301697,0.01339731365442276,0.026819748803973198,0.06610189378261566,4.601154327392578,0.07472224533557892,0.20105260610580444
1048576,0.3589794933795929,-0.024819349870085716,0.029694505035877228,0.014056846499443054,0.018631936982274055,-0.059568192809820175,0.012225866317749023,0.043320316821336746,-0.0046987030655145645,3.59328556060791,0.02561579830944538,0.4426448941230774
1179648,0.45476290583610535,-0.004100012592971325,0.004397375043481588,0.053704820573329926,0.013955438509583473,-0.004762473050504923,0.05965851619839668,0.08878979831933975,0.01227632723748684,3.2340152263641357,-0.004036918748170137,0.46605750918388367
1310720,1.5789560079574585,0.19691888988018036,0.07783791422843933,0.15276867151260376,0.07708332687616348,0.47259533405303955,0.10040762275457382,-0.09345289319753647,0.07218374311923981,2.501451253890991,-0.13498865067958832,-0.002041395055130124
1441792,1.8620789051055908,0.15822701156139374,0.031625308096408844,0.021062495186924934,-0.05309441685676575,-0.006608311552554369,-0.06491926312446594,-0.08388955146074295,0.05919341370463371,4.064163684844971,-0.017031032592058182,0.02130378969013691
1572864,0.10808638483285904,-0.10664943605661392,0.06538829207420349,-0.03295106813311577,-0.009995951317250729,0.621049702167511,0.04503856226801872,0.07073628157377243,0.058446239680051804,1.976125717163086,-0.022588521242141724,0.6163038015365601
1703936,0.31259068846702576,0.02834423817694187,-0.0187632218003273,0.010144516825675964,0.08422749489545822,-0.16629856824874878,0.014771473594009876,0.025100141763687134,-0.01717880181968212,2.439105987548828,0.043023597449064255,1.6340737342834473
1835008,0.2207462638616562,0.023740677163004875,-0.023415325209498405,0.016298798844218254,0.06258191168308258,-0.01267797127366066,0.022670459002256393,0.03880809620022774,0.006157246883958578,2.839571475982666,0.04174761474132538,1.3424869775772095
1966080,1.3140506744384766,0.14137962460517883,0.05412939190864563,0.07111426442861557,0.15455232560634613,0.13644149899482727,0.09547485411167145,-0.04560057073831558,0.059063345193862915,2.0546445846557617,-0.14752736687660217,0.004027417860925198
2097152,0.6542333364486694,0.05133894830942154,-0.02270774357020855,-0.030613934621214867,0.051640428602695465,0.2024742066860199,0.03270270675420761,0.0538133829832077,0.014210284687578678,3.712724208831787,0.038884859532117844,0.9786838293075562
