attempt,collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
0,131072,0.0,0.0,0.0
0,262144,0.0,7.62939453125e-06,0.0
0,393216,0.0,0.0,0.0
0,524288,7.62939453125e-06,0.0,0.0
0,655360,7.62939453125e-06,0.0,0.0
0,786432,0.0,0.0,0.0
0,917504,3.0517578125e-05,3.814697265625e-05,0.0
0,1048576,0.0,0.0,0.0
0,1179648,2.288818359375e-05,6.866455078125e-05,0.0
0,1310720,6.618269954819277e-06,0.00013383612575301206,0.0
0,1441792,3.814697265625e-05,4.57763671875e-05,0.0
0,1572864,4.57763671875e-05,7.62939453125e-05,0.0
0,1703936,6.103515625e-05,6.103515625e-05,0.0
0,1835008,3.814697265625e-05,7.62939453125e-05,0.0
0,1966080,6.103515625e-05,6.866455078125e-05,0.0
0,2097152,6.103515625e-05,0.00016021728515625,0.0
0,2228224,4.57763671875e-05,6.103515625e-05,0.0
0,2359296,5.00047063253012e-05,0.00018678228539156626,0.0
0,2490368,6.866455078125e-05,0.00016021728515625,0.0
0,2621440,5.340576171875e-05,6.103515625e-05,0.0
0,2752512,5.340576171875e-05,0.00012969970703125,0.0
0,2883584,9.1552734375e-05,0.00016021728515625,0.0
0,3014656,6.103515625e-05,0.0001373291015625,0.0
0,3145728,9.1552734375e-05,0.0001678466796875,0.0
0,3276800,8.392333984375e-05,0.00014495849609375,0.0
0,3407872,5.515224962349398e-05,0.00020222491528614457,0.0
0,3538944,5.340576171875e-05,0.00012969970703125,0.0
0,3670016,4.57763671875e-05,0.00018310546875,0.0
0,3801088,8.392333984375e-05,0.00019073486328125,0.0
0,3932160,6.103515625e-05,0.00014495849609375,0.0
0,4063232,5.340576171875e-05,0.00017547607421875,0.0
0,4194304,5.340576171875e-05,0.00018310546875,0.0
0,4325376,5.340576171875e-05,0.0001678466796875,0.0
0,4456448,9.118505271084337e-05,0.0002956160579819277,0.0
0,4587520,7.62939453125e-05,0.00023651123046875,0.0
0,4718592,7.62939453125e-05,0.00026702880859375,0.0
0,4849664,0.00011444091796875,0.0001678466796875,0.0
0,4980736,7.62939453125e-05,0.000213623046875,0.0
0,5111808,4.57763671875e-05,0.00022125244140625,0.0
0,5242880,9.918212890625e-05,0.0001678466796875,0.0
0,5373952,5.340576171875e-05,0.0001983642578125,0.0
0,5505024,9.780332266566265e-05,0.0002345809017319277,0.0
0,5636096,4.57763671875e-05,0.0002593994140625,0.0
0,5767168,3.814697265625e-05,0.0002288818359375,0.0
0,5898240,9.918212890625e-05,0.000244140625,0.0
0,6029312,6.866455078125e-05,0.000244140625,0.0
0,6160384,7.62939453125e-05,0.00016021728515625,0.0
0,6291456,6.103515625e-05,0.00018310546875,0.0
0,6422528,9.1552734375e-05,0.0002288818359375,0.0
0,6553600,9.044968938253012e-05,0.00022134436182228914,0.0
0,6684672,0.0001373291015625,0.00023651123046875,0.0
0,6815744,8.392333984375e-05,0.00014495849609375,0.0
0,6946816,9.1552734375e-05,0.000244140625,0.0
0,7077888,8.392333984375e-05,0.00016021728515625,0.0
0,7208960,9.1552734375e-05,0.00022125244140625,0.0
0,7340032,9.1552734375e-05,0.00028228759765625,0.0
0,7471104,7.62939453125e-05,0.00018310546875,0.0
0,7602176,8.383141942771084e-05,0.0002456113516566265,0.0
0,7733248,6.866455078125e-05,0.00023651123046875,0.0
0,7864320,7.62939453125e-05,0.00019073486328125,0.0
0,7995392,6.103515625e-05,0.00022125244140625,0.0
0,8126464,6.103515625e-05,0.00025177001953125,0.0
0,8257536,0.0001220703125,0.000213623046875,0.0
0,8388608,9.1552734375e-05,0.00016021728515625,0.0
0,8519680,5.340576171875e-05,0.0002899169921875,0.0
0,8650752,9.559723268072289e-05,0.00023825771837349398,0.0
0,8781824,2.288818359375e-05,0.0001678466796875,0.0
0,8912896,7.62939453125e-05,0.00025177001953125,0.0
0,9043968,0.0001068115234375,0.0002288818359375,0.0
0,9175040,7.62939453125e-05,0.00022125244140625,0.0
0,9306112,9.1552734375e-05,0.0002288818359375,0.0
0,9437184,9.1552734375e-05,0.00020599365234375,0.0
0,9568256,5.340576171875e-05,0.000244140625,0.0
0,9699328,7.280096950301205e-05,0.00027281979480421684,0.0
0,9830400,9.1552734375e-05,0.000213623046875,0.0
0,9961472,6.866455078125e-05,0.00028228759765625,0.0
0,10092544,6.866455078125e-05,0.00029754638671875,0.0
0,10223616,8.392333984375e-05,0.000213623046875,0.0
0,10354688,7.62939453125e-05,0.00020599365234375,0.0
0,10485760,9.918212890625e-05,0.00020599365234375,0.0
0,10616832,0.00011444091796875,0.00017547607421875,0.0
0,10747904,6.0299792921686745e-05,0.000302234327936747,0.0
0,10878976,9.1552734375e-05,0.000244140625,0.0
0,11010048,7.62939453125e-05,0.0001678466796875,0.0
0,11141120,9.918212890625e-05,0.000244140625,0.0
0,11272192,5.340576171875e-05,0.000213623046875,0.0
0,11403264,4.57763671875e-05,0.00026702880859375,0.0
0,11534336,0.0001220703125,0.0003204345703125,0.0
0,11665408,7.62939453125e-05,0.00023651123046875,0.0
0,11796480,6.912415286144579e-05,0.0002779673381024096,0.0
0,11927552,0.0001678466796875,0.0002288818359375,0.0
0,12058624,7.62939453125e-05,0.00019073486328125,0.0
0,12189696,8.392333984375e-05,0.00020599365234375,0.0
0,12320768,0.00011444091796875,0.000244140625,0.0
0,12451840,6.103515625e-05,0.0001678466796875,0.0
0,12582912,9.1552734375e-05,0.0002288818359375,0.0
0,12713984,9.918212890625e-05,0.0002288818359375,0.0
0,12845056,7.868387612951807e-05,0.0002882624246987952,0.0
0,12976128,6.866455078125e-05,0.00025177001953125,0.0
0,13107200,9.918212890625e-05,0.0001983642578125,0.0
0,13238272,0.0001068115234375,0.00020599365234375,0.0
0,13369344,8.392333984375e-05,0.00026702880859375,0.0
0,13500416,8.392333984375e-05,0.00020599365234375,0.0
0,13631488,0.0001068115234375,0.000274658203125,0.0
0,13762560,0.00011444091796875,0.0002593994140625,0.0
0,13893632,7.941923945783132e-05,0.0002860563347138554,0.0
