attempt,collected_frames,pan/theta_star_front,pan/theta_star_rear,pan/argmax_bin_front,pan/argmax_bin_rear,pan/pivot_half_base_m,pan/min_hinge_reach_m,pan/flipper_delta_front,pan/flipper_delta_rear,pan/contact_front,pan/contact_rear,pan/contact_bellied
0,131072,0.07751687406835117,0.16085376761839143,1.9840802941471338,12.13207422196865,0.25599891203455627,0.15000000619329512,-0.019838919270114275,-0.19541554234001524,0.8661506213247776,0.909068807028234,0.04486407499643974
0,262144,0.06301777048793156,0.22797936701681465,2.2097301483154297,12.203882247209549,0.2559989164583385,0.15000000689178705,-0.08930074537056498,-0.34244855702854693,0.8281567930243909,0.9202224053442478,0.09289835306117311
0,393216,0.07271884547662921,0.18410454376135021,2.1154576148837805,12.224976532161236,0.2559989152941853,0.1500000066589564,-0.05007762245440972,-0.29571265971753746,0.8467225404456258,0.9126243181526661,0.0835097897797823
0,524288,0.09572448098333552,0.19325082295108587,2.2216481752693653,12.226125188171864,0.25599891622550786,0.1500000065425411,0.026582043265079847,-0.3094509420916438,0.8417574698105454,0.9226004895754158,0.0792627552873455
0,655360,0.08211395528633147,0.199451471446082,2.187686363235116,12.232260890305042,0.25599891832098365,0.15000000642612576,-0.019004221816885547,-0.306818408658728,0.841133464127779,0.917029807344079,0.0887265867786482
0,786432,0.08427756480523385,0.19610791839659214,2.164503514766693,12.2383733689785,0.25599891575984657,0.15000000630971044,-0.02497516282653578,-0.29121893434785306,0.851411011070013,0.9138041199184954,0.09195711102802306
0,917504,0.08576318615814671,0.19975243811495602,2.2074133791029453,12.236168704926968,0.25599891413003206,0.15000000677537173,-0.05575992111698724,-0.322514402680099,0.8465106314979494,0.9181376029737294,0.09102668048581108
0,1048576,0.1107644647709094,0.17303866834845394,2.2157558109611273,12.28300303965807,0.25599891506135464,0.15000000630971044,0.022555485760676675,-0.3216210347600281,0.8539892849512398,0.9175197584554553,0.0849451050744392
0,1179648,-0.021056893840669395,0.24031463213890675,2.0580313012997307,12.041884430249532,0.25599891806642217,0.15000000805904468,-0.47879929188328485,0.07505034533751315,0.7974477462967238,0.875465315580368,0.082792131791745
0,1310720,-0.02093232569131942,0.24149400321766734,2.0653751380741596,12.028693087399006,0.2559989190194756,0.1500000081723556,-0.46274414588697255,0.10518715967373282,0.7919954410754144,0.874114390462637,0.08062511135358363
0,1441792,0.012855739968927082,0.251754718599841,2.1413034833967686,12.071552507579327,0.25599891715683043,0.15000000759027898,-0.21237452689092606,-0.15376291948996368,0.8158104419708252,0.9167106002569199,0.0825387891381979
0,1572864,0.08595040379441343,0.19609239441342652,2.2143322713673115,12.237006887793541,0.25599891575984657,0.15000000642612576,-0.09721007905318402,-0.3275016045663506,0.8486370383761823,0.9169702962972224,0.08293160574976355
0,1703936,0.11166706518270075,0.1615056813461706,2.150883449241519,12.268050506711006,0.25599891506135464,0.15000000630971044,0.026377300138847204,-0.29803061787970364,0.8571001901291311,0.9154927441850305,0.08695662074023858
0,1835008,0.09515511756762862,0.1811499345349148,2.165110168978572,12.245626583695412,0.25599891622550786,0.15000000630971044,0.016949746102909558,-0.310982886236161,0.8432582523673773,0.917541763279587,0.09443196648498997
0,1966080,0.06963813843321986,0.19826995907351375,2.147893523797393,12.261472776532173,0.25599891343154013,0.15000000630971044,-0.056223227926238906,-0.30077443877235055,0.8471938762813807,0.9121475638821721,0.10755504010012373
0,2097152,0.0839097962307278,0.18620135250966996,2.166394740343094,12.303876250982285,0.25599891622550786,0.15000000630971044,-0.035921226161008235,-0.33053576201200485,0.8468366176821291,0.9112005494534969,0.09683565818704665
0,2228224,0.5070627264341844,-0.19934800793067553,2.389663992325465,12.866032707691193,0.25599890982111295,0.15000000596046448,0.6308906991067245,-0.6126764136859371,0.945670006374518,0.8892972496151924,0.004820993770845234
0,2359296,0.5154879463370889,-0.19252769579179585,2.3757502753287554,12.851637803018093,0.25599890970624983,0.15000000596046448,0.6170017635449767,-0.6330233849585056,0.9458766947500408,0.8918983330950141,0.005287207699439023
0,2490368,0.3594222292304039,-0.0423479222736205,2.234116967767477,12.559501551091671,0.25599891087040305,0.15000000596046448,0.4732291700784117,-0.5314328782260418,0.9023084146901965,0.9043537862598896,0.02855856887617847
0,2621440,0.15651233779499307,0.13936689728870988,2.227263495326042,12.318512789905071,0.2559989131987095,0.15000000619329512,0.13151854050374823,-0.38088003592565656,0.8552787280641496,0.9193528760224581,0.07238410293939523
0,2752512,0.09200289397267625,0.19452293554786593,2.195505054667592,12.226688906550407,0.25599891785532236,0.1500000065425411,-0.02657323216635632,-0.3166620822157711,0.8376205982640386,0.9163527553901076,0.07951880613109097
0,2883584,0.11333042208570987,0.17855174094438553,2.192212814465165,12.260723106563091,0.25599891575984657,0.15000000642612576,0.004444887046702206,-0.33244105777703226,0.85427330667153,0.920897014439106,0.08215492498129606
0,3014656,0.1141219261335209,0.17389428440947086,2.1809311881661415,12.288820318877697,0.25599891459569335,0.15000000630971044,0.019916725063012564,-0.3311731347348541,0.8507216875441372,0.9209576584398746,0.0906794227194041
0,3145728,0.11188804713310674,0.17257195059210062,2.192127028480172,12.304099775850773,0.25599891459569335,0.15000000596046448,0.043734581384342164,-0.33106566965579987,0.8491879110224545,0.9182218643836677,0.08959194272756577
