attempt,collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/contact_penalty,rew/terminal_bonus,rew/total_reward
0,131072,-0.002038338754729807,-7.136356678852374e-05,-0.0011067843531691324,0.003662109375,0.0004461457156139659
0,262144,-0.002310530147951795,-0.00017003015079808392,-0.001390487011121877,0.0040283203125,0.0001586467374181666
0,393216,-0.0022170375550558674,-0.00013626042965597662,-0.0013113787899783347,-0.004302978515625,-0.007966481097810174
0,524288,-0.0022559747194463853,-0.0001434059674920718,-0.0012941386321472237,0.0014190673828125,-0.0022733562964276643
0,655360,-0.0022343331365846097,-0.00013471714152046843,-0.0013396221120274276,-0.0019378662109375,-0.005645112953061471
0,786432,-0.0022488625236292137,-0.00010901293296683434,-0.001308158826759609,0.0001678466796875,-0.0034972675243807316
0,917504,-0.002234680938272504,-0.0001241289060658346,-0.0013231276516307844,0.00054931640625,-0.003131667694560747
0,1048576,-0.0022411883055610815,-0.00012468098577755882,-0.0012756239493683097,-0.0008544921875,-0.004495038767799997
0,1179648,-0.0022346828591253143,-0.00012153598078157302,-0.0013182769107515924,0.000213623046875,-0.003459814888628898
0,1310720,-0.003326862826725119,-0.0001568485346297166,-0.001648154299800808,-0.0027008056640625,-0.007827601998997125
0,1441792,-0.0025104208070843015,-0.00011649607830577224,-0.0013949484573458903,-0.0018157958984375,-0.005834846468587784
0,1572864,-0.0023053522054397035,-0.00011348958429380218,-0.0012749913312291028,-0.0017852783203125,-0.0054781127419119
0,1703936,-0.002199223617935786,-0.00010647980462863416,-0.0012589036159624811,-0.00067138671875,-0.004235179423176305
0,1835008,-0.0022075863744248636,-0.00011991908456820966,-0.0013427531284833094,0.000152587890625,-0.0035166897032468114
0,1966080,-0.0022750788975827163,-0.0001243494219806962,-0.001370670557662379,-0.0003204345703125,-0.004089872457370802
0,2097152,-0.0022969863694015658,-0.00012787951817472276,-0.0013320321877472452,6.103515625e-05,-0.0036948557394680392
0,2228224,-0.0022832963695691433,-0.00011970922145110308,-0.001270990414013795,3.0517578125e-05,-0.0036425600919756107
0,2359296,-0.0020016612979816273,-1.3319591460003721e-05,-0.0007549721917712304,0.0020751953125,-0.0006947366046006209
0,2490368,-0.002281006749399239,-4.929030066591622e-05,-0.0009531861260256846,0.0016937255859375,-0.0015896055078883364
0,2621440,-0.002306902355485363,-0.00010343230985654372,-0.001219248236338899,0.0007171630859375,-0.0029118617831045412
0,2752512,-0.0022278224696492543,-0.00012944358559252578,-0.001296152472605172,-0.0004425048828125,-0.004094643216376426
0,2883584,-0.0022450081651186338,-0.00010551206702302807,-0.0012521683229351765,-0.0004425048828125,-0.004044122722916654
0,3014656,-0.00222605904127704,-0.00010402720329238946,-0.0012882719047411229,-0.000244140625,-0.0038617257609985245
0,3145728,-0.0022473738663393306,-0.00011440120346151161,-0.001301563249398896,9.1552734375e-05,-0.0035711730438379163
0,3276800,-0.0022544959756487515,-0.00012020810981994146,-0.0013036192503932398,4.57763671875e-05,-0.0036315104398454423
0,3407872,-0.0006385744936778792,-9.683402630855653e-06,-0.0018627166136866435,0.0012054443359375,-0.0013055301724307355
0,3538944,-0.0017047901619662298,-8.363930291466204e-05,-0.0016416300168202724,0.0017852783203125,-0.0016442373671452515
0,3670016,-0.002151576572941849,-0.0001318749665415453,-0.00138384336787567,0.001068115234375,-0.002598112606392533
0,3801088,-0.0021555293951678323,-0.00012890475164795134,-0.0013449591451717424,-0.000457763671875,-0.0040859940672817174
0,3932160,-0.002191905115978443,-0.00011654616861278555,-0.0013137522810211522,-0.000213623046875,-0.0038348555544871488
0,4063232,-0.0022091671053203754,-0.00014230229658096505,-0.0014312467710624333,-0.0004425048828125,-0.004224077141770977
0,4194304,-0.00229372412286466,-0.00013690969626622973,-0.0014315888465716853,-0.0001678466796875,-0.0040291213745149435
0,4325376,-0.0023147226493165363,-0.0001449904069090735,-0.001399873342961655,-0.001068115234375,-0.00492614498898547
0,4456448,-0.0031337917698692763,-3.6948688034499355e-05,-0.0011665702531900024,-4.57763671875e-05,-0.004382952768537507
0,4587520,-0.002650840984642855,-9.000368829958916e-05,-0.0013713766284126905,-0.0004425048828125,-0.004553535643026407
0,4718592,-0.002245557782771357,-0.00011958845036019738,-0.0014482253754977137,-0.0021820068359375,-0.005994034183459007
0,4849664,-0.0022283566704572877,-0.00012938173460952385,-0.0014771831274629221,-0.000213623046875,-0.004047513946716208
0,4980736,-0.002253682943774038,-0.0001300424765418029,-0.0014239629472285742,-0.000518798828125,-0.004325530435380642
0,5111808,-0.002203929752795375,-0.00015655508434520016,-0.0014717828416905832,-0.0002593994140625,-0.004090286042355729
0,5242880,-0.002170542256862973,-0.00015426193800749388,-0.0015079008153406903,0.0001068115234375,-0.003724370216787065
1,5373952,-0.0020780149282444427,-7.393070256328862e-05,-0.0011504190069899778,0.0036163330078125,0.00031436916106031276
1,5505024,-0.003091036176556372,-4.622111509888782e-05,-0.0010598113444757473,0.0003814697265625,-0.0038142030898598023
1,5636096,-0.0027154042745678453,-5.698256418895653e-05,-0.0010715543476180756,-9.1552734375e-05,-0.003935060953608627
1,5767168,-0.002396835598119651,-8.321564916968782e-05,-0.001193920925288694,-0.001983642578125,-0.005656912589984131
1,5898240,-0.00227421634735947,-0.00010501211346536365,-0.001252888328053814,-0.0001220703125,-0.003753439526008151
1,6029312,-0.0022703337635903154,-0.00013229116240154326,-0.0013350584149520728,-0.0005035400390625,-0.0042403979823575355
1,6160384,-0.002261236602862482,-0.00012759978602616684,-0.0012508417430581176,1.52587890625e-05,-0.0036236402120266575
1,6291456,-0.0022639685339527205,-0.00010826425938148532,-0.0013033308296144241,0.0005645751953125,-0.003110341603132838
1,6422528,-0.0022258642748056445,-0.0001233263318454192,-0.0013460200289046043,-0.00030517578125,-0.003999540032509685
1,6553600,-0.003035822123820253,-6.790081749841193e-05,-0.0006706618994485325,-0.0003662109375,-0.004140595719036355
1,6684672,-0.002625771732709836,-9.91578063178622e-05,-0.0009671426373643044,-9.1552734375e-05,-0.0037830369219591375
1,6815744,-0.0023781891131875454,-9.911714641930303e-05,-0.0011696860633492179,-0.00201416015625,-0.005660486607666826
1,6946816,-0.0022953563293413026,-0.00010926677379075045,-0.0013221556273492752,0.0004119873046875,-0.003314194229460554
1,7077888,-0.0022766358706576284,-0.0001198630686189972,-0.0013033979384999839,-0.0004119873046875,-0.004110926196062792
1,7208960,-0.002206230785304797,-0.0001161780058396289,-0.001321326906690956,-0.000335693359375,-0.0039789283032405365
1,7340032,-0.0022403356415452436,-0.00013316627291715122,-0.0013076937684672885,0.000244140625,-0.0034362668011453934
2,7471104,-0.001960869604957338,-5.932885281835498e-05,-0.0011097679016529582,0.0040283203125,0.000898565184115796
2,7602176,-0.002833534705132479,-5.152696088828179e-05,-0.0008760143932704523,-0.0007171630859375,-0.004478209572880587
2,7733248,-0.0025876653144223383,-7.928927961131649e-05,-0.001021586584556644,-0.0002288818359375,-0.003917111288046726
2,7864320,-0.0023087842855602503,-0.00010222524696246182,-0.0011142676589770417,-0.0027923583984375,-0.006317180896530772
2,7995392,-0.0021836887626704993,-0.00014059743693906057,-0.0013297307241373346,-0.000244140625,-0.003897208493526705
2,8126464,-0.0022434200527641224,-0.00011769407444717217,-0.001323921272160078,-0.0006103515625,-0.00429487957899255
