attempt,collected_frames,action/v_mean,action/w_mean,action/front_mean,action/rear_mean
0,131072,0.6000000238418579,0.0,-0.0021820068359375,0.002716064453125
0,262144,0.6000000238418579,0.0,-0.00348663330078125,-0.00298309326171875
0,393216,0.6000000238418579,0.0,-0.00168609619140625,0.000244140625
0,524288,0.6000000238418579,0.0,0.002227783203125,0.00154876708984375
0,655360,0.6000000238418579,0.0,-0.00086212158203125,0.0001678466796875
0,786432,0.6000000238418579,0.0,-0.00067901611328125,0.0041351318359375
0,917504,0.6000000238418579,0.0,-0.00162506103515625,-0.00363922119140625
0,1048576,0.6000000238418579,0.0,0.0064239501953125,-0.00104522705078125
0,1179648,0.6000000238418579,0.0,0.001007080078125,0.00107574462890625
0,1310720,0.6000000238418579,0.0,-0.26123046875,0.08036041259765625
0,1441792,0.6000000238418579,0.0,-0.00022125244140625,-0.0023345947265625
0,1572864,0.6000000238418579,0.0,0.00385284423828125,-0.0004730224609375
0,1703936,0.6000000238418579,0.0,0.00266265869140625,-0.0032958984375
0,1835008,0.6000000238418579,0.0,-0.00423431396484375,-0.0034332275390625
0,1966080,0.6000000238418579,0.0,-0.00641632080078125,-0.00162506103515625
0,2097152,0.6000000238418579,0.0,-0.0075225830078125,-0.00658416748046875
0,2228224,0.6000000238418579,0.0,0.01148223876953125,-0.006622314453125
0,2359296,0.6000000238418579,0.0,-0.02025604248046875,-0.0382537841796875
0,2490368,0.6000000238418579,0.0,-0.0042877197265625,-0.0048065185546875
0,2621440,0.6000000238418579,0.0,-0.000244140625,-0.00203704833984375
0,2752512,0.6000000238418579,0.0,0.0024261474609375,0.00037384033203125
0,2883584,0.6000000238418579,0.0,-0.00119781494140625,-0.00070953369140625
0,3014656,0.6000000238418579,0.0,0.00222015380859375,0.00064849853515625
0,3145728,0.6000000238418579,0.0,0.00171661376953125,-0.0003509521484375
0,3276800,0.6000000238418579,0.0,-0.00433349609375,-0.0031280517578125
0,3407872,0.6000000238418579,0.0,0.0004730224609375,-6.866455078125e-05
0,3538944,0.6000000238418579,0.0,0.00199127197265625,-0.00101470947265625
0,3670016,0.6000000238418579,0.0,0.00388336181640625,0.00238800048828125
0,3801088,0.6000000238418579,0.0,0.003204345703125,-0.0021514892578125
0,3932160,0.6000000238418579,0.0,-0.00553131103515625,0.01325225830078125
0,4063232,0.6000000238418579,0.0,-0.03295135498046875,0.0131988525390625
0,4194304,0.6000000238418579,0.0,-0.0321197509765625,-0.00144195556640625
0,4325376,0.6000000238418579,0.0,-0.03951263427734375,0.00771331787109375
