attempt,collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean
0,131072,0.0004461457720026374,0.9980208333333334,131072,0.0009995833333333334,0.034755952656269073,0.05541238561272621,-0.019256407395005226,-0.047491349279880524
0,262144,0.00015864675515331328,0.9960416666666667,262144,0.0009991666666666669,0.03830317035317421,0.056686561554670334,-0.10954497009515762,-0.13299831748008728
0,393216,-0.007966481149196625,0.9940625,393216,0.0009987500000000003,0.027944128960371017,0.05756837874650955,-0.24086610972881317,-0.27941617369651794
0,524288,-0.002273356541991234,0.9920833333333333,524288,0.0009983333333333335,0.031492143869400024,0.015630532056093216,-0.32393255829811096,-0.32242411375045776
0,655360,-0.005645113065838814,0.9901041666666667,655360,0.000997916666666667,0.04206814616918564,0.03351754695177078,-0.2697787284851074,-0.27445974946022034
0,786432,-0.003497267607599497,0.988125,786432,0.0009975000000000003,0.029217585921287537,0.014879428781569004,-0.30048251152038574,-0.2900267243385315
0,917504,-0.0031316676177084446,0.9861458333333334,917504,0.0009970833333333335,0.023339768871665,0.015664175152778625,-0.3001333773136139,-0.2898216247558594
0,1048576,-0.004495038650929928,0.9841666666666666,1048576,0.000996666666666667,0.03891553729772568,0.02393321506679058,-0.2837672829627991,-0.3018714487552643
0,1179648,-0.0034598149359226227,0.9821875,1179648,0.0009962500000000002,0.03167591989040375,0.09616460651159286,-0.24696213006973267,-0.3223898410797119
0,1310720,-0.007827602326869965,0.9802083333333333,1310720,0.0009958333333333336,0.037835605442523956,0.13419485092163086,-0.18446557223796844,-0.06828507781028748
0,1441792,-0.005834846757352352,0.9782291666666667,1441792,0.000995416666666667,0.01870095729827881,0.029190942645072937,-0.05322680249810219,-0.03558150678873062
0,1572864,-0.005478112958371639,0.97625,1572864,0.0009950000000000002,0.02843583934009075,0.019405748695135117,-0.06641225516796112,-0.08225803077220917
0,1703936,-0.004235179163515568,0.9742708333333333,1703936,0.0009945833333333336,0.04582217335700989,0.04976437985897064,-0.08126898109912872,-0.11233730614185333
0,1835008,-0.003516689408570528,0.9722916666666667,1835008,0.000994166666666667,0.0322255939245224,0.16288329660892487,-0.15136821568012238,-0.023696109652519226
0,1966080,-0.004089872352778912,0.9703125,1966080,0.0009937500000000003,0.07145186513662338,0.16170166432857513,-0.4108072519302368,-0.3226005733013153
0,2097152,-0.003694855608046055,0.9683333333333334,2000000,0.0009933333333333337,0.019114335998892784,0.1573283076286316,-0.356035977602005,-0.47105541825294495
0,2228224,-0.00364256021566689,0.9663541666666666,2000000,0.0009929166666666671,0.009803108870983124,0.030197812244296074,-0.4443355202674866,-0.46334487199783325
0,2359296,-0.0006947367219254375,0.964375,2000000,0.0009925000000000003,0.010182604193687439,0.014883147552609444,-0.4400574564933777,-0.42801547050476074
0,2490368,-0.0015896055847406387,0.9623958333333333,2000000,0.0009920833333333337,0.009944446384906769,0.024415509775280952,-0.44039463996887207,-0.41746097803115845
0,2621440,-0.0029118615202605724,0.9604166666666667,2000000,0.000991666666666667,0.009668290615081787,0.02114839479327202,-0.43642109632492065,-0.41800451278686523
0,2752512,-0.004094643052667379,0.9584375,2000000,0.0009912500000000004,0.00840790756046772,0.01619475521147251,-0.43347540497779846,-0.42058348655700684
0,2883584,-0.0040441229939460754,0.9564583333333333,2000000,0.0009908333333333338,0.007525274064391851,0.01685701124370098,-0.4331200122833252,-0.4187767207622528
