attempt,collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
0,131072,0.00014495849609375,0.0,0.0
0,262144,0.0003509521484375,0.0,0.0
0,393216,0.00030517578125,0.0,0.0
0,524288,0.00029754638671875,0.0,0.0
0,655360,0.0003814697265625,0.0,0.0
0,786432,0.00025177001953125,0.0,0.0
0,917504,0.0002593994140625,0.0,0.0
0,1048576,0.0002593994140625,0.0,0.0
0,1179648,0.0002899169921875,0.0,0.0
0,1310720,0.0008390495576054217,0.00013530685240963856,0.0
0,1441792,0.00048828125,0.00019073486328125,0.0
0,1572864,0.0002288818359375,3.814697265625e-05,0.0
0,1703936,0.0002288818359375,0.0,0.0
0,1835008,0.00026702880859375,0.0,0.0
0,1966080,0.00017547607421875,0.0,0.0
0,2097152,0.00026702880859375,0.0,0.0
0,2228224,0.000244140625,7.62939453125e-06,0.0
0,2359296,1.1030449924698795e-05,0.0,0.0
0,2490368,4.57763671875e-05,0.0,0.0
0,2621440,0.000152587890625,0.0,0.0
0,2752512,0.0003509521484375,0.0,0.0
0,2883584,0.00029754638671875,0.0,0.0
0,3014656,0.000213623046875,0.0,0.0
0,3145728,0.0001678466796875,0.0,0.0
0,3276800,0.00028228759765625,0.0,0.0
0,3407872,0.0,0.0,0.0
0,3538944,0.000152587890625,0.0,0.0
0,3670016,0.0002899169921875,0.0,0.0
0,3801088,0.0003204345703125,0.0,0.0
0,3932160,0.0002593994140625,7.62939453125e-06,0.0
0,4063232,0.00030517578125,0.0,0.0
0,4194304,0.000244140625,0.0,0.0
0,4325376,0.00040435791015625,0.0,0.0
0,4456448,5.662297628012048e-05,0.0,0.0
0,4587520,0.00028228759765625,7.62939453125e-06,0.0
0,4718592,0.0003509521484375,0.0,0.0
0,4849664,0.00026702880859375,0.0,0.0
0,4980736,0.00025177001953125,0.0,0.0
0,5111808,0.00035858154296875,0.0,0.0
0,5242880,0.000396728515625,0.0,0.0
1,5373952,0.0001068115234375,0.0,0.0
1,5505024,0.00024119917168674698,1.470726656626506e-05,0.0
1,5636096,0.00011444091796875,0.0,0.0
1,5767168,0.00019073486328125,0.0,0.0
1,5898240,0.00020599365234375,0.0,0.0
1,6029312,0.00022125244140625,0.0,0.0
1,6160384,0.000213623046875,0.0,0.0
1,6291456,0.00017547607421875,0.0,0.0
1,6422528,0.0002288818359375,0.0,0.0
1,6553600,2.206089984939759e-06,0.0,0.0
1,6684672,0.00016021728515625,0.0,0.0
1,6815744,0.00018310546875,0.0,0.0
1,6946816,0.00016021728515625,0.0,0.0
1,7077888,0.0002593994140625,0.0,0.0
1,7208960,0.0001373291015625,0.0,0.0
1,7340032,0.000213623046875,0.0,0.0
2,7471104,6.103515625e-05,0.0,0.0
2,7602176,9.55972326807229e-06,6.618269954819277e-06,0.0
2,7733248,6.866455078125e-05,1.52587890625e-05,0.0
2,7864320,0.00012969970703125,0.0,0.0
2,7995392,0.0002593994140625,0.0,0.0
2,8126464,0.0001373291015625,0.0,0.0
2,8257536,0.00012969970703125,0.0,0.0
3,7471104,0.0001068115234375,0.0,0.0
3,7602176,0.0003463561276355422,1.470726656626506e-06,0.0
3,7733248,0.0003814697265625,0.0,0.0
3,7864320,0.00029754638671875,0.0,0.0
3,7995392,9.1552734375e-05,0.0,0.0
3,8126464,0.00020599365234375,0.0,0.0
3,8257536,0.000152587890625,0.0,0.0
3,8388608,0.000244140625,0.0,0.0
3,8519680,0.000152587890625,0.0,0.0
3,8650752,4.044498305722892e-05,0.0,0.0
3,8781824,3.814697265625e-05,0.0,0.0
3,8912896,6.103515625e-05,0.0,0.0
3,9043968,5.340576171875e-05,0.0,0.0
3,9175040,0.00011444091796875,0.0,0.0
3,9306112,0.00011444091796875,0.0,0.0
3,9437184,6.103515625e-05,0.0,0.0
3,9568256,0.00016021728515625,7.62939453125e-06,0.0
3,9699328,0.00011030449924698795,1.470726656626506e-06,0.0
3,9830400,0.00014495849609375,0.0,0.0
3,9961472,0.00011444091796875,0.0,0.0
3,10092544,9.1552734375e-05,0.0,0.0
3,10223616,0.0001983642578125,0.0,0.0
3,10354688,0.00012969970703125,0.0,0.0
3,10485760,0.00012969970703125,0.0,0.0
3,10616832,0.00020599365234375,0.0,0.0
3,10747904,0.00021178463855421687,0.0,0.0
3,10878976,0.000152587890625,0.0,0.0
3,11010048,0.00019073486328125,0.0,0.0
3,11141120,7.62939453125e-05,0.0,0.0
3,11272192,0.00016021728515625,0.0,0.0
3,11403264,6.866455078125e-05,0.0,0.0
3,11534336,4.57763671875e-05,0.0,0.0
3,11665408,5.340576171875e-05,0.0,0.0
3,11796480,0.0,0.0,0.0
3,11927552,3.0517578125e-05,0.0,0.0
3,12058624,0.00023651123046875,0.0,0.0
3,12189696,0.00016021728515625,0.0,0.0
3,12320768,4.57763671875e-05,0.0,0.0
3,12451840,3.0517578125e-05,0.0,0.0
3,12582912,5.340576171875e-05,0.0,0.0
3,12713984,0.0001220703125,0.0,0.0
3,12845056,7.20656061746988e-05,1.470726656626506e-06,0.0
3,12976128,5.340576171875e-05,7.62939453125e-06,0.0
3,13107200,7.62939453125e-06,0.0,0.0
3,13238272,3.0517578125e-05,0.0,0.0
3,13369344,0.00012969970703125,0.0,0.0
3,13500416,0.0001220703125,0.0,0.0
3,13631488,0.0001373291015625,0.0,0.0
3,13762560,6.103515625e-05,0.0,0.0
3,13893632,0.0,0.0,0.0
3,14024704,7.62939453125e-06,0.0,0.0
3,14155776,0.00011444091796875,7.62939453125e-06,0.0
3,14286848,0.0001068115234375,0.0,0.0
