collected_frames,rew/potential_shaping,rew/step_penalty,rew/joint_vel_variance,rew/roll,rew/roll_rate,rew/pitch,rew/pitch_rate,rew/terminal_bonus,rew/total_reward
557056,0.28605115960817784,-0.20136560257768443,-0.24538674403447658,-0.0063357510371133685,-0.09710903879022226,-0.014167929730319884,-0.08759315335191786,-0.002885393478209153,-0.36879245133604854
573440,0.2670678208814934,-0.20136560257768443,-0.246253558434546,-0.006657686801190721,-0.09701980883255601,-0.014319460940896533,-0.08705526741687208,-0.004759472358273342,-0.3903630382847041
589824,0.29234955785796046,-0.20136560257768443,-0.244006720604375,-0.007085269156959839,-0.10850718594156206,-0.015681815093557816,-0.09510113199939951,-0.005899545649299398,-0.3852977135684341
606208,0.3302538829157129,-0.20136560257768443,-0.24564802774693817,-0.005422967537015211,-0.09890135607565753,-0.014960948516090866,-0.0882104781921953,-0.0031704118009656668,-0.3274259101017378
622592,0.2979198896791786,-0.20136560257768443,-0.24551338364835829,-0.006286805462877965,-0.10117180732777342,-0.013423365620838013,-0.08901366963982582,-0.00023438944481313229,-0.359089131699875
638976,0.25323286978527904,-0.20136560257768443,-0.24327105877455324,-0.007172110370447626,-0.09867014636984095,-0.016019282236811705,-0.08888371556531638,-0.003947336954297498,-0.40609638555906713
655360,0.2427187532885,-0.20136560257768443,-0.24448546499479562,-0.007652056821825681,-0.09106547536794096,-0.01573510377056664,-0.08659484912641346,-0.0004412779526319355,-0.4046210739761591
671744,0.26815396919846535,-0.20136560257768443,-0.24349515663925558,-0.006804930948419496,-0.08950390544487163,-0.01205465589009691,-0.07989098009420559,-0.0008044260903261602,-0.3657656912691891
688128,0.34178536443505436,-0.20136560257768443,-0.24327153188642114,-0.005296826964695356,-0.10105366964126006,-0.014325891341286479,-0.08928638845100068,-0.00011334006558172405,-0.3129278849810362
704512,0.2838002947391942,-0.20136560257768443,-0.24450751359108835,-0.007227523801702773,-0.1028923726407811,-0.01637705627217656,-0.09263344050850719,-0.004638422979041934,-0.3858416371513158
720896,0.18481831229291856,-0.20136560257768443,-0.2449772300897166,-0.006428577435144689,-0.10019609273876995,-0.014741203580342699,-0.08712947304593399,-0.003291461180197075,-0.4733113448601216
737280,0.27091527939774096,-0.20136560257768443,-0.24388591258320957,-0.006968662164581474,-0.10943166335346177,-0.01542607274313923,-0.09339209157042205,-0.0009254754695575684,-0.40048020356334746
753664,0.28537014592438936,-0.20136560257768443,-0.2461046507814899,-0.007041900506010279,-0.10649053973611444,-0.015532196783169638,-0.0873596629826352,-0.003006442857440561,-0.38153084903024137
770048,0.35320711601525545,-0.20136560257768443,-0.24327277473639697,-0.005204010170928086,-0.1064405077486299,-0.012400681764120236,-0.08801467643934302,-0.0019092891307082027,-0.3054004245204851
786432,0.3082857374101877,-0.20136560257768443,-0.2448241685051471,-0.0071901357878232375,-0.1129084833082743,-0.014657251587777864,-0.09227873495547101,-0.0010894444130826741,-0.3660280847689137
802816,0.31239510397426784,-0.20136560257768443,-0.24425704358145595,-0.006764963865862228,-0.1077313584391959,-0.015955875926010776,-0.09409609076101333,-0.005856626085005701,-0.36363245733082294
819200,0.2934548920020461,-0.20136560257768443,-0.24306760425679386,-0.0071505500745843165,-0.10607775778044015,-0.01531047691241838,-0.09050629107514396,-0.006469582294812426,-0.37649297423195094
835584,0.2942280466668308,-0.20136560257768443,-0.24287047807592899,-0.0072412765366607346,-0.10961668728850782,-0.01456419284659205,-0.09030352649278939,-0.0009683950338512659,-0.3727021114900708
851968,0.32420916378032416,-0.20136560257768443,-0.24202496430370957,-0.005536824764931225,-0.10534557921346277,-0.015797419255250134,-0.0980280305375345,-0.004310485091991723,-0.34819974162383005
868352,0.31077905651181936,-0.20136560257768443,-0.24107945372816175,-0.005438489097286947,-0.09754838794469833,-0.016154211094544735,-0.09085915511241183,-0.003861497825710103,-0.34552773949690163
884736,0.30594428069889545,-0.20136560257768443,-0.24392302322667092,-0.006710088568070205,-0.10807843698421493,-0.01636751568003092,-0.0964471991173923,-0.001659481058595702,-0.368607061682269
901120,0.2840156414313242,-0.20136560257768443,-0.24325730244163424,-0.006820124650403159,-0.10956878255819902,-0.01774788308830466,-0.09765718108974397,0.0015615596203133464,-0.390839678584598
917504,0.32193081686273217,-0.20136560257768443,-0.245793538633734,-0.007090745224559214,-0.11440317879896611,-0.016576324611378368,-0.0961894043139182,-0.007894673879491165,-0.3673826490994543
933888,0.34512512548826635,-0.20136560257768443,-0.24472296168096364,-0.005516520299352123,-0.10011863594991155,-0.01538691114546964,-0.09137962700333446,-0.0033343807444907725,-0.3166995148640126
950272,0.2952599704731256,-0.20136560257768443,-0.24170113599393517,-0.005774845390988048,-0.10087850148556754,-0.016819247051898856,-0.08931082207709551,0.0032287499925587326,-0.35736143472604454
966656,0.2937723209615797,-0.20136560257768443,-0.2424613875336945,-0.005949615861027269,-0.09405718295602128,-0.015061027697811369,-0.08599375851918012,-0.004474454035516828,-0.355590709252283
983040,0.29002458159811795,-0.20136560257768443,-0.24472335109021515,-0.006377522615366615,-0.10310643538832664,-0.01428991792636225,-0.08615529944654554,-0.0018234500021208078,-0.3678170007187873
999424,0.3061211460735649,-0.20136560257768443,-0.2433200137456879,-0.006605560702155344,-0.10544115223456174,-0.015626170119503513,-0.09139751072507352,-0.003576479502953589,-0.36121134809218347
1015808,0.3472564162220806,-0.20136560257768443,-0.24472539324779063,-0.004275603285350371,-0.09909518726635724,-0.014250762666051742,-0.09061409762944095,-0.0026003751263488084,-0.3096706041833386
1032192,0.31479610106907785,-0.20136560257768443,-0.24341255275066942,-0.005635976212943206,-0.10461317229783162,-0.015003253494796809,-0.08854266221169382,-0.000683376711094752,-0.3444604934193194
1048576,0.25883092067670077,-0.20136560257768443,-0.2428331256378442,-0.0064130236860364676,-0.09621384367346764,-0.018243967737362254,-0.08594949226244353,-0.005001571116736159,-0.39718970470130444
1064960,0.27770856430288404,-0.20136560257768443,-0.24363734084181488,-0.006249989935895428,-0.08787774777738377,-0.01871607339126058,-0.09057504771044478,-0.0025574555911589414,-0.37327069276943803
1081344,0.2805496118962765,-0.20136560257768443,-0.24297609669156373,-0.005973377566988347,-0.09550223255064338,-0.01593697749194689,-0.08759293402545154,-0.002151387889171019,-0.3709489948814735
1097728,0.3431676833424717,-0.20136560257768443,-0.24317831348162144,-0.004264899494955898,-0.09567001421237364,-0.013101175718475133,-0.08477502048481256,0.0018817881937138736,-0.2973055537440814
1114112,0.2959724240936339,-0.20136560257768443,-0.24375422822777182,-0.00491580705238448,-0.08993538541835733,-0.013625046398374252,-0.08308317454066128,0.0003356472006998956,-0.3403711720602587
1130496,0.2660876860609278,-0.20136560257768443,-0.24185124621726573,-0.005764648247350124,-0.0858864287729375,-0.012890182573755737,-0.08012947568204254,-0.0034554301237221807,-0.3652553262654692
1146880,0.2557653160765767,-0.20136560257768443,-0.2433307901956141,-0.005511997071153019,-0.08732567582046613,-0.015025816370325629,-0.08107704171561636,0.0040838049608282745,-0.37378780357539654
1163264,0.26564306870568544,-0.20136560257768443,-0.2428140628617257,-0.005040019950683927,-0.08835476730018854,-0.014999965038441587,-0.08018783538136631,-0.002885393478209153,-0.3700045763980597
