attempt,collected_frames,state/lin_velocity,state/lin_velocity_max,state/lin_velocity_min,state/ang_velocity,state/ang_velocity_max,state/ang_velocity_min,state/roll,state/roll_max,state/roll_min,state/pitch,state/pitch_max,state/pitch_min,state/success_lin_velocity,state/lin_vel_mean,state/lin_vel_max,state/lin_vel_min,state/ang_vel_mean,state/ang_vel_max,state/ang_vel_min,state/roll_rate_mean,state/pitch_rate_mean,state/yaw_rate_mean,state/yaw_rate_max,state/vel_fwd_mean,state/vel_lat_abs_mean,state/v_toward_mean,state/approach_frac,state/heading_err_deg_mean,state/heading_err_deg_max,state/assist_w_mean,state/roll_deg_mean,state/roll_deg_max,state/roll_deg_min,state/pitch_deg_mean,state/pitch_deg_max,state/pitch_deg_min,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/clearance_max,state/pct_healthy,state/heading_err_deg,state/heading_err_deg_min,state/yaw_rate,state/yaw_rate_min
0,131072,0.36506198020651937,1.1358467075042427,0.024053839345924644,0.2405431860825047,2.121477702166885,0.00821740941501048,8.149109144994782e-05,0.04095458427127596,-0.03602449738946234,-0.06359130058967821,0.7160193610616261,-1.0245706469008837,0.08135092398151755,0.36505968775600195,1.1358467075042427,0.024053839345924644,0.2406024297233671,2.1225714436732233,0.00821740941501048,0.07477746458607726,0.2000120995217003,0.03357465923909331,0.643640317604877,0.33181095658801496,0.01588491746224463,0.3317637749714777,0.6877993692178279,0.3915303754620254,6.371197480126284,0.0,0.08337352717353497,2.881289875600487,4.667805693509691e-05,12.329314765927847,59.44693623209605,0.0004453581683474539,4.336140375584364,0.0822337547533607,-0.052774133160710335,0.31657074484974146,1.0,,,,
0,262144,0.2207749388180673,1.1595798647031188,0.0027498675538026873,0.2063833432039246,2.2579659996554255,0.007667613725061528,0.0001619460476547374,0.03244578728481429,-0.031513066445768345,-0.13619242329150438,0.7968662618659437,-1.3417352372780442,0.43391817808151245,0.22080053202807903,1.1595798647031188,0.0027498675538026873,0.20677843573503196,2.262682942673564,0.007667613725061528,0.07287250418448821,0.16086423001252115,0.03918872453505173,0.6370330827776343,0.18311706359963864,0.01422325472231023,0.18307793396525085,0.4698318534065038,0.3663318590261042,9.348328243941069,0.0,0.06858327280497178,2.3368946630507708,4.721240763416734e-05,15.895329870283604,79.31728851795197,0.0005630450970599554,3.9284707121551037,0.0988596688839607,-0.06929155602119863,0.3352773061487824,1.0,,,,
0,393216,0.2736844179453328,1.2174682701006532,0.003001571486947796,0.21986922807991505,2.4073573611676693,0.007952859640226961,0.00013811949739572782,0.04775741961202584,-0.03634045727812918,-0.09679365475312807,0.8032584199681878,-1.3143902439624071,0.4381870261859149,0.2737065233523026,1.221936502493918,0.003001571486947796,0.22013375465758145,2.410666301846504,0.007952859640226961,0.07416097511304542,0.1754465961130336,0.03760527339181863,0.7033236720599234,0.23756073019467294,0.014837455542874523,0.2375273776706308,0.5544584272429347,0.3413161685457453,9.487512767314911,0.0,0.07303207344375551,3.2284592520445585,4.6626857101939034e-05,14.011468105018139,76.87141644954681,0.0004651800929025285,4.143645361065865,0.0919501303578727,-0.06835294258780777,0.34335112455300987,1.0,,,,
0,524288,0.2565374858677387,1.227457816246897,0.0028992470552111627,0.21317499922588468,2.4041921235620975,0.008517836684404756,0.00014839449797676707,0.05007644498255104,-0.03493658500519814,-0.09378601424396038,0.8293417068198323,-1.3366494243964553,0.4800049443729222,0.2565479730255902,1.2284293142147362,0.0028992470552111627,0.21347473037894815,2.4073204807937145,0.008517836684404756,0.07340571901295334,0.16808514529839158,0.03808875539107248,0.6265207000542432,0.22004021028988063,0.014592865598388016,0.21999129524920136,0.5312515157274902,0.3835146175697446,11.883824780583382,0.0,0.07137302577029914,3.0807102229446173,3.8178026263935294e-05,14.197961494326591,78.52392899990082,0.00038911589381218636,3.9436765275895596,0.09303545276634395,-0.06898286985233426,0.35161229502409697,1.0,,,,
0,655360,0.2476328278426081,1.2215677611529827,0.0027653755680603354,0.20781229878775775,2.303395226597786,0.007881047515184036,0.00017874583576826808,0.04083729498961475,-0.030784303147811443,-0.10565981833497062,0.8814775748178363,-1.3118958789855242,0.4949670422356576,0.2476362403249368,1.2215677611529827,0.0027653755680603354,0.20799752650782466,2.303395226597786,0.007881047515184036,0.07344117370666936,0.16206667432561517,0.03832086329930462,0.605013603810221,0.21235433302354068,0.014517437753966078,0.212302784784697,0.5223611234687269,0.37458497984334826,13.088559832423925,0.0,0.07042579777771607,2.573152048047632,4.1157342846265266e-05,13.8341691121459,76.85078716278076,0.0003891614714026659,4.022689187899232,0.09139640210196376,-0.06945625692605972,0.3483261119108647,1.0,,,,
0,786432,0.2567132187541574,1.2371384114958346,0.003029333551239688,0.21397798357065767,2.3201657477766275,0.008046879659559636,0.00016032044709390902,0.040607861505122855,-0.04328749080741545,-0.09741281729657203,0.8927832031622529,-1.3291661720722914,0.5209393389523029,0.2567255262983963,1.2410214538685977,0.003029333551239688,0.214179033995606,2.3234027586877346,0.008046879659559636,0.07412252679932863,0.16867791872937232,0.0381239092675969,0.5706856970209628,0.22053090145345777,0.014730219540069811,0.22048303636256605,0.5310400009620935,0.3763845730572939,11.548077592626214,0.0,0.07274407226941548,4.171165376901627,4.157573904195466e-05,13.976520642638206,77.9358691573143,0.0004220289010987699,3.981575571000576,0.09340035769855604,-0.06930175144225359,0.34044691640883684,1.0,,,,
0,917504,0.2524490748764947,1.2342398934997618,0.0028474990419908863,0.21298616891726851,2.4706114465370774,0.007687027235078858,0.00015273874461740888,0.04415895552665461,-0.03648524608433945,-0.10761402145726606,0.840591311454773,-1.3047736510634422,0.509248990798369,0.2524665262317285,1.2342398934997618,0.0028474990419908863,0.21323285216931254,2.48270380217582,0.007687027235078858,0.07316394126974046,0.16812115476932377,0.038129485212266445,0.61100131762214,0.21593360463157296,0.014650589611846954,0.2158970182063058,0.5288699930533767,0.3739389884285629,12.316369615495205,0.0,0.07024148979689926,4.326825228519738,5.056578609963225e-05,14.356984205543995,76.46853148937225,0.0004558458787506936,3.9367372523993254,0.09203536855056882,-0.06947693531401455,0.3354693977162242,1.0,,,,
0,1048576,0.26005031319800764,1.2633941103704274,0.0028160100671357213,0.21462993056047708,2.3648231169208884,0.007178222401307721,0.0001047718440432277,0.04384053608373506,-0.033447066678490955,-0.10594473051605746,0.8739750827662647,-1.3340226523578167,0.4941181519534439,0.26005543349310756,1.2633941103704274,0.0028160100671357213,0.21487222099676728,2.3648231169208884,0.007178222401307721,0.07334124768385664,0.1701137595809996,0.037629730824846774,0.6317048517521471,0.2239819618407637,0.014590703394787852,0.22392426792066544,0.5385278293397278,0.3926197621040046,13.77408230304718,0.0,0.06797069555614144,2.822285448666662,4.451297007851407e-05,13.911782868206501,78.32285797595978,0.0003390630919888338,3.962385496124625,0.08912947558565065,-0.06921672611497343,0.3365815735887736,1.0,,,,
0,1179648,0.26579860722025234,1.6404674304525058,0.008922424087613763,0.17964901513109605,2.6952491137882073,0.006939352297389026,4.2957796579183124e-05,0.04002128472740878,-0.038539551675736826,-0.08037720625558659,1.2938907545518608,-0.7365885283187769,0.3249951659639676,0.2534838125575334,1.2567563774064183,0.0027794531406470924,0.21160887950100005,2.4411849649623036,0.00789370751772367,0.0740558790275827,0.16595236351713538,0.03790110905538313,0.6146421974990517,0.21835364017169923,0.01462914637522772,0.21828159294091165,0.5348970680497587,0.4234946588985622,16.84513297304511,0.0,0.07371242038789205,3.209596407599747,4.126648076452355e-05,14.014623038470745,76.75902092456818,0.0004320851243946322,3.982197718694806,0.09032858314458281,-0.0691541782580316,0.34376772306859493,1.0,,,,
0,1310720,0.25804966397117823,1.774353388696909,0.002609872281027492,0.1807302973465994,2.962458837777376,0.006809908828472544,-1.4582976559651684e-06,0.03036749898456037,-0.030165678879711777,-0.08709443645784631,1.3719233879819512,-0.7645629583857954,0.433770970441401,0.26596155986526465,1.680861888924636,0.008313985359268097,0.18179196120991584,2.835712645113109,0.006926875818457317,0.0731641135812479,0.1261251864461116,0.049441118050697654,0.7654123002191983,0.22703095945650262,0.017502311986368934,0.22583151711375418,0.5098874379883531,1.3990257575894784,86.76462180063083,0.0,0.09291254451564311,30.841134444089516,3.578337267662457e-05,9.584800826362475,78.48615394588224,0.00523626453059354,4.353612245385905,0.23116570847375978,0.009311272953468633,0.3859429266752608,1.0,,,,
