attempt,collected_frames,pan/theta_star_front,pan/theta_star_rear,pan/argmax_bin_front,pan/argmax_bin_rear,pan/pivot_half_base_m,pan/min_hinge_reach_m,pan/flipper_delta_front,pan/flipper_delta_rear,pan/contact_front,pan/contact_rear,pan/contact_bellied
0,131072,0.08333618759934325,0.15943926476393244,2.0042417207732797,12.126213870942593,0.25599891133606434,0.15000000619329512,-0.02261175820240169,-0.1974262125477253,0.8673793417401612,0.9114769613370299,0.04108234483283013
0,262144,0.08112234674626961,0.23374745401088148,2.305900691077113,12.177789829671383,0.2559989173896611,0.15000000724103302,-0.09731335967080668,-0.34906858834438026,0.8345995671115816,0.92622214788571,0.08435599942458794
0,393216,0.09657876138226129,0.19212605303619057,2.165784620679915,12.215016759932041,0.25599891506135464,0.15000000619329512,-0.04769137083349051,-0.30066198541317135,0.8472869545221329,0.9214808330871165,0.06653236143756658
0,524288,0.11193306918721646,0.1863878662697971,2.2005621772259474,12.283089391887188,0.2559989173896611,0.1500000066589564,-0.025507968599640662,-0.3338571288622916,0.852495507337153,0.9215802904218435,0.07546540530165657
0,655360,0.0862025308306329,0.18864061869680882,2.1595694981515408,12.305331155657768,0.2559989155270159,0.15000000619329512,-0.08026603143662214,-0.34026564401574433,0.8497195248492062,0.915790022816509,0.0900780416559428
0,786432,0.09979790961369872,0.1866275507491082,2.1946976128965616,12.257407143712044,0.25599891575984657,0.15000000630971044,-0.04257233751982881,-0.3312304434366524,0.8513648905791342,0.9197799880057573,0.0817392265307717
0,917504,0.08849802866461687,0.19844822399318218,2.181717414408922,12.28238671272993,0.25599891459569335,0.15000000630971044,-0.05066131923558714,-0.33090688451193273,0.8413384994491935,0.9184212205000222,0.09118611377198249
0,1048576,0.08394448336912319,0.19410447485279292,2.153504814952612,12.254567824304104,0.2559989169239998,0.15000000630971044,-0.04381719251978211,-0.3033171312417835,0.8447200674563646,0.9211203679442406,0.08748114720219746
0,1179648,-0.016656562629274656,0.0769218312658389,1.8386743770043055,12.66749172925949,0.25599891766905786,0.1500000074878335,-1.5307131983933506,-1.4180879886696736,0.813559695382913,0.889606033662955,0.0
0,1310720,-0.024677542640574757,0.08057467977050692,1.827297231182456,12.67996683716774,0.2559989197179675,0.15000000782310963,-1.5369022991508245,-1.4188101598992944,0.8096607960760593,0.8922218410298228,0.0
