attempt,collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/contact_penalty,rew/terminal_bonus,rew/total_reward
0,131072,-0.0020552168426917206,-7.146439398515725e-05,-0.001100154816867871,0.003875732421875,0.0006492267123121565
0,262144,-0.0023474296467611566,-0.00017232018092272483,-0.0013250346446511685,0.0035247802734375,-0.0003183579033247952
0,393216,-0.002243592204649758,-0.00011586655244855137,-0.0012295045899008983,-0.0046539306640625,-0.00824191682977471
0,524288,-0.002276903056554147,-0.00010593667246894256,-0.0012388759523673798,0.0009613037109375,-0.0026591431933411513
0,655360,-0.002269190728839021,-0.00010358466667526045,-0.0013144291870048619,-0.0010833740234375,-0.004769730885072931
0,786432,-0.0022798643713031197,-0.00012455773548936122,-0.001275154497307085,-4.57763671875e-05,-0.0037244237159939075
0,917504,-0.002278169389683171,-0.000131655015763954,-0.00133925027330406,0.0008697509765625,-0.0028784022078980342
0,1048576,-0.0022498496382468147,-0.00013099770472990713,-0.0013055726140009938,-0.00067138671875,-0.004356735637884412
0,1179648,-0.0023117444161471212,-0.00010762986255485885,-0.0013052994718236732,0.0001068115234375,-0.003616921471348178
0,1310720,-0.0042158342512266245,-7.763475261413078e-05,-0.0013657560593856033,-0.002655029296875,-0.008308577846946719
0,1441792,-0.0032454629454150563,-3.9149256664927634e-05,-0.001203456454732077,-0.00103759765625,-0.005524180777683796
0,1572864,-0.00259076212932996,-6.745044193223748e-05,-0.0011796355706792383,-0.00164794921875,-0.005485373006649752
0,1703936,-0.002271651201226632,-0.00010244992824937071,-0.0012676253409154015,-0.0015411376953125,-0.005182090374091786
0,1835008,-0.002246208165161079,-0.00011352753364235468,-0.001345278175904241,0.00048828125,-0.00321551541583176
0,1966080,-0.0022419667166104773,-0.00012364705361278538,-0.001341695683549915,0.0004730224609375,-0.0032333757781088934
0,2097152,-0.0022379184774763416,-0.00013552515974879498,-0.001327099060290493,3.0517578125e-05,-0.0036691537784463435
0,2228224,-0.0022551841066160705,-0.0001052795612963564,-0.0012221856513860985,-0.0003662109375,-0.003947873969536886
0,2359296,-0.002913329066359438,-2.852453373947128e-05,-0.0010344765414629364,0.000457763671875,-0.0035183870909349935
0,2490368,-0.0026773654117278056,-6.761773241237279e-05,-0.0011579569118111976,0.00067138671875,-0.0032314048444277432
0,2621440,-0.00238379682014056,-0.00011325487912472454,-0.0012158424233348342,0.0001983642578125,-0.0035139937690473744
0,2752512,-0.0022967123513808474,-0.0001147188128243215,-0.001215355781823746,0.0003204345703125,-0.003305570979591721
0,2883584,-0.00225520844469429,-0.00012315162757658982,-0.001250000093023118,-0.0010833740234375,-0.004710407657512405
0,3014656,-0.0022381830622180132,-0.0001124871535012062,-0.0012058013107889565,-0.00030517578125,-0.0038610471856372897
0,3145728,-0.002294301706569968,-0.00011924135549179482,-0.0011910535276911105,0.000396728515625,-0.0032070933430077275
0,3276800,-0.002313865899850498,-0.0001005657517794134,-0.001219432073412463,-0.0003662109375,-0.003999433870376379
0,3407872,-0.004042604714413756,-9.372460922918435e-05,-0.0012278393833184964,-0.002899169921875,-0.00825786431096276
0,3538944,-0.0032158883750526,-3.5960332581908006e-05,-0.0012174596276963712,-0.0010528564453125,-0.005520925051769154
0,3670016,-0.0026067445760418195,-6.98945489716607e-05,-0.0011272936308159842,-0.001312255859375,-0.005115764548008883
