attempt,collected_frames,action/v_mean,action/w_mean,action/front_mean,action/rear_mean
0,131072,0.6000000238418579,0.0,-0.00423431396484375,0.0001373291015625
0,262144,0.6000000238418579,0.0,0.0014495849609375,-0.000823974609375
0,393216,0.6000000238418579,0.0,-0.00377655029296875,0.00218963623046875
0,524288,0.6000000238418579,0.0,-0.00478363037109375,-0.0015716552734375
0,655360,0.6000000238418579,0.0,-0.0033416748046875,-0.00385284423828125
0,786432,0.6000000238418579,0.0,4.57763671875e-05,-0.003570556640625
0,917504,0.6000000238418579,0.0,-0.0105743408203125,-0.00054931640625
0,1048576,0.6000000238418579,0.0,-0.00550079345703125,-0.00357818603515625
0,1179648,0.6000000238418579,0.0,-0.00415802001953125,-0.0051116943359375
0,1310720,0.6000000238418579,0.0,-0.8038177490234375,-0.7872161865234375
0,1441792,0.6000000238418579,0.0,-0.01888275146484375,-0.017669677734375
0,1572864,0.6000000238418579,0.0,-0.0066680908203125,-0.00626373291015625
0,1703936,0.6000000238418579,0.0,0.014373779296875,-0.00731658935546875
0,1835008,0.6000000238418579,0.0,0.00777435302734375,-0.00067138671875
0,1966080,0.6000000238418579,0.0,0.00397491455078125,0.0074310302734375
0,2097152,0.6000000238418579,0.0,-0.00592041015625,-0.0174713134765625
0,2228224,0.6000000238418579,0.0,-0.0058135986328125,-0.01122283935546875
0,2359296,0.6000000238418579,0.0,0.076141357421875,-0.177886962890625
0,2490368,0.6000000238418579,0.0,-0.001251220703125,-0.01239776611328125
0,2621440,0.6000000238418579,0.0,-0.01326751708984375,-0.0189056396484375
0,2752512,0.6000000238418579,0.0,-0.01795196533203125,-0.0154876708984375
0,2883584,0.6000000238418579,0.0,-0.0168914794921875,-0.009002685546875
0,3014656,0.6000000238418579,0.0,-0.01548004150390625,-0.011810302734375
0,3145728,0.6000000238418579,0.0,-0.01493072509765625,-0.0250091552734375
0,3276800,0.6000000238418579,0.0,-0.019317626953125,-0.019439697265625
0,3407872,0.6000000238418579,0.0,-0.6909561157226562,-0.5728073120117188
0,3538944,0.6000000238418579,0.0,-0.0234832763671875,-0.02877044677734375
0,3670016,0.6000000238418579,0.0,-0.0237579345703125,-0.02292633056640625
0,3801088,0.6000000238418579,0.0,-0.03044891357421875,-0.0087127685546875
0,3932160,0.6000000238418579,0.0,-0.026519775390625,-0.0176239013671875
0,4063232,0.6000000238418579,0.0,-0.01428985595703125,-0.01483154296875
0,4194304,0.6000000238418579,0.0,-0.03533935546875,-0.01755523681640625
0,4325376,0.6000000238418579,0.0,-0.0348052978515625,-0.00875091552734375
0,4456448,0.6000000238418579,0.0,-0.5111846923828125,-0.2148895263671875
0,4587520,0.6000000238418579,0.0,-0.03227996826171875,-0.02252960205078125
0,4718592,0.6000000238418579,0.0,-0.03708648681640625,-0.00032806396484375
0,4849664,0.6000000238418579,0.0,-0.0323638916015625,-0.01361846923828125
0,4980736,0.6000000238418579,0.0,-0.03765106201171875,-0.007354736328125
0,5111808,0.6000000238418579,0.0,-0.03420257568359375,-0.0221710205078125
0,5242880,0.6000000238418579,0.0,-0.02492523193359375,-0.02899169921875
1,5373952,0.6000000238418579,0.0,-0.0169677734375,-0.0552215576171875
1,5505024,0.6000000238418579,0.0,-0.39495849609375,-0.1053924560546875
1,5636096,0.6000000238418579,0.0,-0.03786468505859375,-0.06485748291015625
1,5767168,0.6000000238418579,0.0,-0.0341796875,-0.01151275634765625
1,5898240,0.6000000238418579,0.0,-0.03733062744140625,-0.010406494140625
1,6029312,0.6000000238418579,0.0,-0.02878570556640625,-0.0663604736328125
1,6160384,0.6000000238418579,0.0,-0.03765106201171875,-0.02646636962890625
1,6291456,0.6000000238418579,0.0,-0.03524017333984375,-0.033050537109375
1,6422528,0.6000000238418579,0.0,-0.02802276611328125,-0.0430908203125
1,6553600,0.6000000238418579,0.0,-0.487213134765625,-0.4290618896484375
1,6684672,0.6000000238418579,0.0,-0.05852508544921875,-0.0463409423828125
1,6815744,0.6000000238418579,0.0,-0.043060302734375,-0.01235198974609375
1,6946816,0.6000000238418579,0.0,-0.0448455810546875,-0.05152130126953125
1,7077888,0.6000000238418579,0.0,-0.04433441162109375,-0.06446075439453125
1,7208960,0.6000000238418579,0.0,-0.06238555908203125,-0.04508209228515625
1,7340032,0.6000000238418579,0.0,-0.0189361572265625,-0.0567626953125
1,7471104,0.6000000238418579,0.0,-0.02231597900390625,-0.06006622314453125
1,7602176,0.6000000238418579,0.0,-0.641265869140625,-0.1216888427734375
1,7733248,0.6000000238418579,0.0,-0.0156402587890625,-0.0439453125
1,7864320,0.6000000238418579,0.0,-0.05733489990234375,-0.03043365478515625
1,7995392,0.6000000238418579,0.0,-0.056427001953125,-0.01612091064453125
1,8126464,0.6000000238418579,0.0,-0.054840087890625,-0.01441192626953125
1,8257536,0.6000000238418579,0.0,-0.067108154296875,-0.0735321044921875
1,8388608,0.6000000238418579,0.0,-0.05875396728515625,-0.01305389404296875
1,8519680,0.6000000238418579,0.0,-0.0499725341796875,-0.0310211181640625
1,8650752,0.6000000238418579,0.0,-0.04734039306640625,-0.01171112060546875
1,8781824,0.6000000238418579,0.0,-0.03253936767578125,-0.050689697265625
1,8912896,0.6000000238418579,0.0,-0.000457763671875,-0.0954437255859375
1,9043968,0.6000000238418579,0.0,-0.05583953857421875,-0.04925537109375
1,9175040,0.6000000238418579,0.0,-0.0177154541015625,-0.0578460693359375
1,9306112,0.6000000238418579,0.0,-0.10089874267578125,-0.03551483154296875
1,9437184,0.6000000238418579,0.0,-0.08673095703125,-0.07965850830078125
1,9568256,0.6000000238418579,0.0,-0.058624267578125,-0.03870391845703125
1,9699328,0.6000000238418579,0.0,-0.32373046875,-0.7161865234375
1,9830400,0.6000000238418579,0.0,0.0011138916015625,-0.0987701416015625
1,9961472,0.6000000238418579,0.0,-0.06307220458984375,-0.06000518798828125
1,10092544,0.6000000238418579,0.0,-0.10997772216796875,-0.07452392578125
1,10223616,0.6000000238418579,0.0,-0.092987060546875,0.0147552490234375
1,10354688,0.6000000238418579,0.0,-0.0552978515625,-0.03372955322265625
1,10485760,0.6000000238418579,0.0,0.03923797607421875,-0.1112518310546875
1,10616832,0.6000000238418579,0.0,-0.06478118896484375,-0.10187530517578125
1,10747904,0.6000000238418579,0.0,-0.373931884765625,0.006072998046875
1,10878976,0.6000000238418579,0.0,-0.046661376953125,-0.03588104248046875
1,11010048,0.6000000238418579,0.0,-0.0830841064453125,-0.01016998291015625
1,11141120,0.6000000238418579,0.0,-0.12689208984375,0.06027984619140625
1,11272192,0.6000000238418579,0.0,-0.06238555908203125,-0.03246307373046875
1,11403264,0.6000000238418579,0.0,-0.077178955078125,-0.0732879638671875
1,11534336,0.6000000238418579,0.0,0.05202484130859375,-0.12122344970703125
1,11665408,0.6000000238418579,0.0,-0.03360748291015625,-0.11121368408203125
1,11796480,0.6000000238418579,0.0,-0.1940155029296875,-0.02655029296875
1,11927552,0.6000000238418579,0.0,-0.0531005859375,-0.04869842529296875
1,12058624,0.6000000238418579,0.0,-0.03469085693359375,-0.0806732177734375
1,12189696,0.6000000238418579,0.0,-0.06430816650390625,-0.146636962890625
1,12320768,0.6000000238418579,0.0,-0.037445068359375,-0.03049468994140625
1,12451840,0.6000000238418579,0.0,-0.02228546142578125,-0.044708251953125
1,12582912,0.6000000238418579,0.0,-0.09037017822265625,-0.041748046875
1,12713984,0.6000000238418579,0.0,-0.06427001953125,-0.06314849853515625
1,12845056,0.6000000238418579,0.0,-0.2293548583984375,-0.00811767578125
1,12976128,0.6000000238418579,0.0,-0.01470184326171875,-0.107086181640625
1,13107200,0.6000000238418579,0.0,-0.0434417724609375,-0.06467437744140625
1,13238272,0.6000000238418579,0.0,-0.05016326904296875,-0.17086029052734375
1,13369344,0.6000000238418579,0.0,-0.07056427001953125,-0.1553802490234375
1,13500416,0.6000000238418579,0.0,-0.0645751953125,0.02794647216796875
1,13631488,0.6000000238418579,0.0,-0.05126190185546875,-0.06307220458984375
1,13762560,0.6000000238418579,0.0,-0.12259674072265625,-0.05228424072265625
1,13893632,0.6000000238418579,0.0,-0.2005767822265625,-0.0754241943359375
1,14024704,0.6000000238418579,0.0,0.002471923828125,-0.00710296630859375
1,14155776,0.6000000238418579,0.0,-0.02079010009765625,-0.143524169921875
1,14286848,0.6000000238418579,0.0,-0.0380401611328125,-0.05498504638671875
1,14417920,0.6000000238418579,0.0,-0.08231353759765625,-0.07524871826171875
1,14548992,0.6000000238418579,0.0,-0.0526580810546875,-0.14698028564453125
1,14680064,0.6000000238418579,0.0,-0.04497528076171875,-0.043670654296875
1,14811136,0.6000000238418579,0.0,-0.0718994140625,-0.0751190185546875
1,14942208,0.6000000238418579,0.0,0.03244781494140625,-0.06134033203125
1,15073280,0.6000000238418579,0.0,-0.16088104248046875,-0.0018768310546875
1,15204352,0.6000000238418579,0.0,-0.0232391357421875,-0.03534698486328125
1,15335424,0.6000000238418579,0.0,-0.03784942626953125,-0.1028900146484375
1,15466496,0.6000000238418579,0.0,-0.0531158447265625,-0.0140228271484375
1,15597568,0.6000000238418579,0.0,-0.0832672119140625,-0.046600341796875
1,15728640,0.6000000238418579,0.0,-0.07611083984375,-0.1681060791015625
1,15859712,0.6000000238418579,0.0,-0.09926605224609375,-0.18538665771484375
1,15990784,0.6000000238418579,0.0,-0.0947723388671875,-0.15686798095703125
1,16121856,0.6000000238418579,0.0,-0.142608642578125,-0.20865631103515625
1,16252928,0.6000000238418579,0.0,-0.01575469970703125,-0.21417999267578125
1,16384000,0.6000000238418579,0.0,-0.085479736328125,-0.006988525390625
1,16515072,0.6000000238418579,0.0,-0.05316925048828125,-0.033935546875
1,16646144,0.6000000238418579,0.0,-0.1472320556640625,-0.06258392333984375
1,16777216,0.6000000238418579,0.0,-0.07202911376953125,-0.14475250244140625
1,16908288,0.6000000238418579,0.0,-0.1245880126953125,-0.048126220703125
1,17039360,0.6000000238418579,0.0,-0.44876861572265625,-0.00449371337890625
1,17170432,0.6000000238418579,0.0,-0.05609130859375,-0.00379180908203125
1,17301504,0.6000000238418579,0.0,-0.06125640869140625,-0.07604217529296875
1,17432576,0.6000000238418579,0.0,0.00836944580078125,-0.18701934814453125
1,17563648,0.6000000238418579,0.0,-0.08832550048828125,0.05580902099609375
1,17694720,0.6000000238418579,0.0,-0.104278564453125,-0.0760040283203125
1,17825792,0.6000000238418579,0.0,-0.07903289794921875,-0.1291656494140625
1,17956864,0.6000000238418579,0.0,0.04773712158203125,0.00403594970703125
1,18087936,0.6000000238418579,0.0,0.0197601318359375,-0.6923370361328125
1,18219008,0.6000000238418579,0.0,-0.04573822021484375,-0.0467987060546875
1,18350080,0.6000000238418579,0.0,-0.0517120361328125,-0.123779296875
1,18481152,0.6000000238418579,0.0,-0.05355072021484375,-0.0529937744140625
1,18612224,0.6000000238418579,0.0,-0.07125091552734375,-0.09130096435546875
1,18743296,0.6000000238418579,0.0,-0.0544281005859375,-0.2568359375
