attempt,collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean,train/extrinsic_reward_mean,train/icm_loss_forward,train/icm_loss_inverse,train/icm_intrinsic_reward_mean
0,131072,0.0006492265965789557,0.9980208333333334,131072,0.0004997916666666667,0.023041538894176483,0.20440633594989777,-0.11062531173229218,0.033379703760147095,-0.00301110721193254,0.0013835158897563815,2.1990113258361816,0.0013588399160653353
0,262144,-0.00031835795380175114,0.9960416666666667,262144,0.0004995833333333334,0.011489799246191978,0.04119085893034935,-0.04259577766060829,-0.029460787773132324,-0.003565790131688118,0.0005065479199402034,2.197089910507202,0.0004976218333467841
0,393216,-0.008241916075348854,0.9940625,393216,0.0004993750000000001,0.009303620085120201,0.021511929109692574,-0.05514955520629883,-0.05779649317264557,-0.0036494459491223097,0.00020278333977330476,2.1974470615386963,0.00020010123262181878
0,524288,-0.0026591431815177202,0.9920833333333333,524288,0.0004991666666666667,0.01501203328371048,0.022015150636434555,-0.09645070880651474,-0.07973353564739227,0.0042017558589577675,9.592577407602221e-05,2.194781541824341,9.544205386191607e-05
0,655360,-0.004769731312990189,0.9901041666666667,655360,0.0004989583333333335,0.020444024354219437,0.03710894659161568,-0.12298064678907394,-0.14763891696929932,-0.01159653253853321,5.243725536274724e-05,2.197622060775757,5.2997274906374514e-05
0,786432,-0.0037244237028062344,0.988125,786432,0.0004987500000000002,0.033813685178756714,0.03369560465216637,-0.126119926571846,-0.087419793009758,0.01979474350810051,3.5046872653765604e-05,2.197173833847046,3.521329563227482e-05
0,917504,-0.0028784023597836494,0.9861458333333334,917504,0.0004985416666666668,0.020906591787934303,0.016174696385860443,-0.15266789495944977,-0.14512331783771515,0.003989284858107567,2.5786192054511048e-05,2.197763204574585,2.5029987227753736e-05
0,1048576,-0.00435673538595438,0.9841666666666666,1048576,0.0004983333333333335,0.02406698651611805,0.0226841252297163,-0.22719039022922516,-0.23191094398498535,-0.0191962793469429,1.9888188035110943e-05,2.197531223297119,2.0140201741014607e-05
0,1179648,-0.003616921603679657,0.9821875,1179648,0.0004981250000000001,0.017295677214860916,0.019517788663506508,-0.2998981773853302,-0.28954747319221497,0.003793140407651663,2.284177935507614e-05,2.1966593265533447,2.31042031373363e-05
0,1310720,-0.008308577351272106,0.9802083333333333,1310720,0.0004979166666666668,0.02478679083287716,0.021385056897997856,-0.2558298110961914,-0.23590236902236938,-0.003872707486152649,0.003068199148401618,2.103847026824951,0.0031111235730350018
0,1441792,-0.005524180829524994,0.9782291666666667,1441792,0.0004977083333333335,0.014742949046194553,0.07566051185131073,-0.23457469046115875,-0.18014675378799438,-0.003794587217271328,0.000672826252412051,2.0959901809692383,0.0006635795580223203
0,1572864,-0.005485373083502054,0.97625,1572864,0.0004975000000000001,0.028065921738743782,0.09361793845891953,-0.17581284046173096,-0.25470972061157227,-0.011494196951389313,0.0002637202851474285,2.100771903991699,0.000248266092967242
0,1703936,-0.00518209021538496,0.9742708333333333,1703936,0.0004972916666666668,0.012411560863256454,0.027802852913737297,-0.23975102603435516,-0.224383145570755,-0.003951643593609333,0.0008178975549526513,2.058121919631958,0.000804310489911586
0,1835008,-0.0032155155204236507,0.9722916666666667,1835008,0.0004970833333333335,0.01658826321363449,0.023089129477739334,-0.168229877948761,-0.1677601933479309,-0.01176471821963787,0.0001612132618902251,2.0865705013275146,0.00015845298185013235
0,1966080,-0.0032333757262676954,0.9703125,1966080,0.0004968750000000001,0.034945785999298096,0.04246353358030319,-0.31831833720207214,-0.3295573890209198,-0.0039543285965919495,0.0005800800281576812,2.178382635116577,0.0005527897737920284
0,2097152,-0.0036691538989543915,0.9683333333333334,2097152,0.0004966666666666668,0.0008022083784453571,0.011869647540152073,-0.27158021926879883,-0.27732211351394653,-0.003954222891479731,0.00015758366498630494,2.187258243560791,0.00014554595691151917
0,2228224,-0.00394787359982729,0.9663541666666666,2228224,0.0004964583333333336,0.0008292984566651285,0.0061597665771842,-0.289480596780777,-0.2893984615802765,-0.003909240942448378,7.331790402531624e-05,2.127403974533081,7.324902981054038e-05
0,2359296,-0.003518387209624052,0.964375,2359296,0.0004962500000000002,0.007876921445131302,0.008733506314456463,-0.2840929329395294,-0.27393025159835815,0.0038630878552794456,0.00012018073175568134,2.1114935874938965,0.00011991661449428648
0,2490368,-0.0032314048148691654,0.9623958333333333,2490368,0.0004960416666666669,0.000426494050770998,0.004729222971946001,-0.28712818026542664,-0.28753116726875305,-0.003981645219027996,0.00011088689643656835,2.1360926628112793,0.00011282406194368377
0,2621440,-0.0035139936953783035,0.9604166666666667,2621440,0.0004958333333333335,0.013549165800213814,0.012281832285225391,-0.3054644763469696,-0.30697566270828247,-0.003696202766150236,0.00010758079588413239,2.129300355911255,0.00010985116387018934
0,2752512,-0.003305570688098669,0.9584375,2752512,0.0004956250000000002,0.013131433166563511,0.007808986119925976,-0.2956959903240204,-0.29584580659866333,-0.0035654704552143812,0.00026738207088783383,2.1421682834625244,0.0002712170244194567
0,2883584,-0.0047104074619710445,0.9564583333333333,2883584,0.0004954166666666669,0.00651100929826498,0.006533627863973379,-0.2956226170063019,-0.30175405740737915,-0.011181537061929703,0.0003609857230912894,2.141775131225586,0.0003759140963666141
0,3014656,-0.003861047327518463,0.9544791666666667,3014656,0.0004952083333333336,0.013344164937734604,0.009675662033259869,-0.28967344760894775,-0.28953421115875244,-0.003827849868685007,0.00019503528892528266,2.1456806659698486,0.00019066395179834217
0,3145728,-0.0032070931047201157,0.9525,3145728,0.0004950000000000003,0.000400533463107422,0.003410677658393979,-0.305583119392395,-0.303597092628479,-0.0035825329832732677,0.00013397652946878225,2.142077684402466,0.00012999240425415337
0,3276800,-0.003999433945864439,0.9505208333333334,3276800,0.000494791666666667,0.012799330055713654,0.009771687909960747,-0.28993600606918335,-0.28602343797683716,-0.003954064566642046,0.00014947207819204777,2.1437392234802246,0.00014742850908078253
0,3407872,-0.00825786404311657,0.9485416666666666,3407872,0.0004945833333333336,0.014671370387077332,0.015289186500012875,-0.27574723958969116,-0.2551272511482239,0.011668941006064415,0.0003177908656653017,2.142585039138794,0.00031210569432005286
0,3538944,-0.005520924925804138,0.9465625,3538944,0.0004943750000000003,0.007999898865818977,0.011592261493206024,-0.28980690240859985,-0.2774922251701355,0.0042763459496200085,0.00019674548821058124,2.107063055038452,0.00019649890600703657
0,3670016,-0.005115764681249857,0.9445833333333333,3670016,0.000494166666666667,0.006238728761672974,0.011021736077964306,-0.2784653902053833,-0.288254976272583,-0.011590308509767056,0.00033563157194294035,2.1461195945739746,0.00033493718365207314
