attempt,collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std
0,131072,0.36087819933891296,0.29295578598976135,0.001005213474854827,0.3292849063873291,-0.06439385563135147,0.3281667232513428,-0.06354430317878723,0.32889434695243835,0.007199019659310579,0.33050644397735596,0.007058299146592617,0.32979127764701843
0,262144,0.36142390966415405,0.2973664402961731,-7.173704216256738e-05,0.3338901400566101,-0.08177457004785538,0.3323430120944977,-0.08151260763406754,0.33110299706459045,0.031213238835334778,0.3347499966621399,0.032725535333156586,0.33312419056892395
0,393216,0.3588271737098694,0.3024890124797821,0.00024520617444068193,0.3382691740989685,-0.07931852340698242,0.3363516330718994,-0.08195647597312927,0.3328329026699066,0.034046806395053864,0.3396080732345581,0.03302391991019249,0.3367880582809448
0,524288,0.3589736223220825,0.3085956573486328,-0.001052271225489676,0.34287816286087036,-0.07915838807821274,0.33799636363983154,-0.07585392892360687,0.33277982473373413,0.033910080790519714,0.3437955975532532,0.03468210995197296,0.3401017487049103
0,655360,0.35677409172058105,0.3127167522907257,0.001560285221785307,0.3452020585536957,-0.0791388601064682,0.3387737572193146,-0.07843189686536789,0.33504539728164673,0.03353622555732727,0.3461875021457672,0.03595788776874542,0.3440653681755066
0,786432,0.35369718074798584,0.31866878271102905,0.0010710431961342692,0.34614837169647217,-0.0794505923986435,0.34235236048698425,-0.08064007759094238,0.3382703959941864,0.029326148331165314,0.3466522991657257,0.02946656383574009,0.3478349447250366
0,917504,0.35391563177108765,0.3217994272708893,-0.001037280773743987,0.35250622034072876,-0.08151070773601532,0.34457463026046753,-0.08329490572214127,0.3426935374736786,0.03684256225824356,0.34937620162963867,0.03608895093202591,0.3509984016418457
0,1048576,0.3528936505317688,0.3265843987464905,5.850166780874133e-05,0.3543857932090759,-0.08016079664230347,0.34357479214668274,-0.08155478537082672,0.34541094303131104,0.03693929687142372,0.35043948888778687,0.039278317242860794,0.3549826741218567
0,1179648,0.35218876600265503,0.33394402265548706,-0.0007189731113612652,0.35933661460876465,-0.08128117024898529,0.3458097577095032,-0.08145897835493088,0.34738433361053467,0.04251595586538315,0.35519009828567505,0.0431167334318161,0.3595643639564514
0,1310720,0.350847989320755,0.336526483297348,0.0010637741070240736,0.3628479242324829,-0.0810166671872139,0.3494466245174408,-0.08045704662799835,0.3528010845184326,0.0455511175096035,0.3550174832344055,0.04463702440261841,0.3601081371307373
0,1441792,0.3482540547847748,0.3419249951839447,-0.0009528619702905416,0.36853915452957153,-0.0788373276591301,0.3507119417190552,-0.07804691046476364,0.35063260793685913,0.04232146590948105,0.3573174774646759,0.041857898235321045,0.36028456687927246
0,1572864,0.3474246859550476,0.3444344401359558,-0.00030398485250771046,0.3679853677749634,-0.07907212525606155,0.35352981090545654,-0.07843312621116638,0.3568049371242523,0.04452778398990631,0.3603154718875885,0.04534488916397095,0.36325404047966003
0,1703936,0.34752151370048523,0.3476038873195648,-0.0006266061682254076,0.3732837736606598,-0.07721857726573944,0.35910746455192566,-0.07808832824230194,0.3584602177143097,0.04440929740667343,0.36126625537872314,0.04669751226902008,0.36463338136672974
0,1835008,0.3441554307937622,0.3544646203517914,-0.0003917248104698956,0.37679073214530945,-0.07689473032951355,0.3617282807826996,-0.07712887227535248,0.3621242642402649,0.04921866953372955,0.36622512340545654,0.05085138976573944,0.36927515268325806
0,1966080,0.3434360921382904,0.35931384563446045,2.6128371246159077e-05,0.3827369511127472,-0.07655573636293411,0.36793991923332214,-0.07550134509801865,0.36558797955513,0.05460486188530922,0.3700256049633026,0.054574742913246155,0.3680543005466461
0,2097152,0.3433559536933899,0.36335045099258423,-0.0007621633121743798,0.384057879447937,-0.07508698105812073,0.37083905935287476,-0.0750245600938797,0.369843989610672,0.05508036911487579,0.36947548389434814,0.05671784281730652,0.37258434295654297
0,2228224,0.342099130153656,0.3683074712753296,0.0006123443599790335,0.388761430978775,-0.079146608710289,0.3742029666900635,-0.07591889798641205,0.3753930628299713,0.06036961078643799,0.3718312084674835,0.05736977607011795,0.37285590171813965
0,2359296,0.3398502469062805,0.37257909774780273,-0.0017971473280340433,0.3927984833717346,-0.07805433869361877,0.3750355839729309,-0.07508941739797592,0.37595540285110474,0.06549301743507385,0.37424248456954956,0.06503903865814209,0.3741467297077179
0,2490368,0.33832284808158875,0.3767116665840149,-0.001367610995657742,0.3961816728115082,-0.07609844207763672,0.3766918182373047,-0.07493986934423447,0.37990602850914,0.06888577342033386,0.3765415847301483,0.06709600985050201,0.3794657588005066
0,2621440,0.33776968717575073,0.38098135590553284,-0.0006503649055957794,0.402423232793808,-0.07567042112350464,0.3788905739784241,-0.07547631859779358,0.3813590109348297,0.06735791265964508,0.37987422943115234,0.06830672919750214,0.3809632360935211
0,2752512,0.33796876668930054,0.38472965359687805,-0.0005098404362797737,0.4063638150691986,-0.0721285343170166,0.38338592648506165,-0.07278260588645935,0.38130325078964233,0.06693001836538315,0.38213667273521423,0.06585720926523209,0.3827667534351349
0,2883584,0.33391252160072327,0.38912951946258545,-0.0013944910606369376,0.40941256284713745,-0.07107193768024445,0.3869786262512207,-0.07006041705608368,0.38500913977622986,0.06715040653944016,0.38584378361701965,0.06811746954917908,0.3827682137489319
0,3014656,0.33393436670303345,0.3931710124015808,0.0015688554849475622,0.4137360155582428,-0.06848660856485367,0.3921490013599396,-0.07036802172660828,0.3856254816055298,0.06570616364479065,0.38774800300598145,0.06760959327220917,0.3859640955924988
0,3145728,0.3310942053794861,0.3970288038253784,0.0013884389773011208,0.4197750389575958,-0.06705256551504135,0.39433351159095764,-0.06934809684753418,0.39026981592178345,0.06683992594480515,0.39198675751686096,0.06643699109554291,0.3872140049934387
0,3276800,0.33157187700271606,0.4007229506969452,0.00126843829639256,0.4231589734554291,-0.06535947322845459,0.3980811536312103,-0.06629832088947296,0.39311906695365906,0.06737802922725677,0.393415242433548,0.06749947369098663,0.38988161087036133
0,3407872,0.32915985584259033,0.4040793478488922,-8.176604751497507e-05,0.4262208044528961,-0.0643063485622406,0.40264633297920227,-0.06492665410041809,0.3973156213760376,0.07161428034305573,0.3964462876319885,0.07154810428619385,0.3927452564239502
0,3538944,0.32730770111083984,0.4104214608669281,-0.0013408941449597478,0.4266282916069031,-0.06255795061588287,0.40297701954841614,-0.06292977929115295,0.3996463418006897,0.07137641310691833,0.39825430512428284,0.07147309184074402,0.3948867917060852
0,3670016,0.3265645205974579,0.417417049407959,-0.0003294345806352794,0.4312751293182373,-0.06297867745161057,0.4088442325592041,-0.060880351811647415,0.4007081985473633,0.0723443329334259,0.4019060730934143,0.07146629691123962,0.39799174666404724
0,3801088,0.3238373398780823,0.423101007938385,-0.001540946657769382,0.430419385433197,-0.05852586030960083,0.4079265296459198,-0.05956002324819565,0.4030102789402008,0.07219299674034119,0.4056535065174103,0.07544109225273132,0.3992278277873993
0,3932160,0.32544925808906555,0.42636409401893616,-0.0007478815387003124,0.43413904309272766,-0.06291219592094421,0.40907952189445496,-0.06456063687801361,0.4012312889099121,0.07640182226896286,0.40612494945526123,0.07638747990131378,0.3999951183795929
