collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/step_penalty,train/action_bonus_coef
131072,-0.006072615273296833,-0.7242489457130432,-0.7181763304397464,0.293175607919693,-4.012029647827148,5.747880935668945,-0.01626882143318653,-0.048424623906612396,4.014595031738281,0.017788393422961235,0.1923828125,0.293175607919693,10.652329444885254,4.633875370025635,0.0005027635788094066,0.001698572532095114,-0.05959512071534246,16.29043388277351
262144,0.05890481919050217,-1.4610865116119385,-1.5199913308024406,1.4647314548492432,-4.00509786605835,4.265287399291992,-0.026841968297958374,-0.04781023785471916,3.9636600017547607,0.013819843530654907,0.217529296875,1.4647314548492432,8.329987525939941,5.187582969665527,0.0005025839562374847,0.0016979656823158731,-0.05970135087704539,16.29043388277351
393216,0.05235140025615692,0.47489476203918457,0.42254336178302765,0.9393185973167419,-3.976177453994751,3.3336846828460693,-0.02652604877948761,-0.047304823994636536,3.9217591285705566,0.01148910354822874,0.18505859375,0.9393185973167419,7.768675327301025,7.745541095733643,0.0005024043336655628,0.0016973588325366322,-0.059807581038748316,16.29043388277351
524288,0.024398189038038254,-0.6049909591674805,-0.6293891482055187,0.17338842153549194,-3.9158401489257812,2.8091495037078857,-0.028149083256721497,-0.04641849547624588,3.848278760910034,0.007455778308212757,0.196533203125,0.17338842153549194,7.96727991104126,6.384739875793457,0.0005022247110936409,0.0016967519827573916,-0.05991381120045124,16.29043388277351
655360,0.11297371983528137,1.1096408367156982,0.9966671168804169,0.7400476932525635,-3.8753437995910645,3.417955160140991,-0.031069014221429825,-0.04587376117706299,3.8031184673309326,0.019204791635274887,0.224609375,0.7400476932525635,9.00420093536377,5.823037147521973,0.000502045088521719,0.0016961451329781507,-0.06002004136215417,16.29043388277351
786432,0.06786956638097763,0.0684533566236496,0.0005837902426719666,-0.7545206546783447,-3.785090208053589,2.9965527057647705,-0.02760889381170273,-0.04489418864250183,3.721907615661621,0.020871562883257866,0.26025390625,-0.7545206546783447,8.21622371673584,5.124761581420898,0.0005018654659497971,0.0016955382831989098,-0.0601262715238571,16.29043388277351
917504,-0.04890749976038933,-3.628485679626465,-3.5795781798660755,-1.3439184427261353,-3.7029857635498047,2.449162244796753,-0.03271028399467468,-0.04370923340320587,3.6236703395843506,0.023101773113012314,0.226806640625,-1.3439184427261353,7.86499547958374,7.137811183929443,0.0005016858433778752,0.001694931433419669,-0.060232501685560026,16.29043388277351
1048576,-0.03869831934571266,-4.401360988616943,-4.362662669271231,-0.7598062753677368,-3.659517288208008,2.505436658859253,-0.04165530949831009,-0.04347451776266098,3.6042113304138184,0.01654960587620735,0.238037109375,-0.7598062753677368,9.369050979614258,8.10598373413086,0.0005015062208059533,0.0016943245836404282,-0.060338731847262954,16.29043388277351
1179648,-0.018243908882141113,-3.0075438022613525,-2.9892998933792114,-0.6293333768844604,-3.6264472007751465,2.6206932067871094,-0.04564947634935379,-0.043105948716402054,3.573655605316162,0.020628556609153748,0.25439453125,-0.6293333768844604,9.399497032165527,6.639476299285889,0.0005013265982340313,0.0016937177338611873,-0.06044496200896588,16.29043388277351
1310720,0.22851499915122986,7.364147186279297,7.135632187128067,1.6555204391479492,-3.5875186920166016,4.454099178314209,-0.037140846252441406,-0.04246304929256439,3.5203564167022705,0.02237546630203724,0.28466796875,1.6555204391479492,12.917634010314941,8.8861083984375,0.0005011469756621094,0.0016931108840819464,-0.06055119217066881,16.29043388277351
