collected_frames,rew/pitch_penalty,rew/pan_geom_reward,rew/terminal_bonus,rew/total_reward
131072,-0.002979877155365962,0.06179238314507529,0.0043792724609375,0.06319096288643777
262144,-0.0030049075176066253,0.05115377879701555,0.0028076171875,0.05095465265912935
393216,-0.0031350773806479992,0.057430926943197846,-0.0086212158203125,0.04567337813205086
524288,-0.0036725610589201096,0.05581052979687229,0.001190185546875,0.053327369038015604
655360,-0.0029156848322600126,0.05611967126606032,-0.0048980712890625,0.048304705414921045
786432,-0.0036344459676911356,0.05542809097096324,-0.00115966796875,0.050633585724426666
917504,-0.003163021323416615,0.052783428924158216,0.000640869140625,0.050259750976692885
1048576,-0.0032830672062118538,0.056713767611654475,-0.0053253173828125,0.04810495344281662
1179648,-0.003258359258325072,0.056758257327601314,-0.00146484375,0.05203381660976447
1310720,-0.0032573993794358103,0.10205839382251725,-0.004852294921875,0.09386809103307314
1441792,-0.002991384972119704,0.09011302806902677,-0.000396728515625,0.08670404099393636
1572864,-0.0024906005473894766,0.07495239877607673,-0.0051727294921875,0.0672879591875244
1703936,-0.0033552810018591117,0.05984210016322322,-0.001708984375,0.0547765611554496
1835008,-0.003156424931148649,0.0596532647323329,-0.00201416015625,0.054480596125358716
1966080,-0.003278224323366885,0.05959285612334497,-0.00335693359375,0.05295641577686183
2097152,-0.003299704037999618,0.05727002662024461,-0.000732421875,0.05323749204399064
2228224,-0.0032558143520873273,0.059211308805970475,-0.003326416015625,0.05262820025382098
2359296,-0.004199722276098328,0.09355943842092529,-0.0025634765625,0.0867782607965637
2490368,-0.003026768707059091,0.08555212029023096,-0.0004425048828125,0.08207238290924579
2621440,-0.002424580039587454,0.0726477907737717,-0.005615234375,0.06460745660297107
2752512,-0.0033745414366421755,0.06067389031522907,-0.001678466796875,0.05562042849487625
2883584,-0.0031429101327375975,0.061125959357013926,-0.0022735595703125,0.05570817680563778
3014656,-0.0033850595391413663,0.06163773205480538,-0.0029144287109375,0.055338242986181285
3145728,-0.0032867240388441132,0.06186659590457566,-0.0005340576171875,0.05804269333020784
3276800,-0.003171928960000514,0.06315328323398717,-0.0041656494140625,0.0558152531448286
3407872,-0.0041302165991510265,0.100424348434899,-0.0038604736328125,0.09237710619345307
3538944,-0.0028791978456865763,0.09144734207075089,-6.103515625e-05,0.08849665004527196
3670016,-0.002461247418068524,0.07651416742010042,-0.00726318359375,0.06678973625093931
3801088,-0.0034166775203630095,0.06254759361036122,-0.0006256103515625,0.05850395807647146
3932160,-0.0029101900963723892,0.06450565761770122,-0.0030975341796875,0.05849793381639756
4063232,-0.0033638586155575467,0.0651739175664261,-0.002685546875,0.059123073202499654
4194304,-0.0031205335653794464,0.06286544605973177,-0.0003204345703125,0.059423132363008335
4325376,-0.0031687632927059894,0.06269571269513108,-0.004486083984375,0.05504042227403261
4456448,-0.002532401264033979,0.09878098382614553,-0.0034637451171875,0.09274519252358004
4587520,-0.0025832729079411365,0.08991704147774726,-0.0002899169921875,0.087032841227483
4718592,-0.0026309156619390706,0.07707155734533444,-0.006103515625,0.06833588890731335
4849664,-0.003321876862173667,0.0658964526373893,-0.001190185546875,0.06138299670419656
4980736,-0.0030111301748547703,0.0655774703482166,-0.002777099609375,0.0597882958536502
5111808,-0.003272529314926942,0.06544297095388174,-0.0029144287109375,0.05925554476561956
5242880,-0.0032771289261290804,0.06631187885068357,-0.0003509521484375,0.06268237382755615
5373952,-0.0031709199865872506,0.06651873129885644,-0.0040740966796875,0.059272732585668564
5505024,-0.0039526816944999155,0.10005342302611098,-0.0034027099609375,0.09265180281363428
5636096,-0.0030489881410176167,0.09090857196133584,-0.00054931640625,0.08729222806869075
5767168,-0.002542441097830306,0.07874704024288803,-0.0059967041015625,0.07020673379884101
5898240,-0.003250629823014606,0.06876229820773005,-0.0011749267578125,0.06433623871998861
6029312,-0.002997315399625222,0.06988265737891197,-0.003021240234375,0.06386308945366181
6160384,-0.0032507509968127124,0.07013428857317194,-0.00244140625,0.06444161939725745
6291456,-0.003008157042131643,0.07185150316217914,-0.0011444091796875,0.0676984173769597
6422528,-0.0030848688638798194,0.07168817735509947,-0.004547119140625,0.06405564282613341
6553600,-0.0037158320083108265,0.09836566704325378,-0.0031890869140625,0.09142097088624723
6684672,-0.0029325310642889235,0.08997917961096391,-0.0006103515625,0.08642104518366978
6815744,-0.0025483687131782062,0.07986092421924695,-0.005401611328125,0.07190978265134618
6946816,-0.003272405714596971,0.07160513172857463,-0.002044677734375,0.06628593089408241
7077888,-0.002839056922312011,0.07263408211292699,-0.0031890869140625,0.06660593816195615
7208960,-0.003222699871912482,0.07145212340401486,-0.00250244140625,0.06572543893707916
7340032,-0.00315848461650603,0.07234558585332707,-0.000396728515625,0.0687893213762436
7471104,-0.002998219475557562,0.07289838092401624,-0.0045318603515625,0.06536830100230873
7602176,-0.002734941391281609,0.1007410001475364,-0.00445556640625,0.09348750478238799
7733248,-0.002631797799040214,0.09091004484798759,0.0004730224609375,0.0887400598730892
7864320,-0.0025536950561217964,0.08070403564488515,-0.0064239501953125,0.07172638979682233
7995392,-0.0032895585591177223,0.07274801674066111,-0.00128173828125,0.06817672002944164
8126464,-0.0028118157697463175,0.07472876744577661,-0.00274658203125,0.0691703692136798
8257536,-0.0031073125846887706,0.07425448537105694,-0.003204345703125,0.06794282679038588
8388608,-0.003050585064556799,0.07526147679891437,-0.0003814697265625,0.07182886893860996
8519680,-0.002919141250458779,0.07547028228873387,-0.005096435546875,0.06745470623718575
8650752,-0.003922725647498737,0.09825724258553237,-0.0030975341796875,0.09119240997824818
8781824,-0.0028964764842385193,0.09000758157344535,-0.0007781982421875,0.08631875016726553
8912896,-0.002511934400899918,0.08125947380904108,-0.0054473876953125,0.0732995709986426
9043968,-0.0031398684695886914,0.07565189007436857,-0.002410888671875,0.07010001665912569
9175040,-0.002793823890897329,0.07744020584505051,-0.0034637451171875,0.07118206899031065
9306112,-0.0030307518663903465,0.07650195516180247,-0.0028533935546875,0.07061670039547607
9437184,-0.0028980514834984206,0.076891559001524,-0.0010833740234375,0.07291013354551978
9568256,-0.0029524453657359118,0.07485623453976586,-0.0045623779296875,0.06734086500364356
9699328,-0.003438702633502544,0.09650632401462644,-0.00225830078125,0.09078873446560465
9830400,-0.0028066619652236113,0.08976558392168954,-0.000518798828125,0.0864306470612064
9961472,-0.0025271791510022013,0.08315177098847926,-0.005859375,0.07476400656742044
10092544,-0.003059014954487793,0.078421859187074,-0.002288818359375,0.07307346290326677
10223616,-0.002598760707769543,0.08034061535727233,-0.00421142578125,0.07352984423050657
10354688,-0.0030245436319091823,0.07860521075781435,-0.00274658203125,0.07283292626379989
10485760,-0.002907645575760398,0.07846856286050752,-0.000823974609375,0.07473579770885408
10616832,-0.0029510271651815856,0.07857743662316352,-0.0051727294921875,0.07045198025298305
10747904,-0.002478694847013685,0.09935021097771823,-0.00372314453125,0.093101502279751
10878976,-0.0024116205422615167,0.0924977504182607,0.0003662109375,0.09044390131020918
11010048,-0.0025283160284743644,0.08553756965557113,-0.0069580078125,0.0760486857034266
11141120,-0.0032288498641719343,0.07864699373021722,-0.0015716552734375,0.07384590228321031
11272192,-0.0025879431541397935,0.07948285335442051,-0.0035858154296875,0.07330853526946157
11403264,-0.0030012873212399427,0.08006614359328523,-0.0034332275390625,0.07362804158765357
11534336,-0.002848734720828361,0.08133547159377486,-0.00091552734375,0.07757060680887662
11665408,-0.002804065503369202,0.08178226929157972,-0.005615234375,0.07336175892851315
11796480,-0.004122242480661953,0.09678617521421984,-0.00262451171875,0.09000704323989339
11927552,-0.0031186184842226794,0.09099200321361423,-0.0009002685546875,0.08695805334718898
12058624,-0.002513107094273437,0.08484373346436769,-0.0053863525390625,0.0769424206810072
12189696,-0.0030715349603269715,0.08172687352634966,-0.002532958984375,0.07612001200322993
12320768,-0.0025881339843181195,0.08326612500241026,-0.0038909912109375,0.0767863891669549
12451840,-0.002897707385272952,0.0821788280736655,-0.0035247802734375,0.07575513981282711
12582912,-0.0026948878112307284,0.0825847927480936,-0.001678466796875,0.07821143773617223
12713984,-0.0027515252440935,0.08298968384042382,-0.00543212890625,0.07480296198627912
12845056,-0.002635989021655405,0.09836133877979591,-0.0038909912109375,0.09178250760305673
12976128,-0.0024310700755449943,0.09291418606881052,-0.0009765625,0.0894861543783918
13107200,-0.002399847999186022,0.08626795827876776,-0.00567626953125,0.07819122821092606
13238272,-0.003012200262674014,0.08234397578053176,-0.002685546875,0.0766456309647765
13369344,-0.0026006608859461267,0.08353500755038112,-0.0038299560546875,0.0771031403564848
13500416,-0.002846579713150277,0.08266783290309832,-0.00323486328125,0.07658577157417312
