collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean
131072,,,,,0.6429166793823242,0.9957267642021179,1.429198980331421,1.4106807708740234
262144,-0.03692732751369476,0.9966071428571428,262144,0.0009992857142857143,,,,
262144,,,,,0.6136481761932373,1.6020995378494263,0.019611967727541924,0.01609860733151436
393216,-0.013910278677940369,0.9949107142857143,393216,0.0009989285714285714,,,,
393216,,,,,0.615304708480835,2.1810011863708496,-0.05478804185986519,-0.011374354362487793
524288,0.013578618876636028,0.9932142857142857,524288,0.0009985714285714285,,,,
524288,,,,,0.6367770433425903,1.7796924114227295,0.017452627420425415,0.023745480924844742
655360,-0.010436887852847576,0.9915178571428571,655360,0.0009982142857142857,,,,
655360,,,,,0.6308730840682983,3.1218583583831787,-0.29351702332496643,-0.34670498967170715
786432,0.00459134578704834,0.9898214285714285,786432,0.0009978571428571428,,,,
786432,,,,,0.6114596128463745,1.5000306367874146,-0.4845722019672394,-0.49122852087020874
917504,0.0007026754319667816,0.988125,917504,0.0009975,,,,
917504,,,,,0.5841466784477234,2.5654478073120117,-0.32805943489074707,-0.2996245324611664
1048576,-0.0015600547194480896,0.9864285714285714,1048576,0.000997142857142857,,,,
1048576,,,,,0.6238117218017578,3.416649341583252,-0.4876379072666168,-0.41651177406311035
1179648,0.008202794939279556,0.9847321428571428,1179648,0.0009967857142857142,,,,
1179648,,,,,0.603127658367157,2.5158517360687256,-0.24691052734851837,-0.2667710781097412
1310720,0.010574787855148315,0.9830357142857142,1310720,0.0009964285714285713,,,,
1310720,,,,,0.5992714166641235,3.159071922302246,0.413131982088089,0.3793913722038269
1441792,-0.029757611453533173,0.9813392857142857,1441792,0.0009960714285714284,,,,
1441792,,,,,0.5886187553405762,4.990074157714844,0.8656031489372253,0.8148912191390991
1572864,-0.08870556205511093,0.9796428571428571,1572864,0.0009957142857142855,,,,
1572864,,,,,0.5884227752685547,2.8716368675231934,1.1741504669189453,1.1632373332977295
1703936,-0.06016893684864044,0.9779464285714285,1703936,0.0009953571428571427,,,,
1703936,,,,,0.5972493290901184,4.852436542510986,1.0571430921554565,1.025146245956421
1835008,-0.018105225637555122,0.97625,1835008,0.0009949999999999998,,,,
1835008,,,,,0.583389163017273,1.3459070920944214,0.9817221164703369,0.9874215722084045
1966080,-0.010566091164946556,0.9745535714285715,1966080,0.000994642857142857,,,,
1966080,,,,,0.5740412473678589,1.10146164894104,0.9733982086181641,0.9158430099487305
2097152,-0.001883057877421379,0.9728571428571429,2000000,0.000994285714285714,,,,
2097152,,,,,0.5907956957817078,2.2944583892822266,1.0697890520095825,1.0403838157653809
2228224,-6.792577914893627e-05,0.9711607142857143,2000000,0.0009939285714285712,,,,
2228224,,,,,0.559898316860199,4.534163475036621,0.7875216007232666,0.7243632078170776
2359296,0.022305332124233246,0.9694642857142857,2000000,0.0009935714285714283,,,,
2359296,,,,,0.5726938247680664,2.7757318019866943,1.3225113153457642,1.3141491413116455
2490368,-0.013318425975739956,0.9677678571428572,2000000,0.0009932142857142854,,,,
2490368,,,,,0.5550308227539062,3.5422379970550537,1.7932993173599243,1.763371467590332
2621440,-0.07151536643505096,0.9660714285714286,2000000,0.0009928571428571425,,,,
2621440,,,,,0.5813654661178589,2.8017289638519287,2.020608901977539,2.019345283508301
2752512,-0.04698493704199791,0.964375,2000000,0.0009924999999999997,,,,
2752512,,,,,0.5881286859512329,2.743346691131592,2.040005922317505,2.026981830596924
2883584,-0.013716131448745728,0.9626785714285714,2000000,0.0009921428571428568,,,,
2883584,,,,,0.567676842212677,4.228430271148682,2.381096363067627,2.2930517196655273
3014656,-0.005002804100513458,0.9609821428571429,2000000,0.000991785714285714,,,,
3014656,,,,,0.5566499829292297,6.764291286468506,2.345228910446167,2.189486503601074
3145728,0.009661698713898659,0.9592857142857143,2000000,0.000991428571428571,,,,
3145728,,,,,0.5813359022140503,3.505652666091919,2.242030620574951,2.257417678833008
3276800,-0.0032129939645528793,0.9575892857142857,2000000,0.0009910714285714282,,,,
3276800,,,,,0.5262532234191895,3.75844669342041,2.172074556350708,2.067004680633545
3407872,0.026916619390249252,0.9558928571428571,2000000,0.0009907142857142853,,,,
3407872,,,,,0.567292332649231,2.030003070831299,2.0045127868652344,1.9942777156829834
3538944,-0.011980658397078514,0.9541964285714286,2000000,0.0009903571428571424,,,,
3538944,,,,,0.5559501051902771,2.8637640476226807,2.1340560913085938,2.0253124237060547
3670016,-0.09042620658874512,0.9525,2000000,0.0009899999999999996,,,,
3670016,,,,,0.562563419342041,5.824040412902832,2.713737964630127,2.767516851425171
3801088,-0.04518912732601166,0.9508035714285714,2000000,0.0009896428571428567,,,,
3801088,,,,,0.5531287789344788,4.808066368103027,2.2524116039276123,2.191105365753174
3932160,-0.013889871537685394,0.9491071428571428,2000000,0.0009892857142857138,,,,
3932160,,,,,0.5618777275085449,5.127370357513428,2.5724027156829834,2.475348472595215
4063232,-3.3177901059389114e-05,0.9474107142857143,2000000,0.000988928571428571,,,,
4063232,,,,,0.5390616059303284,3.082394599914551,2.4158413410186768,2.3774845600128174
4194304,-7.241195999085903e-05,0.9457142857142857,2000000,0.000988571428571428,,,,
4194304,,,,,0.5548379421234131,3.129347562789917,2.7104835510253906,2.679326057434082
4325376,-0.012407306581735611,0.9440178571428571,2000000,0.0009882142857142852,,,,
4325376,,,,,0.5621682405471802,2.8639931678771973,2.1512722969055176,2.150233507156372
4456448,0.018542394042015076,0.9423214285714285,2000000,0.0009878571428571423,,,,
4456448,,,,,0.5805879235267639,2.7646143436431885,2.876140594482422,2.8589601516723633
4587520,-0.021555127575993538,0.940625,2000000,0.0009874999999999994,,,,
4587520,,,,,0.5660849809646606,4.936809062957764,2.3839213848114014,2.399143695831299
4718592,-0.08058647811412811,0.9389285714285714,2000000,0.0009871428571428566,,,,
4718592,,,,,0.519336462020874,1.3023571968078613,2.6014790534973145,2.5796592235565186
4849664,-0.041269272565841675,0.9372321428571428,2000000,0.0009867857142857137,,,,
4849664,,,,,0.538533091545105,3.239466428756714,2.773610830307007,2.812565803527832
4980736,-0.01744842156767845,0.9355357142857142,2000000,0.0009864285714285708,,,,
4980736,,,,,0.5301043391227722,2.485598564147949,2.775587558746338,2.761587619781494
5111808,-0.006160528399050236,0.9338392857142858,2000000,0.000986071428571428,,,,
5111808,,,,,0.5334105491638184,3.381659507751465,2.84856915473938,2.8618276119232178
5242880,0.011902747675776482,0.9321428571428572,2000000,0.000985714285714285,,,,
5242880,,,,,0.5531593561172485,1.7126646041870117,2.971872568130493,2.9773597717285156
5373952,-0.008237941190600395,0.9304464285714286,2000000,0.0009853571428571422,,,,
5373952,,,,,0.5458730459213257,4.34348201751709,2.5439200401306152,2.402630567550659
5505024,0.024620529264211655,0.92875,2000000,0.0009849999999999993,,,,
5505024,,,,,0.5715639591217041,3.268714666366577,3.0037503242492676,3.028369903564453
5636096,-0.01695466786623001,0.9270535714285715,2000000,0.0009846428571428565,,,,
5636096,,,,,0.5544683933258057,3.244581460952759,2.9276132583618164,2.9933340549468994
5767168,-0.07180540263652802,0.9253571428571429,2000000,0.0009842857142857136,,,,
5767168,,,,,0.5823956727981567,4.24560022354126,3.131547212600708,3.056333541870117
5898240,-0.03583930805325508,0.9236607142857143,2000000,0.0009839285714285707,,,,
5898240,,,,,0.5458452701568604,2.11741042137146,3.055983304977417,3.041656255722046
6029312,-0.01285320334136486,0.9219642857142857,2000000,0.0009835714285714278,,,,
6029312,,,,,0.5598001480102539,3.251127243041992,3.179278612136841,3.2315175533294678
6160384,0.0007915766909718513,0.9202678571428572,2000000,0.000983214285714285,,,,
