collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std
131072,0.00306590273976326,0.6270143389701843,-0.007884183898568153,0.6176774501800537,0.039806075394153595,0.6404675841331482,-0.017673710361123085,0.6172211766242981,0.022112062200903893,0.6307985782623291,-0.0030560994055122137,0.6202142238616943
262144,0.08997932076454163,0.6243115663528442,-0.01387062855064869,0.6245777010917664,0.06397223472595215,0.6327601671218872,-0.024058107286691666,0.6172078251838684,0.025519074872136116,0.6263849139213562,0.006065385416150093,0.6173040270805359
393216,0.18326766788959503,0.6127569079399109,-0.013922439888119698,0.6256012916564941,0.07279232144355774,0.6317722201347351,-0.03618134558200836,0.6157518625259399,0.03239717334508896,0.626947820186615,0.009850140661001205,0.6183043122291565
524288,0.2597038149833679,0.6005924344062805,-0.019966889172792435,0.625476062297821,0.0772174745798111,0.6348797082901001,-0.025566067546606064,0.6152478456497192,0.030606232583522797,0.6249260306358337,0.016628596931695938,0.6168264150619507
655360,0.3340662717819214,0.5813567042350769,-0.022306716069579124,0.6265440583229065,0.0764068216085434,0.6347486972808838,-0.011850643903017044,0.6134235858917236,0.03346601873636246,0.6280582547187805,0.01986640691757202,0.6178034543991089
786432,0.3776165843009949,0.5638418793678284,-0.023776335641741753,0.6267808079719543,0.0729011669754982,0.6347309947013855,-0.007421891670674086,0.6146840453147888,0.02779213711619377,0.6321374773979187,0.020260483026504517,0.6170019507408142
917504,0.42416518926620483,0.5461629033088684,-0.02202550880610943,0.6261386275291443,0.07701064646244049,0.6330280303955078,0.0010374607518315315,0.6160661578178406,0.025595851242542267,0.6349514126777649,0.02007027342915535,0.6170408725738525
1048576,0.4504402279853821,0.5345889329910278,-0.014073345810174942,0.6246875524520874,0.07285068929195404,0.6341099143028259,0.007699065841734409,0.6165076494216919,0.02290388196706772,0.6302843689918518,0.020023249089717865,0.616549551486969
1179648,0.4930114150047302,0.5177757740020752,-0.016487831249833107,0.6207167506217957,0.0772472620010376,0.6311460733413696,0.01578754372894764,0.6137658953666687,0.007849115878343582,0.6295163631439209,0.020909840241074562,0.6191768646240234
1310720,0.5111867189407349,0.47983190417289734,0.006831708364188671,0.6092339754104614,0.10070651769638062,0.6173766255378723,0.03410198539495468,0.6024282574653625,0.015176419168710709,0.6133854985237122,0.038134925067424774,0.6116048097610474
1441792,0.5314189195632935,0.49130865931510925,-0.022492311894893646,0.6114808917045593,0.07495944201946259,0.6321650147438049,0.0336027592420578,0.6132774353027344,-0.008110439404845238,0.62531977891922,-0.0035494514741003513,0.6244571208953857
1572864,0.513863205909729,0.49054864048957825,-0.013575326651334763,0.6110047698020935,0.10323864221572876,0.6259859800338745,0.05693662166595459,0.6136097311973572,-0.014920514076948166,0.6176514029502869,0.0007237100508064032,0.6220415830612183
1703936,0.550197184085846,0.49000802636146545,-0.035948559641838074,0.6183425784111023,0.07622145861387253,0.6386488676071167,0.05141974240541458,0.6196778416633606,-0.04416193068027496,0.6319251656532288,-0.0181308314204216,0.627650260925293
1835008,0.5689864158630371,0.47873756289482117,-0.02149691805243492,0.6197062134742737,0.0654921680688858,0.638068437576294,0.04252549260854721,0.619997501373291,-0.03339141607284546,0.6291934251785278,-0.028686324134469032,0.6300160884857178
1966080,0.5935913324356079,0.4561207890510559,-0.008849880658090115,0.6219721436500549,0.06372261047363281,0.6331803202629089,0.04056067019701004,0.6198782920837402,-0.025711681693792343,0.6259759664535522,-0.034797899425029755,0.6312636137008667
2097152,0.6174336671829224,0.44005846977233887,0.004025107715278864,0.6185466051101685,0.058852680027484894,0.6380103230476379,0.028403621166944504,0.6223971247673035,-0.024773593991994858,0.626606285572052,-0.04007014259696007,0.6313170194625854
2228224,0.6308915019035339,0.4377482831478119,0.01929429918527603,0.615093469619751,0.04727795720100403,0.6388182640075684,0.017279669642448425,0.6254337430000305,-0.031746793538331985,0.6296724081039429,-0.04034419357776642,0.6291490197181702
2359296,0.6530629396438599,0.41795459389686584,-0.0026468064170330763,0.6100114583969116,0.05514156445860863,0.6374513506889343,0.019950976595282555,0.6239101886749268,-0.030597712844610214,0.6258008480072021,-0.04665398970246315,0.6236063838005066
2490368,0.6653442978858948,0.4049384593963623,-0.012139900587499142,0.6111569404602051,0.0551210455596447,0.6374165415763855,0.022533798590302467,0.6209486722946167,-0.026100115850567818,0.6239511966705322,-0.03649531677365303,0.6208402514457703
2621440,0.6939685940742493,0.3827054500579834,0.0015406254678964615,0.6091878414154053,0.06133977323770523,0.6349532008171082,0.0005627351347357035,0.6250889301300049,-0.019871078431606293,0.6241008043289185,-0.034512244164943695,0.6252878308296204
2752512,0.679028332233429,0.379678338766098,0.004500858020037413,0.6076589822769165,0.0766255259513855,0.6260899901390076,0.02235172688961029,0.6252509951591492,0.0016544967656955123,0.6159265637397766,-0.015313941054046154,0.6198976635932922
2883584,0.6591719388961792,0.3926742672920227,0.014036649838089943,0.6075142621994019,0.08361813426017761,0.6245352029800415,0.021100256592035294,0.6267051696777344,-0.005298929288983345,0.6165902614593506,-0.03702538460493088,0.621552586555481
3014656,0.7179778814315796,0.3708583414554596,0.01080410648137331,0.6116988062858582,0.06398318707942963,0.6332162618637085,-0.0035825136583298445,0.6296666860580444,-0.032207947224378586,0.626379668712616,-0.04254326969385147,0.6255511045455933
3145728,0.7168269157409668,0.3688957095146179,0.010155927389860153,0.6118950247764587,0.06289011985063553,0.6309553384780884,-0.01108112744987011,0.6303435564041138,-0.023341361433267593,0.6224126219749451,-0.037676069885492325,0.6227747201919556
3276800,0.7208051681518555,0.3611578047275543,0.017271220684051514,0.6100571751594543,0.04232780262827873,0.6277597546577454,-0.006075423676520586,0.6290202736854553,-0.018034858629107475,0.6169297695159912,-0.03872730955481529,0.6199462413787842
3407872,0.7341737747192383,0.35437169671058655,0.013884076848626137,0.6113321781158447,0.036307357251644135,0.6252567172050476,-0.012552786618471146,0.6305347084999084,-0.018224405124783516,0.6222818493843079,-0.046945296227931976,0.6183309555053711
3538944,0.7278481721878052,0.3598144054412842,0.011363953351974487,0.6152101755142212,0.03166236728429794,0.6221449971199036,-0.023575451225042343,0.6307870745658875,-0.028406769037246704,0.622573733329773,-0.04155866056680679,0.623784065246582
3670016,0.740477442741394,0.3504675626754761,0.015410292893648148,0.6168444752693176,0.03049709089100361,0.6210787296295166,-0.02520773932337761,0.6279685497283936,-0.033204443752765656,0.626020610332489,-0.04264148324728012,0.6256169080734253
3801088,0.7442196607589722,0.3480204641819,0.0201752707362175,0.6189638376235962,0.02214103937149048,0.622852087020874,-0.02501501329243183,0.6301448941230774,-0.02355326898396015,0.6221678853034973,-0.022144272923469543,0.6249313354492188
3932160,0.7487165927886963,0.34333503246307373,0.0258024912327528,0.6134514808654785,0.03150321543216705,0.6176686882972717,-0.014632144942879677,0.6289221048355103,-0.02410261705517769,0.6208698749542236,-0.028674498200416565,0.6230866312980652
4063232,0.7529073357582092,0.3313290774822235,0.01778506115078926,0.6084081530570984,0.04560018703341484,0.6112749576568604,-0.02258891612291336,0.6255109906196594,-0.022903308272361755,0.6201809644699097,-0.013622069731354713,0.6191746592521667
4194304,0.738282322883606,0.33577948808670044,0.026171280071139336,0.6023715138435364,0.05669865757226944,0.6027806401252747,-0.031980179250240326,0.6213799118995667,-0.03995133936405182,0.6170532703399658,0.0017366909887641668,0.6157987713813782
4325376,0.7697609663009644,0.32922279834747314,0.006267954595386982,0.6082363128662109,0.03007780946791172,0.6153443455696106,-0.031363390386104584,0.6340565085411072,-0.03971364349126816,0.6263630986213684,-0.009553365409374237,0.6224632263183594
4456448,0.7761707305908203,0.31472787261009216,0.0022903557401150465,0.604472279548645,0.04010585695505142,0.610982358455658,-0.022655323147773743,0.6293946504592896,-0.029312051832675934,0.623267412185669,0.004266203381121159,0.6188424825668335
4587520,0.7691359519958496,0.32062891125679016,-0.00032533216290175915,0.6076449751853943,0.02691483125090599,0.613937258720398,-0.009701513685286045,0.6324291229248047,-0.020814578980207443,0.627273678779602,0.009642494842410088,0.6180399060249329
4718592,0.7711368203163147,0.3198634088039398,0.00030198146123439074,0.605671763420105,0.020707324147224426,0.6134598851203918,0.006224793381989002,0.6338164806365967,-0.03151123970746994,0.6258949041366577,0.0001703271409496665,0.6164959073066711
4849664,0.7738455533981323,0.3193025588989258,0.0024086679331958294,0.6058163046836853,0.025632159784436226,0.61894690990448,0.013258365914225578,0.6360137462615967,-0.025544719770550728,0.625286340713501,-0.012420731596648693,0.6158903241157532
4980736,0.7810042500495911,0.31655555963516235,-0.002078862627968192,0.6053774356842041,0.021730780601501465,0.6159760355949402,0.026894986629486084,0.6335404515266418,-0.024729400873184204,0.6241651177406311,-0.010026692412793636,0.6157222390174866
5111808,0.778389573097229,0.3179774582386017,0.01107433345168829,0.6051350235939026,0.03008360229432583,0.618791937828064,0.04105479270219803,0.6340722441673279,-0.016856910660862923,0.625183641910553,-0.00654461607336998,0.6205074191093445
5242880,0.7759370803833008,0.3196481466293335,0.006062784232199192,0.6017453670501709,0.04054533317685127,0.6190051436424255,0.04050065577030182,0.634204626083374,-0.026423338800668716,0.6258189082145691,-0.02304859459400177,0.6210727095603943
5373952,0.7759648561477661,0.3123428523540497,-0.0026343499775975943,0.5981765985488892,0.04822727292776108,0.6178573369979858,0.05533839017152786,0.6348461508750916,-0.020285898819565773,0.6242219805717468,-0.03697933629155159,0.6131690144538879
5505024,0.7667024731636047,0.3150729835033417,0.0023339034523814917,0.5973811745643616,0.0833638459444046,0.618094801902771,0.06084485724568367,0.6326941847801208,-0.04144909977912903,0.6186668276786804,-0.050406813621520996,0.6062080264091492
5636096,0.7818276286125183,0.3229469656944275,0.018217287957668304,0.6059462428092957,0.034334927797317505,0.6317042112350464,0.037024810910224915,0.6431501507759094,-0.03698071092367172,0.6387330293655396,-0.046751104295253754,0.6186233758926392
5767168,0.7823590040206909,0.3183770477771759,0.017540384083986282,0.6025861501693726,0.0521511472761631,0.6221690773963928,0.04521551728248596,0.6403680443763733,-0.022365152835845947,0.6379245519638062,-0.043751366436481476,0.6138843297958374
5898240,0.7845864295959473,0.31546708941459656,0.005154455080628395,0.6040736436843872,0.0504659041762352,0.6202417016029358,0.03355564549565315,0.6401545405387878,-0.017882153391838074,0.6390591859817505,-0.04701264575123787,0.6118445992469788
6029312,0.784654974937439,0.3161194920539856,0.018693696707487106,0.6031507849693298,0.047622326761484146,0.6142966151237488,0.010741795413196087,0.6401851177215576,-0.018780097365379333,0.6412104964256287,-0.028553001582622528,0.6208593249320984
6160384,0.773606538772583,0.3288728892803192,0.007054222747683525,0.6060543656349182,0.03800933063030243,0.6202998757362366,0.01873362809419632,0.6389176249504089,-0.01168255414813757,0.6397315263748169,-0.037910930812358856,0.6224859952926636
6291456,0.7691857814788818,0.34229132533073425,0.013706173747777939,0.6083172559738159,0.02937091886997223,0.6256269216537476,0.0045448653399944305,0.6488670110702515,-0.00842711515724659,0.6432728171348572,-0.04313308000564575,0.6271949410438538
6422528,0.7765233516693115,0.3352660834789276,0.013432137668132782,0.6077868938446045,0.03723001480102539,0.6238746047019958,0.002678310964256525,0.6463097333908081,-0.007014015223830938,0.6441943645477295,-0.037650883197784424,0.6268357038497925
6553600,0.7737658023834229,0.3386071026325226,0.004206683952361345,0.6057502031326294,0.0413283072412014,0.6173996925354004,0.002710358938202262,0.643061637878418,-0.003969007171690464,0.6423879265785217,-0.02644536644220352,0.6273111701011658
6684672,0.7775190472602844,0.3185877799987793,0.017063528299331665,0.604912281036377,0.0467715747654438,0.6124500036239624,-0.0026642875745892525,0.640298068523407,0.015752268955111504,0.6403861045837402,-0.018241114914417267,0.6196200251579285
6815744,0.7650228142738342,0.3162120580673218,0.03593834489583969,0.5981709957122803,0.04606360197067261,0.6080935597419739,-0.03279181569814682,0.6334941983222961,0.02865774929523468,0.6390571594238281,-0.005279917269945145,0.6145819425582886
6946816,0.7985191345214844,0.30695661902427673,0.022451141849160194,0.6094884872436523,0.035235464572906494,0.6199352741241455,-0.012590639293193817,0.6426885724067688,0.016984324902296066,0.6460472941398621,-0.015607289969921112,0.6286515593528748
7077888,0.7932738661766052,0.31165075302124023,0.02545994147658348,0.6124746203422546,0.04784809425473213,0.6153982281684875,-0.018366431817412376,0.6407206654548645,0.02771163359284401,0.643974244594574,-0.012674549594521523,0.6256330609321594
7208960,0.7895536422729492,0.31411677598953247,0.030162015929818153,0.6106927394866943,0.05781012028455734,0.6116983890533447,-0.018705038353800774,0.6404523849487305,0.04135538637638092,0.6474664211273193,-0.023934144526720047,0.6234225630760193
7340032,0.7961668968200684,0.3109377324581146,0.02892172709107399,0.6105641722679138,0.05969555675983429,0.6096380352973938,-0.013187998905777931,0.6408881545066833,0.034584708511829376,0.6423369646072388,-0.027855034917593002,0.6227843761444092
7471104,0.796582818031311,0.30826640129089355,0.012387794442474842,0.6067536473274231,0.06712087988853455,0.6079995632171631,-0.006507457699626684,0.6364556550979614,0.034508831799030304,0.6377431154251099,-0.025891780853271484,0.6195730566978455
7602176,0.7972670793533325,0.3071347177028656,0.015886709094047546,0.603964626789093,0.08494703471660614,0.606793999671936,-0.007860562764108181,0.6394638419151306,0.03180849552154541,0.6399108171463013,-0.02128099836409092,0.6236357092857361
7733248,0.8023476004600525,0.3017217814922333,0.021273525431752205,0.6038196086883545,0.08170808851718903,0.6088908910751343,-0.010917018167674541,0.6389879584312439,0.023278728127479553,0.6378279328346252,-0.016199402511119843,0.6195163130760193
