collected_frames,clearance/height,clearance/height_max,clearance/height_min
131072,0.03948885662248358,0.19506574398837984,-0.14486577408388257
262144,0.0664653908170294,0.6866089252289385,-0.42077463981695473
393216,0.0888105648336932,1.481803477741778,-0.4477013507857919
524288,0.102381156233605,1.1815021960064769,-0.3571952835191041
655360,0.1074905920540914,1.1235664919950068,-0.45044058142229915
786432,0.10913098778109998,0.44976006355136633,-0.6331838730257004
917504,0.11309710226487368,0.4806275609880686,-0.7024412327446043
1048576,0.1155999933835119,0.5332011748105288,-0.6986277415417135
1179648,0.11628007190302014,0.5726157752797008,-0.6999241495504975
1310720,0.07790506287710741,0.4950710325501859,-0.35224883351475
1441792,0.09831811662297696,0.45514347054995596,-0.15289508015848696
1572864,0.0782617821241729,0.4654902722686529,-0.1250509526580572
1703936,0.1020367267774418,0.6582020546775311,-0.1250224756076932
1835008,0.10712953994516283,0.40927333990111947,-0.12500863475725055
1966080,0.1111267200903967,0.6590096049476415,-0.1334895344916731
2097152,0.1170360007090494,0.5131632518023252,-0.13256683736108243
2228224,0.12079431797610596,0.542916938662529,-0.21682611433789134
2359296,0.12216773419640958,0.6358092052396387,-0.12520765978842974
2490368,0.12050496740266681,0.43537818640470505,-0.125005824258551
2621440,0.1245229531195946,0.5184064810164273,-0.12499942909926176
2752512,0.10508990555536002,0.7583740868140012,-0.12502621323801577
2883584,0.10453484958270565,0.446485627675429,-0.1250306940637529
3014656,0.12815637775929645,0.45936433714814484,-0.1252855972852558
3145728,0.1321268070023507,0.49939474649727345,-0.12502101017162204
3276800,0.13397790398448706,0.46351040294393897,-0.12514693732373416
3407872,0.13623454340267926,0.6366319824010134,-0.12501173629425466
3538944,0.1392206682357937,0.4654822445008904,-0.12669705180451274
3670016,0.1412689018761739,0.4596401962917298,-0.1375180841423571
3801088,0.1416524014202878,0.4499390977434814,-0.12499996204860508
3932160,0.13930220808833838,0.4695393240544945,-0.12504683597944677
4063232,0.1207175727467984,0.6669170609675348,-0.1777395368553698
4194304,0.12060366303194314,0.4820703628938645,-0.14422780531458557
