collected_frames,grad_contrib/shaping,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
131072,-0.06846687876839819,-0.040328954074817985,-0.13967271946676862,-0.0663413846058475,-0.10540713976457232,0.4549695326500921,-0.11239252651046705,0.0072082065047241305,-0.005212657654312084
262144,0.13258899992581677,0.1932968390109115,-0.027273809144420243,0.05110729343124714,-0.015959637851940267,-0.5308790611624735,-0.035495502239632395,-0.006236936624745443,-0.007161920608812765
393216,0.29288389856316144,0.19136860968742603,-0.01611172243303746,0.014410927536647097,-0.008731635369436747,-0.21059628493754132,0.25516621944470835,-0.0012760098128408084,-0.009454692215200783
524288,0.3326849366116733,0.12460969605502563,-0.02954827604913193,0.009539859785708519,0.01265445128947387,-0.04622534185867739,0.42894963770769384,-0.007537503789401877,-0.008250296853213658
655360,0.23663538878257004,0.14009377033746795,0.026619765058408813,0.057297447883197766,0.036168650125790944,-0.16415241930386595,0.32865341912425156,-0.008549822833713918,0.0018293165507330868
786432,0.13572770819604782,-0.01053156730908781,0.09289321082298342,0.17803729594354636,0.0913762273365354,-0.22303814587149948,0.24402161696812436,-0.02399539553801511,0.00037883201416022985
917504,0.29368675189848603,0.09776979869569802,-0.04243698896147207,0.13396819197797216,-0.015377903858215228,-0.13130481016148887,0.15192209976274454,0.0031960456115397713,-0.1303374090723833
1048576,-0.17359751442657226,0.0009250278333707469,0.026185459391707064,-0.16307157161161237,0.01155667176335339,0.1421103125870706,-0.36891001335992446,-0.015330686534970127,-0.09831274249141901
1179648,0.19190233313519248,0.06900005582126002,-0.05857488396829735,0.09583602673723975,-0.028678727757760716,-0.1440289473072314,0.3760641182138653,-0.005312646998747292,-0.030602260060405683
1310720,-0.25711284709902527,-0.07028426064750058,-0.0002724980693482148,-0.056913532361877045,0.01166710806619306,0.0985194404703161,-0.49267400850074106,0.012131712321306592,-0.00042459246369208587
1441792,-0.2493531724106901,-0.015764322336364607,0.0036493995800471286,-0.10599491844399474,-0.0035721342470281386,0.05748671825964278,-0.4732101697946669,-0.0018713220412887352,0.08909784288627687
1572864,-0.30855339810013177,-0.04235942135290459,0.05700255996738266,0.18662934568137932,0.062413481561068095,0.10130111162802391,-0.1598030745782044,-0.008948273472808674,-0.0729893336580966
1703936,-0.042670490219233366,-0.0072993195468696774,-0.0945360095442089,0.27427533761119816,0.17809190369284955,0.2645926877186528,-0.0422993308677509,-0.044953539468645554,-0.05128138133059113
1835008,0.06311485440600224,0.04463427965014327,-0.01033059535659352,-0.05041286938259193,-0.02391532436489698,-0.07156214930835465,-0.6219180163530299,-0.019163630686155633,-0.09494828049223189
1966080,-0.2779828557552363,-0.043293584661234376,0.03614116548342677,-0.00703757805247391,0.053258363464244673,0.08308363537283482,-0.4843062255343093,-0.012878237082428374,-0.0020183545938114917
2097152,-0.1850355382262704,-0.00784342336712611,0.01678759508673055,-0.057959096173000386,-0.026272653983423322,0.1778678412630038,-0.14418991547647275,-0.0744603063744632,-0.3095836300495095
2228224,-0.13077294840086445,-0.0005414255713555617,-0.01978787088523766,-0.12536296465633714,-0.08019779122018778,0.06468688646357174,0.3686557813585443,-0.03171274927146179,0.17828158217243956
2359296,0.08428504992853326,0.14421284745346757,0.0406724194923742,0.23919957065635744,-0.008613536738091067,0.0965363164160483,0.23984482064867046,-0.06375890800763494,0.08287653065882275
2490368,-0.24372791762883728,-0.01709993877023372,-0.010854143298341086,-0.022765553855670594,-0.004866615059717915,0.08758716045840624,-0.5825482354139578,0.016535435330381754,0.014015000184453601
2621440,-0.2611872502929074,0.00024655536559628613,0.0329779894162123,-0.03671771146313798,0.022974417761741812,0.06660396732102242,-0.43472550412173955,0.00034364099102432866,0.1442229632666179
2752512,-0.11597606996337943,0.05289092779057723,-0.003746327277067845,-0.030563966056279975,-0.007643558498340977,0.077007308454515,-0.46311705582154683,0.04925994697188698,-0.19979483916640572
2883584,0.19568863220547728,0.016092676986326528,0.04966676583333363,0.04086782142919747,0.048281185583400034,-0.04062882669504175,0.5516411880188801,-0.03270915098060126,0.024423752267742026
3014656,-0.18645273217101022,-0.030785474116018174,0.00038630730598773804,-0.024693974982993885,0.016900326101488186,0.0646176230363514,-0.5308766804223846,-0.013133115114661496,-0.13215376674910434
3145728,-0.1826745598593972,0.07618045415436613,0.0034305679160736673,-0.10602961012239652,-0.018245756444835472,0.2972441189936646,0.22709509841690448,-0.06472777149672719,0.02437206259563472
3276800,-0.07235436902152018,0.061619587239183364,0.11457860316460558,-0.02269552857769857,0.021374515261661647,0.06850873567024002,-0.5057642046087402,0.01764641798224487,-0.11545803847410567
3407872,-0.2536841939598345,-0.013410668080916371,0.003635854549177754,-0.017393537778177225,0.01019482918081235,0.0507640484099856,-0.6139671976133213,0.014361020857800371,0.022588649569974584
3538944,-0.3751532069071184,-0.0040783630513851615,0.02206193597187991,-0.06741925314152782,0.025572204117208813,0.07180730812089749,-0.3206482661946405,0.02040989852163314,0.09284956397370883
3670016,-0.2299761282810026,-0.07127868890230614,-0.017959180981147054,0.04461463329310243,-0.00022454802915435046,0.03732797558918374,-0.22881777429517064,-0.0054516226896896836,0.36434944793924334
3801088,0.18448374471871407,0.06855687986515682,0.16817192264714334,-0.26551546211443433,0.06553882539979738,-0.06226503691904721,0.08917646866069541,-0.02156200428296661,0.07472965539204485
3932160,-0.04663065412005047,0.005103926723366394,0.010658099961992875,-0.12605292187957284,-0.017585876666887056,0.05342101271004372,0.3276710909999841,-0.0006326288742531321,0.4122437880638494
4063232,-0.3067661161613385,-0.004469532933694088,0.007908815800104382,-0.04343704976154591,0.004646647186466449,0.05295220882737074,-0.5671199009839405,0.004902345669533954,0.007797382676005493
4194304,-0.2006419160106568,0.04950353161328795,0.030722382667832435,-0.15099043120251146,0.06188885688595803,-0.012680668804385429,0.27270422314949533,-0.033921739173090375,-0.18694625049278218
4325376,-0.043486269747336354,-0.013135118695815923,-0.029061799749622853,0.004013702792607199,0.03109068069928598,0.0632292318544387,-0.6430839245902582,0.00652025209998525,-0.1663790197706495
4456448,0.09253580817985131,-0.04027519579545119,-0.041363598058230866,0.1212394292306451,0.09221723262578489,-0.02791423127931171,0.4215895445597855,-0.006847688419780459,0.156017271851159
4587520,-0.05403208354122175,-0.0018732518161031012,-0.05217825937928755,0.00204874484068027,-0.028798031493356076,-0.15018817694703757,-0.40947870058336744,-0.021996186723495816,0.27940656467545044
4718592,-0.12001144946506977,-0.0528392024839059,-0.014981199038405878,-0.03649170006076695,0.010824879784661122,0.16836245500473676,-0.37193228472266915,-0.04804492046340509,0.17651190897637936
4849664,-0.10037995337742986,-0.008844636380088871,-0.027827229003008103,-0.05135033475208132,-0.025564314055805015,-0.05726690240048469,-0.4631724347931598,0.07854593338230377,0.18704826185563858
4980736,-0.2775768405519839,0.1640079275956032,0.047351904647611735,-0.023569476186169336,0.0697115133906519,-0.07346826075498188,0.10510643757626097,-0.06386996512104104,-0.17533767417569607
5111808,-0.1701185283809638,-0.008038880779390084,-0.04741566552133773,-0.09568622887435652,-0.08054606869886431,-0.16882604440982973,0.07196981499001805,0.06518137865192192,-0.29221738969331784
5242880,-0.09553959230817455,-0.00987595216253524,0.006700718952986027,-0.07653025506086235,0.015997697332523632,0.03746325367822053,-0.6176155645039239,0.04552580001459264,0.09475116598618118
5373952,0.009362987142214915,-0.10053525607071202,-0.09656509791148656,-0.06571735314040772,0.002027299635589427,-0.05010944670514428,-0.5448003816994123,0.08944758436994618,0.041434593325086685
5505024,0.19506048051648045,0.01002965052023252,0.03428937232965622,0.04195273467988313,0.03438514924344993,-0.052826959571544325,0.5982747993187889,-0.025595645390746345,-0.007585208429218189
5636096,-0.21366484993216603,-0.014131534009401541,0.014231211625217788,-0.04515670642280852,0.025779224031234033,0.035953385697500014,-0.6331155560932531,0.005460562915913419,0.012506969272505546
5767168,-0.059338801293909095,0.01560633746520482,-0.024439266564731405,-0.07362516101584324,-0.024680772856252444,0.056649752317764195,-0.49291556854591134,-0.0003099867393270165,-0.25243435320105645
5898240,-0.14701739427878444,0.0211382365227775,0.07001688924390273,-0.03280300584258038,-0.03716318099971051,-0.05734713682146077,-0.25337067128945984,0.08823888305527641,0.29290460194604745
6029312,-0.25591029621683853,-0.0023622658766046336,-0.004044087303966335,-0.030637420148859916,-0.0047626375866042904,0.05223193610332905,-0.6308509466308194,0.005412513308970656,0.01378789682400718
6160384,-0.244998027528268,0.012466949602313968,0.07410624839350304,-0.03703239299773264,-0.0018191738334088462,0.05349574489415859,-0.2644308957343638,-0.041457243036768704,0.2701933239794825
6291456,-0.06371787073547336,0.006150932842970356,0.03646523681135288,0.11376706409838849,-0.09224002724747127,-0.21918542498718024,-0.2105617999577848,-0.0618509195781369,0.19606072374124173
6422528,-0.03587200314523703,0.029941767040251255,0.014974397909806468,-0.018789486292245257,0.0023590131026267344,0.24235738005396334,-0.3769860992973102,-0.05048024214532496,0.22823961101323473
6553600,-0.11400656995084378,-0.0026647777031551583,0.05069050289175773,-0.058271537295895695,0.050814695803346355,0.06891403640363482,-0.5151816525204745,0.01234025955106943,0.12711596787982254
6684672,-0.2696245546324884,-0.02187638114542261,0.0007122038536057951,-0.07255566318642703,-0.015314293995666261,0.08457495535608993,-0.47291534845821265,0.02229254692552518,-0.040134052446562124
6815744,-0.10155897998713892,0.030856044814902145,0.02568238782212654,-0.025755704567236744,0.015877398917064623,0.011426874881876437,-0.6882097665308432,0.02031857578743022,-0.08031426669138118
6946816,-0.0880164539474259,0.010313178793966054,-0.0018731400661000366,-0.13325431956475292,0.029328295206613467,-0.05029962697536767,-0.38451700144382706,0.04156171455783012,0.26083626944411675
7077888,-0.16364556139927638,-0.02809104504298333,-0.006411558326467621,-0.0016214191472092806,0.01978457204509115,0.0015204712562578485,-0.7371533439508611,0.03390506489929953,-0.007866963932553768
7208960,-0.1605328719989246,-0.014457475903551497,-0.022348027577917574,0.11081129966693894,-0.02761823799736418,-0.16617522822148395,-0.25269766316980224,0.015679208666002892,-0.2296799867980141
7340032,0.09554416239969538,0.011325113703508749,-0.048035073093945314,-0.11232944993001631,-0.028031343380001898,0.049708303158785765,0.3181106474588958,-0.027303551321265416,-0.3096123555538854
7471104,0.207425258691015,0.04481909519169401,0.009276201290390222,-0.02870892647173607,-0.001111219238359167,0.003041993118730847,0.6416806458648777,0.024824270064436594,-0.03911239006876035
7602176,-0.20321788769216423,-0.04397054099259112,-0.006584278149529755,-0.01950067631166004,-0.04426428430612414,0.0436253162079539,0.608210445281189,-0.01959512906278916,0.011031441995998715
7733248,-0.11742713420415217,0.054665071833446904,0.018269814436746846,-0.030258955422696708,0.020325594555844973,0.10584288257960416,-0.5245304226748989,-0.00734405742511894,0.12133606686749039
7864320,-0.10261837795418562,0.00939959496139794,0.03872593971995219,-0.016506529536165274,0.020113586019706586,0.01540519460777596,-0.7082172321370821,0.01043055408540907,-0.0785829909783253
7995392,0.08545448112375936,0.039053236333313555,-0.016962695585130423,0.0007223075479398399,-0.019986235620472075,0.06694002928495248,0.4353819319447511,-0.030415426852534684,-0.30508365570714646
8126464,0.13906510322268495,0.017097674910767472,0.046184571558219006,0.02355393983445174,0.0474014121448904,-0.04618863029269748,0.590009505856055,-0.01879380805306144,0.07170535412717244
8257536,-0.21094359761250875,-0.011996637876041244,-0.012540753365687968,-0.04449159956190415,0.011053498444076746,0.04175998603121207,-0.5428187193333172,0.012204330973000416,-0.11219087680225155
8388608,-0.10733438884911824,0.010953669100579384,0.025442813344106002,-0.00554004793783019,0.023321580002409675,0.05589136310490311,0.5188313625161003,-0.03565319187933522,-0.21703158326561794
8519680,-0.17730711597392962,0.009207472184237443,0.024321263612855058,-0.04306276919852344,0.03425703400874014,0.04235944438499684,-0.03854995672219711,0.05172212911386416,-0.5792128148006562
8650752,-0.26270983801804954,0.0031556142018937354,0.0040319864161495605,-0.03484899125676507,0.006398012383916686,0.07598484573715361,-0.5689433787701268,0.02074644987793569,0.02318088333800932
8781824,0.007657707468721199,0.02714000834784304,0.043131636082101646,-0.11041285901989978,0.019094175854317733,-0.07198586349907551,-0.14914178460952493,0.007952439115650037,0.5634835260028661
8912896,-0.04281599094587975,-0.03319997122734308,-0.03412696097795169,-0.0477284064756347,0.018314736938053307,0.16181105815566724,0.03524180424322189,0.017399767013293918,0.6093613040229544
9043968,0.12262850870434308,-0.009573372210564679,-0.0023683238468886433,0.005978620824964275,-0.05724790569221154,0.007102181452325713,0.5656136990519263,-0.041583565004482244,-0.18790382321229357
9175040,-0.21951458583481953,0.039974581621981246,0.016660374598102486,-0.06335472585982678,-0.017422366751574023,0.0547005805172606,-0.25367733273507703,0.01592278909298169,-0.31877266298837664
9306112,-0.1647221650003111,-0.013012039826655287,-0.026370148412498795,-0.05524899643858069,-0.041853052959078284,-0.14527554250129923,0.13871154103012318,0.013772180149493538,-0.4010343336819599
9437184,-0.10653815000093955,-0.045904951666385085,-0.022168251580486686,-0.07315501453860085,-0.007427847195625674,0.005340457642331652,-0.2962250524104036,0.01828574509671503,-0.4249545298685119
9568256,0.007128801331909869,0.02919074874360317,-0.09225163510229838,-0.02905931164517125,0.02166776338103396,-0.04812942199017879,-0.4324096731913905,-0.0320359428603872,0.3081267017540269
9699328,0.15639080755511228,-0.005697743216521782,-0.053781557647934054,-0.053965284043458975,-0.03495288143128505,-0.08024246366455015,0.35974596377222257,0.013370710245961788,-0.24185258842295335
9830400,-0.08465501956333421,0.015884334496493454,-0.03166339840802083,-0.04663117466260283,-0.019357953072807174,0.047129434879382724,0.3293471847233449,0.023185945429065616,0.4021455547649483
9961472,-0.030384403461056753,0.05350410551270591,0.07165890180606971,-0.10758669094205127,0.03169262317731834,0.05192167692788762,-0.5912870158210497,-0.004020614440593956,-0.05794396791126674
10092544,0.11814534979383072,-0.07410359956732263,-0.09126930608726298,-0.18565667387996004,-0.046217100863944656,-0.008375059100921789,-0.2762751521491473,0.03501856401490155,0.16493919454270836
10223616,0.09369671394100813,-0.02273676010612129,-0.016124775302794263,0.04539478702007796,-0.03622772062499166,-0.12928135788126138,0.5610719764727058,0.03820238237241077,0.057263526278628706
10354688,0.08136747879327359,-0.019438017517675876,-0.019340733882342406,-0.07260131203863354,-0.0628621960638841,-0.08926946227634978,0.5204525957665178,-0.05255308030358152,0.0821151233577414
10485760,0.10849214242418878,-0.02960343908311902,-0.06343881187008887,-0.0005329582522949721,-0.06537186323386304,0.011687992675793818,0.7156183576705059,-0.0011522969917384782,0.00410213779840717
10616832,0.15903238674057923,-0.03317877422111807,0.039172671444841815,0.00764730970015276,-0.012458236188232741,0.012018884329691103,0.21644828306022346,-0.05043588647912885,-0.46960756783603197
10747904,-0.1842225720843275,-0.028860017293882684,-0.0070724670118221125,-0.03796802059287693,0.007032387525434788,0.06286149671962404,-0.5607324923137904,0.01669812229336004,-0.09455242416488151
10878976,0.08873863455302833,0.07709639659038665,-0.002279493572241606,0.2272336015768247,0.05427206417374392,0.18003806428918925,0.13671418790544002,-0.02805571704615936,0.2055718402929862
11010048,0.12449768339957787,0.023578896507448217,0.04273121779504471,0.05508400888471333,0.03964582006053815,-0.2126360539518303,0.44079945892188793,0.024531214127944106,0.03649564635101539
