collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std
131072,0.7847976088523865,0.26371458172798157,0.06056279316544533,0.5873069167137146,-0.03341617435216904,0.6339026093482971,0.04381267726421356,0.6172365546226501,0.011935978196561337,0.6174206137657166,-0.02909405715763569,0.6330927014350891
262144,0.7885544300079346,0.26837676763534546,0.05870038643479347,0.5907787680625916,-0.010239017195999622,0.6354056596755981,0.043232642114162445,0.6213564276695251,0.023960985243320465,0.6233992576599121,-0.003457987681031227,0.6347469091415405
393216,0.7894567251205444,0.268968403339386,0.058301325887441635,0.590277373790741,-0.02011513151228428,0.6368722319602966,0.04139816015958786,0.6243162155151367,0.025282390415668488,0.6257599592208862,-0.0014420916559174657,0.6389828324317932
524288,0.7861014604568481,0.27368080615997314,0.06036835163831711,0.5919277667999268,-0.02924509346485138,0.6377744674682617,0.03871758282184601,0.6245696544647217,0.01988881081342697,0.6276904344558716,-0.005045343190431595,0.6390702724456787
655360,0.7810344696044922,0.27840980887413025,0.05949702858924866,0.5892188549041748,-0.03321420028805733,0.6366033554077148,0.037907298654317856,0.6200619339942932,0.019363492727279663,0.6263677477836609,-0.00674484996125102,0.6387597918510437
786432,0.7811673879623413,0.2815811336040497,0.0573091059923172,0.5877958536148071,-0.028639107942581177,0.6349605917930603,0.04351065307855606,0.6197921633720398,0.025402840226888657,0.6263961791992188,-0.002612574025988579,0.6386778950691223
917504,0.7856457233428955,0.27524784207344055,0.05603814870119095,0.5856091380119324,-0.038152121007442474,0.6363177299499512,0.04291263222694397,0.6205889582633972,0.018257569521665573,0.6270924210548401,-0.0065889800898730755,0.6375974416732788
1048576,0.7857905626296997,0.2741342782974243,0.051478318870067596,0.5858156681060791,-0.0283917635679245,0.6359429955482483,0.04117972031235695,0.6182425022125244,0.01848514936864376,0.6263841986656189,-0.0005645944038406014,0.637004554271698
1179648,0.7846353054046631,0.27650779485702515,0.046929970383644104,0.5902755260467529,-0.028263233602046967,0.638592004776001,0.03894302621483803,0.6217110753059387,0.019261540845036507,0.6265257596969604,-0.0017636700067669153,0.640057384967804
1310720,0.7823980450630188,0.278369277715683,0.04619014635682106,0.5883913636207581,-0.030648157000541687,0.6373832821846008,0.03532802313566208,0.6199287176132202,0.02165907435119152,0.6232572793960571,0.002856801962479949,0.6393641233444214
1441792,0.7878822088241577,0.27282920479774475,0.04609996825456619,0.5907812714576721,-0.02591126039624214,0.6361057758331299,0.03339846432209015,0.6203426122665405,0.015194124542176723,0.6221351623535156,-0.00030404317658394575,0.6378567218780518
1572864,0.7917237281799316,0.26706889271736145,0.0402490571141243,0.5896113514900208,-0.02730250544846058,0.6361907124519348,0.032010503113269806,0.6218358874320984,0.008915035985410213,0.6226159334182739,0.0032920658122748137,0.6390931010246277
1703936,0.7904953956604004,0.2693415880203247,0.03731364384293556,0.5866441130638123,-0.023675359785556793,0.6317717432975769,0.028731659054756165,0.6206894516944885,0.005861654412001371,0.6205042600631714,-0.005949846468865871,0.6348552703857422
1835008,0.7938128113746643,0.2665037512779236,0.03356295824050903,0.5877447724342346,-0.02025064267218113,0.6322270631790161,0.023640453815460205,0.6212893128395081,0.0014372998848557472,0.6194592118263245,-0.0063077909871935844,0.6329097151756287
1966080,0.7920523881912231,0.2716400623321533,0.026081034913659096,0.5905685424804688,-0.02086065709590912,0.6303644180297852,0.03136681020259857,0.6227512955665588,-0.0034937956370413303,0.6201708316802979,-0.010850340127944946,0.633976399898529
2097152,0.7915316820144653,0.2687130570411682,0.03876882046461105,0.5881152153015137,-0.01979248598217964,0.6298200488090515,0.028675701469182968,0.6225720643997192,-0.0032694332767277956,0.6184460520744324,-0.011102310381829739,0.6318824887275696
2228224,0.7937034368515015,0.26791954040527344,0.04704081267118454,0.5834289789199829,-0.023620525375008583,0.6285253763198853,0.03052978590130806,0.6244842410087585,-6.68501015752554e-05,0.6192488074302673,-0.011468938551843166,0.6299101114273071
2359296,0.7926166653633118,0.2689671814441681,0.04151114076375961,0.58573979139328,-0.02063330076634884,0.6264059543609619,0.04065610468387604,0.6277145147323608,0.0027218114119023085,0.6186632513999939,-0.012831519357860088,0.6310717463493347
2490368,0.79398113489151,0.26407909393310547,0.05357671156525612,0.5834522247314453,-0.031125931069254875,0.6274210810661316,0.051986075937747955,0.6236829161643982,0.005066721700131893,0.6192983388900757,-0.006529403850436211,0.6289658546447754
2621440,0.795056939125061,0.2624432444572449,0.0570552796125412,0.5840891003608704,-0.03474732115864754,0.6279342174530029,0.04946189746260643,0.6261744499206543,0.00745018944144249,0.6189310550689697,-0.0006376416422426701,0.6285157799720764
2752512,0.7928676605224609,0.26589030027389526,0.060097482055425644,0.5843260884284973,-0.028618425130844116,0.6272932291030884,0.047589682042598724,0.6271741986274719,0.0072974287904798985,0.6186007261276245,0.0014763956423848867,0.6276481747627258
2883584,0.7920533418655396,0.2680118978023529,0.05979366973042488,0.586663544178009,-0.024836469441652298,0.629839301109314,0.03543931245803833,0.6281559467315674,-0.0007622111588716507,0.6179301142692566,-0.003134694881737232,0.6289359331130981
