collected_frames,state/lin_velocity,state/lin_velocity_max,state/lin_velocity_min,state/ang_velocity,state/ang_velocity_max,state/ang_velocity_min,state/roll,state/roll_max,state/roll_min,state/pitch,state/pitch_max,state/pitch_min,state/success_lin_velocity,state/lin_vel_mean,state/lin_vel_max,state/lin_vel_min,state/ang_vel_mean,state/ang_vel_max,state/ang_vel_min,state/roll_deg_mean,state/roll_deg_max,state/roll_deg_min,state/pitch_deg_mean,state/pitch_deg_max,state/pitch_deg_min,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/clearance_max,state/pct_healthy
131072,,,,,,,,,,,,,,0.17651228955946863,0.6879129018634558,0.0036210917064636305,0.21449134894646704,1.3518995584454387,0.0018153066778268112,1.8539388867211528,20.71449033683166,3.184636072872671e-05,2.9410875985922758,15.15480786236003,4.519339506492415e-05,4.8580486960709095,0.0830990589747671,0.024846783140674233,0.6082751955837011,1.0
262144,0.17136848531663418,0.849878320004791,0.0036665800946593663,0.2418935450259596,1.986576552502811,0.002118687586289525,-0.027686264023941476,0.5301827755756676,-0.5472703357227147,-0.022754150264518103,0.4792195826303214,-0.46209559426642954,0.0,,,,,,,,,,,,,,,,,
262144,,,,,,,,,,,,,,0.17138119332958013,0.8578363489359617,0.0036665800946593663,0.24192245409358293,2.0078967195004225,0.002118687586289525,4.205647515133023,32.36793468892574,3.719574146776594e-05,5.405066080391407,29.729698091745377,4.514804382860227e-05,4.783334460109472,0.10561543272342533,-0.2245190553367138,0.6331011964939535,1.0
393216,0.16930220718495548,0.8419513604603708,0.003214387535081187,0.22765262448228896,1.8961854027584195,0.0021342572681533056,-0.04159321406041272,0.7302890997380018,-0.7406303244642913,-0.04654605718678795,0.7336121408734471,-0.5098158931359649,0.0,,,,,,,,,,,,,,,,,
393216,,,,,,,,,,,,,,0.16930309182498604,0.8419513604603708,0.003214387535081187,0.22765213961247355,1.8961854027584195,0.0021342572681533056,4.094619687646627,48.201768547296524,2.6452698582091205e-05,6.323924440890551,43.01233996450901,4.071792125220908e-05,4.625754915177822,0.1096400570240803,-0.27565711038187146,0.6311184167861938,1.0
524288,0.16753043269272894,1.0609476389363408,0.0028410626753156976,0.22531959612388164,2.31262428779155,0.0020729995092096942,-0.04066441976465285,1.1109217032790184,-0.706331817433238,-0.05458038268261589,0.8393307877704501,-0.592697836458683,0.0,,,,,,,,,,,,,,,,,
524288,,,,,,,,,,,,,,0.16753043269272894,1.0609476389363408,0.0028410626753156976,0.22531959612388164,2.31262428779155,0.0020729995092096942,3.677425764501095,63.65112575888634,2.8661492578407888e-05,6.783117480576038,48.09011226892471,3.796393899102579e-05,4.4279052540659904,0.11389139300445095,0.003709707409143448,0.6592377629131079,1.0
655360,0.15913427737541497,0.9024585168808699,0.002765807896594197,0.2224911858793348,2.347448183223605,0.0020717267076406642,-0.026466995172086172,1.0161514729261398,-0.7023848006501794,-0.06882970704464242,0.7119739502668381,-0.7172193140722811,0.0,,,,,,,,,,,,,,,,,
655360,,,,,,,,,,,,,,0.15914063074160367,0.9031931604258716,0.002765807896594197,0.22250141750555485,2.347448183223605,0.0020717267076406642,2.647230845876038,58.63523265719414,2.8697820745885588e-05,7.610197160393,42.81825166940689,3.929325861240507e-05,4.240746479481459,0.11342749698087573,-0.006830233556684107,0.6296889558434486,1.0
786432,0.15171195287257433,0.9705454423092306,0.002506742780838067,0.21110857906751335,2.3508166819810867,0.0021329043413516047,-0.011133156811411027,0.5931819980032742,-0.6887265895493329,-0.09446945390664041,0.6427958384156227,-0.9925886658020318,0.0,,,,,,,,,,,,,,,,,
