collected_frames,var_decomp/shaping,var_decomp/legacy_joint_vel_var_penalty,var_decomp/legacy_joint_angle_var_penalty,var_decomp/legacy_track_vel_var_penalty,var_decomp/legacy_roll_rate_penalty,var_decomp/legacy_pitch_rate_penalty,var_decomp/terminal_bonus
262144,0.09744875133037567,0.012511511333286762,0.2106035202741623,0.03644292429089546,-0.016892101615667343,-0.0022814704570919275,0.011195575818419456
393216,0.07244499027729034,0.016178693622350693,0.027658671140670776,0.0749066099524498,0.00589802535250783,0.013361934572458267,0.014519821852445602
524288,0.07552918791770935,0.008889013901352882,0.01620243676006794,0.0636366754770279,0.017503105103969574,0.017167620360851288,
655360,0.0306895412504673,0.0150430453941226,0.07360029220581055,0.0589495487511158,0.018719539046287537,0.0036613489501178265,0.006193860433995724
786432,0.10836350172758102,0.0035000734496861696,-0.0331292487680912,0.045908063650131226,0.003902724012732506,0.0057480065152049065,0.007417222484946251
917504,0.0716264396905899,0.015345513820648193,-0.005006752442568541,0.06722070276737213,-0.004505624528974295,-0.0039871009066700935,0.03882114961743355
1048576,0.03841153159737587,0.01339209545403719,0.0575488805770874,0.044712215662002563,0.012558883987367153,0.02167244255542755,0.02205922082066536
1179648,0.07376822084188461,0.009201383218169212,-0.02779885195195675,0.028468633070588112,0.0037296342197805643,0.009608713909983635,0.025351455435156822
1310720,0.1567797064781189,0.0011967022437602282,0.04163850471377373,0.0009704997064545751,0.008990255184471607,0.026146791875362396,0.00043287320295348763
1441792,0.10062000900506973,0.0011894224444404244,0.08295014500617981,0.00022312950750347227,0.019011974334716797,0.03756866231560707,
1572864,0.011040312238037586,7.763937901472673e-05,-0.04679828882217407,-0.0009937552968040109,-0.0006895430269651115,0.0006416377145797014,
1703936,0.015334038995206356,0.00378534197807312,-0.02976756915450096,0.006724024191498756,0.005707933101803064,0.006784592289477587,
1835008,0.08284563571214676,0.0001338878646492958,0.16242335736751556,-7.130693848012015e-05,0.014311217702925205,0.011082605458796024,0.00014412662130780518
1966080,0.0692075565457344,0.0014168459456413984,0.005331238731741905,0.0012709664879366755,0.03796917200088501,0.03917677700519562,
2097152,-0.05852627754211426,0.01309920847415924,0.13659270107746124,0.0775219202041626,0.00015422921569552273,0.03850578889250755,
2228224,0.041613347828388214,0.01278237346559763,0.010480090044438839,0.0692107081413269,0.025754231959581375,0.009004673920571804,
2359296,-0.014624403789639473,0.0033337341155856848,0.16270603239536285,0.01680597849190235,0.04139075055718422,-0.0019500718917697668,
2490368,0.01875595934689045,0.0007886224193498492,0.347300261259079,0.004241840448230505,-0.012978291139006615,0.0018239527707919478,0.0014679324813187122
2621440,-0.09080429375171661,0.003684094175696373,-0.45715266466140747,0.016859114170074463,0.0744597390294075,0.024095546454191208,0.015931006520986557
2752512,-0.005496815778315067,0.0012689902214333415,-0.028686150908470154,0.010440942831337452,0.01143613737076521,0.004099915269762278,0.005640571936964989
2883584,-0.0009178800391964614,0.0005021781544201076,0.00033791709574870765,-0.0007215323275886476,0.004913489334285259,-0.00022815147531218827,-0.0002908009337261319
3014656,0.0078360540792346,0.0008160595316439867,0.10068680346012115,0.010384948924183846,0.004017561674118042,0.004693035501986742,0.009074870496988297
3145728,0.009164822287857533,0.002796615706756711,0.21184208989143372,0.016456633806228638,-0.0023400357458740473,0.0050923642702400684,0.012410423718392849
3276800,0.13296392560005188,0.00028235840727575123,0.09459042549133301,-0.001145876944065094,0.010275927372276783,0.008557918481528759,0.00031543898512609303
3407872,0.02968696504831314,-0.0014420996885746717,-0.00027374265482649207,-0.00129766168538481,-0.004270840436220169,0.030447237193584442,
3538944,0.08367780596017838,0.004534315317869186,0.1069883480668068,0.003532384755089879,-0.018089501187205315,-0.0020547015592455864,
3670016,0.059290383011102676,-0.002101575955748558,0.3149332106113434,0.0020247926004230976,0.0071337865665555,0.00405532494187355,
3801088,-0.028703875839710236,0.010508783161640167,-0.33350104093551636,0.0523681566119194,0.0039229425601661205,0.007937366142868996,0.007228925824165344
3932160,-0.027392102405428886,0.0049608685076236725,0.05666166916489601,0.004058126825839281,0.00319583248347044,0.0017009777948260307,0.011335469782352448
4063232,-0.019332028925418854,0.006728873588144779,0.2388530820608139,0.014764854684472084,0.005097500514239073,0.003231843002140522,0.07809703797101974
4194304,0.0049423943273723125,-0.0007558139623142779,-0.016635434702038765,0.00434905244037509,0.0015718246577307582,-0.0037410391960293055,0.00422989297658205
4325376,-0.011136256158351898,0.0009518204024061561,0.005616484209895134,0.0037402366288006306,0.02767805941402912,0.021473350003361702,0.019998006522655487
4456448,0.034365054219961166,0.005094966385513544,0.06324326992034912,0.020056355744600296,0.01905536651611328,0.021309230476617813,0.04699761047959328
4587520,0.037104327231645584,0.015115362592041492,0.04678642004728317,0.038729216903448105,0.011504459194839,0.011297672055661678,0.0571049265563488
4718592,0.14938139915466309,-0.002570298034697771,0.03291337192058563,-0.0013678125105798244,0.009607050567865372,-0.0016625497955828905,-0.00010045347880804911
4849664,0.11166328936815262,0.001429443247616291,0.023550191894173622,0.009654835797846317,0.018444644287228584,0.0007568976143375039,0.0020661423914134502
4980736,-0.03565294295549393,0.00416272459551692,0.08152537047863007,0.03293410316109657,0.013756068423390388,0.044091254472732544,0.01831117272377014
5111808,0.1477939933538437,0.0019209019374102354,-0.03160739690065384,0.02470797672867775,0.007881640456616879,0.006965934298932552,0.038923315703868866
5242880,0.07491781562566757,0.011707748286426067,-0.010570776648819447,0.05769208073616028,0.010186047293245792,0.015381287783384323,0.02386767975986004
5373952,0.04636527597904205,0.005887218751013279,0.0021981801837682724,0.04799077287316322,0.00969337671995163,0.008834759704768658,0.04595840349793434
5505024,0.0488862469792366,0.000105247825558763,-0.005325691774487495,0.0004643505671992898,-0.004180630203336477,0.015997204929590225,0.025204017758369446
5636096,0.0034427742939442396,0.007049304898828268,0.015773551538586617,0.021158263087272644,0.009457974694669247,0.019358567893505096,-0.0006142992060631514
5767168,0.03130657970905304,0.017793485894799232,0.0032498438376933336,0.05597969517111778,0.009973511099815369,0.018749302253127098,
5898240,0.03401833772659302,0.013347434811294079,0.0002031535841524601,0.06948012858629227,0.01133706048130989,0.00717058265581727,0.0054037016816437244
6029312,0.09914733469486237,-0.0012360813561826944,0.02260887436568737,0.0003992138954345137,0.006835116073489189,0.008084435947239399,0.0006803925498388708
6160384,0.30278709530830383,0.002042890526354313,-0.09197575598955154,0.004980249796062708,0.005312369670718908,-0.02094896510243416,0.005310935899615288
6291456,0.12565724551677704,0.006261215079575777,-0.02172772027552128,0.026000216603279114,0.009277870878577232,-0.00999694038182497,0.02250448614358902
