collected_frames,rew/shaping,rew/step_penalty,rew/legacy_joint_vel_var_penalty,rew/legacy_joint_angle_var_penalty,rew/legacy_track_vel_var_penalty,rew/legacy_roll_rate_penalty,rew/legacy_pitch_rate_penalty,rew/terminal_bonus,rew/total_reward
131072,0.13840311975218356,-0.16349218596786128,-0.10252634063363075,-0.030749049984059695,-0.0855755300144665,-0.03309045544301625,-0.02982527627318632,0.0,-0.30685571976937354
262144,0.1568231680430472,-0.1638327946886272,-0.1021871657576412,-0.09276625473285094,-0.08523135515861213,-0.03895497586927377,-0.03349250076280441,-0.0001068115234375,-0.3597458105068654
393216,0.1659925263375044,-0.16417340340939393,-0.10184034769190475,-0.12219320103758946,-0.08495145459892228,-0.03405416914029047,-0.03346232516923919,-0.0001068115234375,-0.3747862814925611
524288,0.16422150353901088,-0.16451401213016004,-0.10158566350582987,-0.12274221843108535,-0.08454484265530482,-0.031782207486685365,-0.034578457634779625,0.0,-0.3755258896853775
655360,0.1512552930507809,-0.16485462085092678,-0.10162254300666973,-0.1041727497940883,-0.08352374203968793,-0.030159871428622864,-0.03524269703484606,-0.0001068115234375,-0.3684249622747302
786432,0.14457158604636788,-0.16519522957169352,-0.10127179662231356,-0.08797220553969964,-0.0839704749523662,-0.026626592545653693,-0.035160197789082304,-0.0001068115234375,-0.35572900902479887
917504,0.13451803586212918,-0.16553583829245958,-0.10058838711120188,-0.07831028016516939,-0.08342840732075274,-0.02479218054213561,-0.03488050069427118,-0.00042724609375,-0.353433993877843
1048576,0.13021810818463564,-0.16587644701322554,-0.1003282304154709,-0.06305657047778368,-0.08327264146646485,-0.021868835101486184,-0.03197828654083423,-0.0001068115234375,-0.33626459375955164
1179648,0.12555350648472086,-0.16621705573399226,-0.10014164511812851,-0.04168863481027074,-0.08258025936083868,-0.0208806980663212,-0.029879842666559853,0.0001068115234375,-0.3157207395415753
1310720,0.1987940354156308,-0.16655766445475834,-0.09934940922539681,-0.024571000980358804,-0.08285502035869285,-0.01648656498582568,-0.019320646781125106,-0.0001068115234375,-0.21045062568737194
