collected_frames,rew/potential_shaping,rew/step_penalty,rew/joint_vel_variance,rew/roll,rew/roll_rate,rew/pitch,rew/pitch_rate,rew/terminal_bonus,rew/total_reward
65536,0.8305069929920137,-0.20136560257768443,-0.24767489917576313,-0.007166615085438366,-0.13687293531256728,-0.013291282685713668,-0.10482831667468417,-0.002381663507549092,0.11692569410206488
131072,0.5734630888327956,-0.20136560257768443,-0.24800592579413205,-0.01303923475643387,-0.12300019839312881,-0.017856931954156607,-0.09605212474707514,-0.0014300395123427734,-0.1272869586100569
196608,0.5677389116026461,-0.20136560257768443,-0.24635686294641346,-0.013611692498670891,-0.11443398770643398,-0.016761735460022464,-0.08769545471295714,-0.0014905642019584775,-0.11397698317887262
262144,0.5398824826115742,-0.20136560257768443,-0.247343716211617,-0.01287991322169546,-0.10928445239551365,-0.01655928455875255,-0.08438467903761193,-0.0008902651970856823,-0.1328254264080897
327680,0.620965200709179,-0.20136560257768443,-0.2455409977119416,-0.012183593629742973,-0.11309939704369754,-0.013934643451648299,-0.08588307886384428,-0.0016154682307387702,-0.05265757303277496
393216,0.6229808223433793,-0.20136560257768443,-0.24561741412617266,-0.011102874166681431,-0.1233346214867197,-0.015270768715708982,-0.09310008835745975,-0.0014924915303708985,-0.0683030274885823
458752,0.7214837330393493,-0.20136560257768443,-0.24613053200300783,-0.00851802810211666,-0.12291470129275694,-0.013602592018287396,-0.09212445639423095,-0.0005163871901459061,0.03631144755490823
524288,0.6082195374183357,-0.20136560257768443,-0.24482190166600049,-0.01174501593777677,-0.12013587215915322,-0.01523219735827297,-0.0886485343798995,-0.0006853040322312154,-0.07441488571930677
589824,0.6070219958201051,-0.20136560257768443,-0.24523956002667546,-0.011089006358815823,-0.11466999677941203,-0.015071057336172089,-0.08967391873011366,-0.000512532533321064,-0.07059966943052132
655360,0.592781272251159,-0.20136560257768443,-0.24537902721203864,-0.010052296078356449,-0.10854183096671477,-0.015325871849199757,-0.08447107882238925,0.0014239983647712506,-0.07093042826454621
720896,0.6187173845246434,-0.20136560257768443,-0.24432184000033885,-0.008675808723637601,-0.10260479198768735,-0.01484278183488641,-0.08421946264570579,-1.567780418554321e-05,-0.03732857086652075
786432,0.7266065352596343,-0.20136560257768443,-0.24412568472325802,-0.005502148966115783,-0.0975713036605157,-0.015391907796583837,-0.08996112900786102,-0.0016974527097772807,0.07099132043367717
851968,0.6264654290862381,-0.20136560257768443,-0.24438581231515855,-0.006431968169636093,-0.09448212513234466,-0.01595441624522209,-0.08610479976050556,0.0011282501509413123,-0.021131040921318345
917504,0.599686065223068,-0.20136560257768443,-0.24488424172159284,-0.006766364385839552,-0.08550077071413398,-0.014879386166285258,-0.07844928890699521,0.004388355722767301,-0.027771230668804492
983040,0.5859308335930109,-0.20136560257768443,-0.2433711641933769,-0.006861657675472088,-0.08577832498122007,-0.013957122922874987,-0.07620758545817807,0.0026460561275598593,-0.03896456193251652
1048576,0.6176143498159945,-0.20136560257768443,-0.24393433600198478,-0.006356845933623845,-0.08437740331282839,-0.013553282042266801,-0.0757602663943544,-0.00100251203548396,-0.008735892130061984
1114112,0.7161889923736453,-0.20136560257768443,-0.24298043688759208,-0.005897317954804748,-0.09913849635631777,-0.014509432188788196,-0.09111278434284031,-0.0006891586890560575,0.060495771453133784
1179648,0.6268325871787965,-0.20136560257768443,-0.2426622825441882,-0.006878843189042527,-0.09716066665714607,-0.01496057982876664,-0.08586811710847542,0.0012512268658610992,-0.020812269120142446
1245184,0.5901823127642274,-0.20136560257768443,-0.2428436407353729,-0.006878212621813873,-0.09150302462512627,-0.014332368904433679,-0.08022218494443223,0.0028490899785538204,-0.04411362632163218
1310720,0.5819811117835343,-0.20136560257768443,-0.24260515940841287,-0.007048191961075645,-0.08988739759661257,-0.014574194559827447,-0.08019380923360586,0.0013527437840821221,-0.05234049100545235
1376256,0.6147920188959688,-0.20136560257768443,-0.24170524429064244,-0.006591986399143934,-0.08957129559712484,-0.013405374214926269,-0.08068744640331715,0.0030735836116946302,-0.015461338407476433
1441792,0.7051865179091692,-0.20136560257768443,-0.24272923450917006,-0.00573402510053711,-0.0995057950494811,-0.011768581927753985,-0.08628760656574741,0.002918417230830528,0.06071410173717595
1507328,0.6231209984980524,-0.20136560257768443,-0.2419621451990679,-0.007756794788292609,-0.10277264012256637,-0.012607970485987607,-0.085387886792887,0.0031057732776389457,-0.025626258649936062
1572864,0.6139397933147848,-0.20136560257768443,-0.2418313913512975,-0.008293330763990525,-0.10471028031315655,-0.012531466389191337,-0.08572693716268986,0.004256576459738426,-0.03626263695878151
1638400,0.600994807202369,-0.20136560257768443,-0.24144781823270023,-0.008717304794117808,-0.1047784096444957,-0.012088081857655197,-0.0820184550830163,0.003982288028055336,-0.045438571462000255
1703936,0.6227079085074365,-0.20136560257768443,-0.2406152079347521,-0.008617106348538073,-0.10703138139797375,-0.011873948271386325,-0.0818761385162361,0.005338052375009283,-0.023333417833782732
1769472,0.7260270910337567,-0.20136560257768443,-0.23798206693027169,-0.008020510267670033,-0.11945965175982565,-0.01141145942165167,-0.09122453309828416,0.0018691309742280282,0.058432406154679484
1835008,0.6400727529544383,-0.20136560257768443,-0.23676782741677016,-0.009674314598669298,-0.11474169918801636,-0.012870733386080246,-0.08795897650998086,0.00436002070637187,-0.018946371146739693
1900544,0.6332665919326246,-0.20136560257768443,-0.23701818427070975,-0.008772845401836094,-0.1044673069845885,-0.013641633471706882,-0.08523137727752328,0.004502529860474169,-0.012727824052490178
1966080,0.6113666575402021,-0.20136560257768443,-0.23641997191589326,-0.00834695956291398,-0.10137898358516395,-0.013985972182126716,-0.08331301511498168,0.0028812796372221783,-0.030562560790713178
2031616,0.635833025444299,-0.20136560257768443,-0.23636308510322124,-0.007588237469462911,-0.09904971736250445,-0.01246945764432894,-0.08136992086656392,0.003950098376662936,0.0015771094767842442
2097152,0.7177001941017807,-0.20136560257768443,-0.23565296409651637,-0.004600328786182217,-0.09675553304259665,-0.010719886413426138,-0.08583086662110873,0.002907687332481146,0.08568271088370238
2162688,0.6502382699400187,-0.20136560257768443,-0.23331436538137496,-0.005327582010067999,-0.09371092432411388,-0.011120249102532398,-0.08297801244771108,0.005277527670841664,0.0276990727543307
2228224,0.6514132167212665,-0.20136560257768443,-0.23258416866883636,-0.005118053795740707,-0.09085561760002747,-0.01105568549974123,-0.08116548421094194,0.004919327489915304,0.03418794036770123
2293760,0.6031628944911063,-0.20136560257768443,-0.2310041181044653,-0.005266506042971741,-0.09098320180783048,-0.01147736039274605,-0.07850781315937638,0.006264361938519869,-0.009177339949928864
2359296,0.611426891060546,-0.20136560257768443,-0.22954755532555282,-0.005752334571297979,-0.09524871240137145,-0.010574524145340547,-0.0769583820074331,0.0066099049436161295,-0.0014103080029599369
2424832,0.7135449876077473,-0.20136560257768443,-0.22988925373647362,-0.0055280040123761864,-0.11640875262673944,-0.011169543253345182,-0.08529799254029058,0.004030155505461153,0.06791600278302212
2490368,0.6463502822443843,-0.20136560257768443,-0.22653919481672347,-0.0063585680363758,-0.11717547365697101,-0.01200303385121515,-0.08261736040003598,0.007345837861066684,0.007636891703441506
2555904,0.6394037981517613,-0.20136560257768443,-0.22528583358507603,-0.006733463644195581,-0.10944102128269151,-0.011391511005058419,-0.08035707933595404,0.0057245876305387355,0.01055387928863638
2621440,0.6156975799240172,-0.20136560257768443,-0.22297683474607766,-0.006229394661204424,-0.10026207804912701,-0.0116735571573372,-0.07707836758345366,0.005744120091549121,0.0018558739739091834
2686976,0.6284534283913672,-0.20136560257768443,-0.220106830005534,-0.005585565890214639,-0.09809979784768075,-0.011434141641075257,-0.07799783267546445,0.002799295194563456,0.01666295654285932
2752512,0.6935592242516577,-0.20136560257768443,-0.21850813273340464,-0.005127762193296803,-0.09012734476709738,-0.012088999945262913,-0.08087936681113206,0.00041184968722518533,0.0858738783026638
2818048,0.6137687807204202,-0.20136560257768443,-0.21841221232898533,-0.005317916456988314,-0.08719488960923627,-0.012387299626425374,-0.0782578267971985,0.005582078483712394,0.0164151179487817
2883584,0.6082842443138361,-0.20136560257768443,-0.2187166907824576,-0.004532349277724279,-0.07915494201006368,-0.010930375952739269,-0.07399836706463248,0.0032375525406678207,0.022823481551313307
