collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr
65536,-0.08340923488140106,-0.05799975246191025,0.025409482419490814,-0.7810035943984985,-2.670755386352539,1.4863146543502808,-0.003000148106366396,-0.09366254508495331,2.6731321811676025,0.0005673554260283709,0.000244140625,-0.7810035943984985,5.077564239501953,1.6250790357589722,9.691066779537886e-05,0.0005787112469321874
131072,-0.054841987788677216,-0.7051883935928345,-0.6503464058041573,-0.46861928701400757,-2.6721253395080566,0.8287991285324097,-0.0009266878478229046,-0.09379296004772186,2.6768546104431152,0.0005950724589638412,0.001220703125,-0.46861928701400757,3.133284568786621,1.4273974895477295,9.679593874490752e-05,0.0005780261315226248
196608,-0.0061584520153701305,-0.9013579487800598,-0.8951994967646897,-0.0375639870762825,-2.67303729057312,0.4923992156982422,-0.002399270888417959,-0.09379173815250397,2.676819324493408,0.00034142041113227606,0.001708984375,-0.0375639870762825,1.4529188871383667,1.0480300188064575,9.668120969443618e-05,0.0005773410161130622
262144,-0.009329664520919323,-0.9995591640472412,-0.9902294995263219,-0.045104168355464935,-2.6773223876953125,0.7850480675697327,-0.001341354800388217,-0.09353582561016083,2.669515609741211,0.0011411092709749937,0.000244140625,-0.045104168355464935,2.4509942531585693,1.7771419286727905,9.656648064396484e-05,0.0005766559007034996
327680,0.04380606859922409,-0.8663943409919739,-0.910200409591198,0.27205583453178406,-2.6755974292755127,0.7136220932006836,-0.0016187019646167755,-0.09387918561697006,2.6793150901794434,0.0009829236660152674,0.0009765625,0.27205583453178406,1.9667364358901978,0.9821478724479675,9.64517515934935e-05,0.000575970785293937
393216,-0.005770119838416576,-0.7073438763618469,-0.7015737565234303,-0.024764960631728172,-2.6772043704986572,0.4721626043319702,-0.0020706166978925467,-0.0937422662973404,2.6754074096679688,0.0018361248075962067,0.000732421875,-0.024764960631728172,1.854246973991394,1.2821100950241089,9.633702254302217e-05,0.0005752856698843745
458752,-0.1851845383644104,-0.5208737850189209,-0.3356892466545105,-1.978419542312622,-2.6798617839813232,2.100405216217041,-0.001644523348659277,-0.09388133883476257,2.6793766021728516,0.0022730184718966484,0.000732421875,-1.978419542312622,4.205914497375488,0.878063440322876,9.622229349255083e-05,0.0005746005544748119
524288,-0.13132402300834656,-2.933933734893799,-2.8026097118854523,-1.1939849853515625,-2.680771827697754,2.5390923023223877,-0.0021359489765018225,-0.0937248170375824,2.6749095916748047,0.0025929748080670834,0.001220703125,-1.1939849853515625,4.950891017913818,1.2332159280776978,9.61075644420795e-05,0.0005739154390652493
589824,-0.026567405089735985,-3.676849842071533,-3.650282436981797,-0.2161032259464264,-2.676973581314087,2.0702333450317383,-0.0009137231390923262,-0.09358040243387222,2.670787811279297,0.00025564985116943717,0.0,-0.2161032259464264,4.667424201965332,2.040081739425659,9.599283539160816e-05,0.0005732303236556867
655360,-0.005220710299909115,-3.650444269180298,-3.6452235588803887,0.004623340908437967,-2.6775591373443604,1.4035557508468628,-0.0022278428077697754,-0.0938166007399559,2.6775288581848145,0.0009119246387854218,0.0,0.004623340908437967,2.909562110900879,1.6786770820617676,9.587810634113682e-05,0.0005725452082461241
720896,0.03807856887578964,-3.3276376724243164,-3.365716241300106,0.12853148579597473,-2.675907611846924,1.9289798736572266,-0.0028190789744257927,-0.09328113496303558,2.6622469425201416,0.00039753440069034696,0.0009765625,0.12853148579597473,3.9222211837768555,2.4665963649749756,9.576337729066548e-05,0.0005718600928365615
786432,-0.1856568157672882,-2.00386381149292,-1.8182069957256317,-2.275712490081787,-2.6720407009124756,3.195918083190918,-0.0015910714864730835,-0.09334351122379303,2.664026975631714,0.00019588286522775888,0.0,-2.275712490081787,6.26515007019043,1.9821633100509644,9.564864824019414e-05,0.0005711749774269989
