collected_frames,env/success_rate,env/failure_rate
65536,0.02702702702702703,0.972972972972973
131072,0.2159090909090909,0.7840909090909091
196608,0.21875,0.78125
262144,0.23809523809523808,0.7619047619047619
327680,0.035483870967741936,0.16451612903225807
393216,0.14583333333333334,0.59375
458752,0.19230769230769232,0.6346153846153846
524288,0.18518518518518517,0.5481481481481482
589824,0.17391304347826086,0.5
655360,0.2661290322580645,0.5241935483870968
720896,0.0776255707762557,0.2009132420091324
786432,0.12857142857142856,0.6714285714285714
851968,0.22794117647058823,0.47058823529411764
917504,0.3333333333333333,0.35772357723577236
983040,0.30434782608695654,0.4608695652173913
1048576,0.0794979079497908,0.26359832635983266
1114112,0.1774193548387097,0.6129032258064516
1179648,0.2085889570552147,0.4294478527607362
1245184,0.275,0.375
1310720,0.24444444444444444,0.4888888888888889
1376256,0.16203703703703703,0.2175925925925926
1441792,0.4406779661016949,0.4406779661016949
1507328,0.23295454545454544,0.3522727272727273
1572864,0.32575757575757575,0.38636363636363635
1638400,0.3383458646616541,0.45112781954887216
1703936,0.2184873949579832,0.24789915966386555
1769472,0.38333333333333336,0.55
1835008,0.2692307692307692,0.35714285714285715
1900544,0.35,0.45
1966080,0.29545454545454547,0.45454545454545453
2031616,0.18571428571428572,0.21428571428571427
2097152,0.4444444444444444,0.3888888888888889
2162688,0.27411167512690354,0.3299492385786802
2228224,0.3381294964028777,0.37410071942446044
2293760,0.40625,0.359375
2359296,0.24752475247524752,0.1782178217821782
2424832,0.4927536231884058,0.4492753623188406
2490368,0.3193717277486911,0.28272251308900526
2555904,0.375,0.375
2621440,0.375,0.3359375
2686976,0.17452830188679244,0.2641509433962264
2752512,0.2786885245901639,0.6229508196721312
2818048,0.2914285714285714,0.3028571428571429
2883584,0.2689655172413793,0.3793103448275862
2949120,0.358974358974359,0.36752136752136755
3014656,0.22807017543859648,0.15350877192982457
3080192,0.391304347826087,0.41304347826086957
3145728,0.29444444444444445,0.24444444444444444
3211264,0.37209302325581395,0.3023255813953488
3276800,0.4732142857142857,0.32142857142857145
3342336,0.1762295081967213,0.16393442622950818
3407872,0.3392857142857143,0.5535714285714286
3473408,0.30303030303030304,0.30303030303030304
3538944,0.30128205128205127,0.44871794871794873
3604480,0.3333333333333333,0.3968253968253968
3670016,0.15492957746478872,0.24882629107981222
3735552,0.13157894736842105,0.8157894736842105
3801088,0.2236024844720497,0.4658385093167702
3866624,0.20634920634920634,0.5158730158730159
3932160,0.2231404958677686,0.48760330578512395
3997696,0.17333333333333334,0.2311111111111111
4063232,0.39473684210526316,0.5
4128768,0.3977272727272727,0.24431818181818182
4194304,0.423728813559322,0.3983050847457627
4259840,0.35514018691588783,0.35514018691588783
4325376,0.19591836734693877,0.16326530612244897
4390912,0.4909090909090909,0.38181818181818183
4456448,0.3422459893048128,0.24598930481283424
4521984,0.45689655172413796,0.29310344827586204
4587520,0.40458015267175573,0.31297709923664124
4653056,0.23829787234042554,0.14893617021276595
4718592,0.34285714285714286,0.5285714285714286
4784128,0.422680412371134,0.25257731958762886
4849664,0.4305555555555556,0.25
4915200,0.4186046511627907,0.29457364341085274
4980736,0.22162162162162163,0.16756756756756758
5046272,0.5531914893617021,0.3617021276595745
5111808,0.29444444444444445,0.3277777777777778
5177344,0.42857142857142855,0.3684210526315789
5242880,0.4727272727272727,0.3151515151515151
5308416,0.2626728110599078,0.21658986175115208
5373952,0.3614457831325301,0.5180722891566265
5439488,0.25821596244131456,0.36619718309859156
5505024,0.33557046979865773,0.3825503355704698
5570560,0.43243243243243246,0.32432432432432434
5636096,0.28421052631578947,0.24210526315789474
5701632,0.4794520547945205,0.3424657534246575
5767168,0.3353658536585366,0.27439024390243905
5832704,0.4881889763779528,0.25984251968503935
5898240,0.4864864864864865,0.2882882882882883
5963776,0.24336283185840707,0.13716814159292035
6029312,0.6181818181818182,0.34545454545454546
6094848,0.32558139534883723,0.22093023255813954
6160384,0.43609022556390975,0.3233082706766917
6225920,0.302158273381295,0.41007194244604317
6291456,0.2543103448275862,0.21120689655172414
6356992,0.4897959183673469,0.4489795918367347
6422528,0.30409356725146197,0.2982456140350877
6488064,0.40441176470588236,0.3088235294117647
6553600,0.4126984126984127,0.35714285714285715
6619136,0.23853211009174313,0.1743119266055046
6684672,0.31746031746031744,0.5079365079365079
6750208,0.3224043715846995,0.26229508196721313
6815744,0.36496350364963503,0.3357664233576642
6881280,0.4152542372881356,0.4152542372881356
6946816,0.1888412017167382,0.15021459227467812
7012352,0.425531914893617,0.3829787234042553
7077888,0.32338308457711445,0.31343283582089554
7143424,0.3230769230769231,0.3
7208960,0.37037037037037035,0.39814814814814814
7274496,0.18099547511312217,0.16289592760180996
7340032,0.38181818181818183,0.509090909090909
7405568,0.25405405405405407,0.33513513513513515
7471104,0.34814814814814815,0.4148148148148148
7536640,0.3282442748091603,0.366412213740458
7602176,0.2412280701754386,0.17982456140350878
7667712,0.3709677419354839,0.46774193548387094
7733248,0.3263157894736842,0.3684210526315789
7798784,0.4576271186440678,0.3389830508474576
7864320,0.4805194805194805,0.3051948051948052
7929856,0.22959183673469388,0.14285714285714285
7995392,0.37254901960784315,0.4117647058823529
8060928,0.3681592039800995,0.2835820895522388
8126464,0.4789915966386555,0.2689075630252101
8192000,0.4083333333333333,0.36666666666666664
8257536,0.16666666666666666,0.1623931623931624
8323072,0.375,0.53125
8388608,0.29411764705882354,0.2647058823529412
8454144,0.373134328358209,0.291044776119403
8519680,0.4649122807017544,0.34210526315789475
8585216,0.25311203319502074,0.14937759336099585
8650752,0.3939393939393939,0.5757575757575758
8716288,0.29714285714285715,0.3314285714285714
8781824,0.3310344827586207,0.3931034482758621
8847360,0.375,0.33088235294117646
8912896,0.17307692307692307,0.22596153846153846
8978432,0.36538461538461536,0.5384615384615384
9043968,0.3072916666666667,0.2708333333333333
9109504,0.36363636363636365,0.3712121212121212
