attempt,collected_frames,var_decomp/traversal_reward,var_decomp/direction_penalty,var_decomp/clearance_reward,var_decomp/terminal_bonus
1,2228224,0.012902985326945782,1.0008732080459595,-0.016442788764834404,0.0026990550104528666
1,2359296,-0.004154284484684467,1.0214598178863525,-0.017305508255958557,
1,2490368,-0.008529633283615112,1.0245696306228638,-0.01604006253182888,
1,2621440,0.0009810333140194416,1.0143015384674072,-0.015282646752893925,
1,2752512,-0.007865839637815952,1.022926926612854,-0.015061029233038425,
1,2883584,-0.007652319967746735,1.0228196382522583,-0.015167241916060448,
1,3014656,-0.024460285902023315,1.0380393266677856,-0.013579028658568859,
1,3145728,0.03216295689344406,0.980241596698761,-0.012404545210301876,
1,3276800,-0.014045383781194687,1.0279756784439087,-0.013930360786616802,
1,3407872,-0.019315343350172043,1.0326755046844482,-0.013360237702727318,
1,3538944,0.001068136771209538,1.0130505561828613,-0.012865654192864895,-0.0012506316415965557
1,3670016,-0.009331818670034409,1.022260308265686,-0.012928539887070656,
1,3801088,-0.0029284737538546324,1.015889286994934,-0.012960882857441902,
1,3932160,-0.005999279208481312,1.0203291177749634,-0.014329887926578522,
1,4063232,-0.00531638553366065,1.0179932117462158,-0.012676754035055637,
1,4194304,-0.0143032968044281,1.0279216766357422,-0.013618342578411102,
1,4325376,-0.031114576384425163,1.0451154708862305,-0.0140009056776762,
1,4456448,0.027878746390342712,0.9860054850578308,-0.013884271495044231,
1,4587520,-0.015036805532872677,1.0282762050628662,-0.013239450752735138,
1,4718592,-0.030270583927631378,1.042991280555725,-0.012720630504190922,
1,4849664,-0.0017366940155625343,1.01461660861969,-0.012879895977675915,
1,4980736,-0.009898316115140915,1.0225878953933716,-0.012689491733908653,
1,5111808,-0.0026293678674846888,1.0138477087020874,-0.011218217201530933,
1,5242880,-0.007124005351215601,1.0191853046417236,-0.012061288580298424,
1,5373952,-0.008810877799987793,1.020181655883789,-0.0113707659766078,
1,5505024,-0.014529972337186337,1.0273057222366333,-0.01277565024793148,
1,5636096,-0.03370021656155586,1.0462135076522827,-0.012513287365436554,
1,5767168,0.031450025737285614,0.9805237650871277,-0.011973860673606396,
1,5898240,-0.018539652228355408,1.0313336849212646,-0.012794137001037598,
1,6029312,-0.027938401326537132,1.0407520532608032,-0.012813718058168888,
1,6160384,-0.0029553226195275784,1.015181064605713,-0.01222560741007328,
1,6291456,-0.008220278657972813,1.0212684869766235,-0.013048289343714714,
1,6422528,-0.004715124610811472,1.0171971321105957,-0.011570686474442482,-0.0009109940729103982
1,6553600,-0.009467282332479954,1.0203527212142944,-0.010885394178330898,
1,6684672,-0.0063031078316271305,1.0177178382873535,-0.011414687149226665,
1,6815744,-0.016216233372688293,1.0291070938110352,-0.012890765443444252,
1,6946816,-0.036685965955257416,1.049459457397461,-0.012773435562849045,
1,7077888,0.02790038473904133,0.9840750694274902,-0.011975392699241638,
1,7208960,-0.017036981880664825,1.029789686203003,-0.012752804905176163,
1,7340032,-0.028646046295762062,1.0420539379119873,-0.0123528353869915,-0.0010544325923547149
1,7471104,-0.007707794196903706,1.0197248458862305,-0.012017128057777882,
1,7602176,-0.014125338755548,1.0256577730178833,-0.011532479897141457,
1,7733248,-0.002511323429644108,1.0149750709533691,-0.011130590923130512,-0.0013316512340679765
1,7864320,-0.008900972083210945,1.0212072134017944,-0.012306256219744682,
1,7995392,-0.009923276491463184,1.0213274955749512,-0.01140423584729433,
1,8126464,-0.016291413456201553,1.028660535812378,-0.012369086965918541,
1,8257536,-0.037371207028627396,1.0507630109786987,-0.013391785323619843,
1,8388608,0.02419123239815235,0.9878901839256287,-0.0120815085247159,
1,8519680,-0.0155792236328125,1.0281598567962646,-0.01258060336112976,
1,8650752,-0.029699496924877167,1.0418778657913208,-0.012178353033959866,
1,8781824,-0.00775236776098609,1.0207549333572388,-0.013002606108784676,
1,8912896,-0.011826889589428902,1.0253030061721802,-0.012322480790317059,-0.001152235665358603
1,9043968,-0.005065131466835737,1.0173932313919067,-0.01232804637402296,
1,9175040,-0.00832279771566391,1.0215734243392944,-0.013250511139631271,
1,9306112,-0.007546312175691128,1.0190532207489014,-0.011506845243275166,
1,9437184,-0.014664730988442898,1.0286548137664795,-0.013990088365972042,
1,9568256,-0.037188269197940826,1.050099492073059,-0.012911109253764153,
1,9699328,0.02498447522521019,0.9863867163658142,-0.011371205560863018,
1,9830400,-0.01883212849497795,1.0317121744155884,-0.012880087830126286,
1,9961472,-0.02952338196337223,1.0420489311218262,-0.012525464408099651,
1,10092544,-0.007468134630471468,1.019697904586792,-0.01222975179553032,
1,10223616,-0.01354539766907692,1.026533842086792,-0.012988397851586342,
1,10354688,-0.007399315480142832,1.0207483768463135,-0.013349123299121857,
1,10485760,-0.00912046805024147,1.0222318172454834,-0.01311132125556469,
1,10616832,-0.008853927254676819,1.0221233367919922,-0.013269430957734585,
1,10747904,-0.01828686147928238,1.0327218770980835,-0.014435095712542534,
1,10878976,-0.03544076159596443,1.048813819885254,-0.013373072259128094,
1,11010048,0.02804005891084671,0.9838718175888062,-0.011911960318684578,
1,11141120,-0.018778061494231224,1.0310442447662354,-0.012266215868294239,
1,11272192,-0.03154024854302406,1.0428526401519775,-0.011312494985759258,
1,11403264,-0.006486915051937103,1.0177805423736572,-0.011293547227978706,
1,11534336,-0.01217583380639553,1.0237257480621338,-0.011549998074769974,
1,11665408,-0.0028121168725192547,1.0148788690567017,-0.012066807597875595,
1,11796480,-0.012841969728469849,1.0239791870117188,-0.011137359775602818,
1,11927552,-0.008253796026110649,1.0210176706314087,-0.01276386622339487,
1,12058624,-0.01783895492553711,1.030378818511963,-0.012539844028651714,
1,12189696,-0.03368394449353218,1.046912431716919,-0.013228574767708778,
1,12320768,0.02965804934501648,0.9827860593795776,-0.012444239109754562,
1,12451840,-0.015437797643244267,1.0289621353149414,-0.01352428738027811,
1,12582912,-0.031232735142111778,1.04432213306427,-0.013089408166706562,
1,12713984,-0.005924604833126068,1.0185588598251343,-0.012634098529815674,
1,12845056,-0.012715217657387257,1.024845838546753,-0.01213052961975336,
1,12976128,-0.005854850169271231,1.0179017782211304,-0.012046881020069122,
1,13107200,-0.00931523647159338,1.0209442377090454,-0.011629080399870872,
1,13238272,-0.009375651367008686,1.0205070972442627,-0.011131426319479942,
1,13369344,-0.020130520686507225,1.032336711883545,-0.01220616977661848,
1,13500416,-0.03446528688073158,1.0469944477081299,-0.012529196217656136,
1,13631488,0.022162631154060364,0.9889959692955017,-0.01115864235907793,
1,13762560,-0.0199910756200552,1.0297869443893433,-0.011671118438243866,0.0019004849018529058
1,13893632,-0.029185215011239052,1.0415356159210205,-0.012350410223007202,
1,14024704,-0.0025595463812351227,1.0145599842071533,-0.012000457383692265,
1,14155776,-0.0111846337094903,1.0225157737731934,-0.011331110261380672,
1,14286848,-0.0067877816036343575,1.017686367034912,-0.010898612439632416,
1,14417920,-0.006409240886569023,1.0185878276824951,-0.012178637087345123,
1,14548992,-0.004704486113041639,1.017094612121582,-0.01239010225981474,
1,14680064,-0.01945696398615837,1.03321373462677,-0.013756910338997841,
1,14811136,-0.03149457648396492,1.0448923110961914,-0.013397780247032642,
1,14942208,0.023333260789513588,0.9872315526008606,-0.010564715601503849,
