attempt,collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/step_penalty,train/action_bonus_coef
1,131072,-0.03910423070192337,0.07375085353851318,0.11285508424043655,-0.7032264471054077,-1.2925004959106445,0.1585843563079834,-0.0020026126876473427,-0.013256283476948738,1.325628399848938,0.005089199170470238,0.0390625,-0.7032264471054077,1.0674248933792114,0.12833788990974426,0.000299625,0.00099875,0.0,0.0
1,262144,-0.04005635902285576,-0.4868954122066498,-0.446839053183794,-0.617550253868103,-1.3087537288665771,0.06337886303663254,0.0011161230504512787,-0.013278873637318611,1.3278872966766357,0.006054200232028961,0.040771484375,-0.617550253868103,0.5329141020774841,0.12977270781993866,0.00029925,0.0009975000000000001,0.0,0.0
1,393216,-0.03711587190628052,-1.1399147510528564,-1.102798879146576,-0.38365161418914795,-1.3218965530395508,0.15307636559009552,-0.0026262453757226467,-0.013141505420207977,1.3141505718231201,0.004415022674947977,0.02587890625,-0.38365161418914795,0.6205273270606995,0.11854685842990875,0.000298875,0.0009962500000000002,0.0,0.0
1,524288,-0.03618338704109192,-1.3591588735580444,-1.3229754865169525,-0.3500063121318817,-1.3262603282928467,0.10507366061210632,-0.0023823368828743696,-0.013138554990291595,1.313855528831482,0.0034542144276201725,0.029541015625,-0.3500063121318817,0.600961446762085,0.15294960141181946,0.0002985,0.0009950000000000002,0.0,0.0
1,655360,-0.03244088590145111,-1.6286189556121826,-1.5961780697107315,-0.29814213514328003,-1.3319519758224487,0.09514535963535309,-0.0026400433853268623,-0.013110927306115627,1.3110928535461426,0.0051430463790893555,0.04345703125,-0.29814213514328003,0.5442233085632324,0.14140227437019348,0.000298125,0.0009937500000000003,0.0,0.0
1,786432,-0.024527551606297493,-1.450748085975647,-1.4262205343693495,-0.10503029823303223,-1.3151328563690186,0.11989595741033554,-0.0036160675808787346,-0.012764064595103264,1.2764064073562622,0.003706463146954775,0.037841796875,-0.10503029823303223,0.5795377492904663,0.12152721732854843,0.00029775,0.0009925000000000003,0.0,0.0
1,917504,-0.01881241425871849,-1.1361701488494873,-1.1173577345907688,-0.08983816206455231,-1.2995281219482422,0.07464993000030518,-0.001576100941747427,-0.01263735257089138,1.263735294342041,0.005707923322916031,0.062744140625,-0.08983816206455231,0.4700649678707123,0.14204774796962738,0.000297375,0.0009912500000000004,0.0,0.0
1,1048576,-0.014226021245121956,-0.9178411960601807,-0.9036151748150587,-0.04468259960412979,-1.2530678510665894,0.06726284325122833,0.0021623738575726748,-0.012359640561044216,1.235964059829712,0.00371950538828969,0.0419921875,-0.04468259960412979,0.44346851110458374,0.13095618784427643,0.000297,0.0009900000000000004,0.0,0.0
1,1179648,-0.010357411578297615,-0.658858597278595,-0.6485011857002974,-0.02446632832288742,-1.2298452854156494,0.053892940282821655,-0.001895340159535408,-0.012591052800416946,1.2591053247451782,0.004004311747848988,0.0302734375,-0.02446632832288742,0.38582727313041687,0.13081073760986328,0.000296625,0.0009887500000000005,0.0,0.0
1,1310720,-0.006600629538297653,-0.4810001850128174,-0.47439955547451973,-0.024229945614933968,-1.2348840236663818,0.041496120393276215,-3.1585339456796646e-05,-0.012382542714476585,1.238254427909851,0.0030225375667214394,0.020751953125,-0.024229945614933968,0.32166099548339844,0.11985214054584503,0.00029625,0.0009875000000000005,0.0,0.0
1,1441792,-0.006566474214196205,-0.4733101725578308,-0.4667436983436346,-0.023834500461816788,-1.2356890439987183,0.04165169224143028,-0.0005543436855077744,-0.012188073247671127,1.218807339668274,0.0028383349999785423,0.01904296875,-0.023834500461816788,0.3084588050842285,0.14420431852340698,0.000295875,0.0009862500000000006,0.0,0.0
1,1572864,-0.006073860917240381,-0.42640191316604614,-0.42032805224880576,-0.025674991309642792,-1.2080658674240112,0.03210931271314621,-0.0013447655364871025,-0.012052113190293312,1.2052114009857178,0.004165977705270052,0.02099609375,-0.025674991309642792,0.28529027104377747,0.1392420083284378,0.0002955,0.0009850000000000006,0.0,0.0
1,1703936,-0.0059705800376832485,-0.4247201085090637,-0.41874952847138047,-0.0072465930134058,-1.2198407649993896,0.02115778997540474,-0.0017356288153678179,-0.011544178240001202,1.1544177532196045,0.006020149681717157,0.059326171875,-0.0072465930134058,0.23406828939914703,0.1099151074886322,0.00029512500000000003,0.0009837500000000007,0.0,0.0
1,1835008,-0.003479821141809225,-0.3815300166606903,-0.3780501955188811,-0.01166393980383873,-1.1897993087768555,0.02033078856766224,0.00044514238834381104,-0.012000923976302147,1.2000925540924072,0.004715757444500923,0.0439453125,-0.01166393980383873,0.2121809870004654,0.14856572449207306,0.00029475000000000004,0.0009825000000000007,0.0,0.0
1,1966080,-0.005250768270343542,-0.4299476742744446,-0.42469690600410104,-0.013735994696617126,-1.182755708694458,0.023865556344389915,-0.0010225609876215458,-0.01197078637778759,1.1970787048339844,0.004321444779634476,0.039794921875,-0.013735994696617126,0.2267426699399948,0.12453379482030869,0.00029437500000000004,0.0009812500000000008,0.0,0.0
1,2097152,-0.004773885477334261,-0.4264988601207733,-0.42172497464343905,-0.004074113443493843,-1.202476978302002,0.018224481493234634,-0.0007729027420282364,-0.011773698031902313,1.1773698329925537,0.0037511023692786694,0.023681640625,-0.004074113443493843,0.19521725177764893,0.14003238081932068,0.00029400000000000004,0.0009800000000000008,0.0,0.0
1,2228224,-0.004588788375258446,-0.4348453879356384,-0.43025659956038,-0.00739846657961607,-1.1772913932800293,0.016648069024086,0.0021268390119075775,-0.011867422610521317,1.1867421865463257,0.005102830473333597,0.039306640625,-0.00739846657961607,0.1935880482196808,0.15618543326854706,0.00029362500000000005,0.0009787500000000009,0.0,0.0
1,2359296,-0.004573067184537649,-0.4296693503856659,-0.42509628320112824,0.003410408739000559,-1.1758339405059814,0.016383744776248932,-0.001533552072942257,-0.011732278391718864,1.1732279062271118,0.0038739978335797787,0.018798828125,0.003410408739000559,0.18266640603542328,0.19989511370658875,0.00029325000000000005,0.000977500000000001,0.0,0.0
