collected_frames,rew/traversal_reward,rew/direction_penalty,rew/terminal_bonus,rew/total_reward
131072,0.0029956816786622653,-8.543724488774274e-06,0.0,0.002987137953347485
262144,6.779579919680145e-07,-3.254520950946027e-05,0.0,-3.18672522823249e-05
393216,0.002997773713396157,-2.8785801475805783e-05,0.0,0.0029689879123750984
524288,9.99695103587328e-07,-3.130898267134086e-05,0.0,-3.030928756686535e-05
655360,0.0029536647220353984,-6.502211327230611e-05,0.0,0.0028886426088092776
786432,5.52851489779016e-05,-3.9496842216379946e-05,0.0,1.5788306782837935e-05
917504,2.7803975086726496e-06,-0.0003445295830033501,0.0,-0.00034174918356200124
1048576,0.0030103157036123207,-0.00019443410056396715,0.0,0.00281588160822821
1179648,3.118339236607426e-06,-0.0004056308368944883,0.0,-0.00040251250027267815
1310720,0.0030045632813440193,-0.00022832028268338078,0.0,0.0027762430063518195
1441792,5.008138728612721e-06,-9.68666364755677e-05,0.0,-9.185849769011156e-05
1572864,0.0030132902180639576,-8.76940045348995e-05,0.0,0.0029255962197396457
1703936,2.6863694202461375e-06,-0.000398487423979077,0.0,-0.0003958010569533599
1835008,0.003010661901328149,-0.0002152283080327777,0.0,0.002795433593433927
1966080,2.1162155476872613e-06,-0.00012604374818891984,0.0,-0.00012392753195200612
2097152,0.002968659969283749,-0.00012318878097872243,0.0,0.0028454711861058968
2228224,3.6203192031791787e-05,-8.036894515939252e-05,0.0,-4.4165754168545845e-05
2359296,2.9930475449191363e-06,-0.0002295693888072492,0.0,-0.00022657633996914228
