attempt,collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
1,131072,957.7080760002136,1000.0,11.676976010203362,957.3059210777283,1000.0,10.587279610335827,953.5724520683289,1000.0,9.272754462435842,953.7497696876526,1000.0,9.613356828689575
1,262144,980.0890007019043,1000.0,24.599526468664408,980.1322798728943,1000.0,22.46730136871338,952.1321244239807,1000.0,8.629856045357883,952.2906923294067,1000.0,9.218665080145001
1,393216,972.4671182632446,1000.0,19.319392409175634,972.223717212677,1000.0,19.46702852472663,952.2654728889465,1000.0,11.318608686327934,951.9082736968994,1000.0,9.223856807686388
1,524288,970.9223642349243,1000.0,17.25154765881598,971.0142951011658,1000.0,15.13042213395238,950.6874575614929,1000.0,10.230705957859755,950.6056618690491,1000.0,11.570175701752305
1,655360,976.0072131156921,1000.0,20.018661649897695,975.8405957221985,1000.0,18.762286061421037,948.1024532318115,1000.0,8.54889838770032,947.8181371688843,1000.0,7.1551316529512405
1,786432,967.7652926445007,1000.0,15.922775285784155,967.7579936981201,1000.0,14.667182812467217,946.6860456466675,1000.0,8.485385803505778,946.5018854141235,1000.0,8.558764245826751
1,917504,970.0472660064697,1000.0,14.13198747485876,970.0714468955994,1000.0,13.246402814984322,944.2109642028809,1000.0,6.859014093875885,944.0988268852234,1000.0,7.868071677163243
1,1048576,966.4127187728882,1000.0,13.418263116851449,966.2236695289612,1000.0,12.682319767773151,942.2329468727112,1000.0,8.272383376955986,942.117919921875,1000.0,7.755161428824067
1,1179648,962.6539125442505,1000.0,10.680368859320879,962.2318754196167,1000.0,10.042821828275919,942.4683837890625,1000.0,7.6359697468578815,942.430971622467,1000.0,6.441288376227021
1,1310720,962.6917185783386,1000.0,10.275169935077429,962.4173836708069,1000.0,12.277771919965744,940.9055457115173,1000.0,7.155652107670903,941.3230199813843,1000.0,8.097451959736645
1,1441792,466.0556261698405,1000.0,0.8715412125736475,465.77335395812986,1000.0,1.048463186447819,337.1097955576579,999.5590051778158,5.015763512216509,336.8322450129191,999.736026204427,5.200214319943139
1,1572864,959.2876291275024,1000.0,9.856274841353297,959.3810358047485,1000.0,10.42579235136509,939.9022455215454,1000.0,7.238424109295011,940.3011064529419,1000.0,7.573923002928495
1,1703936,959.0534038543701,1000.0,9.423369569703937,959.7674908638,1000.0,12.395789232105017,940.1596002578735,1000.0,7.636895386502147,939.9618587493896,1000.0,7.908340506255627
1,1835008,961.0635566711426,1000.0,10.533363305032253,961.3180537223816,1000.0,10.535618310794234,939.3450894355774,1000.0,7.345607032999396,939.5389413833618,1000.0,7.346380500122905
1,1966080,958.3249335289001,1000.0,9.661370494402945,958.1301870346069,1000.0,10.81657332740724,937.1368975639343,1000.0,6.292528856545687,937.0149636268616,1000.0,6.800044126808643
1,2097152,959.8399629592896,1000.0,12.19315662048757,960.1176018714905,1000.0,9.975021705031395,934.3895888328552,1000.0,6.0131899900734425,934.5579948425293,1000.0,7.334805676713586
1,2228224,957.2816662788391,1000.0,9.740060308016837,957.0377516746521,1000.0,9.049939386546612,933.905035495758,1000.0,5.344166116788983,933.9177932739258,1000.0,6.599681021180004
1,2359296,955.771963596344,1000.0,9.655193352140486,955.8279814720154,1000.0,9.101653503254056,933.1525712013245,1000.0,6.317814873997122,933.201952457428,1000.0,8.0842325091362
1,2490368,956.1530828475952,1000.0,12.538223026320338,955.7321147918701,1000.0,8.241691916249692,934.2033233642578,1000.0,7.852096445392817,933.8493895530701,1000.0,6.645921023096889
1,2621440,954.7107996940613,1000.0,11.477947197854519,954.283613204956,1000.0,8.62932277098298,932.5972967147827,1000.0,5.855291785672307,932.8593821525574,1000.0,7.187234960496426
1,2752512,573.7085046132406,1000.0,1.095717072809736,573.6143165588379,1000.0,1.2611015346149603,360.60540466308595,1000.0,5.34414657193857,360.45861328125,1000.0,4.85017187896495
1,2883584,948.7853202819824,1000.0,8.431763891130686,948.5645418167114,1000.0,8.225158706307411,934.6237678527832,1000.0,6.224129410460591,934.5791940689087,1000.0,6.566634306684136
1,3014656,949.059986114502,1000.0,9.416075943037868,948.6977367401123,1000.0,7.366389697417617,932.0373549461365,1000.0,6.151536010205746,932.1869683265686,1000.0,6.371643433347344
1,3145728,951.6755452156067,1000.0,8.876297025475651,951.8485040664673,1000.0,8.045875746756792,929.5133452415466,1000.0,6.014021169394255,929.3849625587463,1000.0,6.4960352052003145
1,3276800,945.0271210670471,1000.0,7.5413466934114695,945.2683515548706,1000.0,8.674327213317156,932.2823619842529,1000.0,7.032484091818333,932.2896027565002,1000.0,7.331547969952226
1,3407872,949.2359352111816,1000.0,9.120365073904395,948.9973759651184,1000.0,9.88019972667098,932.1111421585083,1000.0,6.795611333101988,931.9330568313599,1000.0,6.137090135365725
1,3538944,948.9841871261597,1000.0,7.894755341112614,948.7476992607117,1000.0,6.735637878999114,931.3055634498596,1000.0,7.094175849109888,931.6170148849487,1000.0,5.872695446014404
1,3670016,945.7380595207214,1000.0,8.430449053645134,945.8052654266357,1000.0,7.6168623976409435,930.2986779212952,1000.0,7.5126340398564935,929.8435049057007,1000.0,5.7674186658114195
1,3801088,949.8158459663391,1000.0,7.434426616877317,949.7922019958496,1000.0,8.911855332553387,930.8647208213806,1000.0,5.2798179760575294,931.1907181739807,1000.0,6.671974430792034
1,3932160,944.8777546882629,1000.0,7.331757681444287,945.1606941223145,1000.0,7.9542587380856276,931.061562538147,1000.0,6.763858441263437,931.3313179016113,1000.0,6.119571503251791
1,4063232,588.1965907287597,1000.0,1.9596742244064809,588.3172561899821,1000.0,1.2266156294445196,381.0297582244873,1000.0,8.3182431485566,380.98545756022133,1000.0,8.526422943261762
1,4194304,943.0497312545776,1000.0,7.496015176177025,943.0106568336487,1000.0,7.743971350602806,926.9272937774658,1000.0,6.25342863984406,926.7524981498718,1000.0,5.731867350637913
1,4325376,943.7246384620667,1000.0,8.121403381228447,943.6207160949707,1000.0,8.988958014175296,926.3813853263855,1000.0,6.02751980535686,925.9183278083801,1000.0,6.1037572249770164
1,4456448,949.3328995704651,1000.0,7.510057736188173,949.1268453598022,1000.0,8.854873418807983,925.1026797294617,1000.0,5.620639272266999,925.0411849021912,1000.0,5.913189245387912
1,4587520,939.568030834198,1000.0,6.184017200022936,939.5682892799377,1000.0,6.855101221241057,927.5695233345032,1000.0,7.118427125737071,927.1791949272156,1000.0,5.857452306896448
1,4718592,944.0932302474976,1000.0,7.986277422867715,944.2433915138245,1000.0,7.552126843482256,926.4975848197937,1000.0,6.58829515427351,926.7834916114807,1000.0,5.751179824583232
1,4849664,941.4091410636902,1000.0,7.163306495174766,941.4735217094421,1000.0,7.286448761820793,927.5091075897217,1000.0,5.713299387134612,927.5073041915894,1000.0,7.177694300189614
1,4980736,940.6618313789368,1000.0,7.401205565780401,940.5916528701782,1000.0,6.0481919455341995,928.9851021766663,1000.0,6.205957531929016,928.9201736450195,1000.0,6.342332737520337
1,5111808,943.7491879463196,1000.0,7.20511878002435,944.47878074646,1000.0,7.064330443739891,929.5555553436279,1000.0,6.419696650002152,929.4402952194214,1000.0,6.394863847643137
1,5242880,939.9770498275757,1000.0,5.906175946816802,940.0633506774902,1000.0,6.45183169003576,929.7673759460449,1000.0,6.1114866603165865,929.8980917930603,1000.0,6.4138686349615455
1,5373952,566.2825517018637,1000.0,1.2484470632175606,567.0340147399902,1000.0,1.2293055871129037,388.5958345286051,1000.0,7.397446579902123,388.60635096232096,1000.0,8.14205563255896
1,5505024,935.9119501113892,1000.0,6.599882068578154,935.582592010498,1000.0,7.051880966871977,927.9114060401917,1000.0,5.945879628881812,927.5891256332397,1000.0,6.282603504136205
1,5636096,937.9406967163086,1000.0,7.023519981652498,937.8731818199158,1000.0,7.348476058803499,924.9507207870483,1000.0,6.224605404771864,925.1586966514587,1000.0,5.893928286677692
1,5767168,946.295090675354,1000.0,7.58243802189827,946.2327818870544,1000.0,8.438748933374882,924.0524334907532,1000.0,5.799561765044928,923.3213958740234,1000.0,5.406406008638442
1,5898240,935.6060934066772,1000.0,6.32866599294357,935.333330154419,1000.0,7.632834205403924,923.3375120162964,1000.0,6.4425871996209025,923.4463858604431,1000.0,4.5036543579772115
1,6029312,939.3248372077942,1000.0,6.681682105176151,939.5711665153503,1000.0,5.999944371171296,922.2286386489868,1000.0,5.8929985743016005,922.7168364524841,1000.0,5.833742432296276
1,6160384,936.8452153205872,1000.0,7.378565173596144,936.4265089035034,1000.0,6.966797543689609,925.9620218276978,1000.0,6.898909662850201,925.797803401947,1000.0,5.757599936798215
1,6291456,932.4768085479736,1000.0,6.480285033583641,932.2703456878662,1000.0,5.666224172338843,926.5168814659119,1000.0,6.4727057833224535,926.1845712661743,1000.0,5.819085578434169
1,6422528,935.3698143959045,1000.0,6.296229490078986,935.5685849189758,1000.0,6.4249420028645545,927.6041288375854,1000.0,6.469044728670269,928.2722864151001,1000.0,5.94341635890305
1,6553600,933.2044811248779,1000.0,6.395422920584679,933.3144717216492,1000.0,6.0221150778234005,925.4765095710754,1000.0,5.575413489714265,925.1512680053711,1000.0,5.65776089578867
1,6684672,537.6734703318277,1000.0,1.3293938546441495,538.2361346435547,1000.0,1.1290949999044337,400.6922264862061,1000.0,6.156105755455792,400.48904403686527,1000.0,6.867411191696301
1,6815744,931.4702281951904,1000.0,5.458495981991291,931.4911780357361,1000.0,6.623024947475642,925.3649106025696,1000.0,5.133421694859862,925.1458959579468,1000.0,6.2760043032467365
1,6946816,933.2778487205505,1000.0,5.994377713650465,933.3148641586304,1000.0,7.4433435294777155,926.3713979721069,1000.0,6.808758648112416,925.8265476226807,1000.0,6.270015500951558
1,7077888,941.6736645698547,1000.0,6.58216470759362,941.8406357765198,1000.0,7.002920612692833,927.328685760498,1000.0,5.175382557325065,927.2651495933533,1000.0,5.956174792721868
