attempt,collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_front_mean,action/flipper_front_std,action/flipper_rear_mean,action/flipper_rear_std
1,131072,-0.044461440294981,0.626948893070221,-0.04017090052366257,0.6441269516944885,0.1018262654542923,0.5569936633110046,-0.13934168219566345,0.43690186738967896
1,262144,-0.02166973054409027,0.6334215402603149,-0.03639735281467438,0.6389901041984558,0.05928446352481842,0.6431624293327332,-0.20489349961280823,0.26737144589424133
1,393216,-0.029166270047426224,0.6285359263420105,-0.02787143737077713,0.635355532169342,0.07065702974796295,0.6076446771621704,-0.21153822541236877,0.3261962831020355
1,524288,-0.019704118371009827,0.6274405717849731,-0.025015784427523613,0.6320323348045349,0.051842160522937775,0.599395751953125,-0.2252143770456314,0.3322696387767792
1,655360,-0.010940623469650745,0.6248467564582825,-0.030925240367650986,0.6258397698402405,0.01996401697397232,0.6213269829750061,-0.24270308017730713,0.2795461416244507
1,786432,-0.012545320205390453,0.6265958547592163,-0.03124282695353031,0.6228020191192627,-0.007395830936729908,0.5910602807998657,-0.25254830718040466,0.31968140602111816
1,917504,-0.00952073186635971,0.6265034675598145,-0.02900860086083412,0.6195002794265747,-0.07041482627391815,0.5976699590682983,-0.25919678807258606,0.2909102439880371
1,1048576,-0.005239411257207394,0.6245845556259155,-0.045139655470848083,0.6150853037834167,-0.12953031063079834,0.586498498916626,-0.2669130563735962,0.2917194664478302
1,1179648,-0.011639229953289032,0.6260248422622681,-0.03896712139248848,0.6127139925956726,-0.1790264993906021,0.5662857890129089,-0.2592616677284241,0.30410999059677124
1,1310720,-0.006197044625878334,0.625532329082489,-0.020582426339387894,0.6121006608009338,-0.20909379422664642,0.565249502658844,-0.24920859932899475,0.28390443325042725
1,1441792,-0.015173196792602539,0.6212461590766907,-0.02892666682600975,0.610579788684845,-0.20265410840511322,0.5574488639831543,-0.24674543738365173,0.2923843264579773
1,1572864,-0.01624940149486065,0.6206274628639221,-0.026774665340781212,0.6118021607398987,-0.20544958114624023,0.5516355037689209,-0.2539229094982147,0.3034088909626007
