attempt,collected_frames,clearance/height,clearance/height_max,clearance/height_min
1,131072,0.0727045391683987,0.30536325741559267,-0.03639600449241698
1,262144,0.10343217808986083,0.30744439363479614,-0.059042591601610184
1,393216,0.09894644891028292,0.32122291438281536,-0.05454480182379484
1,524288,0.0992919213604182,0.31122187338769436,-0.06160875177010894
1,655360,0.10430367948720232,0.3303988529369235,-0.05598574783653021
1,786432,0.09847893792903051,0.3186249821446836,-0.057588089257478714
1,917504,0.10433020401978865,0.32418216252699494,-0.05459719616919756
1,1048576,0.11143209022702649,0.322138296905905,-0.0563048068434
1,1179648,0.11852381483186036,0.31236244225874543,-0.0474004668649286
1,1310720,0.12007650249870494,0.3064034837298095,-0.042862958973273635
1,1441792,0.10957350299679092,0.2313587385416031,-0.014384149412314097
1,1572864,0.11392016807803884,0.29832766856998205,-0.02953418646939099
1,1703936,0.11734639905625954,0.2978581404313445,-0.04908125847578049
1,1835008,0.11748499522218481,0.29865878680720925,-0.044206022284924984
1,1966080,0.1151609422522597,0.30319483391940594,-0.031218201853334904
1,2097152,0.11167861399007961,0.30163951124995947,-0.04322189837694168
1,2228224,0.10819030745187774,0.3438979247584939,-0.04064788622781634
1,2359296,0.10423293296480551,0.3161771856248379,-0.0313581230584532
1,2490368,0.10470174456713721,0.31870513316243887,-0.047275778837502
1,2621440,0.10029536735964939,0.31337407464161515,-0.05125319305807352
1,2752512,0.09283436276513385,0.20849917421738307,-0.025936930229266485
1,2883584,0.0993090026313439,0.28746949741616845,-0.02734840731136501
1,3014656,0.10297920915763825,0.31506897043436766,-0.03544918401166797
1,3145728,0.10156356886727735,0.2844406282529235,-0.04005466587841511
1,3276800,0.1019637540448457,0.28694295790046453,-0.03468199400231242
1,3407872,0.10008047166047618,0.2878339011222124,-0.039439338026568294
1,3538944,0.09678001829888672,0.31448859395459294,-0.05182634759694338
1,3670016,0.09479565738001838,0.29128448152914643,-0.0394213309045881
1,3801088,0.09099673468153924,0.29488737089559436,-0.04198556370101869
1,3932160,0.09370663610752672,0.29319135611876845,-0.03702943213284016
1,4063232,0.08867328441937086,0.20890395467480025,-0.028232909962534906
1,4194304,0.0941441297181882,0.2736589917913079,-0.030621700920164585
1,4325376,0.0972445109509863,0.2837631646543741,-0.04332391172647476
1,4456448,0.09917153231799603,0.27949476754292846,-0.043200126849114895
1,4587520,0.1018963050446473,0.2813154859468341,-0.038218212546780705
1,4718592,0.10410686692921445,0.28261580504477024,-0.03840185981243849
1,4849664,0.10620208038017154,0.2862691981717944,-0.034297780599445105
1,4980736,0.10780996305402368,0.28632882284000516,-0.03708381042815745
1,5111808,0.10851245216326788,0.28584148921072483,-0.0375933803152293
1,5242880,0.11187446548137814,0.2841825084760785,-0.03454563138075173
1,5373952,0.1043570820298434,0.21640210861961046,-0.029616246446967125
1,5505024,0.10848148702643812,0.2650294587947428,-0.029196718707680702
1,5636096,0.11230864602839574,0.2732249451801181,-0.034830367192626
1,5767168,0.11477851023664698,0.27214280935004354,-0.034651790978387
1,5898240,0.11556495138211176,0.27266506291925907,-0.03794373502023518
1,6029312,0.11749252979643643,0.2823592033237219,-0.035149818286299706
1,6160384,0.11830172355985269,0.28321586456149817,-0.036660158075392246
1,6291456,0.11971090460428968,0.28114229906350374,-0.03611186984926462
1,6422528,0.12156630161916837,0.31122779473662376,-0.03598203230649233
1,6553600,0.12006113363895565,0.2821598770096898,-0.03859551786445081
1,6684672,0.11342435796252781,0.21468322257200878,-0.029288336038589477
1,6815744,0.11690454720519483,0.26242629438638687,-0.027778512332588434
1,6946816,0.12174959731055424,0.27071110624819994,-0.03133915946818888
1,7077888,0.12284495850326493,0.26650206791236997,-0.030908765038475394
1,7208960,0.12080508208600804,0.2762757302261889,-0.0378596899099648
1,7340032,0.11983566649723798,0.3163444735109806,-0.03495676605962217
1,7471104,0.12038998876232654,0.27850128058344126,-0.037129018222913146
1,7602176,0.12254027067683637,0.28901658160611987,-0.03841085871681571
1,7733248,0.12187627906678244,0.31058322079479694,-0.04083404433913529
1,7864320,0.1216113994596526,0.28137526707723737,-0.04065574076958001
1,7995392,0.11970562922719788,0.2217008842031161,-0.029577017029126483
1,8126464,0.12173967703711241,0.2633591564372182,-0.02720167418010533
1,8257536,0.12752753356471658,0.2836005217395723,-0.03249620273709297
1,8388608,0.12867047573672608,0.2756659211590886,-0.03284193156287074
1,8519680,0.12635342363500968,0.274183901026845,-0.035397467436268926
1,8650752,0.12709005235228688,0.27732433564960957,-0.036569365533068776
1,8781824,0.12400537822395563,0.2810447011142969,-0.03465222707018256
1,8912896,0.12439208035357296,0.2985955774784088,-0.03604666190221906
1,9043968,0.12546683970140293,0.2797528742812574,-0.033055976033210754
1,9175040,0.12305600568652153,0.2800634610466659,-0.03423339012078941
1,9306112,0.11713251486738349,0.21651226217548053,-0.0258629385381937
1,9437184,0.11980422149645165,0.2638851753436029,-0.02575456304475665
1,9568256,0.12368043896276504,0.28453482454642653,-0.030136158457025886
1,9699328,0.1221525925793685,0.27115096244961023,-0.030597379198297858
1,9830400,0.12011966627324,0.2718859473243356,-0.03405783325433731
1,9961472,0.12171981722349301,0.27806111657992005,-0.03506654012016952
1,10092544,0.12225468299584463,0.27692285645753145,-0.03252664301544428
1,10223616,0.12418059521587566,0.28375504072755575,-0.03427963308058679
1,10354688,0.1267560484702699,0.28472375543788075,-0.03148053074255586
1,10485760,0.127818604640197,0.281052821315825,-0.035018366761505604
1,10616832,0.12625966010768025,0.22726712122559548,-0.026144342944025994
1,10747904,0.12801324058091268,0.26348691154271364,-0.02411092189140618
1,10878976,0.1302065544296056,0.26996264047920704,-0.03267012257128954
1,11010048,0.13268453622004017,0.2671948126517236,-0.03358946763910353
1,11141120,0.1296969442628324,0.2693940354511142,-0.036289850948378444
1,11272192,0.12823117087827995,0.27529470436275005,-0.039606619626283646
1,11403264,0.12861793098272756,0.2743249833583832,-0.037823528284206986
1,11534336,0.12847126193810254,0.2757769697345793,-0.03810097649693489
1,11665408,0.12983327929396182,0.27747400337830186,-0.03812792291864753
1,11796480,0.12948659004177898,0.27499215537682176,-0.03695052722468972
1,11927552,0.12180764032093672,0.2209877764681975,-0.024865208963553112
1,12058624,0.12370023789117113,0.25960164656862617,-0.02661833819001913
1,12189696,0.12921694660326466,0.271467377897352,-0.02992569049820304
1,12320768,0.13137775263749063,0.2718843324109912,-0.028991244733333588
1,12451840,0.13265396893257275,0.2751678521744907,-0.032056908356025815
1,12582912,0.13524308212799951,0.2773058954626322,-0.03480064892210066
1,12713984,0.13503436150494963,0.28051200648769736,-0.03385359630919993
1,12845056,0.13539280276745558,0.2795412358827889,-0.03489293344318867
1,12976128,0.13441704877186567,0.27895097294822335,-0.03860088647343218
1,13107200,0.13201523094903678,0.27499501733109355,-0.03772152657620609
1,13238272,0.12496698678393538,0.2253523775935173,-0.02545475368698438
1,13369344,0.1261562411673367,0.26010853750631213,-0.024804430780932307
1,13500416,0.12836760992649943,0.268615220207721,-0.03318283474072814
1,13631488,0.1288633239455521,0.2634716145694256,-0.03065628930926323
1,13762560,0.12728098954539746,0.3046399331651628,-0.03481685626320541
1,13893632,0.12732814211631194,0.2755991672165692,-0.03453525295481086
1,14024704,0.1286649865214713,0.27290073689073324,-0.0388116305693984
1,14155776,0.1304643049952574,0.27687229309231043,-0.04033994674682617
1,14286848,0.1311315851053223,0.26969405775889754,-0.038487567100673914
1,14417920,0.13043112121522427,0.27279640175402164,-0.03971544932574034
1,14548992,0.12834461822179338,0.22893820931514103,-0.025022254735231397
1,14680064,0.12966227758442983,0.2644747095182538,-0.026123231509700418
1,14811136,0.13488206529291347,0.26915061892941594,-0.031006463803350925
1,14942208,0.13653634826187044,0.2711735060438514,-0.02847126917913556
1,15073280,0.134903424535878,0.27597645903006196,-0.031492263078689575
1,15204352,0.1376314265653491,0.2782866656780243,-0.03378168377093971
1,15335424,0.13783058803528547,0.27871603053063154,-0.03393142158165574
1,15466496,0.1376284717116505,0.2799449567683041,-0.035192201379686594
1,15597568,0.1384760334622115,0.2837883494794369,-0.033357684733346105
1,15728640,0.13868645182810724,0.27873335778713226,-0.0371637549251318
1,15859712,0.13147062408842125,0.23307156602541607,-0.02210915801425775
1,15990784,0.13246393721783534,0.2649321733042598,-0.02601004671305418
1,16121856,0.13413417001720518,0.2707082638517022,-0.030896756099537015
1,16252928,0.13624520145822316,0.27342411410063505,-0.02907616668380797
1,16384000,0.13317940064007416,0.2715716171078384,-0.03152553061954677
1,16515072,0.13343456777511165,0.2773377257399261,-0.03517573373392224
1,16646144,0.13166237395489588,0.2784237088635564,-0.035745200235396624
1,16777216,0.13151812623254955,0.28660977305844426,-0.03513163747265935
1,16908288,0.1342126972740516,0.28140242490917444,-0.035018486669287086
1,17039360,0.13403174933046103,0.2952072024345398,-0.03409731620922685
1,17170432,0.13540202031765752,0.2346648845076561,-0.02034990961352984
1,17301504,0.13582913822028786,0.2678041639737785,-0.026762787252664566
1,17432576,0.13947167072910815,0.27266389038413763,-0.03229608805850148
1,17563648,0.14163761294912547,0.26881229178979993,-0.031012952560558915
1,17694720,0.1404417639132589,0.2760055004619062,-0.0346049873623997
1,17825792,0.14316125179175287,0.2736701751127839,-0.03874090081080794
1,17956864,0.14246202376671135,0.27809104789048433,-0.03932699467986822
1,18087936,0.14086747751571238,0.2813382954336703,-0.037750710966065526
1,18219008,0.13943275169003755,0.28412897139787674,-0.03694985248148441
1,18350080,0.1354917949065566,0.2845729854889214,-0.04652757104486227
1,18481152,0.12685728938112636,0.2336278925339381,-0.021189446647961935
