collected_frames,diff/logprob_std,diff/logprob_mean
53608448,4.952390670776367,-8.219005584716797
53739520,4.732580661773682,-8.545822143554688
53870592,4.66693115234375,-8.560057640075684
54001664,4.679433822631836,-8.555906295776367
54132736,4.81019926071167,-8.468221664428711
54263808,4.800782203674316,-8.477683067321777
54394880,4.84668493270874,-8.468703269958496
54525952,4.818730354309082,-8.49535846710205
54657024,4.8431396484375,-8.501640319824219
54788096,4.826155662536621,-8.483962059020996
54919168,4.951629638671875,-8.375505447387695
55050240,4.961620807647705,-8.31013298034668
55181312,4.9783477783203125,-8.265922546386719
55312384,5.026517391204834,-8.241641998291016
55443456,5.025238990783691,-8.218229293823242
55574528,5.044493675231934,-8.30345344543457
55705600,5.0940842628479,-8.207908630371094
55836672,5.014720916748047,-8.256949424743652
55967744,5.042708396911621,-8.217973709106445
56098816,5.1225128173828125,-8.180671691894531
56229888,5.110650539398193,-8.161036491394043
56360960,5.06951379776001,-8.17005443572998
56492032,5.0158514976501465,-8.158580780029297
56623104,5.023753643035889,-8.183887481689453
