collected_frames,rew/shaping,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/step_penalty,rew/terminal_bonus,rew/total_reward
53608448,5.0429230481386185,-0.06316455370688345,-0.04539749498144374,-0.008523422674752368,-0.19077849737368524,-0.09033864613411424,-0.21636901641613804,-0.0002565551822044654,-0.010612208722136529,11.608925752341747,0.7407747427932918,-0.10378687089541927,0.7064042389392853,17.36966399848461
53739520,4.767391957342625,-0.06641313259024173,-0.046956774313002825,-0.009850860897131497,-0.19355699478182942,-0.10999590653227642,-0.21985048591159284,-0.0003145768218928424,-0.012469740147935227,11.404201574623585,0.7149010412395,-0.10389309929450974,0.925561179057695,17.043704479932785
53870592,4.713227555155754,-0.06528643664205447,-0.048230103217065334,-0.011457235919806408,-0.1975407414138317,-0.10468750225845724,-0.22100333857815713,-0.0004222892432039771,-0.013029012021434028,11.396693013608456,0.702125090174377,-0.10399932996369898,0.9074579395819455,16.945997029542923
54001664,4.710887338966131,-0.06567813450237736,-0.04777675520745106,-0.008610148903244408,-0.1979815277736634,-0.10925625549862161,-0.22100846143439412,-0.000562411457849521,-0.011558037338545546,11.380780167877674,0.7072718841955066,-0.10410556249553338,0.9277607378317043,16.953673869371414
54132736,4.692797180265188,-0.06569344783201814,-0.04759923627716489,-0.009482675450271927,-0.19496042910031974,-0.11019521311391145,-0.21733413939364254,-0.00035247862251708284,-0.013330595596926287,11.367740638554096,0.705851327162236,-0.10421179223340005,0.9088289061328396,16.904962047934532
54263808,4.710738841444254,-0.06412562646437436,-0.04655207242467441,-0.008746007668378297,-0.1928628246532753,-0.1131581177469343,-0.2167261242866516,-0.0006791240248276154,-0.011754600353015121,11.369510479271412,0.7054299875162542,-0.10431801527738571,0.9225164357339963,16.94314916431904
54394880,4.688292723149061,-0.06404440363985486,-0.04667273012455553,-0.008782253586105071,-0.1950648573692888,-0.10910303756827489,-0.21726202173158526,-0.0002293519567047042,-0.012693242613750044,11.348688825964928,0.7146620405837893,-0.10442424565553665,0.9098116724053398,16.89450576901436
54525952,4.718837838619947,-0.06426279791048728,-0.0470344843051862,-0.009123942189035006,-0.1949963498627767,-0.10747656796593219,-0.21698843350168318,-0.0004198591468593804,-0.012285195974982344,11.34898653626442,0.7115092212334275,-0.10453047603368759,0.9252528285142034,16.941232591867447
54657024,4.748487491160631,-0.06280198827153072,-0.04625663621118292,-0.009309530509199249,-0.2003098997520283,-0.10609041096176952,-0.21821891120634973,-0.00041784974200709257,-0.01244596949982224,11.355873607099056,0.6995988609269261,-0.10463670635363087,0.9275322428438812,16.964411079883575
54788096,4.765049520879984,-0.06325767812086269,-0.045879887096816674,-0.009646060429076897,-0.20094049465842545,-0.10630531079368666,-0.21943305130116642,-0.0006048948998795822,-0.014392585777386557,11.376279942691326,0.6985797514207661,-0.10474293673178181,0.9308054817374796,17.000117048621178
54919168,4.771181166172028,-0.06279900996014476,-0.04608724496210925,-0.008610652588686207,-0.20072601863648742,-0.1047255183220841,-0.21892281086184084,-0.00045146736488277384,-0.013096643859171309,11.413235992193222,0.6895016152411699,-0.1048491668771021,0.9582493184134364,17.06636606156826
55050240,4.725319691002369,-0.06293425502371974,-0.04626209175330587,-0.008012543581571663,-0.19658644613809884,-0.10734014154877514,-0.21507268829736859,-0.0003444720450715977,-0.012438203641067958,11.351665116846561,0.6958521655760705,-0.10495539946714416,0.9205398411722854,16.933311492204666
55181312,4.743398167192936,-0.06274176566512324,-0.04609177107340656,-0.007441625552019104,-0.1958740612026304,-0.10486013721674681,-0.21677537157665938,-0.0002742152937571518,-0.011995793451205827,11.410977967083454,0.6885016458109021,-0.10506162792444229,0.92502434423659,17.010399103164673
55312384,4.73529215157032,-0.06255108484765515,-0.04621293838135898,-0.00746458498906577,-0.19584026851225644,-0.11042243317933753,-0.2158445349195972,-0.0004439478298081667,-0.011800424370449036,11.421053037047386,0.6908161025494337,-0.10516785812797025,0.9208371209679171,17.004137471318245
55443456,4.733343157917261,-0.0628483971231617,-0.046654332865728065,-0.008374823810299858,-0.19624720851425081,-0.10405170579906553,-0.21637349913362414,-0.00039608586030226434,-0.01196082349633798,11.443772904574871,0.6989248585887253,-0.10527408879715949,0.921825418015942,17.037567973136902
55574528,4.723669625818729,-0.06290551894926466,-0.046212661429308355,-0.006380353301210562,-0.19563480967190117,-0.10753132414538413,-0.21571044786833227,-0.0005267077513053664,-0.011766329458623659,11.387047462165356,0.7020655195228755,-0.10538031905889511,0.9209169701207429,16.97466665506363
55705600,4.760255295783281,-0.06342635225155391,-0.0463161259831395,-0.0066907918044307735,-0.1946727797621861,-0.10566269425908104,-0.21651537460274994,-0.0003916577206837246,-0.011361291311914101,11.449283719062805,0.7010677494108677,-0.10548654780723155,0.9349816326284781,17.088157281279564
55836672,4.7757946588099,-0.06407038334873505,-0.04738054028712213,-0.006594402042537695,-0.19513960927724838,-0.10573601617943496,-0.2168876180658117,-0.0006457889548983076,-0.011664844896586146,11.444512441754341,0.7039521262049675,-0.10559277719585225,0.9117194835562259,17.07560356706381
55967744,4.726871319115162,-0.06384428113233298,-0.04775760861230083,-0.006304345715761883,-0.19304517831187695,-0.09956600505392998,-0.2157746705925092,-0.0005696164826076711,-0.011427563527831808,11.35385861247778,0.6961640939116478,-0.10569901019334793,0.9238873980939388,16.951395973563194
56098816,4.712401032447815,-0.06401508903945796,-0.04757089534541592,-0.00823929965008574,-0.19282649050001055,-0.09934890625299886,-0.21385293663479388,-0.0006050023393981974,-0.01119514180754777,11.441296048462391,0.6956085176207125,-0.10580524057149887,0.9108742912649177,17.007503882050514
56229888,4.742659483104944,-0.06438832107232884,-0.04696611643885262,-0.007521341223764466,-0.1912794318050146,-0.10462352843023837,-0.21361702180001885,-0.0006411717886294355,-0.011322685160848778,11.405590757727623,0.7022839952260256,-0.10591147094964981,0.9358956114156172,17.033774510025978
56360960,4.72857678681612,-0.06465895709698088,-0.04694097102037631,-0.007351445554377278,-0.19010843359865248,-0.1010571401566267,-0.2138405181467533,-0.0003018031802639598,-0.011627165811660234,11.398741215467453,0.7009076490066946,-0.10601770138600841,0.9292004870949313,17.0076684653759
56492032,4.758108668029308,-0.06478473520837724,-0.04731705546146259,-0.00788630785245914,-0.19157873617950827,-0.10441644163802266,-0.21517261385452002,-0.000212460508919321,-0.011868649926327635,11.421927101910114,0.7003874373622239,-0.10612393176415935,0.933844695915468,17.058986514806747
56623104,4.735984236001968,-0.06414461208623834,-0.047741011425387114,-0.008530174858606188,-0.19191094406414777,-0.1019956671516411,-0.2132465235190466,-0.00044594791643248755,-0.011622801910561975,11.399135261774063,0.6982120876200497,-0.1062301613856107,0.9345989626599476,17.014441817998886
