collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/final_clip_fraction,train/final_kl_approx,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/step_penalty,train/action_bonus_coef,train/epochs_run,train/stopped_on_kl
53608448,0.025587067008018494,4.077773094177246,4.052186027169228,-2.9670424461364746,-8.219005584716797,5.408115155994892,0.0004592944969772361,-0.02493215911090374,8.23419825732708,0.022464197336375946,0.22974777221679688,0.26025390625,0.028425535187125206,-2.9670424461364746,12.643826484680176,3.425654649734497,0.00042786096631797373,0.0014455161741516772,-0.10389309814546333,16.29043388277351,2,0.0
53739520,-0.028260869905352592,0.4474044740200043,0.47566534392535686,-1.6531116962432861,-8.545822143554688,4.589897744357586,0.0017999996562139131,-0.025684509426355362,8.53213346004486,0.027677060763380723,0.2859039306640625,0.2919921875,0.02273961342871189,-1.6531116962432861,11.336749076843262,4.229445934295654,0.0004276813437460518,0.0014449093243724363,-0.10399932830716625,16.29043388277351,2,0.0
53870592,-0.01236133836209774,0.1420726180076599,0.15443395636975765,-0.9894508719444275,-8.560057640075684,4.088106710463762,-0.0009205010828736704,-0.025443855673074722,8.57692900300026,0.01980875037406804,0.228179931640625,0.21826171875,0.01750868186354637,-0.9894508719444275,9.942545890808105,2.685905933380127,0.0004275017211741299,0.0014443024745931954,-0.10410555846886918,16.29043388277351,2,0.0
54001664,-0.003321967553347349,0.3105279207229614,0.3138498882763088,-1.2545504570007324,-8.555906295776367,4.028376583009958,0.0002616325582494028,-0.025776874274015427,8.533148422837257,0.02082294143838226,0.23559951782226562,0.26171875,0.02920401655137539,-1.2545504570007324,9.877278327941895,3.751490592956543,0.000427322098602208,0.0014436956248139545,-0.10421178863057211,16.29043388277351,2,0.0
54132736,-0.002287264447659254,0.43111494183540344,0.4334022062830627,-0.8813101649284363,-8.468221664428711,3.9443418756127357,-0.0004362368235888425,-0.026151597499847412,8.484805658459663,0.019616473742644303,0.22920989990234375,0.274658203125,0.022944141179323196,-0.8813101649284363,9.260299682617188,3.2816081047058105,0.0004271424760302861,0.0014430887750347136,-0.10431801879227504,16.29043388277351,2,0.0
54263808,0.0005071442574262619,0.7847469449043274,0.7842398006469011,-1.1864376068115234,-8.477683067321777,4.043049953877926,0.00019781628907367121,-0.0255439393222332,8.46915878355503,0.022700801502651302,0.25099945068359375,0.210693359375,0.01955372653901577,-1.1864376068115234,9.983175277709961,3.485913038253784,0.00042696285345836417,0.0014424819252554727,-0.10442424895397796,16.29043388277351,2,0.0
54394880,-0.0022740464191883802,0.3801850974559784,0.3824591438751668,-1.1487904787063599,-8.468703269958496,3.9311877377331257,-0.0007467090472346172,-0.025946542620658875,8.477299109101295,0.019901514733646763,0.2276611328125,0.22900390625,0.018771730363368988,-1.1487904787063599,9.496817588806152,4.025094985961914,0.00042678323088644226,0.0014418750754762318,-0.10453047911568089,16.29043388277351,2,0.0
54525952,0.0023300093598663807,0.9273386001586914,0.925008590798825,-1.1904172897338867,-8.49535846710205,3.8182804100215435,0.0015585628934786655,-0.025473156943917274,8.488187983632088,0.024143948474375065,0.26213836669921875,0.3232421875,0.028050441294908524,-1.1904172897338867,9.12274169921875,5.047595500946045,0.00042660360831452035,0.001441268225696991,-0.10463670927738382,16.29043388277351,2,0.0
54657024,0.0017278464511036873,1.4647696018218994,1.4630417553707957,-1.204258918762207,-8.501640319824219,3.8238271959125996,-0.0003146843173453817,-0.025507275015115738,8.481092914938927,0.023221397743327543,0.255462646484375,0.28662109375,0.025843925774097443,-1.204258918762207,9.085986137390137,3.517491340637207,0.00042642398574259843,0.00144066137591775,-0.10474293943908675,16.29043388277351,2,0.0
54788096,-0.02431286871433258,2.0294222831726074,2.05373515188694,-1.778902292251587,-8.483962059020996,4.061320684850216,-0.00043945897778030485,-0.025661038234829903,8.481651097536087,0.023750959619064815,0.2585258483886719,0.263427734375,0.01767953298985958,-1.778902292251587,9.740636825561523,3.754549026489258,0.0004262443631706766,0.0014400545261385094,-0.10484916960078967,16.29043388277351,2,0.0
