collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
53608448,7.62939453125e-06,0.0,0.0
53739520,8.088996611445784e-06,0.0003037050545933735,0.0
53870592,3.0517578125e-05,0.000457763671875,0.0
54001664,0.0,0.00040435791015625,0.0
54132736,3.814697265625e-05,0.00040435791015625,0.0
54263808,7.62939453125e-06,0.00037384033203125,0.0
54394880,1.52587890625e-05,0.00052642822265625,0.0
54525952,1.52587890625e-05,0.00037384033203125,0.0
54657024,3.0517578125e-05,0.0003814697265625,0.0
54788096,1.5442629894578312e-05,0.0002816441547439759,0.0
54919168,2.288818359375e-05,0.0003204345703125,0.0
55050240,1.52587890625e-05,0.0003662109375,0.0
55181312,7.62939453125e-06,0.00038909912109375,0.0
55312384,2.288818359375e-05,0.00048065185546875,0.0
55443456,3.0517578125e-05,0.0004730224609375,0.0
55574528,1.52587890625e-05,0.00041961669921875,0.0
55705600,2.288818359375e-05,0.00040435791015625,0.0
55836672,1.0295086596385541e-05,0.0003000282379518072,0.0
55967744,1.52587890625e-05,0.0003204345703125,0.0
56098816,2.288818359375e-05,0.00054931640625,0.0
56229888,1.52587890625e-05,0.0003814697265625,0.0
56360960,3.0517578125e-05,0.000457763671875,0.0
56492032,1.52587890625e-05,0.0003509521484375,0.0
56623104,7.62939453125e-06,0.00046539306640625,0.0
