collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std,action/chunk_step_delta,action/chunk_step_delta_flipper,action/chunk_step_delta_max,action/loc_step_delta,action/loc_step_delta_flipper,action/loc_abs_mean,action/scale_mean,action/sat_frac_099,action/sat_frac_09,action/abs_mean
53608448,0.9620363712310791,0.06464242190122604,0.12744852900505066,0.5582572221755981,-0.043089836835861206,0.5681276917457581,-0.1209859699010849,0.5805140137672424,0.24542711675167084,0.5717979073524475,0.1547805517911911,0.6172301173210144,0.7201851606369019,0.7071570158004761,1.9999842643737793,0.35117360949516296,0.283171147108078,0.27497413754463196,0.9464120864868164,0.033926330506801605,0.17898687720298767,0.5583633184432983
53739520,0.9610776305198669,0.06371007114648819,0.12862595915794373,0.5555379390716553,-0.05763022229075432,0.5630975365638733,-0.12649118900299072,0.5742120146751404,0.22313830256462097,0.5773261785507202,0.1429578959941864,0.6130582094192505,0.7169630527496338,0.7022562026977539,1.9999860525131226,0.3480481505393982,0.28062760829925537,0.271528035402298,0.9259213209152222,0.03001912496984005,0.17250697314739227,0.5544366240501404
53870592,0.9609735012054443,0.06505750119686127,0.13581585884094238,0.5546433329582214,-0.06573697924613953,0.5618388652801514,-0.1304280161857605,0.5700356364250183,0.22366361320018768,0.5736061930656433,0.13514938950538635,0.6069498062133789,0.7146114706993103,0.7002116441726685,1.9999979734420776,0.34673362970352173,0.27878648042678833,0.27072155475616455,0.9201971888542175,0.02929941937327385,0.17068195343017578,0.5531256198883057
54001664,0.9610680341720581,0.06500311195850372,0.14173337817192078,0.5574915409088135,-0.07064047455787659,0.5610959529876709,-0.1261594295501709,0.5720018148422241,0.23390266299247742,0.5744825005531311,0.1331891268491745,0.6095219254493713,0.7166309952735901,0.7026300430297852,1.9999878406524658,0.34810957312583923,0.28092655539512634,0.2719651460647583,0.9239324331283569,0.029552143067121506,0.1716988980770111,0.5545034408569336
54132736,0.9613838791847229,0.0660872682929039,0.1425076723098755,0.5596648454666138,-0.06848100572824478,0.5620052218437195,-0.116297647356987,0.5724060535430908,0.23152685165405273,0.5704198479652405,0.1319066435098648,0.6103988289833069,0.716716468334198,0.7023312449455261,1.9999942779541016,0.3481713831424713,0.279299795627594,0.2731131315231323,0.9273545145988464,0.030384382233023643,0.1730489730834961,0.5547716021537781
54263808,0.9604361057281494,0.07160039246082306,0.15264639258384705,0.5633010864257812,-0.06799276918172836,0.5605255961418152,-0.11699141561985016,0.5742616653442383,0.22275523841381073,0.5707653760910034,0.1336577832698822,0.6089685559272766,0.7162734270095825,0.7019168734550476,1.999985694885254,0.3468012511730194,0.2774239778518677,0.27309170365333557,0.9296603202819824,0.03076426312327385,0.1735095977783203,0.555062472820282
54394880,0.9600561857223511,0.0706639513373375,0.14841291308403015,0.56729656457901,-0.07053932547569275,0.5635910034179688,-0.11887075006961823,0.5763949155807495,0.22008873522281647,0.5748826861381531,0.13559189438819885,0.6106042861938477,0.7169497609138489,0.7029073238372803,1.9999866485595703,0.3487742841243744,0.27965065836906433,0.2733011841773987,0.9335755705833435,0.031002681702375412,0.17476272583007812,0.5559438467025757
54525952,0.9592959880828857,0.07473102957010269,0.15062080323696136,0.5676722526550293,-0.07534769177436829,0.5624514222145081,-0.11702892184257507,0.5776048302650452,0.21340498328208923,0.572395384311676,0.12632937729358673,0.6121976375579834,0.7180659174919128,0.7036261558532715,1.9999784231185913,0.34920740127563477,0.2793903648853302,0.2731034755706787,0.9344257116317749,0.030961036682128906,0.1753063201904297,0.5563967823982239
54657024,0.9587494134902954,0.07529988139867783,0.13844433426856995,0.5687679648399353,-0.08109819144010544,0.5601733326911926,-0.11482842266559601,0.5750941038131714,0.2102762758731842,0.5666801333427429,0.12098394334316254,0.6047239303588867,0.7176682949066162,0.7031087875366211,1.9999902248382568,0.34642738103866577,0.27693063020706177,0.2699584662914276,0.9357789754867554,0.031045913696289062,0.17502117156982422,0.5554661154747009
54788096,0.9596578478813171,0.0707845613360405,0.14920338988304138,0.564202070236206,-0.08982384204864502,0.5585692524909973,-0.11536747217178345,0.571374773979187,0.20610791444778442,0.5724073648452759,0.11088427156209946,0.6079109907150269,0.7171797752380371,0.7022180557250977,1.9999873638153076,0.3467414081096649,0.2760024666786194,0.27045655250549316,0.9328421354293823,0.030828159302473068,0.17431513965129852,0.5552558302879333
54919168,0.9596763849258423,0.06953109055757523,0.15179258584976196,0.5596468448638916,-0.07851174473762512,0.5550402402877808,-0.11139833927154541,0.568683385848999,0.2061341106891632,0.5694453120231628,0.11155833303928375,0.6040338277816772,0.7154905796051025,0.7003670930862427,1.9999912977218628,0.34641700983047485,0.27570468187332153,0.2713080644607544,0.932436466217041,0.03126557916402817,0.17413680255413055,0.5546164512634277
55050240,0.959726095199585,0.06799030303955078,0.15199263393878937,0.5605902671813965,-0.08573400229215622,0.5568175911903381,-0.10227067023515701,0.5704327821731567,0.20991840958595276,0.5683270692825317,0.122855544090271,0.6053451895713806,0.7165620923042297,0.7016079425811768,1.9999761581420898,0.34834587574005127,0.2788580060005188,0.273007333278656,0.9345560073852539,0.03167947381734848,0.17548879981040955,0.5551863312721252
55181312,0.9594107866287231,0.0717623233795166,0.1570741832256317,0.5573204755783081,-0.07962016761302948,0.5528709292411804,-0.10162210464477539,0.566892683506012,0.215172678232193,0.564670205116272,0.12133371084928513,0.6020717620849609,0.7141994833946228,0.6986810564994812,1.9999912977218628,0.3461431562900543,0.2753080129623413,0.2714736759662628,0.9299495220184326,0.03156503289937973,0.1735738217830658,0.5531970858573914
55312384,0.9606354832649231,0.06879287213087082,0.16826368868350983,0.5544236302375793,-0.07610023021697998,0.5541422963142395,-0.09725740551948547,0.5676921606063843,0.21160098910331726,0.565973699092865,0.10940738022327423,0.6035218238830566,0.7139860987663269,0.6987018585205078,1.9999778270721436,0.3455667495727539,0.2731853425502777,0.27097055315971375,0.9323354959487915,0.032130878418684006,0.17401187121868134,0.5534080266952515
55443456,0.9608200788497925,0.06977692246437073,0.1743166595697403,0.5526382923126221,-0.07252027839422226,0.5558504462242126,-0.10322695970535278,0.5710425972938538,0.21579115092754364,0.5663203001022339,0.11441043019294739,0.6035085916519165,0.715596616268158,0.7010061144828796,1.9999881982803345,0.3476087749004364,0.2752341628074646,0.2718711495399475,0.9337468147277832,0.03214804455637932,0.17478179931640625,0.5540093183517456
55574528,0.9604942202568054,0.06820893287658691,0.17844459414482117,0.5514593124389648,-0.0695786327123642,0.559325098991394,-0.09822246432304382,0.5734771490097046,0.20778566598892212,0.5675981640815735,0.1162455677986145,0.6053733229637146,0.7167809009552002,0.702056348323822,1.9999796152114868,0.3463471829891205,0.2747868597507477,0.2713313102722168,0.9355389475822449,0.03210894390940666,0.1755228042602539,0.5546171069145203
55705600,0.9599242210388184,0.06982801109552383,0.1768038272857666,0.5533638000488281,-0.06574181467294693,0.5560992956161499,-0.10246787220239639,0.5744075775146484,0.21897363662719727,0.563906729221344,0.12148656696081161,0.6030512452125549,0.7173521518707275,0.7030693888664246,1.9999971389770508,0.34640663862228394,0.27711549401283264,0.2714129388332367,0.9387202262878418,0.03246879577636719,0.1764812469482422,0.5556074380874634
55836672,0.9601937532424927,0.0673060342669487,0.1739504337310791,0.5512346625328064,-0.05601542815566063,0.5590206384658813,-0.10531656444072723,0.5729637145996094,0.21511632204055786,0.5675828456878662,0.12290430068969727,0.6092987060546875,0.7172722220420837,0.7035088539123535,1.9999849796295166,0.3489539921283722,0.2807413935661316,0.2722793519496918,0.9372360110282898,0.03226280212402344,0.17614015936851501,0.5558525323867798
55967744,0.9596982002258301,0.06987094134092331,0.16270291805267334,0.5517151951789856,-0.05006200820207596,0.5582165718078613,-0.09925408661365509,0.5712707042694092,0.21065565943717957,0.5666026473045349,0.1191895380616188,0.6073079109191895,0.716434895992279,0.7021998763084412,1.9999926090240479,0.3471226990222931,0.27985936403274536,0.2701646685600281,0.9325911402702332,0.03164927288889885,0.17478561401367188,0.5544905066490173
56098816,0.9602952003479004,0.06520288437604904,0.16055665910243988,0.551908016204834,-0.053918153047561646,0.5549042224884033,-0.0933268666267395,0.5712425112724304,0.2215111255645752,0.5657246708869934,0.1261616349220276,0.604520857334137,0.717336893081665,0.702910304069519,1.9999979734420776,0.34727758169174194,0.2799132764339447,0.26998472213745117,0.9354903101921082,0.032176971435546875,0.17548403143882751,0.554673433303833
