attempt,collected_frames,grad_contrib/shaping,grad_contrib/joint_ang_from_flat_penalty,grad_contrib/joint_angle_var_penalty,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/clearance,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
0,131072,-0.09814665288310108,0.1070586647914934,0.12623757794198168,0.024967838554771745,0.09527703924033959,0.061499302905517465,0.07410290678874422,-0.004876888194914556,0.002735573878556838,-0.36494976906006243,0.00903846888495691,0.031109316875560122
0,262144,0.6404936749924338,0.04971280219992638,0.05477987533309085,0.029935321520784843,-0.02722043163743938,0.04754359161184271,-0.012986661443571898,-0.001206791389526625,0.0019567479132776506,0.10712319021923858,0.019075223474327652,-0.007965688264539578
0,393216,0.5059220905057152,0.07693384156301357,0.08889951647572282,0.024642432359286596,0.04922571186350058,0.04580154618353746,0.04239806107538655,-0.0011554756816517912,0.0016003601777094935,0.1549585922053567,-0.00846237190911923,
0,524288,0.492892609708592,0.0093559487317559,0.00944949745287168,0.006517705829912923,0.004303118559237665,0.026376198405208027,0.008819517619260116,-7.327613323565804e-05,0.0013825443290319832,0.43132960509065815,-0.009499978140235945,
0,655360,0.5351432358154802,0.02638893190145496,0.026592595576918367,0.010123103534403996,0.022721494722812298,0.03349283145531907,0.021756375768013588,-8.647555504563379e-05,0.0013575893263793627,0.28484143934120526,-0.00892834775476745,-0.02856757924819987
0,786432,-0.5051433809486656,-0.018519867901761612,-0.014231278937375004,-0.013920241270781895,0.0015905135045073215,-0.05518779749652236,0.002515085591728119,-3.412411231278663e-05,-0.00022713107441211977,-0.36229071985008643,0.0011739427573142541,0.02516591655453246
0,917504,0.0002532714231748401,-0.004704422689312885,0.002475217707539656,0.01935998807845949,-0.011089787971023736,0.04642658701625155,-0.01397936798513036,2.4915188071489024e-05,-0.0010618399357455728,-0.1777968870625687,-0.012747029157501371,-0.7100806857852203
0,1048576,-0.33922226479506346,-0.026329495422093948,-0.013955261294845011,-0.008326558787061518,0.016248883389693103,-0.06640168348037791,0.015452486860811944,0.00014058259600004602,-0.0012711187713452966,-0.40408809855093974,-0.005063838369472637,0.1034997276822954
0,1179648,0.02480452786339668,0.009347906803275761,0.0019227267109092573,-0.004947780999408728,-0.019236354388585918,0.03401398571469485,-0.020812547992891704,-2.4043531161747266e-05,-0.001060340250547868,0.15667658006406934,-0.0048779191889483054,-0.7222752864921098
0,1310720,-0.546572961416026,-0.01608113702665793,-0.006296079902290256,-0.007188040938694812,-0.010772606835508425,-0.034795864776968166,-0.01790674995171355,4.269150633357058e-05,-0.0008675595640632725,-0.3393816699068194,0.016942018258490003,0.003152619916434732
